doc_id	paragraph_id	it-po
26103	13	Ale tak czy inaczej: raport poświęcony Włochom wesoło wzrusza ramionami i proponuje zwykłą receptę na cięcia, reformy i (jedyną nowość) „czekanie na PNRR…”.
26103	15	Kontynuując opis istniejącej sytuacji, autorzy raportu wyrażają ubolewanie, że – również z powodu środków nietymczasowych przyjętych w ciągu ostatnich dwóch lat – deficyt publiczny będzie nadal przekraczał magiczny próg 3%, wyrażając ubolewanie z powodu dobrej koniunktury (dla nich) z 2019 r., kiedy obniżyliśmy go do 1,5% również dzięki imponującej serii nadwyżek pierwotnych: dziś jednak dobrze wiemy, co to oznaczało w czasie pandemii, na przykład w zakresie braku usług, personelu szpitali, łóżka lub klasy kurników i zniszczone konstrukcje (żeby wymienić tylko dwa najbardziej dotknięte sektory).
26103	17	Kontynuujemy nieuniknione „nadmierne nierównowagi makroekonomiczne”. Zakłócenia równowagi, które w języku Komisji oznaczają „nadmierny dług publiczny”. Dług publiczny do bezkrytycznego cięcia, zwłaszcza poprzez redukcję wydatków publicznych. Tym samym pogorszy się i tak już dramatyczna sytuacja służb publicznych we Włoszech i bezrobocie. To ostatnie jest oczywiście brakiem równowagi, który Komisja może tolerować.
26103	19	Ponadto wspomina się o „strukturalnej słabości rynku pracy”, nawet jeśli Komisja musi również uznać, że częściowa poprawa poziomu zatrudnienia po pandemii jest zasadniczo spowodowana pracą o niepewnym charakterze.
26103	21	Na koniec raport przypomina nam, że Włochy należą do krajów europejskich najbardziej uzależnionych od rosyjskiego gazu i dlatego prawdopodobnie najbardziej ucierpią z powodu ekonomicznych reperkusji wojny.
26103	23	Jeśli taki jest aktualny stan wiedzy, perspektywy na przyszłość są, jeśli to możliwe, jeszcze bardziej przygnębiające: powiedział o potrzebie wznowienia marszu w kierunku zrównoważonego budżetu (i z całym szacunkiem dla tych, którzy cieszą się z zawieszenia paktu stabilności : w końcu, jeśli jesteśmy najlepsi, sami sobie wyrzekamy…), wszelkie nadzieje wydają się być pokładane w zbawczych właściwościach PNRR, co do którego należy pamiętać, że Włochy są największym beneficjentem w wartościach bezwzględnych i jeden z zaledwie czterech krajów, które również wystąpiły o dostęp do pożyczek.
26103	25	Pomijając fakt, że – jak już wyjaśniliśmy w innym miejscu – ta interwencja jest w dużej mierze niewystarczająca, jeśli nie jest otwarcie sprzeczna, naprawdę imponujące jest obserwowanie szeregu „reform” związanych z PNRR: ograniczenie biurokracji w celu uzdrowienia administracji publicznej „niewystarczająco odpowiadającą na potrzeby biznesu” (sic!), reformę zatrudnienia w sektorze publicznym (a podany przykład to eksperci zatrudnieni na czas określony właśnie do zarządzania PNRR), liberalizacje (szczególnie usług publicznych, patrz transport lokalny, woda, śmieci, itp.)… krótko mówiąc, wszystko, co już widzieliśmy i słyszeliśmy, i niestety często już stosowane, do tego stopnia, że ​​aż nazbyt dobrze znamy szkodliwy wpływ na jakość naszego życia.
26103	27	Co do reszty, niewiele więcej, w tym system podatkowy, który ma zostać zreformowany poprzez przeniesienie ciężaru bardziej na podatki konsumpcyjne (a celem są szczególnie niskie stawki, czyli narzędzie mające na celu złagodzenie skutków strukturalnie regresywnego podatku) i nieruchomości (w tym pierwsze domy).
26103	29	Jednak Komisja Europejska jest w dobrym (a właściwie złym) towarzystwie: coroczna misja obserwacyjna Międzynarodowego Funduszu Walutowego do Włoch zakończyła się 17 maja i nawet w tym przypadku eksperci uznali, że przed wyjazdem należy zostawić nam kilka Porada: Oprócz wezwania do pobicia rekordu „wiarygodnej dwutorowej strategii znacznego zmniejszenia wysokiego deficytu i zadłużenia w perspektywie średnioterminowej”, niniejszy raport skupia się bardziej na ekonomicznych konsekwencjach wojny, wyjaśniając, że „konsekwencje fiskalne reakcja na szok energetyczny powinna być bardziej ograniczona niż ta, która miała miejsce w przypadku pandemii”; „Rozwiązania” w tym przypadku są określone w planie REPower UE (a więc praktycznie nic) oraz w premiach socjalnych (patrz niedawny iw dużej mierze niewystarczający dekret o pomocy). Również w tym przypadku najciekawsze jest to, czego nie mówi sprawozdanie: w przypadku szalonych banknotów, proszę śmiało dać kilka monet tym, którzy są bardziej na miejscu, ale biada żądać głębszej i strukturalnej interwencji przez państwo w regulacji rynku; odradza się nawet nieśmiałe interwencje w przypadku niektórych pozycji rachunków, takich jak akcyza i opłaty systemowe, ponieważ „chociaż powoduje to natychmiastowe obniżenie cen dla rodzin i przedsiębiorstw, zniechęca się do efektywności energetycznej, a korzyści są korzystne dla wszystkich konsumentów”.
26103	31	Podsumowując, Komisja Europejska i Międzynarodowy Fundusz Walutowy nawołują do porządku, skutecznie proponując te same recepty, dzięki którym znaleźliśmy się bez narzędzi w obliczu katastrofy pandemii.
26103	33	Wiemy, że poprawa jakości naszego życia przebiega dokładnie odwrotną drogą: wznowienie wydatków socjalnych przez państwo i władze samorządowe (co oznacza również wydatki bieżące, np. spójna polityka środowiskowa i energetyczna, stabilne umowy o pracę i godziwe płace, prawdziwie progresywny system podatkowy.
26105	3	Czytałem, że w tych godzinach jest część Ruchu, która zaproponowała projekt rezolucji oddalającej nas od sojuszu między NATO a UE – mówi szef Farnesina z Gaety – NATO jest sojuszem obronnym, jeśli przekroczymy linię, narażamy bezpieczeństwo Włoch.
26105	5	Di Maio twierdzi: „NATO jest sojuszem obronnym”. Nie komentujemy i nie chcemy wspominać obraźliwych zbrodni Sojuszu Atlantyckiego, po prostu zapraszamy do lektury książki amerykańskiego intelektualisty Noama Chomsky'ego oraz filozofa i eseisty Andre Vltcheka pt. „Zachodni terroryzm” (Ponte alle Grazie) , gdzie znajdziesz wszystko, co musisz wiedzieć na ten temat. Nie komentujemy też obecności dziesiątek głowic nuklearnych pod bezpośrednim rozkazem obecnych na naszym terytorium mistrzów NATO, które tak, zagrażają naszemu obecnemu i przyszłemu bezpieczeństwu.
26105	7	Nie komentujemy ich tylko dlatego, że w rzeczywistości słowa Luigiego Di Maio, podjęte wczoraj przez Repubblica, słusznie prowadzą go do przezwyciężenia atlantyckich fundamentalistycznych złudzeń każdego Molinariego czy Riotty.
26105	9	Jesteśmy jednak zainteresowani zwróceniem Państwa uwagi na inny aspekt, a mianowicie na histerię, z jaką minister spraw zagranicznych i Republika tak wcześnie podnieśli „aferę”.
26105	11	Po absurdalnym planie pokojowym, wyśmiewanym przez cały świat, najemca „Farnesiny” i „Fiat” wracają do pracy ramię w ramię.
26105	13	Wkrótce podano powód.
26105	15	21 czerwca Mario Draghi będzie zmuszony udać się do parlamentu. Z pewnością poradziłby sobie bez niej i prawdopodobnie w następnej kadencji ten obowiązek przed posiedzeniem Rady Europejskiej zostanie zniesiony. Ale na razie będzie to wymuszone. A partie większościowe muszą określić wspólną rezolucję.
26105	17	Dla tych, którzy, jak Conte i Salvini, wyrazili w ostatnich tygodniach krytykę (słowną) dostaw tajnej broni dla reżimu w Kijowie – co uczyniło Włochy krajem współwojującym przeciwko energii jądrowej o kluczowym znaczeniu dla naszej gospodarki – wszystkie sęki nieuchronnie wracają do domu na grzędę.
26105	19	Czego więc obawiają się Repubblica i Di Maio i jaka jest pilność tego skoordynowanego wyjścia?
26105	21	"Po prostu, że ktoś może lekko zmusić rękę, kiedy nasi ""sojusznicy"" proszą o ślepe podporządkowanie się ich dyktatowi."
26105	23	Lider M5S ma po swojej stronie bardzo prosty ruch-mat, który, jeśli nie zostanie złapany, słusznie stawia go wśród najgorszych Quislingów w najnowszej historii Włoch: natychmiast usuń z rządu pustą delegację udzieloną przez WSZYSTKIE partie większościowe i większościowe przebrane za Braci Włoch (ustanowione wotum zaufania w Senacie 31 marca). Puste pełnomocnictwo, które, przypominamy, pozwoliło Draghiemu, Di Maio i Guerini wydać trzy kolejne dekrety – ukryte przed Parlamentem – z pewną liczbą tajnej i nierozszyfrowanej broni, która dotarła do Kijowa i prawdopodobnie do neonazistowskich batalionów, które również w tych godzinach są winni zbrodni przeciwko ludności cywilnej Donbasu.
26105	25	Tego właśnie boją się Di Maio i Repubblica, do tego stopnia, że ​​wracają do skoordynowanych działań, pomimo żałosnej porażki niesławnego planu pokojowego opublikowanego przez gazetę Fiat.
26105	27	Po haniebnym głosowaniu oddanym w Parlamencie także przez jego Ruch 5 Gwiazd – z wyjątkiem Vito Petrocelli, który zapłacił za swój wybór bezprawnym odwołaniem ze stanowiska przewodniczącego Komisji Spraw Zagranicznych – Conte może zamatować wasali NATO i tym bardziej ekstremistycznych podżegaczy wojennych, po prostu przyjmując zaproszenie Mattii Crucioli z Alternativa i prezesa neogrupy CAL. W liście, który, podobnie jak „Anti-Diplomatic”, opublikowaliśmy w środę, Crucioli wezwał wszystkich parlamentarzystów do „wspólnego napisania” rezolucji usuwającej pustą delegację rządu w tej sprawie.
26105	29	Nie blokujcie transportu broni, ale pozwólcie Parlamentowi ponownie stać się suwerennym i głosować nad każdym kolejnym dekretem. Każda ze stron musi zostać pociągnięta do odpowiedzialności przed opinią publiczną w zakresie wszelkich przyszłych wyborów, a Parlament musi zostać poinformowany o tym, ile i jaka włoska broń została dostarczona do Kijowa.
26105	31	Na co czeka Conte, by przyjąć to zaproszenie?
26105	33	Oto czego boją się Di Maio i Repubblica.
26105	35	Giuseppe Conte, który w ostatnich tygodniach w słowach okazał skruchę z powodu pustego głosowania przez swoją partię, nie ma innego wyjścia: albo przystąpi do jego usunięcia, nawet za cenę wycofania swoich ministrów z rządu, albo niechlubny koniec polityczny to będzie historia. Wyrok z nowym artykułem w środę.
26106	1	G7 w Monako: mają tak małe znaczenie, że nawet demonstranci już się tym nie przejmują
26106	3	Niemcy przejmują przywództwo w G7, ale nikogo to nie obchodzi. G7 wygląda jak emerytowany krąg ARCI, gdzie spotykają się dawne mocarstwa, które kiedyś były kimś, a teraz spędzają czas łudząc się, że nadal są. Trochę jak Prodi, który teraz idzie głosić w telewizji, myśląc, że wciąż jest kimś, ale po tym, jak zniszczył Włochy i trochę flirtował ze wszystkimi. teraz to już nieważne.
26106	5	G7 liczy się teraz tak mało, że nawet kontrdemonstracje, organizowane przez zwykłe fałszywe organizacje alternatywne, takie jak WWF, ATTAC i inne organizacje „środowiskowe”, upadły. Kolosalna klapa: policja spodziewała się 20 000 osób, ostatecznie przybyło tylko 3500. Ostatecznie cztery koty, które urządziły śmieszną demonstrację „Bo jest kryzys klimatyczny, bo grozi nam wyginięcie gatunku” i inne udogodnienia, które stały się teraz banalne.
26106	7	W końcu po co demonstrować grupie ludzi, którzy z jednej strony są zbieraczami tych organizacji, z drugiej nie liczą się już do niczego. Biden ma duże kłopoty z inflacją. Johnson ma kłopoty gospodarcze, ale także wewnętrzne, a połowa partii buntuje się przeciwko niemu, pośród skandali i klap wyborczych. Scholz, który nie jest Merkel, przewodzi sprzecznej większości i gospodarce bliskiej recesji i deindustrializacji. Macron stracił władzę ustawodawczą, rządzi, ale już nie rządzi jak wcześniej. Draghi jest zarządcą upadłości we Włoszech umieszczonym przez innych. Tylko Trudeau i Kishida są mocno w siodle, z własnymi problemami ekonomicznymi, nawet jeśli są drugorzędne w stosunku do problemów USA.
26106	9	Pod koniec G7 nikogo już nic nie obchodzi: wystarczy znać pogmatwane decyzje amerykańskiej prezydencji, żeby mieć pojęcie o tym, co dzieje się gdzie indziej. tymczasem UE jest tylko wykonawcą: nawet gdyby Niemcy, Francja i Włochy chciały zrobić coś innego, zdalnie sterowana Von Der Leyen przybyłaby z Demokratów i przywróciła ich do porządku. Tak więc G7 jest dobry do zdjęć i być może do dobrego piwa, ale politycznie nie ma żadnego znaczenia, absolutnie nic.
26109	1	WICEPRZEWODNICZĄCY RADY BEZPIECZEŃSTWA ROSJI POWRACA, ABY ATAKOWAĆ ZACHÓD: „POZIOM POLITYKÓW OBNIŻYŁ SIĘ. DLA KAŻDEGO JEST JASNE, ŻE MARIO DRAGHI TO NIE SILVIO BERLUSCONI A OLAF SCHOLZ TO NIE ANGELA MERKEL” – „Wielcy PRZYWÓDCY PRZESZŁOŚCI NIE BYLI RUSOFOBAMI I ZOSTALI ZAMIENIENI PRZEZ NOWE POKOLENIE SŁABYCH LUDZI, KTÓRZY MAJĄ SIEBIE TECHNOKRATAMI…”
26109	3	Poziom zachodnich polityków „opadł do dna” i „widziałem to na własne oczy przez ostatnie 20 lat”. W Europie na przykład „nie ma nawet śladu postaci politycznych na poziomie Helmuta Kohla, Jacquesa Chiraca czy Margaret Thatcher” i „bez urazy dla nikogo, ale dla każdego jest jasne, że Mario Draghi to nie Silvio Berlusconi, a Olaf Scholz to nie Angela Merkel”.
26109	5	Słowa wiceprzewodniczącego Rady Bezpieczeństwa Federacji Rosyjskiej Dmitrija Miedwiediewa, który w nowym przesłaniu na Telegramie wraca do szyku przeciwko Europie. Według byłego rosyjskiego premiera i byłego prezydenta, wielcy przywódcy z przeszłości, którzy „nigdy nie byli rusofobami”, zostali zastąpieni przez nowe pokolenie „ludzi słabych”, którzy „konwencjonalnie określają się jako technokraci.
26109	7	Niektórzy z nich to całkiem wykwalifikowani specjaliści, ale nic więcej. I w tym tkwi problem! Ci ludzie są w stanie poprawnie sformułować pomysł, udzielić dokładnych instrukcji asystentom. Ale nie mogę wziąć na siebie odpowiedzialności”. „Próbują się ukrywać, wprowadzać w błąd, mówić o sytuacji gospodarczej, nawet o zmianach klimatycznych, ale nie podejmują decyzji. Albo biorą to z katastrofalnym opóźnieniem. I to już jest totalny kłopot”.
26110	1	Kryzysowa susza i pustynnienie: dlatego potrzebna jest rewolucyjna ekologia
26110	3	Susza uderzyła we Włochy z nową, silniejszą falą: rzeki są wyschnięte, zbiorniki wodne marnieją, a rolnictwo cierpi – od północy do południa – z powodu wysuszenia ziemi i nagłych ataków pasożytów i pasikoników, jak to ma miejsce w tych dni w głębi lądu Sardynii. To nie biblijny scenariusz, ale upalna włoska wiosna-lato 2022 roku. Co powinien zrobić naród, który kieruje się wolą, a nie zrezygnowanym fatalizmem? Oto refleksja na ten temat.
26110	5	Susza i pustynnienie
26110	7	Jak już możesz sobie wyobrazić, problem jest poważniejszy i bardziej złożony niż uproszczona narracja, którą ekolodzy tworzą w odniesieniu do pogotowia wodnego. Historia jest zawsze taka sama, ale to nie pomaga… wręcz przeciwnie, stwierdzenie, że antropizacja i praca człowieka powodują wstrząsy klimatyczne, o których niemal codziennie informują zunifikowane sieci, oznacza udzielenie decydującej pomocy pustyni. Problem, co wydaje się oczywiste, ale warto to powtórzyć, jest przede wszystkim polityczny – a przez polityczny rozumiem najwyższy, jaki można przypisać temu terminowi. Ale najpierw zobaczmy, co się dzieje i obalimy kilka mitów: kiedy mówimy o suszy, od razu myślimy o okresie letnim, porze bez deszczu lub z niewielką ilością deszczu. I generalnie jest tak, bo zawsze tak było. Przynajmniej od czasu, gdy Ktoś lub coś pchnęło naszą planetę w taniec wirowania i oscylacji wokół Słońca.Susza nie jest zjawiskiem letnim, a raczej latem znajduje swoje niszczycielskie ujście. Tak naprawdę problem jest w okresie jesiennym i/lub zimowym, bo w tych okresach, w których grunty i warstwy wodonośne powinny być „zaopatrywane” w wodę niezbędną do stawienia czoła upałom, jest za to ten brak deszczu, który najgłupszy niemądrze latem. Szczególnie ważne jest, aby śnieg gromadził się w dużych ilościach w górach, aby następnie wolniej uwalniać wodę podczas wiosennej fazy topnienia. Oczywiste jest zatem, że przyczyn suszy, zwłaszcza w północnych Włoszech, należy szukać wyżej niż dolina Padu, skoro, jak wiadomo dzięki szkolnemu atlasowi geograficznemu, wszystkie tzw. lewe dopływy Padu ( Mincio, Adda, Ticino, Oglio itp.) są pochodzenia lodowcowego, tzn. ich przepływ jest regulowany sezonowym topnieniem alpejskich lodowców. To samo dotyczy dużych jezior, takich jak Garda i Como, to samo dotyczy dużych niebędących dopływami rzek Padu, które jednak przepływają przez cały północny wschód, takich jak Adige, Isonzo i Piave. Odkładając na bok ekskursy geograficzne, z suszą nie walczy się latem, a polityka (zawsze ta przez duże „P”) powinna poruszać się u źródła, a nie u ujścia – dosłownie.
26110	9	Kwestia woli
26110	11	Zanim zajmiemy się dyskursem bardziej filozoficznym niż praktycznym, warto, przynajmniej dla prawdy, poczynić pewne odniesienia historyczne, zarówno w odniesieniu do tzw. ostatni wiek. Podajmy kilka punktów odniesienia, aby zrozumieć, o czym mówimy: głównym argumentem w kwestii klimatu jest wzrost temperatury na Ziemi, co jest faktem obiektywnym, ponieważ jest wynikiem wielu badań naukowych. Jednak wrażenie, jakie mamy dzięki prześwietleniu mediów, jest takie, że temperatura wzrosła i nadal rośnie o kilka stopni. Tak naprawdę wiemy, że od roku, w którym zaczęto naukowo i obiektywnie rejestrować temperatury, czyli od 1880 roku, czyli 140 lat temu, temperatura na ziemi wzrosła o 0,9 stopnia. Do tego należy dodać, że około połowy XIX wieku zakończył się okres określany jako mała epoka lodowcowa, który rozpoczął się w połowie XV wieku; jest rzeczą oczywistą, jak sama nazwa sugeruje, że w ciągu tych stuleci ziemia doświadczyła okresu ochłodzenia, zwłaszcza na półkuli północnej: mamy dowody na istnienie lodu, który pozwolił nam chodzić po Tamizie. Naturalną konsekwencją, ponownie za sprawą tego „dotknięcia”, które zapoczątkowało oscylację tej geoidy zwanej Ziemią, jest to, że od końca „małego” okresu lodowcowego temperatury stopniowo rosną. Nie wspominając już o wielkich okresach lodowcowych, o których wiemy, że były wydarzeniami geologicznymi, ostatni „zaledwie” 14 000 lat przed Chrystusem. Mrugnięcie oka na tak daleko idące naturalne cykle. Jednak z tego obiektywnego faktu wynikają dwa nurty myślowe, delikatnie mówiąc subiektywne, graniczące z fatalistycznymi przesądami. Opieram się tu na słowach dr. Guglielmo Pannullo, który w artykule dla Bloku Studenckiego 2020 dobrze te nurty eksponuje: „Sceptycy i katastrofiści – wyjaśnia – mają dwa diametralnie przeciwstawne punkty widzenia na przyczyny globalnego ocieplenia i jeszcze kilka lat temu dyskusja toczyła się głównie ogranicza się do świata anglosaskiego. Punktem kulminacyjnym dyskusji jest przyczyna tego wzrostu, a nie jego wysokość. Rola świata informacji i lobby wokół tematu doprowadziła do polaryzacji stanowisk i ukształtowania się tych dwóch przeciwstawnych stron. Co do sceptyków – kontynuuje Pannullo – stanowisko prof. Zichichi, o którym kilka miesięcy temu ukazał się wywiad dla Il Primato Nazionale, który twierdzi, że modne dziś modele prognozowania zmian klimatu są nieprzewidywalne, ponieważ klimat jest zjawiskiem, które ma tak wiele zmiennych czynników, że nie można go absolutnie przewidzieć z modelem matematycznym. W związku z tym uważa, że ​​przyczyny globalnego ocieplenia są związane z działaniami zewnętrznymi w stosunku do Ziemi, takimi jak aktywność słoneczna, iw żadnym wypadku nie są spowodowane działalnością człowieka. Jednak na poziomie globalnym wiarygodność komponentu sceptycznego została w niektórych przypadkach mocno zakwestionowana po odkryciu, że niektórzy propagatorzy lub zwolennicy globalnego ocieplenia byli konsultantami firm naftowych, takich jak Exxon, Shell i Texaco itp. Z drugiej strony element katastroficzny przypisuje pełną odpowiedzialność za zmiany klimatu człowiekowi, upatrując przyczyn globalnego ocieplenia w zbyt dużej ilości CO2 i emisji gazów zmieniających klimat. Instrumentem używanym przez katastrofistów są raporty IPCC, Międzyrządowego Zespołu ds. Zmian Klimatu, czyli grupy naukowców, którzy nie prowadzą monitoringu środowiska czy klimatu, ale badają publikacje naukowe, produkty badawcze i sporządzają raporty częściej niż pięć lat. Ten ostatni raport z 2014 roku podkreślił, że większość naukowców uważa, że ​​człowiek jest prawdopodobnie przyczyną globalnego ocieplenia”.
26110	13	Jest zatem jasne, dzięki temu wyczerpującemu wyjaśnieniu, jak poważny jest problem perspektywy w odniesieniu do środowiska, zanieczyszczonego bez słów judeochrześcijańską wizją świata („Bądźcie płodni i rozmnażajcie się, abyście zaludnili ziemię i uczynili ją sobie poddaną, panują nad rybami morskimi i ptakami powietrznymi, i nad wszystkimi zwierzętami pełzającymi po ziemi” – Rdz 1,22), który zawiera w pigułce rozdział między człowiekiem a kosmosem, który osiąga kapitalistyczną i marksistowską wizję poprzez sekularyzację Zachód: materialistyczny, gdzie środowisko jest czymś innym, jest częścią kapitału, eksploatuje wartość użytkową i sprawia, że ​​wszystko wokół nas jest materialnie użyteczne. Ale wtedy problemem – powiecie – są mężczyźni. Tak nie jest, ponieważ według katastrofistów i hippisów człowiek jest decydującym czynnikiem ekologicznym dla przywrócenia równowagi ekosystemów.
26110	14	Rozwiązaniem jest człowiek
