doc_id	paragraph_id	ge-ru
22100	13	Согласно краткому анализу, проведенному антимилитаристским аналитическим центром Forces Watch 7 июля, большое количество возможных преемников имеют военное прошлое. Агитаторы политики в области вооружений и нынешний министр обороны Бен Уоллес являются одними из фаворитов на смену Джонсону.
22100	15	Читайте бесплатно в течение трех недель
22100	17	Ежедневная газета Junge Welt мешает правителям распространять свою пропаганду. Он занимает просветляющую позицию без всезнайки и работает за счет аргументов, качества, развлечения и остроты.
22100	19	Проверьте это прямо сейчас и протестируйте молодой мир в течение трех недель (две недели в других европейских странах) бесплатно. После этого пробная подписка заканчивается автоматически.
22101	1	Санкции: Россия выигрывает экономическую войну
22101	3	Прошло уже три месяца с тех пор, как Запад начал свою экономическую войну против России. Но все идет не по плану - на самом деле очень плохо.
22101	5	Санкции против президента России Владимира Путина были введены не потому, что они считались лучшими, а потому, что они были лучше двух других доступных вариантов: ничего не делать или вмешиваться военным путем.
22101	7	Первый пакет экономических мер был принят сразу после российского вторжения, когда ожидалось, что Украина капитулирует в ближайшие дни. Этого не произошло, что привело к тому, что санкции, которые еще не завершены, ужесточались все больше и больше.
22101	9	Однако в настоящее время нет никаких признаков того, что Россия уходит из Украины. В этом нет ничего удивительного, учитывая, что санкции приводят к обратному эффекту, увеличивая стоимость экспорта нефти и газа из России, значительно укрепляя ее торговый баланс и финансируя ее военные действия. За первые четыре месяца этого года Путин смог зафиксировать положительное сальдо счета текущих операций в размере 96 миллиардов долларов (90,7 миллиарда евро) — более чем в три раза больше, чем за тот же период в 2021 году.
22101	11	Цены на нефть растут – Кремль выигрывает
22101	13	Когда в конце мая ЕС объявил о своем эмбарго на часть экспорта российской нефти, цены на сырую нефть на мировых рынках выросли, что дало Кремлю еще одно финансовое преимущество. Между тем у России нет проблем с поиском альтернативных рынков для своих энергоресурсов. Например, экспорт нефти и газа в Китай в апреле ежегодно увеличивается более чем на 50 процентов.
22101	15	Но это не значит, что санкции пройдут мимо России безболезненно. По данным Международного валютного фонда, экономика страны сократится на 8,5% в этом году из-за сокращения импорта с Запада. В России есть запасы товаров первой необходимости для поддержания экономики, но рано или поздно они закончатся.
22101	17	По мере того, как Европа постепенно освобождается от зависимости от российских энергоносителей, Путин избавлен от немедленного финансового кризиса. Действительно, благодаря контролю за движением капитала и солидному положительному сальдо торгового баланса рубль укрепился. Таким образом, у Москвы есть время найти альтернативные источники поставок запасных частей и комплектующих из стран, готовых обойти западные санкции.
22101	19	Когда мировые лидеры недавно собрались в Давосе, публичным посланием было осуждение российской агрессии и подтверждение твердой поддержки Украины. С другой стороны, общественность не беспокоилась об экономических издержках затянувшейся войны.
22101	21	Это беспокойство вполне оправдано. Вторжение России в Украину усилило и без того сильное ценовое давление. Годовая инфляция в Великобритании составляет 9 процентов, что является самым высоким показателем за 40 лет. В Германии Бундесбанк ожидает уровень инфляции в 7,1 процента в 2022 году. Цены на топливо достигли рекордного уровня.
22101	23	Последствия стагфляции и голода.
22101	25	В результате войны западные экономики столкнулись с низким или отрицательным ростом и растущей инфляцией — возвращением к стагфляции 1970-х годов. Между тем, центральные банки, в том числе Банк Англии, испытывают давление, чтобы отреагировать на почти двузначную инфляцию путем повышения процентных ставок. Это грозит ростом безработицы. Другие европейские страны сталкиваются с теми же проблемами, возможно, даже в большей степени, чем Великобритания, поскольку большинство из них сравнительно больше зависят от российского газа.
22101	27	Между тем, более бедные страны мира сталкиваются с проблемами гораздо большего масштаба. Для некоторых из них проблема не в стагфляции, а в голоде – последствие российской блокады поставок пшеницы из черноморских портов Украины.
22101	29	Как сказал директор Всемирной продовольственной программы Дэвид Бизли: «Украинские элеваторы переполнены. В то же время 44 миллиона человек по всему миру находятся на грани голодной смерти».
22101	31	Во всех многосторонних организациях — будь то Международный валютный фонд, Всемирный банк, Всемирная торговая организация или Организация Объединенных Наций — растет опасение неминуемой гуманитарной катастрофы. Математика проста: если развивающиеся страны сами не являются экспортерами энергии, они сталкиваются с тройной проблемой: топливный и продовольственный кризисы вызывают финансовые кризисы. Когда правительствам приходится выбирать между тем, чтобы накормить свой народ или обслуживать свои долги перед международными кредиторами, они выберут первое. Шри-Ланка была первой страной, объявившей дефолт по своим долгам после российского вторжения, но, вероятно, не последней. Мир не был так близок к полномасштабному долговому кризису с 1990-х годов.
22101	33	Владимир Путин с самого начала играл в длинную руку
22101	35	Путина справедливо критиковали за «превращение» еды в оружие. Однако его готовность сделать это не должна вызывать удивления. С самого начала российский президент перестраховывался, ожидая раскола международной коалиции против него. В Кремле убеждены, что экономический болевой порог России выше, чем у Запада. И это, наверное, правильно.
22101	37	Если вам нужны доказательства того, что санкции не работают, то решение президента США Джо Байдена оснастить Украину современными ракетными комплексами их предоставляет. Есть надежда, что современные военные технологии США смогут сделать то, чего не смогли сделать энергетическое эмбарго и замораживание российских активов: заставить Путина вывести свои войска.
22101	39	Война может закончиться тотальной военной победой Украины над Россией. Однако, учитывая нынешнее положение дел, это маловероятно. Также возможно, что экономическая блокада в конечном итоге сработает, а все более строгие санкции заставят Россию уступить. Еще одно решение – мировое соглашение.
22101	41	Путин не сдастся безоговорочно, и возможность серьезного побочного ущерба от экономической войны очевидна: снижение уровня жизни в развитых странах; Голод, голодные бунты и долговой кризис в развивающихся странах.
22101	43	Зверства, творимые российскими войсками, в настоящее время превращают компромиссы с Кремлем в трудную пилюлю, но экономическая реальность говорит только об одном: рано или поздно решение будет найдено путем переговоров.
22102	1	Если мы упадем, твоя очередь
22102	3	Несколько немецких интеллектуалов недавно призвали прекратить поставки западного оружия на Украину. Это не только цинично, но и соответствует расчетам Путина.
22102	5	На прошлой неделе ряд немецких интеллектуалов в ZEIT и на ZEIT ONLINE призвали к прекращению поставок западного оружия в Украину и к немедленному прекращению войны путем переговоров. Украинский публицист и психоаналитик Юрко Прочаско в ответ на это обращение считает эти требования циничными. В конечном итоге это означало бы исчезновение Украины.
22102	7	Удивительно, сколько формулировок для нескольких простых - и просто неверных - мыслей в контексте войны на Украине. И как часто они выдвигаются снова и снова с разных сторон. Читают что-то вроде: Война на Украине сейчас требует переговоров, а не боевых действий. Или: Поставки оружия лишь способствуют продолжению, даже эскалации этой войны и поэтому требуют ненужных жертв. Таким образом, они увеличивают страдания, а не облегчают их.
22102	9	Такие призывы страдают двумя фундаментальными недостатками. Во-первых, неумение додумывать до конца, во-вторых, склонность добавлять несуществующее. Первое называется интеллектуальной близорукостью, второе - принятием желаемого за действительное. Вместе они имеют журналистский эффект, но не нужный. Наконец, есть и третья особенность таких обращений: именно там, где содержание было бы решающим, т. е. в тех пунктах, которые оправдывали бы написание таких открытых писем, там всего и происходит сползание в приблизительное.
22102	11	Это связано с упомянутой выше неспособностью продумывать все до конца. Невозможно или не хочется видеть, что значили сформулированные предложения для Украины. Это было бы не только их неудачей, но и их исчезновением. А для западных демократий это было бы не только равносильно провалу, но и гарантией новых войн со стороны России.
22102	13	Принятие желаемого за действительное состоит в нелепом представлении о том, что в настоящее время в этом мире есть политическая сила или серьезные аргументы, которые убедили бы российский режим призвать к прекращению огня или даже свести за стол мирные переговоры. Вера в то, что Запад избежит дальнейшей эскалации, прекратив продажу оружия Украине, означала для российского руководства только одно: они получат то, чего надеялись добиться, самыми дорогими средствами — запугиванием, шантажом, разделением — просто данностью.
22102	15	С абстрактной или философской точки зрения выдвинутые в обращении тезисы могут звучать благородно, но на практике они просто пустышки. В лучшем случае. С менее дружелюбной точки зрения они даже непростительно наивны, циничны или и то, и другое. А в худшем случае они просто льют воду на мельницу путинизма. Странно — но, в конце концов, наверное, и логично, — какими туманными, ужасно неточными и двусмысленными становятся авторы таких открытых писем как раз там, где это должно стать конкретным. Вместо этого читаются такие формулировки, как «следует принять меры в кратчайшие сроки», «должна быть проведена активная работа» или «для этого должны быть созданы предпосылки».
22102	17	Это не совпадение. Если додумать дело до конца, то это может означать только две вещи: либо Украина должна пожертвовать собой во благо (еще) менее пострадавшего человечества, включая немецкое и европейское. Или вы не очень понимаете весь вопрос и верите в готовность России закончить войну добровольно. Хотя авторы открытого письма выдвигают все мыслимые риторические ограничители, чтобы ни в малейшей степени не допустить возникновения этого подозрения, де-факто всегда читается именно это в подтексте, поэтому подписавшимся, возможно, следует просто быть более открытыми и откровенными. , это как минимум способствовало бы ясности дискурса.
22102	19	Но даже если они признавали перед собой и общественностью, что Украина должна сдаться, чтобы у нас наконец-то был мир и покой, это игнорировало ту страшную цену, которую обречена заплатить страна: чистки, изгнания, расстрелы, террор и бесконечные страдания. Во-вторых, это также скрывало тот факт, что это не положит конец настоящей войне и не предотвратит дальнейшие агрессивные войны со стороны России. Как раз наоборот: Россия почувствовала побуждение сделать последнее.
22103	1	Верховный суд: демократы недооценили силу сторонников абортов
22103	3	Было бы проще, если бы только главные судьи могли нести ответственность за отмену права на аборт, которое действует с 1973 года. Но есть также структурные факторы и проблемы с демократией, которые сделали возможным приговор от 24 июня. Демократы и прогрессивная Америка недооценили силу и живучесть движения против абортов. Последнее, вероятно, было связано с многочисленными опросами, согласно которым лишь меньшинство американцев хотели отменить ныне отмененный приговор. Дело Роу против. Уэйд однажды легализовал аборты до тех пор, пока плод не был способен к самостоятельной жизнеспособности. Во время своего большинства в Конгрессе демократы не устанавливали право на прерывание беременности.
22103	5	И вот это случилось: всего через несколько часов после приговора, вынесенного в прошлую пятницу, первые клиники отказали женщинам. Более 20 штатов США легализуют его в ближайшие несколько месяцев. Беременные женщины - если у них есть деньги и мужество - должны ехать в Мексику или в демократические государства для процедуры. По логике суждения о том, что аборт не защищен, потому что об этом ничего не сказано в конституции, под угрозой находятся и другие права, в первую очередь однополые браки.
22103	7	Конфликты по поводу законодательства против абортов теперь перейдут к законодательным собраниям штатов. Демократы не преуспели там в последние годы. В некоторых штатах, где действует запрет, рассматривается вопрос о запрете поездок беременных женщин. Кроме того, рассматривается слежка, которая могла бы показать, кто заказывает таблетки для аборта, которые тоже хотят запретить. По каждому делу «Roe v. Уэйда» (помимо перерыва на Covid) в Вашингтоне собрались десятки тысяч противников абортов. Первоначально с небольшой известностью, в 2020 году с Дональдом Трампом, который заверил, что у «нерожденных детей» никогда не было такого «сильного защитника» в Белом доме, как он. Мероприятия были преимущественно белыми, строго католическими и со временем евангельскими. Там было много молодых американок, очевидно вдохновленных желанием, как говорилось на их плакатах, спасти младенцев и заявить, что женщины также являются жертвами «индустрии абортов». Звезды движения — женщины, сожалеющие об абортах. Республиканцы годами принимают законы по всем штатам, ограничивающие аборты, в преддверии Дня X.
22103	9	Противники абортов не совсем довольны
22103	11	Аборт – это не только аборт. Движение против абортов с его эмоциональной привлекательностью стало частью правого движения, поддержанного в 1970-х годах растущим «христианским свободным рынком и библейским правым правом». Это были белые избиратели, многие из рабочего класса, которые перешли на сторону республиканцев. Рональд Рейган подписал либеральный закон об абортах в качестве губернатора Калифорнии и нашел «правильное отношение» только как президент-республиканец. Что помогло склонить его партию и движение против абортов к правому популизму.
22103	13	Вы использовали друг друга. То же самое и с годами Трампа. Предприниматель из Нью-Йорка высказался против запрета абортов в интервью NBC в 1991 году («Я очень за выбор»). Во время избирательной кампании 2016 года, когда Трамп был кем угодно, только не предпочтительным кандидатом для консервативных христиан, он узнал кое-что новое и представил свой список адвокатов, выступающих против абортов, в Верховный суд и федеральные суды. Это сработало. Белые избиратели-евангелисты проголосовали за него 80 процентов. И были вознаграждены. Тот факт, что Трамп смог привести в исполнение трех своих судей, которые приняли решающее решение в отношении вердикта против абортов, также имеет отношение к структуре правительства США. В Сенате, который голосует за главных судей, от каждого штата есть по два сенатора — малонаселенные сельские, склоняющиеся к республиканцам, а также демократические гиганты Калифорнии и Нью-Йорка. В либеральной Калифорнии примерно такое же население, как в двадцати самых маленьких штатах США. В Калифорнии два сенатора, в этих двадцати — сорок. Состав Верховного суда является примером того, как политика правого меньшинства может утвердиться в США. Когда республиканские штаты ввели ограничительные законы о выборах против групп избирателей, склоняющихся к демократам, Верховный суд санкционировал это.
22103	15	Противников абортов пока не устраивает новый статус-кво, который не запрещает аборты полностью. Движение за права на аборт призывает к голосованию в ноябре. Национальный закон, принятый большинством демократов, мог бы защитить право на аборт.
22105	1	Мадрид: президент Эрдоган покинул саммит НАТО с богатыми подарками
22105	3	Для Турции итоги недавней встречи НАТО впечатляют. Президент Реджеп Тайип Эрдоган пожинает плоды за отказ от вето на присоединение Швеции и Финляндии. Он многого добился, разыграл крепкую эксклюзивность в альянсе - если не сказать, что смаковал ее - и продемонстрировал всему миру, насколько от него зависит северная экспансия. Альянс был избавлен от смущения из-за того, что очередное повышение не удалось на этой вершине всех мест, с которой ожидался прыжок в эпохальный способ борьбы против России.
22105	5	Чтобы более подробно ознакомиться с добычей Эрдогана: Корзина I содержит подписанный в последний момент меморандум между Турцией и претендентами на членство в НАТО. После этого два северянина обязуются принять меры против «курдского терроризма» на своей суверенной территории. Это означает, что они обязаны не наносить удар Турции в спину в «антитеррористической борьбе» против курдского самоопределения, как это интерпретировали в Анкаре, а быть опорой. Это касается не только юго-восточной Анатолии, но и северного Ирака и северо-восточной Сирии, то есть нетурецких территорий, на которые турецкая армия уже вторглась, нарушив международное право, и хочет вторгнуться снова.
22105	7	Она держит на прицеле Курдскую рабочую партию РПК, а также сирийско-курдские ополчения YPG, которым удалось сохранить демократическое самоуправление в регионе против государства Асада в течение десятилетия. Парадигма этой альтернативы отвечает деструктивному произволу турецкой региональной власти. НАТО это терпит, более того, она допускает, что член, который рассматривает нарушение закона как смысл существования, решает, будет ли происходить новый прием и при каких условиях. Когда «силе закона» придавалось такое большое значение? Кроме того, что претенденты не выходят из этой оценки за счет третьих лиц невредимыми.
