doc_id	paragraph_id	po-en
25102	23	But that doesn't mean we should work on these technologies and do nothing in the meantime. If we don't have technology - it's hard. We need to change our lifestyles to reduce emissions as much as possible now, perhaps giving scientists a few more years to develop technologies that will allow us to switch to a zero-carbon economy. Someone will have to bear these costs. If we take them now, they will be many times lower than if we start them in a decade or two.
25102	25	Will it be inconvenient? Of course. Will people be outraged? Of course. No one likes to be deprived of the comforts to which they are accustomed. This convenience, however, cannot be more important than the fate of future generations, who, instead of enjoying life, will struggle with the effects of our egocentrism. They will have no choice, because they will be born in a world completely destroyed by our ignorance.
25102	27	Greta Thunberg knows what she's talking about
25102	29	Just look at the reactions after Greta Thunberg's speech. The fact that the eighteen-year-old tells the brutal truth does not please the majority of society, which people widely vent in the comments. The problem, however, is that she is right, not the majority of society.
25102	31	Listening to Greta Thunberg's speech, however, I see that she has evolved a lot in just a few years. The message is clearer, there is no longer a note of jitteriness in the voice, but a hard note of contempt for hypocrites sitting on the boards of companies and politicians who together destroy the earth's atmosphere, while throwing out further declarations of intentions to eliminate emissions by one year or another. What's more, the organizers of the event itself, the Italian government, were also hit.
25102	33	I have no illusions as to whether the words of Greta Thunberg will penetrate the consciousness of those in power. It will probably end only with further declarations. Then everyone will go home, and companies will continue to increase CO2 emissions as they do.
25102	35	However, this does not change the fact that from year to year we will find out how serious - in the context of climate - the situation we are in. When we pay more and more compensation for losses caused by natural disasters, which are a direct result of climate change, year after year, we will certainly start to act. Only one question remains: will it be too late then?
25103	1	"Where has Greta Thunberg gone? ""We won't wait for him to say something"""
25103	3	The Youth Climate Strike was at the peak of popularity, attracting millions of people to protests, when suddenly the pandemic broke out and took it from the streets to the Internet. Then Zoom became the new meeting platform.
25103	5	The online meetings were attended by activists from Europe and the United States, but also from Africa, Asia and South America. “It was the first opportunity to finally meet people from the climate movement from other parts of the world. During these meetings, we were able to talk to activists from Uganda, the Philippines and India - people who have not been listened to as much as people from Europe. Then we began to discover that for people from those countries where climate change is already very severe, it is not a fight for the future, but to save what is left. – says Dominika Lasota from the Youth Climate Strike in Poland.
25103	7	"Mitzi Jonelle Tan, an activist from the Philippines, told Politico that ""We're not just fighting for our future, we're fighting for our present."" Disha Ravi, an activist from India, felt that the environmental movement was ""whitewashed"" and thanks to Zoom, she and Mitzi were able to point out to their colleagues their ignorance of poorer countries."
25103	9	— For us, the climate crisis is associated with ecology, environmental devastation, but for my friend from Uganda, the climate crisis is something much bigger - it is the result of decades of colonization of her country by European countries, it is the result of racism, which deprived her ancestors of cultural capital and finally - it is a constant experience of further plundering of Africa's natural resources,” explains Dominika Lasota.
25103	11	"“If it wasn't for these online meetings, where national borders were not a barrier, the youth movement would not have gained all the perspectives that go beyond Europe - beyond being a white man in a privileged, safe country. As a movement, we have discovered that the climate crisis is in fact one of the effects of wider social injustice - the exploitation of various countries and communities by ""Western"" states and corporations - admits the activist."
25103	13	Differences in the approach to climate change due to socio-economic and racial factors that stood out among activists on Zoom are confirmed by Yale University research from 2019 and 2020. They show that Hispanics and African Americans (69 and 57, respectively, according to numbers) percent) are more concerned about climate change than white people; in this case, it's one person in two.
25103	15	On the wave of activists' conversations about social injustices, the Youth Climate Strike decided to add one more to its demands: climate justice. The new postulate, apart from demanding that countries conduct climate policy and transform the economy in order to reduce greenhouse gases, is currently the most important priority of the Strike.
25103	17	– It is often said that a climate catastrophe is facing us all, but the climate crisis is not a crisis to which we have all contributed equally. Africa accounts for 4 percent. all greenhouse gas emissions into the atmosphere. The vast majority were produced by Western Europe and the United States. However, when we look at who is most affected by this, we have the complete opposite - North America and Western Europe are the least affected by climate change, and Africa has been dealing with it for decades - explains the activist from Poland.
25103	19	According to data from the Global Adaptation Center report from 2021, every third inhabitant of Africa (by 2030) will experience poverty due to climate change.
25103	21	The postulate of climate justice means that countries and companies that have contributed to climate change should bear responsibility and take action to stop the devastation of nature. “First, oil companies should drop all new investments in fossil fuels. New projects exploiting gas, oil or coal make this crisis even worse. Currently, as Youth Climate Strike, we are campaigning against the French company Total Energies. Total is building its longest ever pipeline in Uganda. It's 2022, various European leaders support demands to end the era of fossil fuels, but despite this, fuel companies - with the support of politicians - continue their work anyway and, what's worse, they are looking for new regions where they can further damage the natural environment - explains Lasota.
25103	23	"Greta Thunberg sings: ""You can shove your climate crisis up your ass"" [WIDEO]"
25103	25	"The activist emphasizes that such investments negatively affect the climate and further deepen social injustices. ""The construction of a new pipeline in Uganda will deprive some people of their homes, some will live next to the polluter, while people from Europe will not lose anything,"" he adds."
25103	27	"Thus, the Climate Strike also demands that countries that are already suffering from the climate crisis receive money, something like climate reparations, from the countries that exploit them. ""And it's not supposed to be a loan, a form of credit, because that would still create an unequal relationship between the two, but payment for the damage done - for the historical consequences of this terrible system that Western Europe and the United States have built,"" the activist says."
25103	29	The organization Africa No Filter (ANF), which fights against stereotypes and negative narratives about Africa, conducted a study in April this year, analyzing online media, Twitter posts and Google searches from October and September 2021 in terms of what is happening writes and speaks about Africa. The analysis showed that although Africa is the face of the global climate crisis, the voices of Africans - environmental activists, climate analysts and scientists - are absent from the environmental debate. Only European rhetoric about the climate crisis, including Greta Thunberg, gets through to the international media.
25103	31	"Activists from third countries talked about the ""problem"" with Greta during meetings on Zoom. They complained that their voice in ecology debates was overlooked when those more privileged, like Greta, could say whatever they wanted. The Swedish activist already admitted a year ago, during a youth conference in Italy before COP26 (UN Conference on Climate Change - ed.), that she was ""a selected young person"", but added that ""they pretended to listen to her""."
25103	33	— Greta Thunberg is a white girl from Sweden, one of the most privileged countries in the world, who inspired millions of young people to do the same with her solo climate protests. But although she touched millions, in my opinion, she was treated by many as a famous person worth showing up with. Especially politicians did everything to have a picture with Greta, but they did not take seriously what she said. If that were the case, we would not be talking about building a pipeline in Uganda, or the European Union would not continue to finance gas, oil and coal from Russia, says Lasota.
25103	35	Dominika explains that Greta, after talking on Zoom with activists from around the world, and above all with those from Africa and Asia, decided not to get involved in the media. She made it clear within the movement that she didn't want to draw all the attention to herself. She decided that our colleagues from Uganda or the Philippines would be better able to talk about the climate crisis, because they are the ones who have to deal with it every day - they lack drinking water, their land is depleted, they live with heavy industry, which it provides us with comfort - explains the Polish activist.
25103	37	Now the goal of the Youth Climate Strike is that as many climate activists as possible, from the most affected regions of the world, have the opportunity to speak out in the media. “We want people who are most affected by the effects of the fossil fuel industry to be listened to as often as possible. We are trying to ensure that these people meet with politicians, with people who are responsible for destructive investments in their countries - says Lasota.
25103	39	"Among the examples showing how Greta has become synonymous with climate strikes, ""Politico"" mentioned the situation when during one of the conferences ""Fridays For Future"" the camera was directed all the time at the Swede, although she was not the speaker; another activist spoke, but the media was not interested. The message from the press was simple: It doesn't matter what the climate activists have to say, the only thing that matters is whether Greta says it."
25103	41	"Dominika Lasota admits: the climate crisis existed in the media only when Greta went out somewhere and said something or when there were strikes. ""Now that Greta is on the sidelines, not wanting to be the face of climate justice, our media movement is dying,"" he said."
25103	43	Despite this, Greta Thunberg continues her policy of staying behind and is not attending the World Economic Forum (WEF) in Davos this year. Instead, other representatives of the Youth Climate Strike appeared.
25103	45	“Although Greta has faded into the background, we are still a movement of people who believe change is possible, with or without Greta. We want our movement not to be treated as a part of an interesting story about a girl from Sweden, but rather that actions be taken against the climate crisis because of us. We often repeat in movement that another world is possible. Because it is. And now we are creating it,” sums up Lasota.
25103	47	We're using up the planet too fast. Greta's five steps: how to repay an ecological loan
25103	49	"Most of the media mentions of Greta come from November 2021. At that time, Katarzyna Tubylewicz, a writer and translator of Swedish literature, published the text ""Swedes are starting to have a problem with Greta Thunberg"" in the ""Polityka"" weekly."
25103	51	In it, the writer referred to the critical voices towards Greta, who is accused by part of society in Sweden of being too critical of politics. Greta, starting her climate strike at the age of 15, turned to politicians and directed all her attention to them, wanting to force them to act in the name of the climate. This resulted in Greta's meetings with the leaders of many countries; she met British Prime Minister Boris Johnson, former US President Donald Trump and French President Emmanuel Macron.
25103	53	Millions of people joined her attempts to call politicians to change, seeing it as hope for change. Now, when Greta argues that politics will not change anything, some of these people have the impression that the previous actions were for nothing, since their initiator herself lost hope.
25103	55	She has a lot of influence and there are publicists - in Sweden and not only - who believe that she should become a mature leader, capable of compromise and politics - said Tubylewicz during a broadcast on Tok Fm radio in November 2021. The writer reminded that Thunberg never had political ambitions, and all she had to do with politics was trying to talk to politicians about climate.
25103	57	Currently, Greta Thunberg makes herself known sporadically. In his social media, he mainly publishes photos from weekly Fridays for the climate or protests against the war in Ukraine. The exception is the information about her plans to publish a book on the climate crisis, which she posted on Facebook.
25103	59	"The book, entitled ""The Climate Book"", is intended to be an overview of the problems and challenges that face us as inhabitants of the Earth. In its pages, the 19-year-old wants to give the floor to 100 people: experts and activists who are no strangers to the fight for the good of the planet. Among them were the scientist Katharine Hayhoe, the economist Thomas Piketty, the Kenyan ecologist Wanjira Mathai and the novelist Margerat Atwood, known as the author of The Handmaid's Tale."
25103	61	We have used all the Earth's resources for 2021. From now on, we live on credit
25103	63	"I decided to use my platform to create a book based on the best science available today - a book that holistically addresses the climate, environmental and sustainability crises,"" Thunberg wrote in a statement. ""The climate crisis is, of course, only a symptom of a much larger sustainability crisis. My hope is that this book can be a guide to understanding these various, closely related crises."""
25103	65	The book will be released in the UK in late October and in the US in early 2023.
25103	67	"The 19-year-old Swede identifies herself as a climate activist with Asperger's. In 2018, she launched a ""school strike for climate""; instead of going to school, she appeared in front of the Swedish parliament every Friday, urging politicians to take action against negative climate change. Among its postulates was the reduction of greenhouse gas emissions into the atmosphere."
25103	69	After solo strikes and the teenager's attitude circulated in the world media, the girl grew up to be a global climate activist. In the same year that she started the protest, she was invited to the climate summit in Katowice and initiated the Youth Climate Strike. In 2018, Time magazine placed her on the list of the 25 most influential teenagers in the world, and a year later she became the youngest Person of the Year.
25104	1	Greta Thunberg. Climate symbol without meaning [COMMENT]
25104	3	Although the young Swedish activist Greta Thunberg attracts the attention of the media and societies around the world, from the point of view of climate protection her activities are practically irrelevant.
25104	5	Greta Thunberg is known almost all over the world. This Swedish teenager became famous for skipping school on Fridays for the climate - skipping school to protest alone in front of the parliament in Stockholm to protect the planet. In just a dozen or so months, the girl has become a global icon for environmentalists and activists who want to stop climate change. Greta has appeared before parliaments, in world economic forums, was nominated for the Nobel Peace Prize, and a few days ago she set off on a sailing yacht on a journey across the Atlantic to participate in climate conferences in New York and Santiago.
25104	7	Admittedly, that's quite an impressive list of accomplishments for a sixteen-year-old.
