doc_id	paragraph_id	en-po
111111113	25	Ale ICE spotkało się z własną krytyką za to, że nie wystąpiło o nakaz sądowy w celu legalnego uzyskania opieki nad Garcią Zarate, kiedy odkryło, że został przeniesiony do aresztu w San Francisco. Agencja argumentowała, że ​​uzyskiwanie nakazów sądowych jest niepotrzebne i stanowiłoby zbyt duże obciążenie dla urzędników ICE i sądów federalnych.
111111113	27	Chociaż agencja zwróciła się do miasta z prośbą o zatrzymanie Garcii Zarate do czasu, aż urzędnicy ICE będą mogli go odebrać, ich wnioski o zatrzymanie nie są podpisywane przez sędziego i dlatego nie są prawnie wiążące. Polityka San Francisco polega na ignorowaniu takich próśb, jeśli nie towarzyszą im nakazy podpisane przez sędziego, a miasto powołuje się na sprawy sądów federalnych, w których stwierdzono, że takie zatrzymania naruszają prawa więźniów wynikające z Czwartej Poprawki.
111111113	29	Deportacja i historia kryminalna Garcii Zarate uczyniły go skutecznym celem dla twardogłowych imigrantów, którzy argumentowali, że Steinle nadal by żył, gdyby nie niepewna granica i łagodne traktowanie podejrzanych nielegalnych imigrantów w lokalnych więzieniach.
111111113	30	Prezydent Donald Trump natychmiast wykorzystał werdykt w czwartek jako dowód niebezpieczeństw związanych z „nielegalną imigracją”. Trump często oczerniał Garcię Zarate i powoływał się na śmierć Steinle'a podczas swojej kampanii prezydenckiej, wykorzystując tę ​​sprawę, aby wzmocnić swój argument za murem granicznym i pomóc w krucjacie przeciwko „miastom sanktuarium”.
111111113	32	Wczesnym rankiem w piątek Trump również fałszywie twierdził na Twitterze, że Garcia Zarate wcześniej popełnił brutalne przestępstwa i sześć razy nielegalnie wjechał do USA z powodu luźnej ochrony granic pod rządami Obamy.
111111113	34	Zabójca Kate Steinle wracał i wracał przez słabo chronioną granicę Obamy, zawsze popełniając przestępstwa i stosując przemoc, a jednak ta informacja nie została wykorzystana w sądzie. Jego uniewinnienie jest kompletną parodią sprawiedliwości. ZBUDUJ ŚCIANĘ! Trump napisał na Twitterze.
111111113	36	W rzeczywistości Garcia Zarate nigdy nie był skazany za brutalne przestępstwo przed zastrzeleniem Steinle'a - jego poprzednie wyroki skazujące dotyczyły przestępstw narkotykowych bez użycia przemocy i nielegalnego wjazdu. Słabe bezpieczeństwo granic również nie wydaje się być czynnikiem, ponieważ Garcia Zarate był łapany przez agentów straży granicznej za każdym razem, gdy wjeżdżał do kraju pod rządami Obamy.
111111113	38	W przeciwieństwie do tego rodzina Steinle'a wyrażała zróżnicowane poglądy na temat polityki imigracyjnej i „sanktuarium”. Obaj potępili Trumpa za „wywoływanie sensacji” w sprawie śmierci Steinle'a w celu promowania polityki antyimigracyjnej i wyrazili frustrację z powodu urzędników San Francisco, którzy ich zdaniem posunęli się za daleko, odmawiając współpracy z federalnymi władzami imigracyjnymi.
111111114	1	Amerykański sędzia uwalnia indonezyjskiego imigranta przetrzymywanego na mocy rozkazu Trumpa
111111114	3	Amerykański sędzia nakazał w środę uwolnienie nielegalnego imigranta, który jest jednym z 47 Indonezyjczyków w New Hampshire, kwestionujących nakaz deportacji wydany przez administrację Trumpa.
111111114	5	SPONSOROWANE
111111114	7	Rombot, członek fali indonezyjskich chrześcijan, którzy uciekli ze swojego kraju po śmiertelnych zamieszkach w 1998 roku, dowiedział się o zmianie polityki, kiedy 1 sierpnia pojawił się na odprawie w ICE i został aresztowany.
111111114	9	„W tej chwili wychodzi z sądu” – powiedziała sędzia okręgowy Patti Saris po stwierdzeniu, że zatrzymanie Rombota naruszyło jego prawa.
111111114	11	Wyszedł z Sądu Okręgowego Stanów Zjednoczonych w Bostonie w swoim niebieskim fartuchu więziennym, bez szansy na przebranie się w zwykłe ubranie. Prawnicy Rombota powiedzieli, że został aresztowany pomimo listu z ICE z 2015 roku, w którym stwierdził, że będzie miał szansę przygotować się do „uporządkowanego” wyjazdu.
111111114	13	Sędzia powołał się na ten list podczas środowej rozprawy, stwierdzając, że zatrzymanie Rombota pomimo wcześniejszych wskazówek ICE naruszyło jego prawa do rzetelnego procesu wynikające z Konstytucji USA.
111111114	15	„Taki był zamiar, aby miał możliwość wyjazdu o własnych siłach, a nie w kajdanach” – powiedziała.
111111114	17	Poza salą sądową Rombot powiedział: „Chcę tylko podziękować mojemu adwokatowi, mojemu pastorowi i wszystkim moim przyjaciołom”.
111111114	19	Biuro prokuratora USA rozważa apelację, powiedziała rzeczniczka.
111111114	21	Urzędnicy ICE powiedzieli, że układ zawsze był tymczasowy i że agencja zawsze miała swobodę deportowania osób objętych układem.
111111114	23	Indonezyjczycy są częścią społeczności etnicznej liczącej około 2000 osób skupionych wokół miasta Dover w nadmorskim regionie New Hampshire.
111111114	25	Członkowie grupy i adwokaci twierdzą, że obawiają się dyskryminacji lub przemocy, jeśli zostaną zmuszeni do powrotu do największego na świecie kraju z większością muzułmańską.
111111114	27	Ich sprawa zyskała poparcie republikańskiego gubernatora Chrisa Sununu i całkowicie demokratycznej delegacji kongresowej New Hampshire, w tym amerykańskiej senator Jeanne Shaheen.
111111114	29	Saris wcześniej zarządziła pobyt na deportacjach. Obecnie zastanawia się, czy może nakazać dłuższe opóźnienie, aby dać poszkodowanym czas na wznowienie starań o uzyskanie statusu prawnego.
111111115	1	Oto wszystkie oskarżenia o nadużycia seksualne przeciwko senatorowi Alowi Frankenowi
111111115	3	Senator Al Franken ogłosił swoją rezygnację w czwartek rano w Senacie, podczas gdy Demokraci domagają się jego rezygnacji w związku z ostatnimi oskarżeniami o nadużycia seksualne przeciwko niemu.
111111115	5	Około 30 Demokratów z Senatu, poczynając od kobiet, wezwało Demokratę z Minnesoty do ustąpienia.
111111115	7	Franken w czwartek zaprzeczył większości zarzutów, które zaczęły pojawiać się w zeszłym miesiącu. Oto osiem zarzutów, jakie mu stawiają:
111111115	9	Leeann Tweeden, prezenterka wiadomości radiowych, mówi, że Franken obmacywał ją i całował na siłę podczas trasy USO w 2006 roku, zanim były komik został senatorem. Mówi, że Franken „agresywnie wepchnął mi język do ust”, kiedy para ćwiczyła skecz z pocałunkiem. Pojawiło się również zdjęcie, na którym Franken patrzy w kamerę, udając, że chwyta piersi Tweeden, gdy spała w ubraniu. Senator przeprosił za zdjęcie, ale powiedział, że inaczej pamięta incydent ze skeczem.
111111115	10	Lindsay Menz mówi, że Franken złapał ją za pośladki, kiedy para pozowała do zdjęcia na targach stanowych w Minnesocie w 2010 roku. Franken powiedział później, że nie pamięta, jak robił to zdjęcie, ale „czuł się źle”, że Menz czuł się lekceważony.
111111115	11	Dwie inne niezidentyfikowane kobiety powiedziały HuffPost, że Franken łapał się ich za pośladki podczas różnych imprez w 2007 i 2008 roku. Jedna z kobiet mówi, że Franken zasugerował, że on i ona powinni pójść razem do łazienki. Franken powiedział, że nie pamięta wydarzeń i zaprzeczył, by ktokolwiek szedł z nim do łazienki.
111111115	12	Stephanie Kemplin, weteran armii, mówi, że Franken położył rękę na jej piersi podczas wizyty w USO w 2003 roku. W oświadczeniu wydanym po tym oskarżeniu biuro Frankena stwierdziło, że nie „celowo angażował się” w opisany „rodzaj postępowania”.
111111115	13	Kobieta opisana jako „była urzędniczka wybrana w Nowej Anglii” powiedziała stronie internetowej Jezebel, że Franken próbował ją „mokrym pocałunkiem z otwartymi ustami” podczas imprezy w 2006 roku. Senator nie wydawał się odpowiadać konkretnie na zarzut.
111111115	14	Anonimowy były doradca Demokratów w Kongresie powiedział Politico, że senator próbował ją siłą pocałować po tym, jak nagrał audycję radiową w 2006 roku. Mówi, że uniknęła pocałunku, a potem usłyszała, jak Franken powiedział: „Mam prawo jako artysta estradowy”. Franken nazwał ten zarzut „kategorycznie nieprawdziwym”.
111111115	15	Tina Dupuy pisze w The Atlantic, że Franken położył rękę na jej talii, podczas gdy para pozowała do zdjęcia i ścisnęła się „co najmniej dwa razy” podczas imprezy w 2009 roku. Senator nie odpowiedział konkretnie na ten zarzut.
111111117	1	Trump formalnie nominuje Ginę Haspel na stanowisko dyrektora CIA
111111117	3	WASHINGTON – Prezydent Donald Trump oficjalnie powiadomił Kongres we wtorek, że zastępca dyrektora CIA Gina Haspel jest jego wyborem na kierownictwo agencji.
111111117	5	Trump napisał na Twitterze w zeszłym miesiącu, że wybrał Haspela na miejsce Mike'a Pompeo, który jest uważany za sekretarza stanu. Ale prezydent nie wysłał formalnych dokumentów na Kapitol.
111111117	7	Zdaniem amerykańskiego urzędnika, który nie był upoważniony do omawiania tej kwestii i przemawiał wyłącznie pod warunkiem zachowania anonimowości, winne były problemy logistyczne, w tym sprawdzenie przeszłości FBI, które trwało dłużej niż oczekiwano.
111111117	9	Mimo to opóźnienie skłoniło krytyków do spekulacji, że opóźnienie oznaczało, że Biały Dom miał wątpliwości co do nominacji. Niektórzy prawodawcy i organizacje broniące praw człowieka sprzeciwiają się nominacji Haspel ze względu na jej rolę w aresztowaniach CIA i surowych przesłuchaniach osób podejrzanych o terroryzm po 11 września.
111111117	11	Oczekuje się, że w nadchodzących tygodniach senacka komisja wywiadu przeprowadzi przesłuchanie potwierdzające kandydaturę Haspela, a następnie głosowanie w pełnym Senacie.
111111121	1	Departament Policji w Dallas zwalnia funkcjonariusza, który zabił Bothama Jeana w jego mieszkaniu
111111121	3	Departament Policji w Dallas zwolnił funkcjonariuszkę Amber Guyger w poniedziałek, dwa tygodnie po tym, jak została oskarżona o śmiertelne postrzelenie swojego sąsiada. Stoi to w sprzeczności z ostatnimi oświadczeniami szefowej policji, że nie była w stanie zdyscyplinować funkcjonariusza w trakcie postępowania karnego.
111111121	5	Guyger rzekomo wszedł do mieszkania sąsiada, Bothama Jeana, i śmiertelnie go zastrzelił 6 września.
111111121	7	Kiedy trzy dni później została aresztowana pod zarzutem nieumyślnego spowodowania śmierci, Guyger powiedział, że pomyliła dom Jeana z własnym, pomyliła Jeana z intruzem i zastrzeliła go, gdy odmówił wykonania jej poleceń, zgodnie z dokumentami sądowymi. Rodzina ofiary zakwestionowała jej relację i powiedziała, że ​​zapukała do drzwi Jeana, zanim go zabiła.
111111121	9	Incydent – ​​jedno z ponad 700 zabójstw policyjnych policzonych przez The Washington Post w tym roku – wywołał krytykę departamentu policji, który czekał kilka dni na aresztowanie Guygera, a potem tygodniami nie ukarał jej, mimo że została umieszczona na urlopie. „Opóźnienie wywołało pytania o to, dlaczego śledczy wstrzymali się z aresztowaniem funkcjonariusza i czy organy ścigania traktują z szacunkiem jednego ze swoich” – napisali Kristine Phillips i Deanna Paul dla The Post.
111111121	11	Po wielokrotnych protestach szefowa policji U. Reneé Hall w zeszłym tygodniu złożyła sprzeczne wyjaśnienia, dlaczego nie mogła zwolnić funkcjonariusza. Powiedziała w ratuszu, że „przepisy lokalne, stanowe i federalne zabraniają mi podejmowania działań”, według WFAA stowarzyszonej z ABC.
111111121	13	Dwa dni później „Dallas Morning News” poinformowało, że policja może zwolnić Guyger, ale nie planuje rewizji jej zatrudnienia, dopóki nie zakończy się śledztwo – prawdopodobnie za kilka miesięcy. W oświadczeniu Hall powiedział, że jakiekolwiek dochodzenie dyscyplinarne groziłoby narażeniem sprawy karnej na szwank. – To nie jest ryzyko, które chcę podjąć – powiedziała.
111111121	15	Policja nie wyjaśniła, co się zmieniło do poniedziałku, kiedy departament ogłosił, że wszczęto dochodzenie w sprawach wewnętrznych i już „wywnioskowano”, że aresztowanie Guygera było przestępstwem, które można było wyrzucić. Oficer, który został zatrudniony pod koniec 2013 roku, został zwolniony podczas przesłuchania w poniedziałek rano „za swoje czyny”.
111111121	17	W oświadczeniu zauważono, że Guyger może odwołać się od jej zwolnienia. Policja nie skomentowała, czy Hall nadal obawia się, że wypowiedzenie może wpłynąć na dochodzenie karne.
111111121	19	Jak napisał Paul dla The Post, ważniejsze kwestie prawne dotyczą tego, czy Guyger jest ścigana jako funkcjonariusz policji czy cywil i czy ława przysięgłych zdecyduje, że postąpiła rozsądnie, używając śmiercionośnej siły.
111111122	1	Nominacja Kavanaugha eksploduje w twarz Trumpa
111111122	3	Prezydent podwaja coraz bardziej ryzykownego kandydata.
111111122	4	Sędzia Anthony Kennedy wręczył prezydentowi Donaldowi Trumpowi największy możliwy polityczny prezent, kiedy wiosną ogłosił swoją rezygnację. Chociaż nie wszystko, co poszło nie tak, jest winą Trumpa, udało mu się całkowicie zmiksować nominację Bretta Kavanaugha, aby wypełnić puste miejsce na korcie. To dobry przykład tego, jak źle Trump wykonuje swoją pracę przez ponad półtora roku swojej administracji.
111111122	6	Na początek Trump zlecił nominacje sędziowskie zewnętrznym grupom partyjnym, Heritage Foundation i Federalist Society. Obejmowało to niezwykle centralną rolę Leonarda Leo z Towarzystwa Federalistycznego.
111111122	8	To nie był całkowicie błąd Trumpa. Jego decyzja podjęta podczas kampanii, by opublikować listę potencjalnych sędziów sporządzoną przez Leo, odzwierciedlała słabość gwiazdy reality TV jako kandydata na prezydenta. Partia obawiała się, że Trump może okazać się niekonserwatystą; aby ich uspokoić, publicznie zobowiązał się do osiągnięcia ich głównego celu. W pewnym sensie jest to udane budowanie koalicji, a to, co zrobił na stanowisku, to po prostu dotrzymywanie obietnic dotyczących sędziów.
111111122	10	Mimo to utworzenie sojuszu z konserwatystami to jedno; co innego powierzyć im cały proces. Nie wiemy, w jakim stopniu Kavanaugh był wyborem Trumpa i w jakim stopniu został zmanipulowany, aby go wybrać. Mamy mnóstwo dowodów na to, że ludzie wokół niego łatwo manipulują Trumpem, a Kavanaugh dobrze pasuje do uprzedzeń Trumpa: sędzia ma referencje Ivy League i zdaje egzamin Trumpa, patrząc na część. 1
111111122	12	Tak czy inaczej, Kavanaugh był kiepskim wyborem z punktu widzenia dobrego prezydenta. Sędzia od początku z pewnością był bardzo kontrowersyjnym wyborem. W końcu był bardzo kontrowersyjnym wyborem na swoje obecne miejsce w sądzie okręgowym, ostatecznie potwierdzonym tylko czterema głosami Demokratów po długim opóźnieniu. Kavanaugh jest długoletnim republikańskim agentem, twardogłowym zarówno podczas dochodzeń w sprawie Vince'a Fostera, jak i Moniki Lewinsky. Nominowanie go, a nie konserwatysty o podobnych poglądach, ale innego pochodzenia, musiało wywołać kłopoty. Prawdą było również, jak podobno ostrzegał przywódca większości w Senacie, Mitch McConnell, że normalne ujawnienie akt Kavanaugha, zwłaszcza jego służby w administracji George'a W. Busha, jeszcze bardziej opóźni potwierdzenie. Republikanie z Senatu poradzili sobie z tym problemem, decydując się nie zawracać sobie głowy żadnymi dokumentami Kavanaugha, których nie można było szybko opracować, co jeszcze bardziej rozzłościło Demokratów i dało tej partii kilka dobrych argumentów. 2
111111122	15	Czasami warto podjąć ryzyko. Prezydenci, którzy unikają wszystkiego, co nie jest pewne, mogą nie wykorzystać okazji. Po prostu bardzo trudno jest dostrzec jakąkolwiek korzyść dla Trumpa w wyborze Kavanaugh zamiast bezpieczniejszej, ale wciąż bardzo konserwatywnej opcji. 3
111111122	17	Kiedy Kavanaughowi postawiono poważne zarzuty o nadużycia seksualne, Trump zdecydował się pozostać przy nim, zamiast przechodzić do innego kandydata. Nadal nie jest jasne, czy nominacja Kavanaugha jest przesądzona, ale z pewnością ma poważne kłopoty. Przegrana w głośnej walce zawsze zaszkodzi prezydentowi, dlatego powinni uważać, aby unikać konfliktów wysokiego ryzyka i niskich nagród. Ale jest sztuka minimalizowania szkód. A Trump jeszcze się tego nie nauczył.
111111122	19	Po pierwsze, prezydent uczynił ten epizod niezwykle głośnym, przedłużając proces, ponieważ oskarżenia przeciwko Kavanaughowi zyskały na wiarygodności, a nawet się pomnożyły. Nie jest jasne, czy ma to znaczenie dla opinii publicznej dla Trumpa, ale z pewnością nie jest to dobre dla republikańskich senatorów uwięzionych w środku, wraz z innymi kandydatami, którzy musieli ważyć się tylko po to, aby znaleźć fakty, jakie znali. ciągle zmieniający się.
111111122	21	Jest również tak, że im więcej pojawia się negatywnych informacji, tym bardziej wydaje się, że Trump i jego personel Białego Domu nie wykonali swojej pracy w zakresie weryfikacji i zarządzania Kavanaugh. Gdyby nominacja została wycofana zaraz po tym, jak Christine Blasey Ford przedstawiła swoje wstępne twierdzenia na temat Kavanaugha, opinia publiczna mogłaby dojść do wniosku, że to nie wina Trumpa, że ​​​​wyszło na jaw niewyemitowane wcześniej oskarżenie.
111111122	23	Tymczasem zachowanie Trumpa było tak nieobliczalne jak zawsze. Najpierw powiedział, że Brasey musi zostać wysłuchany; następnie zaatakował ją słowami, które były obelgą pod adresem wszystkich kobiet, które zostały napadnięte, bez natychmiastowego zgłoszenia tego policji, a także obwinił Senat za to, że nie głosował, zanim się zgłosiła. Czasami chwali Kavanaugha, ale także daje do zrozumienia, że ​​jego zdaniem nominowany źle spisał się w wywiadzie dla Fox News. Biały Dom zażądał ostatecznego głosowania w górę iw dół we wtorek; do środy mówił, że nominacja umrze, jeśli Kavanaugh nie wypadnie dobrze przed Komisją Sądownictwa w czwartek. Suma tego wszystkiego była taka, jak w wielu innych odcinkach, że Trump i jego Biały Dom to gang, który nie może strzelać prosto i że jest chętny do obwiniania swoich sojuszników i atakowania wrogów w brzydki sposób, gdy coś pójdzie nie tak .
