doc_id	paragraph_id	en-ge
111111113	1	Der Tod von Kate Steinle durch einen Mexikaner wurde zu einem Brennpunkt in der Einwanderungsdebatte – hier ist die Geschichte hinter ihrer Ermordung
111111113	3	Der überraschende Freispruch von Jose Ines Garcia Zarate bei der Erschießung der Frau Kate Steinle aus San Francisco löste am Donnerstagabend einen Feuersturm der Empörung aus, als hochrangige Konservative und Kritiker sogenannter „Sanctuary Cities“ die illegale Einwanderung und unzureichend für Steinles Tod verantwortlich machten aggressive Abschiebepolitik.
111111113	5	Garcia Zarate, ein 45-jähriger Mexikaner, der obdachlos war und illegal in den USA lebte, als er den Schuss abgab, der Steinle tötete, wurde von einer Jury wegen Mordes und Totschlags freigesprochen. Die Jury verurteilte ihn wegen der geringeren Anklage, ein Schwerverbrecher im Besitz einer Waffe zu sein, der mit einer Höchststrafe von drei Jahren Staatsgefängnis belegt ist.
111111113	7	Die 32-jährige Steinle wurde im Juli 2015 tödlich erschossen, als sie mit ihrem Vater am Pier 14 der Bucht von San Francisco entlangging Federal Ranger, der vier Tage zuvor gestohlen worden war.
111111113	9	Die Verteidiger von Garcia Zarate argumentierten, dass die Schießerei ein Unfall war – sie sagten, er habe die Waffe in ein T-Shirt oder ein Tuch gewickelt unter einer Pierbank gefunden und sie unabsichtlich abgefeuert.
111111113	10	Der leitende Anwalt Matt Gonzalez hat argumentiert, dass die Waffe eine SIG Sauer mit einem „Haarabzug im Single-Action-Modus“ war – ein Modell, das selbst unter erfahrenen Schützen für versehentliche Entladungen bekannt ist. Gonzalez sagte der Jury laut San Francisco Chronicle, Garcia Zarate habe noch nie zuvor mit einer Schusswaffe gehandhabt, sei erschrocken über das Geräusch des Schusses gewesen und habe die Waffe dann in die Bucht geschleudert, wo sie später von einem Taucher gefunden wurde.
111111113	12	Die Staatsanwälte behaupteten jedoch, Garcia Zarate habe die Waffe absichtlich zum Pier gebracht, um Schaden anzurichten, und absichtlich auf Steinle gezielt und geschossen, nachdem er den Abzug fest gedrückt hatte. Sie sagten, Garcia Zarate habe dann die Waffe in die Bucht geworfen und sei vom Tatort geflohen.
111111113	14	Abgesehen von der Schießerei selbst betrifft der vielleicht umstrittenste Aspekt von Garcia Zarates Fall seine früheren kriminellen Aktivitäten und seine Geschichte von Abschiebungen und wie San Francisco und die Bundesbehörden mit seinem Gewahrsam umgegangen sind, bevor er jemals zur Waffe gegriffen und auf Steinle geschossen hat.
111111113	15	Zum Zeitpunkt von Steinles Tod war Garcia Zarate wegen gewaltfreier Drogendelikte verurteilt und seit Anfang der 1990er Jahre fünfmal abgeschoben worden.
111111113	17	Im Jahr 2015 sah er sich einer sechsten Abschiebung gegenüber und befand sich im März in Haft des Justizministeriums (DOJ), nachdem er 46 Monate wegen einer Wiedereinreise in die USA im Gefängnis verbracht hatte, aber anstatt ihn in die Obhut der Einwanderungs- und Zollbehörde (ICE) zu überstellen ) zur Abschiebung überführte ihn die Abteilung zur Verfolgung einer Marihuana-Anklage von 1995 in das San Francisco County Jail.
111111113	19	Die Staatsanwälte von San Francisco, die Marihuana-Anklagen schon vor langer Zeit depriorisiert hatten, wiesen die jahrzehntealte Anklage zurück und ließen Garcia Zarate am 15. April 2015 frei. Politik – die Stadt hat ICE nicht informiert, als sie Garcia Zarate freigelassen haben.
111111113	21	Infolge des Falls haben sowohl das DOJ als auch die Stadt San Francisco mehrere Richtlinien geändert. Das DOJ kündigte 2016 an, dass es potenziell abschiebbare Häftlinge nicht mehr in örtliche Gefängnisse entlassen werde, ohne zuvor dem ICE die Verwahrung zu gestatten. San Francisco hat unterdessen seine Politik angepasst, um ICE zu benachrichtigen, wenn sie mutmaßliche Einwanderer ohne Papiere freilassen, die wegen schwerer oder gewalttätiger Verbrechen angeklagt werden.
111111113	23	Diese Tragödie hätte verhindert werden können, wenn San Francisco den Außerirdischen einfach wie von uns gefordert an ICE übergeben hätte, anstatt ihn wieder auf die Straße zu entlassen, sagte ICE-Direktor Thomas Homan in einer Erklärung am Donnerstag. „Es ist skrupellos, dass Politiker in diesem Land weiterhin das Leben von Amerikanern mit Schutzmaßnahmen gefährden, während sie den Schaden ignorieren, der ihren Wählern zugefügt wird.“
111111113	25	Aber ICE wurde selbst kritisiert, weil es keinen gerichtlichen Haftbefehl beantragt hatte, um das Sorgerecht für Garcia Zarate legal zu erlangen, als es herausfand, dass er in die Obhut von San Francisco überführt worden war. Die Agentur hat argumentiert, dass die Erlangung richterlicher Anordnungen unnötig sei und eine zu große Belastung für ICE-Beamte und Bundesgerichte darstellen würde.
111111113	27	Obwohl die Behörde einen Antrag an die Stadt gestellt hat, Garcia Zarate festzuhalten, bis ICE-Beamte ihn abholen konnten, werden ihre Festnahmeanträge nicht von einem Richter unterzeichnet und sind daher nicht rechtlich bindend. Die Politik von San Francisco besteht darin, solche Anträge zu ignorieren, wenn sie nicht von richterlich unterzeichneten Haftbefehlen begleitet sind, und die Stadt hat Bundesgerichtsverfahren zitiert, die zu dem Schluss kommen, dass solche Inhaftierungen die Rechte der Vierten Änderung der Insassen verletzen.
111111113	29	Garcia Zarates Abschiebung und kriminelle Vorgeschichte machten ihn zu einem effektiven Ziel für Einwanderungs-Hardliner, die argumentierten, dass Steinle noch am Leben wäre, wenn es nicht eine unsichere Grenze und eine milde Behandlung mutmaßlicher Einwanderer ohne Papiere in örtlichen Gefängnissen gäbe.
111111113	30	"Präsident Donald Trump hat das Urteil vom Donnerstag sofort als Beweis für die Gefahren der ""illegalen Einwanderung"" aufgegriffen. Trump beschimpfte Garcia Zarate häufig und zitierte Steinles Tod während seiner Präsidentschaftskampagne, wobei er den Fall nutzte, um seine Argumente für eine Grenzmauer zu untermauern und seinen Kreuzzug gegen „Heiligtümer“ zu unterstützen."
111111113	32	Trump hatte am frühen Freitag auf Twitter zudem fälschlicherweise behauptet, Garcia Zarate habe zuvor Gewaltverbrechen begangen und sei wegen laxer Grenzsicherung unter der Obama-Regierung sechsmal illegal in die USA eingereist.
111111113	34	Der Mörder von Kate Steinle kam immer wieder über die schwach geschützte Obama-Grenze, beging immer Verbrechen und war gewalttätig, und doch wurden diese Informationen nicht vor Gericht verwendet. Seine Entlastung ist eine völlige Farce der Gerechtigkeit. BAUE DIE MAUER! Trump twitterte.
111111113	36	Tatsächlich war Garcia Zarate vor Steinles Erschießung noch nie wegen eines Gewaltverbrechens verurteilt worden – seine früheren Verurteilungen betrafen gewaltfreie Drogendelikte und illegale Einreise. Auch laxe Grenzsicherheit scheint kein Faktor zu sein, da Garcia Zarate jedes Mal, wenn er unter der Obama-Regierung in das Land einreiste, von Grenzschutzbeamten erwischt wurde.
111111113	38	Im Gegensatz dazu hat Steinles Familie nuancierte Ansichten zur Einwanderungs- und „Zufluchts“-Politik geäußert. Beide haben Trump dafür verurteilt, dass er Steinles Tod „sensationell gemacht“ habe, um die Anti-Einwanderungspolitik voranzutreiben, und ihre Frustration über die Beamten von San Francisco zum Ausdruck gebracht, die ihrer Meinung nach zu weit gegangen seien, als sie sich weigerten, mit den Einwanderungsbehörden des Bundes zusammenzuarbeiten.
111111114	1	US-Richter befreit auf Anordnung von Trump festgehaltenen indonesischen Einwanderer
111111114	3	Ein US-Richter ordnete am Mittwoch die Freilassung eines illegalen Einwanderers an, der sich unter 47 Indonesiern in New Hampshire befindet und die Anordnung der Trump-Regierung anfocht, sie abzuschieben.
111111114	5	GESPONSERT
111111114	7	Rombot, Teil einer Welle indonesischer Christen, die nach tödlichen Unruhen im Jahr 1998 aus ihrem Land flohen, erfuhr von der Änderung der Politik, als er am 1. August zu einem Check-in bei ICE erschien und festgenommen wurde.
111111114	9	„Er verlässt gerade das Gerichtsgebäude“, sagte die oberste US-Bezirksrichterin Patti Saris, nachdem sie zu dem Schluss gekommen war, dass Rombots Inhaftierung seine Rechte verletzt habe.
111111114	11	Er verließ das US-Bezirksgericht in Boston in seinem blauen Gefängniskittel, ohne die Möglichkeit, Straßenkleidung anzuziehen. Rombots Anwälte sagten, er sei trotz eines Schreibens von ICE aus dem Jahr 2015 festgenommen worden, in dem es hieß, er hätte die Möglichkeit, sich auf eine „geordnete“ Abreise vorzubereiten.
111111114	13	Der Richter zitierte diesen Brief während der Anhörung am Mittwoch, als er feststellte, dass die Inhaftierung von Rombot trotz der vorherigen Anleitung von ICE seine Rechte auf ein ordnungsgemäßes Verfahren gemäß der US-Verfassung verletzt habe.
111111114	15	„Dies war die Absicht, dass er die Möglichkeit erhält, aus eigener Kraft und nicht unter Fesseln zu gehen“, sagte sie.
111111114	17	Außerhalb des Gerichtssaals sagte Rombot: „Ich möchte mich nur bei meinem Anwalt, meinem Pastor und all meinen Freunden bedanken.“
111111114	19	Die US-Staatsanwaltschaft prüft eine Berufung, sagte eine Sprecherin.
111111114	21	ICE-Beamte sagten, die Vereinbarung sei immer nur vorübergehend gewesen und die Agentur habe immer das Ermessen, die von der Vereinbarung betroffenen Personen abzuschieben.
111111114	23	Die Indonesier sind Teil einer ethnischen Gemeinschaft von etwa 2.000 Menschen, die sich rund um die Stadt Dover in der Küstenregion von New Hampshire angesiedelt haben.
111111114	25	Mitglieder der Gruppe und Befürworter sagen, sie befürchten, dass sie Diskriminierung oder Gewalt ausgesetzt sein könnten, wenn sie gezwungen würden, in das größte Land der Welt mit muslimischer Mehrheit zurückzukehren.
111111114	27	Ihre Sache hat die Unterstützung des republikanischen Gouverneurs Chris Sununu und der rein demokratischen Kongressdelegation von New Hampshire, einschließlich der US-Senatorin Jeanne Shaheen, auf sich gezogen.
111111114	29	Saris ordnete zuvor einen Aufschub der Abschiebungen an. Sie überlegt derzeit, ob sie einen längeren Aufschub anordnen kann, um den Betroffenen Zeit zu geben, sich erneut um einen Rechtsstatus zu bemühen.
111111115	1	Hier sind alle Anschuldigungen wegen sexuellen Fehlverhaltens gegen Sen. Al Franken
111111115	3	Sen. Al Franken kündigte seinen Rücktritt am Donnerstagmorgen im Senat an, als die Demokraten nach den jüngsten Anschuldigungen wegen sexuellen Fehlverhaltens seinen Rücktritt forderten.
111111115	5	Ungefähr 30 Demokraten im Senat, beginnend mit Frauen, haben den Demokraten aus Minnesota aufgefordert, zurückzutreten.
111111115	7	Franken bestritt am Donnerstag die meisten Vorwürfe, die im vergangenen Monat auftauchten. Hier sind die acht Anschuldigungen, denen er gegenübersteht:
111111115	9	Leeann Tweeden, eine Radionachrichtensprecherin, sagt, Franken habe sie 2006 während einer USO-Tour begrapscht und gewaltsam geküsst, bevor der ehemalige Komiker Senatorin war. Sie sagt, Franken habe „seine Zunge aggressiv in meinen Mund gesteckt“, als das Paar einen Sketch einstudierte, in dem es um einen Kuss ging. Es tauchte auch ein Foto auf, auf dem Franken in eine Kamera blickte, während sie vorgab, Tweedens Brüste zu greifen, während sie bekleidet schlief. Der Senator entschuldigte sich für das Foto, sagte aber, er habe den Sketch-Vorfall anders in Erinnerung.
111111115	10	Lindsay Menz sagt, Franken habe ihr Gesäß gepackt, als das Paar 2010 auf der Minnesota State Fair für ein Foto posierte. Franken sagte später, er erinnere sich nicht daran, das Foto gemacht zu haben, habe sich aber „schlecht gefühlt“, weil Menz sich nicht respektiert fühlte.
111111115	11	Zwei weitere nicht identifizierte Frauen erzählten der HuffPost, dass Franken 2007 und 2008 bei verschiedenen Veranstaltungen an ihren Hintern gegriffen habe. Eine der Frauen sagt, Franken habe vorgeschlagen, dass er und sie zusammen auf die Toilette gehen sollten. Franken sagte, er erinnere sich nicht an die Ereignisse und bestritt, jemanden gebeten zu haben, mit ihm das Badezimmer zu besuchen.
111111115	12	Stephanie Kemplin, eine Armeeveteranin, sagt, Franken habe während einer USO-Tour im Jahr 2003 seine Hand auf ihre Brust gelegt. In einer Erklärung nach dieser Anschuldigung sagte Frankens Büro, dass er sich nicht „absichtlich auf die beschriebene Art von Verhalten eingelassen“ habe.
111111115	13	Eine Frau, die als „ehemalige gewählte Beamtin in Neuengland“ beschrieben wird, sagte der Isebel-Website, dass Franken versucht habe, ihr während einer Veranstaltung im Jahr 2006 einen „feuchten Kuss mit offenem Mund“ zu geben. Der Senator hat anscheinend nicht speziell auf die Anschuldigung reagiert.
111111115	14	Eine namentlich nicht genannte ehemalige demokratische Kongressassistentin erzählte Politico, dass der Senator versucht habe, sie gewaltsam zu küssen, nachdem er 2006 eine Radiosendung aufgezeichnet hatte. Sie sagt, sie habe den Kuss vermieden und dann Franken sagen hören: „Es ist mein Recht als Entertainer.“ Franken nannte den Vorwurf „kategorisch nicht wahr“.
111111115	15	Tina Dupuy schreibt in The Atlantic, dass Franken seine Hand um ihre Taille legte, während das Paar während einer Veranstaltung im Jahr 2009 für ein Foto posierte und „mindestens zweimal“ drückte. Der Senator hat auf diese Anschuldigung nicht ausdrücklich reagiert.
111111117	1	Trump nominiert Gina Haspel formell zur nächsten CIA-Direktorin
111111117	3	WASHINGTON – Präsident Donald Trump teilte dem Kongress am Dienstag offiziell mit, dass die stellvertretende CIA-Direktorin Gina Haspel seine Wahl für die Leitung der Agentur ist.
111111117	5	Trump twitterte letzten Monat, er habe Haspel ausgewählt, um Mike Pompeo zu ersetzen, der als Außenminister gilt. Aber der Präsident hatte die formellen Unterlagen nicht nach Capitol Hill geschickt.
111111117	7	Logistische Probleme, einschließlich einer Hintergrundüberprüfung durch das FBI, die länger als erwartet dauerte, waren laut einem US-Beamten schuld, der nicht befugt war, das Problem zu diskutieren, und nur unter der Bedingung der Anonymität sprach.
111111117	9	Dennoch veranlasste die Verzögerung Kritiker zu Spekulationen, dass die Verzögerung signalisierte, dass das Weiße Haus Bedenken hinsichtlich der Nominierung hatte. Einige Gesetzgeber und Menschenrechtsgruppen lehnen Haspels Nominierung wegen ihrer Rolle bei der Inhaftierung und harten Vernehmung von Terrorverdächtigen durch die CIA nach dem 11. September ab.
111111117	11	Es wird erwartet, dass der Geheimdienstausschuss des Senats in den kommenden Wochen eine Anhörung zur Bestätigung von Haspel abhalten wird, gefolgt von einer Abstimmung im gesamten Senat.
111111121	1	Die Dallas Police Dept. feuert einen Beamten, der Botham Jean in seiner Wohnung getötet hat
111111121	3	Die Polizeibehörde von Dallas hat am Montag die Beamtin Amber Guyger entlassen, zwei Wochen nachdem sie wegen der tödlichen Erschießung ihrer Nachbarin angeklagt worden war. Dies widersprach den jüngsten Aussagen der Polizeichefin, dass sie den Beamten nicht disziplinieren konnte, während eine strafrechtliche Untersuchung fortgesetzt wurde.
111111121	5	Guyger ging angeblich in die Wohnung des Nachbarn Botham Jean und erschoss ihn am 6. September tödlich.
111111121	7	Als sie drei Tage später wegen Totschlags festgenommen wurde, sagte Guyger, sie habe Jeans Haus mit ihrem eigenen verwechselt, Jean mit einem Eindringling verwechselt und ihn erschossen, als er ihre Befehle verweigerte, so die Gerichtsdokumente. Die Familie des Opfers hat ihren Bericht bestritten und gesagt, sie habe an Jeans Tür geklopft, bevor sie ihn getötet habe.
111111121	9	Der Vorfall – einer von mehr als 700 von der Washington Post in diesem Jahr gezählten Tötungen durch die Polizei – löste Kritik an der Polizeibehörde aus, die tagelang mit der Festnahme von Guyger wartete und dann wochenlang ohne Disziplinarmaßnahmen gegen sie vorging, obwohl sie beurlaubt war. „Die Verzögerung warf Fragen auf, warum die Ermittler mit der Verhaftung des Beamten zurückhielten und ob die Strafverfolgungsbehörden einen der ihren respektvoll behandelten“, schrieben Kristine Phillips und Deanna Paul für The Post.
111111121	11	Nach wiederholten Protesten gab Polizeichefin U. Reneé Hall letzte Woche widersprüchliche Erklärungen ab, warum sie den Beamten nicht entlassen konnte. Sie sagte einem Rathaus, dass „lokale, staatliche und bundesstaatliche Gesetze es mir verbieten, Maßnahmen zu ergreifen“, so die ABC-Tochter WFAA.
111111121	13	Zwei Tage später berichteten die Dallas Morning News, dass die Polizei Guyger entlassen könne, aber nicht vorhabe, ihre Anstellung zu überprüfen, bis eine strafrechtliche Untersuchung abgeschlossen sei – wahrscheinlich Monate später. In einer Erklärung sagte Hall, dass jede disziplinarische Untersuchung riskieren würde, den Strafprozess zu gefährden. „Das ist kein Risiko, das ich eingehen möchte“, sagte sie.
111111121	15	Die Polizei erklärte nicht, was sich bis Montag geändert hatte, als die Abteilung bekannt gab, dass eine interne Untersuchung eingeleitet worden war, und bereits „zu dem Schluss kam“, dass Guygers Verhaftung eine feuergefährliche Straftat war. Der Ende 2013 eingestellten Beamtin wurde während einer Anhörung am Montagmorgen „wegen ihrer Taten“ gekündigt.
111111121	17	In der Erklärung heißt es, dass Guyger gegen ihre Entlassung Berufung einlegen kann. Die Polizei äußerte sich nicht dazu, ob Hall immer noch besorgt ist, dass die Kündigung die strafrechtlichen Ermittlungen beeinträchtigen könnte.
111111121	19	Wie Paul für The Post schrieb, sind die wichtigeren rechtlichen Fragen, ob Guyger als Polizist oder Zivilist strafrechtlich verfolgt wird und ob eine Jury entscheidet, dass sie vernünftig gehandelt hat, indem sie tödliche Gewalt angewendet hat.
111111122	1	Die Kavanaugh-Nominierung explodiert in Trumps Gesicht
111111122	3	Der Präsident verdoppelt sich auf einen zunehmend riskanten Kandidaten.
111111122	4	Richter Anthony Kennedy machte Präsident Donald Trump das größtmögliche politische Geschenk, als er im Frühjahr seinen Rücktritt ankündigte. Auch wenn nicht alles, was schief gelaufen ist, Trumps Schuld ist, hat er es geschafft, Brett Kavanaughs Nominierung, den leeren Platz auf dem Platz zu besetzen, komplett durcheinander zu bringen. Es ist ein gutes Beispiel dafür, wie schlecht Trump seinen Job nach mehr als anderthalb Jahren seiner Amtszeit macht.
111111122	6	Zunächst einmal hat Trump seine juristischen Nominierungen an externe, parteinahe Gruppen, die Heritage Foundation und die Federalist Society, ausgelagert. Dazu gehörte eine ungewöhnlich zentrale Rolle für Leonard Leo von der Federalist Society.
111111122	8	Das war nicht ganz ein Trump-Fehler. Seine Entscheidung während der Kampagne, eine von Leo entworfene Liste potenzieller Richter zu veröffentlichen, spiegelte die Schwäche des Reality-TV-Stars als Präsidentschaftskandidat wider. Die Partei war besorgt, dass sich Trump als kein Konservativer erweisen könnte; Um sie zu beruhigen, bekennt er sich öffentlich zu ihrem obersten Ziel. In gewisser Weise ist das eine erfolgreiche Koalitionsbildung, und was er im Amt getan hat, ist nur, seine Versprechen gegenüber den Richtern zu halten.
111111122	10	Dennoch ist es eine Sache, ein Bündnis mit Konservativen zu schließen; es ist eine andere, den gesamten Prozess an sie zu übergeben. Wir wissen nicht, inwieweit Kavanaugh Trumps Wahl war und inwieweit er dazu manipuliert wurde, ihn zu wählen. Wir haben viele Beweise dafür, dass Trump von seinen Mitmenschen leicht manipuliert werden kann und dass Kavanaugh gut zu Trumps Vorurteilen passt: Der Richter verfügt über Referenzen der Ivy League und besteht Trumps Cut-of-hib-Jib-Test, indem er die Rolle sieht. 1
111111122	12	So oder so war Kavanaugh unter dem Gesichtspunkt guter Präsidentschaft eine schlechte Wahl. Der Richter war sicher, dass es von Anfang an eine höchst umstrittene Auswahl sein würde. Schließlich war er eine höchst umstrittene Wahl für seinen derzeitigen Amtsgerichtssitz gewesen, der schließlich nach langer Verzögerung mit nur vier demokratischen Stimmen bestätigt wurde. Kavanaugh ist ein langjähriger republikanischer Agent, ein Hardliner bei den Ermittlungen gegen Vince Foster und Monica Lewinsky. Ihn anstelle eines Konservativen mit ähnlichen Ansichten, aber einem anderen Hintergrund zu nominieren, würde zwangsläufig Ärger hervorrufen. Es stimmte auch, wie Berichten zufolge der Mehrheitsführer des Senats, Mitch McConnell, warnte, dass die normale Offenlegung von Kavanaughs Aufzeichnungen, insbesondere seiner Dienste während der Regierung von George W. Bush, die Bestätigung noch weiter verzögern würde. Die Republikaner des Senats gingen mit diesem Problem um, indem sie beschlossen, sich nicht um Kavanaugh-Dokumente zu kümmern, die nicht schnell erstellt werden konnten, was die Demokraten weiter verärgerte und dieser Partei einige gute Gesprächsthemen bescherte. 2
111111122	15	Manchmal lohnt es sich, Risiken einzugehen. Präsidenten, die vor allem Unsicheren zurückschrecken, können Chancen nicht nutzen. Es ist nur sehr schwer, einen Vorteil für Trump darin zu sehen, Kavanaugh anstelle einer sichereren, aber immer noch sehr konservativen anderen Option zu wählen. 3
111111122	17	Als gegen Kavanaugh schwere Vorwürfe wegen sexuellen Fehlverhaltens erhoben wurden, beschloss Trump, bei ihm zu bleiben, anstatt zu einem anderen Kandidaten überzugehen. Es ist immer noch nicht klar, dass Kavanaughs Nominierung zum Scheitern verurteilt ist, aber es ist sicherlich in ernsthaften Schwierigkeiten. Die Niederlage eines hochkarätigen Kampfes wird einem Präsidenten immer schaden, weshalb er darauf achten sollte, Konflikte mit hohem Risiko und geringem Gewinn zu vermeiden. Aber es ist eine Kunst, Schaden zu minimieren. Und Trump hat es noch nicht gelernt.
111111122	19	Zum einen hat der Präsident dies zu einer äußerst hochkarätigen Episode gemacht, indem er den Prozess verlängert hat, als die Anschuldigungen gegen Kavanaugh an Glaubwürdigkeit gewannen und sich sogar vervielfachten. Ob das in Bezug auf die öffentliche Meinung für Trump von Bedeutung ist, ist unklar, aber es ist sicherlich nicht gut für republikanische Senatoren, die in der Mitte gefangen sind, zusammen mit allen anderen Kandidaten, die nur abwägen mussten, um die Fakten so zu finden, wie sie sie kannten ständig ändernd.
