doc_id	paragraph_id	ge-fr
22100	3	La représentation est terminée, le clown quitte la scène. Boris Johnson a annoncé jeudi matin son intention de quitter ses fonctions de chef du Parti conservateur avec effet immédiat. En tant que Premier ministre de Grande-Bretagne, il souhaite rester en fonction jusqu'au début du mois d'octobre afin de s'assurer que son successeur est bien installé. Le premier a été bien accueilli au-delà des lignes de parti, le second a causé de l'irritation. De nombreuses voix du propre parti de Johnson appellent également à la démission immédiate du Premier ministre. Entre autres, diverses grèves ont été annoncées pour l'île jusqu'à l'automne, tant de politiciens ne pensent pas qu'un gouvernement incapable serait un avantage.
22100	5	Avec la démission du ministre des Finances Rishi Sunak et du ministre de la Santé Sajid Javid mardi soir, l'air autour de Johnson s'est raréfié presque à chaque minute. Jeudi matin, 50 membres du gouvernement, dont de nombreux ministres et secrétaires de cabinet parlementaires, avaient démissionné. Il n'y avait presque plus de gouvernement. Au final, le ministre des Finances Nadhim Zahawi, qui venait d'être installé, semble avoir été l'élément décisif. Cela a été rapporté jeudi par de nombreux médias, dont le Financial Times et le Guardian.
22100	7	"Dans un bref discours devant le 10 Downing Street à l'heure du déjeuner, Johnson a déclaré que le Comité 1922, qui représente les intérêts de la Chambre des communes conservatrice, annoncerait le calendrier de l'élection du nouveau chef du parti lundi soir prochain. Dans son discours, Johnson a qualifié d'""excentriques"" les appels à la démission de ses amis du parti ces derniers jours. Jusqu'au bout, le Premier ministre a insisté sur le fait que les démissions massives de son gouvernement n'étaient pas une raison pour sa propre démission, après que tous les conservateurs avaient une majorité de plus de 80 sièges au parlement."
22100	9	"C'est précisément cette majorité que les conservateurs veulent défendre. Au final, cependant, la plupart d'entre eux ne croyaient plus pouvoir le faire avec un Premier ministre Johnson. La secrétaire d'État Elizabeth Truss, considérée comme loyale au Premier ministre, a écrit sur Twitter en réponse au discours de démission de Johnson : ""Le Premier ministre a pris la bonne décision, maintenant nous avons besoin de calme et d'unité""."
22100	11	Avec une inflation à plus de 11%, le rédacteur en chef du Financial Times s'est fait l'écho du sentiment dominant dans le camp britannique de la classe moyenne dans un éditorial publié jeudi : la démission de Johnson était attendue depuis longtemps. Trop souvent et trop évidemment, il a menti au pays et laissé d'autres politiciens mentir pour lui. Maintenant, il lui faut un successeur « intègre et respectueux des règles ». Malheureusement, de nombreux successeurs possibles ne répondraient qu'insuffisamment à ces critères.
22100	13	Selon une brève analyse du groupe de réflexion antimilitariste Forces Watch le 7 juillet, un nombre remarquable de successeurs possibles ont une formation militaire. Les agitateurs de la politique d'armement et l'actuel secrétaire à la Défense Ben Wallace sont parmi les favoris pour succéder à Johnson.
22100	15	Lire gratuitement pendant trois semaines
22100	17	Le quotidien Junge Welt dérange les dirigeants en diffusant leur propagande. Il adopte une position éclairante sans savoir-tout et travaille à travers les arguments, la qualité, le divertissement et le mordant.
22100	19	Découvrez-le maintenant et testez le jeune monde pendant trois semaines (deux semaines dans d'autres pays européens) gratuitement. Une fois que c'est terminé, l'abonnement d'essai se termine automatiquement.
22101	1	Sanctions : la Russie gagne la guerre économique
22101	3	Cela fait maintenant trois mois que l'Occident a lancé sa guerre économique contre la Russie. Mais les choses ne se passent pas comme prévu - en fait assez mal.
22101	5	Les sanctions contre le président russe Vladimir Poutine n'ont pas été imposées parce qu'elles étaient considérées comme les meilleures, mais parce qu'elles étaient meilleures que les deux autres options disponibles : ne rien faire ou intervenir militairement.
22101	7	Le premier paquet de mesures économiques a été adopté juste après l'invasion russe, alors qu'on s'attendait à ce que l'Ukraine capitule en quelques jours. Cela ne s'est pas produit et a eu pour effet de durcir de plus en plus les sanctions – qui ne sont pas encore complètes.
22101	9	Cependant, rien n'indique actuellement que la Russie se retire de l'Ukraine. Ce n'est guère surprenant étant donné que les sanctions ont pour effet pervers de faire grimper le coût des exportations russes de pétrole et de gaz, de renforcer massivement sa balance commerciale et de financer son effort de guerre. Au cours des quatre premiers mois de cette année, Poutine a pu afficher un excédent du compte courant de 96 milliards de dollars (90,7 milliards d'euros), soit plus du triple de la même période en 2021.
22101	11	Les prix du pétrole augmentent – ​​le Kremlin en profite
22101	13	Lorsque l'UE a annoncé son embargo sur une partie des exportations de pétrole russe fin mai, le prix du pétrole brut a augmenté sur les marchés mondiaux, donnant au Kremlin un autre avantage financier. Pendant ce temps, la Russie n'a aucun mal à trouver des marchés alternatifs pour son énergie. Les exportations de pétrole et de gaz vers la Chine en avril, par exemple, augmentent de plus de 50 % par an.
22101	15	Mais cela ne signifie pas que les sanctions passeront la Russie sans douleur. Selon le Fonds monétaire international, l'économie du pays se contractera de 8,5 % cette année, les importations en provenance de l'Occident se sont effondrées. La Russie dispose d'un stock de biens essentiels pour faire fonctionner l'économie, mais ils finiront par s'épuiser.
22101	17	Alors que l'Europe se libère progressivement de sa dépendance énergétique russe, Poutine est épargné d'une crise financière immédiate. En effet, grâce au contrôle des capitaux et à un solide excédent commercial, le rouble est fort. Moscou a donc le temps de trouver des sources alternatives d'approvisionnement en pièces et composants de rechange auprès des pays désireux de contourner les sanctions occidentales.
22101	19	Lorsque les dirigeants mondiaux se sont réunis à Davos récemment, le message public était celui de la condamnation de l'agression russe et de la réaffirmation de la position ferme derrière l'Ukraine. D'un autre côté, le public ne s'inquiétait pas des coûts économiques d'une guerre prolongée.
22101	21	Cette inquiétude est pleinement justifiée. L'invasion de l'Ukraine par la Russie a ajouté à la pression déjà forte sur les prix. L'inflation annuelle au Royaume-Uni est de 9 %, la plus élevée en 40 ans. En Allemagne, la Bundesbank s'attend à un taux d'inflation de 7,1% pour 2022. Les prix du carburant ont atteint un niveau record.
22101	23	Les conséquences sont la stagflation et la famine
22101	25	À la suite de la guerre, les économies occidentales sont confrontées à une croissance faible ou négative et à une inflation croissante - un retour à la stagflation des années 1970. Pendant ce temps, les banques centrales - y compris la Banque d'Angleterre - se sentent obligées de réagir à une inflation proche des taux à deux chiffres en augmentant les taux d'intérêt. Cela menace d'augmenter le chômage. D'autres pays européens sont confrontés aux mêmes problèmes, peut-être même plus que la Grande-Bretagne, car la plupart sont comparativement plus dépendants du gaz russe.
22101	27	Pendant ce temps, les pays les plus pauvres du monde sont confrontés à des problèmes à une échelle beaucoup plus grande. Pour certains d'entre eux, le problème n'est pas la stagflation, mais la famine – une conséquence du blocus russe des expéditions de blé depuis les ports ukrainiens de la mer Noire.
22101	29	Comme l'a dit David Beasley, directeur du Programme alimentaire mondial : « Les élévateurs à grains de l'Ukraine sont pleins. Dans le même temps, 44 millions de personnes dans le monde sont au bord de la famine.
22101	31	Dans toutes les organisations multilatérales - que ce soit le Fonds monétaire international, la Banque mondiale, l'Organisation mondiale du commerce ou les Nations unies - on craint de plus en plus qu'une catastrophe humanitaire ne soit imminente. Le calcul est simple : à moins que les pays en développement ne soient eux-mêmes exportateurs d'énergie, ils sont confrontés à un triple problème, les crises énergétique et alimentaire déclenchant des crises financières. Lorsque les gouvernements doivent choisir entre nourrir leur population ou assurer le service de leurs dettes envers les créanciers internationaux, ils feront le premier choix. Le Sri Lanka a été le premier pays à faire défaut sur ses dettes depuis l'invasion russe, mais ce ne sera probablement pas le dernier. Le monde n'a pas été aussi proche d'une crise de la dette à part entière depuis les années 1990.
22101	33	Vladimir Poutine a joué la main longue depuis le début
22101	35	"Poutine a été critiqué à juste titre pour avoir ""militarisé"" la nourriture. Cependant, sa volonté de le faire ne devrait pas surprendre. D'emblée, le président russe a joué la carte de la sécurité, attendant que la coalition internationale se déchire contre lui. Le Kremlin est convaincu que le seuil de souffrance économique de la Russie est plus élevé que celui de l'Occident. Et c'est probablement vrai."
22101	37	Si vous avez besoin d'une preuve que les sanctions ne fonctionnent pas, alors la décision du président américain Joe Biden d'équiper l'Ukraine de systèmes de missiles modernes vous la fournira. L'espoir est que la technologie militaire américaine moderne puisse faire ce que les embargos sur l'énergie et le gel des avoirs russes n'ont pas réussi à faire : forcer Poutine à retirer ses troupes.
22101	39	Une façon dont la guerre pourrait se terminer est avec la victoire militaire totale de l'Ukraine sur la Russie. Cependant, compte tenu de l'état actuel des choses, ce n'est pas très probable. Il est également concevable que le blocus économique finisse par fonctionner, avec des sanctions toujours plus strictes obligeant la Russie à céder. Une autre solution est un règlement négocié.
22101	41	Poutine n'abandonnera pas inconditionnellement, et le potentiel de dommages collatéraux graves de la guerre économique est évident : baisse du niveau de vie dans les pays développés ; La faim, les émeutes de la faim et une crise de la dette dans le monde en développement.
22101	43	Les atrocités perpétrées par les troupes russes font actuellement des compromis avec le Kremlin une pilule difficile à avaler, mais la réalité économique ne suggère qu'une chose : tôt ou tard, il y aura une solution négociée.
22102	1	Si nous tombons, c'est ton tour
22102	3	Plusieurs intellectuels allemands ont récemment appelé à l'arrêt des livraisons d'armes occidentales à l'Ukraine. Ce n'est pas seulement cynique, mais correspond également aux calculs de Poutine.
22102	5	La semaine dernière, un certain nombre d'intellectuels allemands du ZEIT et de ZEIT ONLINE ont appelé à l'arrêt des livraisons d'armes occidentales à l'Ukraine et à la fin immédiate de la guerre par des négociations. Dans sa réponse à cet appel, le publiciste et psychanalyste ukrainien Jurko Prochasko considère ces demandes comme cyniques. Cela signifierait finalement la disparition de l'Ukraine.
22102	7	C'est incroyable le nombre de formulations pour quelques pensées simples - et tout simplement fausses - dans le contexte de la guerre en Ukraine. Et combien de fois ceux-ci sont mis en avant encore et encore par différentes parties. Ils lisent quelque chose comme : La guerre en Ukraine nécessite maintenant des négociations, pas des opérations de combat. Ou : Les livraisons d'armes ne font que contribuer à la poursuite, voire à l'escalade, de cette guerre et exigent donc des victimes inutiles. Ainsi, ils augmentent la souffrance au lieu de la soulager.
22102	9	Ces appels souffrent de deux faiblesses fondamentales. Premièrement, l'incapacité de réfléchir jusqu'au bout, et deuxièmement, la tendance à ajouter des choses qui n'existent pas. La première est appelée myopie intellectuelle, la seconde un vœu pieux. Ensemble, ils ont un effet journalistique, mais pas l'effet escompté. Enfin, il y a aussi une troisième caractéristique de tels appels : précisément là où le contenu serait décisif, c'est-à-dire aux points qui justifieraient l'écriture de telles lettres ouvertes, là surtout il y a un glissement vers l'approximatif.
22102	11	Cela découle de l'incapacité susmentionnée à réfléchir jusqu'au bout. On ne peut pas ou on ne veut pas voir ce que les propositions formulées signifiaient pour l'Ukraine. Ce serait non seulement leur échec, mais aussi leur disparition. Et pour les démocraties occidentales, cela équivaudrait non seulement à un échec, ce serait en fait une garantie pour plus de guerres de la part de la Russie.
22102	13	Le vœu pieux consiste en la notion ridicule qu'il existe actuellement une force politique ou des arguments de fond dans ce monde qui convaincraient le régime russe d'appeler à un cessez-le-feu ou même d'amener des négociations de paix sur la table. Croire que l'Occident éviterait une nouvelle escalade en arrêtant les ventes d'armes à l'Ukraine ne signifiait qu'une chose pour les dirigeants russes : ils obtiendraient ce qu'ils espéraient obtenir par les moyens les plus coûteux - intimidation, chantage, division - simple donnée.
22102	15	"D'un point de vue abstrait ou philosophique, les thèses avancées dans l'appel peuvent sembler nobles, mais en pratique elles sont simplement creuses. Dans le meilleur des cas. D'un point de vue moins amical, ils sont même impardonablement naïfs, cyniques, ou les deux. Et dans le pire des cas, ils apportent simplement de l'eau au moulin du poutinisme. Étrange - mais finalement probablement logique - à quel point les auteurs de telles lettres ouvertes deviennent nébuleux, terriblement imprécis et ambigus, juste au point où cela devrait devenir concret. Au lieu de cela, on lit des formulations telles que ""les mesures doivent être prises dès que possible"", ""le travail doit être fait avec beaucoup de vigueur"" ou ""les conditions préalables doivent être créées""."
22102	17	Ce n'est pas une coïncidence. Si vous y réfléchissez jusqu'au bout, cela ne peut signifier que deux choses : soit l'Ukraine doit se sacrifier au profit de l'humanité (encore) moins touchée, y compris l'Allemagne et l'Europe. Ou vous ne comprenez pas vraiment toute la question et croyez en la volonté de la Russie de mettre fin volontairement à la guerre. Bien que les auteurs de la lettre ouverte sortent tous les arrêts rhétoriques imaginables pour ne pas laisser surgir la moindre suspicion, de facto on lit toujours exactement cela dans le sous-texte, c'est pourquoi les signataires devraient peut-être simplement être plus ouverts et flagrants. , ce serait au moins contribuer à la clarté du discours.
22102	19	Mais même s'ils admettaient à eux-mêmes et au public que l'Ukraine devait se rendre pour que nous puissions enfin avoir la paix et la tranquillité, cela ignorait le prix terrible que le pays serait condamné à payer : nettoyage, expulsions, exécutions, terreur et souffrances sans fin. Deuxièmement, cela cachait également le fait que cela ne mettrait pas vraiment fin à cette guerre ni n'empêcherait de nouvelles guerres d'agression russes. Bien au contraire : la Russie s'est sentie incitée à faire ce dernier.
22103	1	Cour suprême : les démocrates ont sous-estimé le pouvoir des défenseurs de l'avortement
22103	3	"Ce serait plus facile si les juges en chef pouvaient seuls être tenus responsables de l'abrogation du droit à l'avortement, en vigueur depuis 1973. Mais il y a aussi des facteurs structurels et des problèmes de démocratie qui ont rendu possible le verdict du 24 juin. Les démocrates et l'Amérique progressiste ont sous-estimé la traction et l'endurance du mouvement anti-avortement. Ce dernier était probablement dû à de nombreux sondages, selon lesquels seule une minorité d'Américains souhaitaient annuler le verdict désormais annulé. L'affaire Roe c. Wade"" avait autrefois légalisé l'avortement jusqu'à ce que le fœtus soit capable d'une viabilité indépendante. A l'époque de leur majorité au Congrès, les démocrates n'ont pas légiféré pour le droit d'interrompre une grossesse."
22103	5	Et puis c'est arrivé : quelques heures seulement après le verdict de vendredi dernier, les premières cliniques ont rejeté les femmes. Plus de 20 États américains vont le légaliser dans les prochains mois. Les femmes enceintes - si elles ont l'argent et le courage - doivent se rendre au Mexique ou dans des États démocratiques pour la procédure. Selon la logique du jugement selon laquelle l'avortement n'est pas protégé parce qu'il n'y a rien dans la constitution à ce sujet, d'autres droits sont également menacés, en premier lieu celui des mariages homosexuels.
22103	7	"Les conflits au sujet de la législation anti-avortement se déplaceront désormais vers les législatures des États. Les démocrates n'y ont pas bien réussi ces dernières années. Dans certains États d'interdiction, on envisage d'empêcher les femmes enceintes de voyager. De plus, une surveillance est envisagée qui pourrait montrer qui commande des pilules abortives, ce que l'on veut également interdire. Sur chaque ""Roe v. anniversaire de Wade (mis à part une pause Covid), des dizaines de milliers d'opposants anti-avortement s'étaient rassemblés à Washington. D'abord peu en vue, en 2020 avec Donald Trump, qui assurait que les ""enfants à naître"" n'avaient jamais eu de ""fort défenseur"" à la Maison Blanche comme lui. Les événements étaient majoritairement blancs, fortement catholiques et, au fil du temps, évangéliques. De nombreuses jeunes femmes américaines étaient là, apparemment inspirées par le désir, comme le disaient leurs affiches, de sauver des bébés et d'exprimer que les femmes étaient aussi victimes de ""l'industrie de l'avortement"". Les stars du mouvement sont des femmes qui regrettent les avortements. Les républicains ont adopté des lois dans tous les États pour restreindre l'avortement pendant des années en prévision du jour X."
22103	9	Les opposants à l'avortement pas tout à fait satisfaits
22103	11	"L'avortement n'est pas seulement une question d'avortement. Le mouvement anti-avortement, avec son attrait émotionnel, est devenu une partie du mouvement de droite, renforcé dans les années 1970 par le ""marché libre chrétien et la droite biblique"" en plein essor. C'étaient des électeurs blancs, dont beaucoup appartenaient à la classe ouvrière, qui sont passés au républicain. Ronald Reagan avait signé une loi libérale sur l'avortement en tant que gouverneur de Californie, et n'a trouvé la ""bonne attitude"" qu'en tant que président républicain. Ce qui a contribué à faire basculer son parti et le mouvement anti-avortement vers le populisme de droite."
22103	13	"Vous vous êtes servis l'un de l'autre. Il en va de même pour les années Trump. L'entrepreneur de New York s'est prononcé contre l'interdiction de l'avortement dans une interview de 1991 avec NBC (""Je suis un choix très pro""). Lors de la campagne électorale de 2016, alors que Trump était tout sauf le candidat préféré des chrétiens conservateurs, il avait appris quelque chose de nouveau et présenté sa liste d'avocats anti-avortement pour la Cour suprême et les tribunaux fédéraux. Ça a marché. Les électeurs évangéliques blancs ont voté à 80 % pour lui. Et ils ont été récompensés. Le fait que Trump ait pu faire appliquer ses trois juges, qui ont été décisifs dans le verdict anti-avortement, a également à voir avec la structure du gouvernement américain. Au Sénat, qui vote les juges en chef, chaque État a deux sénateurs – les ruraux, peu peuplés, à tendance républicaine ainsi que les géants démocrates de Californie et de New York. La Californie libérale a à peu près la même population que les vingt plus petits États américains. La Californie a deux sénateurs, ces vingt en ont quarante. La composition de la Cour suprême est un exemple de la façon dont la politique d'une minorité de droite peut s'affirmer aux États-Unis. Lorsque les États républicains ont introduit des lois électorales restrictives contre des groupes d'électeurs penchant pour les démocrates, la Cour suprême l'a sanctionné."
22103	15	Les opposants à l'avortement ne sont pas encore satisfaits du nouveau statu quo, qui n'interdit pas totalement l'avortement. Le mouvement pour le droit à l'avortement appelle à voter en novembre. Une loi nationale, promulguée par une majorité de démocrates, pourrait protéger le droit à l'avortement.
22105	1	Madrid : le président Erdoğan a quitté le sommet de l'Otan avec de riches cadeaux
22105	3	Pour la Turquie, le résultat de la récente réunion de l'OTAN est impressionnant. Le président Recep Tayyip Erdoğan récolte des corbeilles de fruits pour avoir abandonné le veto à l'adhésion de la Suède et de la Finlande. Il a beaucoup accompli, joué une robuste exclusivité dans l'alliance - pour ne pas dire l'a savourée - et a démontré au monde entier à quel point l'expansion nordique dépendait de lui. L'alliance a été épargnée de l'embarras que la prochaine augmentation ait échoué à ce sommet de tous les lieux, avec lequel le saut dans un mode de combat historique contre la Russie était en attente.
22105	5	"Pour passer en revue le butin d'Erdoğan en détail : le panier I contient le mémorandum de dernière minute scellé entre la Turquie et les aspirants à l'OTAN. Par la suite, les deux nordistes s'engagent à prendre des mesures contre le ""terrorisme kurde"" sur leur territoire souverain. Cela signifie qu'ils sont tenus de ne pas poignarder la Turquie dans le dos dans la ""lutte anti-terroriste"" contre l'autodétermination kurde, comme c'était l'interprétation à Ankara, mais plutôt d'être un soutien. Cela s'applique non seulement au sud-est de l'Anatolie, mais aussi au nord de l'Irak et au nord-est de la Syrie, c'est-à-dire des territoires non turcs dans lesquels l'armée turque a déjà envahi, violant le droit international, et veut intervenir à nouveau."
22105	7	Elle a dans son viseur le parti des travailleurs kurdes PKK, ainsi que les milices syro-kurdes YPG, qui ont réussi à maintenir l'autonomie démocratique d'une région contre l'État d'Assad pendant une décennie. Le paradigme de cette alternative rencontre l'arbitraire destructeur du pouvoir régional turc. L'OTAN tolère cela, et plus encore, elle accepte qu'un membre qui considère la violation du droit comme une raison d'être décide si et dans quelles conditions de nouvelles admissions ont lieu. Quand la « force de la loi » a-t-elle jamais accordé autant de poids ? Hormis le fait que les aspirants ne sortent pas indemnes de cette évaluation aux dépens de tiers.
22105	9	La ministre suédoise des Affaires étrangères, Ann Linde, conteste que l'accord avec Erdoğan s'étende à l'extradition des « suspects terroristes », c'est-à-dire des migrants kurdes qui sont politiquement actifs en exil en Scandinavie : « Nous n'accepterons pas l'extradition à moins qu'il n'y ait des preuves d'activités terroristes. De plus, le mémorandum est « un accord politique et non un traité international juridiquement contraignant ». Mais qui définit les « activités terroristes » alors que la Turquie considère déjà une revendication émancipatrice, comme celle représentée par les milices YPG en Syrie, comme une « conspiration terroriste » ? On se demande si les Ouïghours en exil occidental doivent s'attendre à être traités de la même manière que les Kurdes en Suède et en Finlande.
22105	11	Ce qui signifie que le panier II est dû, que le président américain Joe Biden a choisi d'emballer lui-même. Son administration soutient désormais la vente d'avions de chasse F-16 à Ankara. Nous sommes prêts à faire plus pour moderniser l'armée de l'air turque. Celeste Wallander, sous-secrétaire américaine à la Défense pour les affaires de sécurité internationale, a annoncé lors de la conférence téléphonique avec les journalistes que plus la capacité de défense de la Turquie est forte, mieux l'OTAN est défendue.
22105	13	La punition était hier
22105	15	C'est nouveau – il n'était pas encore question d'une telle causalité en octobre 2021, bien au contraire. À ce moment-là, Ankara avait déjà demandé à la Maison Blanche d'approuver l'achat de 40 chasseurs F-16 et de 80 kits de modernisation d'avions fabriqués aux États-Unis. Cette demande n'a pas été rejetée pour la première fois. Estimant que la Turquie a acquis le système de défense aérienne russe S-400 en 2019, est coupable d'avoir brisé un tabou et a effectivement quitté la défense aérienne de l'OTAN. Un comportement digne de sanctions qui serait heureusement sanctionné si les avions de chasse étaient refusés. Neuf mois plus tard, les pénalités ont disparu, et à la place un accord est lancé : si le président turc concède son veto contre l'expansion de l'OTAN vers le nord, le président américain approuvera en retour l'accord d'armement souhaité. Bien sûr, le Sénat américain doit encore être interrogé. Il doit décider si l'engagement de Biden envers Erdoğan valait quelque chose ou non, si le commandant en chef sera démantelé dans la lutte fatidique de l'Occident contre l'ennemi russe, ou si le contraire semble souhaitable.
22105	17	Ce qui reste est le panier III, dans lequel Erdoğan peut ranger le mandat de médiation d'un accord entre l'ONU, Moscou et Kyiv, également avec l'approbation des États-Unis. Il vise à garantir que les stocks de céréales ukrainiennes quittent les ports de la mer Noire. La Russie a déjà déclaré aux Nations Unies qu'elle se joindrait aux plans supervisés par la Turquie pour expédier 25 millions de tonnes de céréales dans des convois sécurisés depuis le port d'Odessa, qui reste fortement miné par l'Ukraine.
22109	1	Les militants risquent l'extradition
22109	3	"Au cours de l'expansion de l'OTAN vers le nord, le gouvernement turc exige l'extradition des militants kurdes des nouveaux membres désignés, la Suède et la Finlande. La République fédérale n'a pas besoin de telles demandes. Depuis longtemps, elle livre volontiers des Kurdes à son ""partenaire stratégique"". En tant que partisans de l'opposition, ils risquent l'emprisonnement et la torture. L'étudiant de 27 ans Yaser Örnek doit maintenant craindre la même chose. Le gouvernement turc dirigé par le président Recep Tayyip Erdogan a provoqué son arrestation par des policiers en civil en Bavière près de Bernau am Chiemsee, comme l'a rapporté samedi l'agence de presse kurde ANF, citant l'avocat d'Örnek. Son transfert à Munich est prévu pour mardi."
22109	5	"L'arrestation a eu lieu le 2 juillet. Selon l'ANF, Örnek voyageait à travers la Suisse avec un ami au moment où ils ont été arrêtés par les fonctionnaires sur l'A8. Örnek et son compagnon Durmaz Yahisi ont été détenus pendant plusieurs heures, chacun les mains derrière le dos. Dans un premier temps, aucune raison n'a été donnée aux deux, a déclaré le compagnon d'Örnek, selon le rapport de l'ANF. Yahisi a ensuite été relâché, comme Kerem Schamberger, un militant de l'organisation non gouvernementale Medico International, l'a annoncé vendredi sur Twitter. ""Nous devons tous ensemble empêcher cela"", avait-il exigé face à la menace d'extradition d'Örnek."
22109	7	"Il a obtenu l'asile politique en Suisse en juin 2018 après que l'étudiant en littérature de l'université Cukurova d'Adana a été accusé d'""appartenance à une organisation terroriste"" en lien avec ses activités politiques légales pour le Parti démocratique des peuples (HDP). Selon Schamberger, l'étudiant avait déjà dû passer trois mois en détention en Turquie après avoir participé à un meeting du HDP pendant la campagne électorale. Une procédure d'interdiction est actuellement en cours en Turquie contre le parti de gauche pro-kurde. Trois affaires sont toujours pendantes contre le jeune homme de 27 ans, selon l'ANF, il a été condamné pour la dernière fois à plusieurs années de prison."
22109	9	"""Le gouvernement fédéral veut apparemment jouer un rôle de pionnier au sein de l'Otan dans la persécution politique des Kurdes en échange du respect par Erdogan du pacte militaire"", a critiqué dimanche le député du Bundestag Sevim Dagdelen (Die Linke) à Junge Welt. En direction du gouvernement fédéral, Dagdelen a déclaré que quiconque ""livre la Turquie au couteau"" devrait ""au moins cesser d'essayer constamment de protéger les droits de l'homme"", co-responsable de ""cette abominable persécution""."
22109	11	"Selon Schamberger, le déclencheur de l'arrestation de l'étudiant de 27 ans et de la détention provisoire de son compagnon était que l'État turc avait délivré Yaser Örnek à l'Office européen de police, Europol en abrégé, pour une perquisition. La Turquie demande actuellement l'extradition de 406 personnes des États membres de l'UE, a déclaré samedi Civan Akbulut du Conseil d'État d'intégration de la Rhénanie du Nord-Westphalie, citant des articles de presse turcs sur Twitter. Ainsi, 129 demandes d'extradition ont été présentées au gouvernement fédéral. ""Le sale accord de l'OTAN entre la Turquie et la Suède/Finlande a un effet"", a commenté Akbulut."
