doc_id	paragraph_id	fr-en
23102	17	Access to drinking water remains guaranteed, however confirm all the interlocutors contacted. However, hundreds of municipalities across the regions concerned have decided to limit the use of water. In Milan, for example, it is forbidden to fill your swimming pool or to clean your car with a jet. In Piedmont, two municipalities have closed the taps at night, confirms the regional councilor responsible for the environment, Matteo Marnati. “In areas where the aqueducts are older, there are problems with loss. We manage to solve them by bringing water in tank trucks,” he explains.
23102	19	"The sector most affected by this crisis is agriculture. Like all producers in the Po basin, Davide Canegrati now lives ""day to day"", depending on the weather forecast. Tuesday, June 28, the rain was indeed there. If it temporarily relieved the rivers and lakes, it was not enough to fill the water deficit. The farmer realizes the facts: nearly 50% of his corn production is compromised. “Since April, we have been able to irrigate, totally or partially, only 30 hectares out of the 50 where the plant is grown,” he explains. As for its 70 hectares of meadow, they too are dry. This production being used to feed his cows at the end of the season, Davide Canegrati will surely have to choose between reducing his livestock ""by at least 25%"" or buying food elsewhere, despite the soaring prices caused by the Russian invasion in Ukraine."
23102	21	On a larger scale, the entire agriculture of the Po basin is at risk, knowing that it alone produces nearly 40% of Italian food, including flagship products such as parmesan. In Lombardy, wheat yields have already fallen by 30 to 40% in some places, says Ermes Sagula, head of the assistance center at the Coldiretti Lombardy farmers' association. Today, the damage to Italian agriculture is estimated at more than 500 million euros. “Towards the end of the year, we will surely have a figure that exceeds one billion,” he continues.
23102	23	Another production affected by the drought: that of energy. Most hydroelectric plants are idling, or have even been shut down, such as that of Serafini Island, 70 km southeast of Milan. By the end of 2022, we can expect a drop in production of 55% to 60% for large plants and 70% to 75% for small ones, estimates Assoidroelettrica, an industry association. “It is a particularly serious situation knowing that the energy which will not be produced with water will have to be produced with gas, the prices of which are extremely high”, insists Paolo Taglioli, general manager of the association. And whose greenhouse gas emissions will make the problem worse.
23102	25	"""We have the illusion that this resource is infinite when it is not"""
23102	27	"To deal with the crisis, the Po River Basin Authority insists: the withdrawals of available water must be reduced by 20%. Then, the solutions will have to be thought out in the long term because ""the urgency is structural"", recalls Matteo Marnati. Indeed, all indicators show that such episodes will become more frequent. ""Temperatures are rising and our glaciers are shrinking,"" analyzes Orietta Cazzuli, head of the Arpa meteorological service. As for precipitation, ""we have no signs of a decrease"", but it could be less and less regular and more intense."
23102	29	"Proposals are therefore on the table to avoid running out of steam in the future. Matteo Marnati is pushing for the creation of new dams in the Piedmont region, in order to capture more rainwater. With nearly 600 dykes and around fifteen lakes, Lombardy is a region rich in water resources. ""What is needed is better water management,"" said Damiano Sirmine, of the environmental association Legambiente. According to him, regional agriculture, mainly based on rice and corn, particularly water-intensive crops, must adapt. “We have to accept that in this climate change scenario, agriculture will have to modify its production choices,” he continues. To all this, Massimiliano Pasqui adds a cultural change. You have to learn to save water. “We have the illusion that this resource is infinite when it is not. »"
23102	31	Especially since in recent weeks, the drought alarm has also begun to sound in the central regions of the country, such as Tuscany, Marche and Lazio. On Monday, July 4, the government declared a state of emergency in five northern regions and announced the release of a fund of 36.5 million euros to deal with this drought.
23103	1	Covid-19: a France without course or compass in the face of the seventh wave
23103	3	Few prevention messages, no strong measures, all against a backdrop of scientific uncertainty: the management of the pandemic is suffering from the weariness of the French, but also from competition from other crises, while the number of daily cases is falling. rises to 100,000 on average on July 1.
23103	5	No one knows exactly how high it will go. Since the beginning of June, the seventh wave has been spreading in France and the Omicron BA.4 and BA.5 variants are rapidly spreading among the population. The consequences in terms of mortality and on the health system are still limited, but the numbers are soaring and the hospital is more fragile than ever. At the end of last week, the president of the scientific council, Professor Jean-François Delfraissy, estimated, on the antenna of RTL, that tensions could emerge in the hospital system towards the end of July. According to the latest government data, as of July 1, 960 people with Covid-19 are in critical care, with a recovery initiated since June 20. More than 16,000 people are hospitalized, with now nearly a thousand daily admissions. An increase of 31% over the last seven days compared to the previous week. As of July 1, nearly 100,000 new daily cases were reported on average, up nearly 60% from the previous week. The increase is not slowing down.
23106	1	"A ""COP of cities"" to fight against climate change"
23106	3	Talking about climate change means always summoning the latest catastrophic events that we are facing. Think of the heat wave that made India and Pakistan bend recently, think of those that are in the process of affecting Europe, not a month goes by without a signal of alert is issued. Floods, heat waves, fires. Earlier, more intense, more devastating, these episodes remind us more and more of our fragility and the urgency to act.
23106	5	COP 26 in Glasgow did not live up to expectations. Inability to raise the level of ambition, inability to stabilize what is necessary in terms of solidarity with the States of the South, it is to the spectacle of a slow multilateralism that we have been invited.
23106	7	The urgency is there, the threat is getting closer, the IPCC reports leave no escape. Global warming is undoubtedly man-made. Limiting it to 1.5°C can only be envisaged at the cost of rapid and massive changes. The worst is not certain, but success imposes a decarbonization trajectory from which we are still far.
23106	9	To the background noise of this threat, always more muted, is added that of the crises which have invited themselves where they were no longer expected. Covid-19 and the war in Ukraine. In too many countries, these crises have led to a preference for what is “here and now”. However, we must continue to embrace the climate issue before it is too late.
23106	11	We need promises kept and resources. We need a systemic response so that climate migration does not lead to more uncontrollable cascading effects. Failure to investigate these issues exposes us to the risk of falling out with vulnerable countries. However, we must stay together, it is humanity that is at stake.
23106	13	Let everyone take their part
23106	15	It is now important to find new balances, first and foremost the construction of a broader multilateralism that allows everyone to play their part.
23106	17	The cities are there, they always have been, even in dark times. They are rolling up their sleeves with the means at their disposal to cope. They invent, they create, they get local actors on board to invent a model of society that takes local resources into account.
23106	19	Cities, including those with the smallest budgets, are full of ideas. Resources are created, sometimes the product of public policies, sometimes of a citizen emergence, carried by informal networks. It is these riches that allow optimism.
23106	21	Today, means are on the table but do not always find their destination. Funding frameworks built on banking logic do not always meet the guarantees that cities are able to offer. Without facing these structural difficulties, it is a group of cities that are kept away from development aid.
23106	23	"Today we need to create the conditions for a broader dialogue, a vector of exchange, justice and attention to the most vulnerable. This is why the ""COP of cities"" will be held on July 1 and 2 in Abidjan around a hundred mayors of cities around the world gathered for the occasion."
23106	25	It will be held on a continent affected like no other by climate change and which only asks for one thing: to put its dynamism, its creativity and its youth at the service of the general interest. You can count on us, the mayors of cities around the world.
23106	27	You can count on our vigilance, on our determination to do everything in our power to change the course of things.
23106	29	The signatories: Anne Hidalgo Mayor of Paris, Robert Beugré Mambé Governor of the Autonomous District of Abidjan, Souad Abderrahim Cheikh El Medina of Tunis, LaToya Cantrell Mayor of New Orleans, Philippe Close Mayor of Brussels, Frank Cownie President of Local Governments for Sustainability (Iclei) and Mayor of the City of Des Moines, USA, Willy Demeyer Mayor of Liège, Franziska Giffey Mayor, Governor of Berlin, Roberto Gualtieri Mayor of Rome, Ron Huldai Mayor of Tel-Aviv-Yafo, Grégoire Junod Syndic of Lausanne, Sadiq Khan Mayor of London and President of C40, Fatimetou Abdel Malick President of the Nouakchott region and President of UCLG-A, Carlos Moedas Mayor of Lisbon, Maxime Prévot Deputy and Mayor of Namur, Rafal Trzaskowski Mayor of Warsaw.
23107	1	The Pride of the suburbs, the queer march of working-class neighborhoods
23107	3	Two years have passed since the first suburban Pride, two years marked by a health and social crisis with appalling consequences. Two more than trying years for us queers, residents of working-class neighborhoods, racialized people, precarious people, undocumented migrants, exiles, disabled people, neuro-atypical, HIV-positive people, sex workers, trans people, non-binaries, those whose identities and expressions are deemed non-conforming. Two years during which we mourned many disappearances within our communities.
23107	5	The presidential election has given way to an ever more devious and corrupt public debate, driven by mounting LGBTQIA+ phobias, Islamophobia and racism. Every day, on TV, on the radio, we are singled out, insulted. Our rights are denied, our dignity is violated. While we are considered monsters, delinquents or even terrorists, the political inaction regarding the emergencies we are experiencing remains. The precariousness that we have always experienced is reinforced by an entrepreneurial management of the crisis, by a resigning government which makes us understand every day its lack of interest in our lives.
23107	7	"We are confronted with poor housing, which concerns almost one person in sixteen, the saturation of food aid, ever more difficult access to the prefecture or public administrations and the intensification of police repression which have always been our daily life (1). As queers, as racialized people, a fear exists every time we want to seek treatment, that health professionals are not trained to take care of. our situations. A fear every time we find ourselves at a counter: ""Will I be taken care of correctly or will I be neglected because of my (or my) identity?""."
23107	9	Overcrowded emergency accommodation services
23107	11	Among all these injustices, this year, we must insist on the strict application of the fundamental right to decent housing. In Seine-Saint-Denis, emergency accommodation services are systematically saturated: 71,011 requests for accommodation expressed were not filled throughout the year, leaving 9,653 people on the street, unassisted (2). We, working-class queers, are overrepresented among these homeless people. Indeed, it is common that, following violence, whether physical, psychological or economic, we are excluded from our homes without having any accommodation solution. However, no reception system is currently up to our needs.
23107	13	The emergency can't wait! No one will fight for us if we LGBTQIA+ people from working-class neighborhoods don't lead the fight on our own. If our allies don't support us! Our belief is that the answers that will restore our dignity are universal. Our struggles will benefit many of our fellows. As Anna Julia Cooper, an illustrious Afro-feminist activist, said: “When they enter, we all enter”, this means that to open the door to us is to open it to everyone (3).
23107	15	Let's be immensely numerous on June 4, 2022 at 2 p.m., Place René-Dumont in Saint-Denis to make our rage heard. To stand up to our sisters, our brothers, our fellows. To assert our rights. Unite under the banner of celebrating individuals and communities! Let's unite to fight exclusion! Let's build together a society in which human dignity is unconditional!
23107	17	To create the balance of power we need, we call on everyone to join our call to demonstrate by signing it on the website: https://www.pridedesbanlieues.fr /
23107	19	(1) “26th Report on the state of poor housing in France 2021”, Abbé-Pierre Foundation.
23107	21	(2) “2020 Activity Report”, Interlogement93.
23107	23	(3) “Demarginalizing the Intersection of Race and Sex: A Black Feminist Critique of Antidiscrimination Doctrine, Feminist Theory and Antiracist Politics”, by Kimberley Crenshaw, 1989, pp-160.
23107	25	Signatories: Barbara Butch, Enza Fragola, Fatima Daas, Lexie Agresti, Minima Gesté, Océan Michel, Shirley Souagnon, Tahnee, Tal Madesta, Yazid Mallek; 1,001 Lesbians and Queers, Helpers, Act Up-Paris, Paris Ile-de-France LGBT Center, LGBTQIA + Divines, the Transfem Liberation Front, Goudou e s on Wheels, Iel8 - Feminist Collective of Paris 8, Queer Education , Voice Unearthed.
23108	1	In Russia, these untruths as frightening as they are absurd
23108	3	Vladimir Putin may be losing the war in Ukraine, but he is winning his other war, the one in Russia against truth and information. A cloak of lead fell over the country, and an Orwellian system of propaganda was put in place, preceded by the dismantling of all opposition, the closing of all free media, the abolition of all critical association. As a result, on the eve of the commemoration of the Allied victory and the end of the Second World War, many Russians see in the “special operation in Ukraine” a just and justified war. Our report bears witness to this: between the continuous television channels relaying untruths as frightening as they are absurd and the political and military announcements carefully hiding the humiliation of the Russian army in Ukraine, the inhabitants take refuge in a political apathy or , even worse, in a reinforcement of anti-Western prejudices in this part of the world.
23108	5	Sanctions, which are only beginning to be felt, are likely to accentuate this bias. Western pressure is not meant to convince the Russian people to oppose the autocrat who rules them anyway: it was to cut Putin off from his base of support in the economic, military and political elite of Russia. While a grotesque stage play is unfolding in Moscow to compare Ukraine to Nazi Germany, it is still too early to know if these measures will have the desired effect. The number of oligarchs forced to flee, or suddenly deciding to fall out of windows, suggests that Putin has no intention of abandoning the war madness that drives him. This vicious circle demonstrates that it is not only the freedom of the Ukrainian people that is at stake, but indeed that of the Russian people.
23110	1	Russian gas crisis: ecology and democracy are retreating in Germany
23110	3	Because of Russian gas rationing, Germany is relaunching coal and wondering about nuclear power, things that were unthinkable a year ago. Collateral effect of this economic and political reversal: the strengthening of central power in the face of local powers.
23110	5	After Poland, Bulgaria and Finland, France, since June 17, no longer receives Russian gas. If the flow towards Germany, Italy or Austria has been maintained, Gazprom has however reduced the flow by half, in retaliation for the official acceptance by the European Union of the application for entry of Ukraine.
23110	7	"A very heavy blow for Germany, which usually imports 58 million m3 of Russian gas each year, against only 13 for us. Gazprom boss Alexei Miller was clear: “Our product, our rules. We don't play by rules we didn't make."" In France, we are rather quiet: stocks are 56% full, more than usual at this time of year."
23110	9	Conversely, in Germany, the Russian invasion raised awareness of the enormous mistake of collaborating with Putin around the Nord Stream gas pipeline, which Angela Merkel was so proud to have built in 2010, explaining then, faced with to Polish warnings that, even during the Cold War, Russian gas had never stopped arriving…
23110	10	The German U-turn: the return of coal and the nuclear debate
23110	12	The irony is total: it was the ecologist Robert Habeck, Minister for the Economy and the Climate – yes that is his title – who came yesterday to announce to the Germans the passage to level two, out of three, of the plan national gas emergency, involving in particular a more sustained activity of the power stations…. coal, the worst possible mode of energy production.
23110	14	The country's gas stocks do not cover the needs for next winter. The debate is tense because, in German law, families have priority over companies in the event of a lack of fuel. But the specter of recession is already looming. So if the industries, the pillars of the country's economy, have to produce less this winter, it will be cold in the houses, but the social climate is likely to be very hot.
23110	16	"And while, following the accident at the Fukushima plant in 2011, Germany had decided to close all its nuclear power plants, the Minister of Finance, the liberal Christian Lindner, proposed that the last three, which were to close their doors at the end of the year, see their lifespan extended, in order to ""ensure the energy security of the country in the coming years""."
23110	18	The German government brings together a coalition of three parties. Social Democrats and Greens are very anti-nuclear, opposition to this energy being the foundation of German ecology. Conversely, the liberals, relays of employers, are favorable to this energy. Who will win? We do not know.
23110	19	For the Germans, the wind turbines will be by force or by force
23110	21	Another debate is the issue of wind turbines, the development of which is increasingly contested in France. Germany, which already has 3 times more than us, wants to multiply their number by 3 within the next ten years, to cover 2% of its territory with giant blades.
23110	23	There is an effective way to do this: their development has just been legally considered a matter of national security. No more local dialogue and other “impact studies”, to slow down or prevent their construction. This will be imperative. The distances that previously existed between wind turbines and houses, of 800 meters minimum, have been removed.
23110	25	The change is significant in a federal country like Germany, where the federated states have strong powers. For many ecologists, the ecological transition is a chance to reinvigorate democracy, especially at the local level. This is of course partly true.
23110	26	Ecology against local democracy
23110	28	"But the Russian gas crisis, which pales in comparison to the magnitude of the changes that a complete ecological transition to fully renewable energy sources would require, shows that we, the inhabitants of rich countries, are too far behind. to allow time for deliberation and local choices. Robert Habeck thus considers that it was a ""mistake"" not to have built even more wind turbines in the past."
23111	3	"Fabrice Leggeri has just tendered his resignation as executive director of Frontex, the European border and coast guard agency. This resignation comes after months of successive revelations concerning Frontex's involvement in human rights violations, in particular in the context of its operations at the borders of Eastern Europe and in Greece. Having focused my research on the central Mediterranean for more than ten years, these revelations do not surprise me at all. As part of one of the investigations that I carried out within the Forensic Oceanography project (Death by Rescue, 2016), I demonstrated that during the summer of 2014 Frontex carried out a real campaign for the Italian military and humanitarian operation Mare Nostrum is halted. While the operation deployed in 2013-2014 had made it possible to proactively rescue a large number of migrants fleeing Libya in dramatic conditions, Frontex accused it of constituting a ""call for air"" leading to more crossings."
23111	5	In order to dissuade migrants from reaching the European continent, the agency has done everything possible to end the Mare Nostrum operation and replace it with a Frontex operation, Triton , much further from the Libyan coast, and whose objective was border control and not rescue at sea. This operational change was implemented despite the unanimity of actors defending the rights of migrants, and even internal Frontex assessments that predicted that the end of Mare Nostrum would not lead to fewer crossings but more deaths at sea.
23111	7	It is this reality that tragically materialized, in particular with the shipwreck of April 18, 2015, the deadliest in the recent history of the Mediterranean with more than 950 dead. Following this disaster, the President of the European Commission, Jean-Claude Juncker, admitted that “it was a serious mistake to end Mare Nostrum. It cost lives” (1). One would have expected that following this recognition, Frontex would be sanctioned for its role in this deadly operational change. Nothing happened: the Frontex operation was reinforced and its budget increased. And the deadly relief void left by the end of Mare Nostrum has never been filled.
23111	9	From disdain to impunity
23111	11	All of this may seem distant. But today, Frontex planes and drones inform the Libyan coast guard of the presence of migrants so that they are intercepted and brought back to Libya, despite everything we know about the inhuman conditions reserved for them. However, this older episode deserves to be remembered because it clearly demonstrates the role of Frontex in the construction of migrants as a threat, the establishment of ever more costly and militarized border control operations, the disdain for the lives and rights of migrants that animates the agency, and the impunity that has been organized around its activities. Despite the public and political pressure to which Frontex is now subject, this state of affairs is not fundamentally called into question, and the departure of Fabrice Leggeri will not significantly change the situation.
23111	13	But there is more. For the past two months, the European Union has been applying a policy of selective openness to migrants fleeing Ukraine. For a (too) limited group of people, a paradigm shift has been made: that of allowing the mobility of people seeking refuge and recognizing their rights rather than seeking to block them at all costs. This open breach makes clear today for the greatest number what has been clear for a long time for many researchers, actors and actresses of civil society: the restrictive and militarized approach of the EU is not a fatality, a more open and rights-respecting policy is possible, and this would make actors like Frontex superfluous.
23111	15	"On May 15, Swiss citizens will vote on the funding of Frontex. This referendum gives the Swiss people an opportunity to stop being complicit with an agency whose increasingly costly activities have never put an end to the ""migration threat"" that Frontex has helped to build, and which are through the violation of migrant rights and thousands of deaths with impunity. A “no” from the Swiss to the financing of Frontex could have a European resonance and contribute not only to a questioning of the agency but to a fundamental reorientation of European migration policies."
23113	1	The United States and the European Union hit Putin right in the wallet
23113	3	United as rarely, the United States and the European Union have taken severe economic restriction measures against Russia. Beyond the effectiveness of these measures, the question is whether the Ukrainian crisis will finally mark the beginning of the end of deregulated finance, the main support of all the mafias and dictatorships of the globe.
23113	5	"The joint communiqué of the European Union and the United States, available here in French, makes it clear: ""The war waged by Russia constitutes an aggression against the fundamental international rules and norms which have prevailed since the Second World War and which we are determined to defend. We will hold Russia to account and we will collectively ensure that this war is a strategic failure for Putin. »"
23113	7	Faced with Putin, the United States and the EU, itself united for the first time in its short history, unleashed heavy economic artillery: exclusion of certain Russian banks from global SWIFT messaging; freezing of the assets of the Russian Central Bank; and end to the “golden passports”, these passports a little too easily sold – yes – by certain States, including Malta and especially the United Kingdom, to Russian oligarchs in exchange for investments on the spot.
23113	9	SWIFT: the line is cut
23113	11	"Referred to as “the financial nuclear weapon” by Bruno Le Maire, the SWIFT network is the means by which the banks of the planet send transfer orders to each other. Created in 1977 to replace the telex, SWIFT (acronym for ""Society for Worldwide Interbank Financial Telecommunication"", and which means ""prompt"" in English), a private company located in Belgium, is the banks' notary: any message sent on it has value of contract. Indeed, even today, settlements between banks around the world can take days. But decisions are instantaneous. SWIFT then keeps each bank accountable in front of the others for the transfer orders it has placed: if this has been written on SWIFT, it will be necessary to pay."
23113	13	And no bank in the world, not even the Bank of America or Goldman Sachs, as the 2008 crisis proved, can betray its word without being immediately excluded from the global game. The idea of ​​depriving Russian banks of access to the network is therefore excellent. Germany, initially opposed because it feared it would no longer be able to pay for its Russian gas, and which feared more widely disruptions in world trade on which it is so dependent, but which found itself isolated following the release of Austria and of Italy, joined the joint decision.
23113	15	One of the major lessons of the Ukrainian crisis is the reversal of Germany which, for the first time, put the interests of the European Union before its own. It has also just significantly increased its defense budget, after having left France alone to defend Europe against Islamic terrorism in Mali and in many other places where French soldiers have lost their lives.
23113	16	A powerless Russian central bank?
23113	18	Of all the crazy events at the moment, the crippling of Russian Central Bank action is arguably the most astonishing. The decision by the United States, Canada, France, Italy, Germany and the United Kingdom to prohibit the Russian Central Bank from using its euros and dollars will have the effect of prevent defending the rouble, the course of which has already fallen sharply.
23113	20	Indeed, to defend your currency, you have to buy it. And to buy it, you need foreign currency, euros or dollars: the Central Bank of Russia cannot buy rubles with rubles. Its currency will therefore collapse in the coming days – and this all the more so as the holders of rubles now know that it cannot defend it. However, with a falling rouble, it is the prices of imported products that immediately increase, arousing the discontent of the population. Politically, it is undoubtedly very well played on the part of Westerners.
23113	22	In addition, the Russian Central Bank will also not be able to use its currencies to support its banks, which, deprived of access to the Swift network, will be weakened. The pressure put on the Russian banking system is therefore maximum. It lowers Russia to the level of very few countries in the world, such as Iran, Venezuela or North Korea, real pariahs of the international system with whom no one wants to trade (legally).
23113	23	Oligarchs go home?
23113	25	One of the most delirious financial practices of recent years has been the fact, by several countries, of selling their passports to the highest bidder, in return for investments in their country. The practice was launched by Malta in 2014, allowing all traffickers in the world to move freely within the EU, of which Malta is a member. Something so serious there that it probably cost the life of Daphne Caruana Galizia, a journalist murdered in 2017 in a car bomb attack and who had the very bad idea to take an interest in the subject.
23113	27	But it was London that generalized the practice, to the point of being renamed “Londongrad”. Because the United Kingdom is not only the country that invented mint mutton. It is also one of the largest tax havens in the world, along with the Virgin Islands or the Isle of Man. And they are proud of it, these assholes. Finally, were. Boris Johnson froze the assets of three close associates of Vladimir Putin: Gennady Timchenko, Boris Rotenberg and Igor Rotenberg, and banned them from entering British territory.
23113	29	But the awakening is very late in a country described as a “global hub for money laundering” by the association Transparency International, where even the conservative party, that of Johnson, receives tons of rubles from the rich Russians. The British government itself estimates that £100 billion of corrupt money has entered the country. In Parliament, there is official talk of closing the dirty money laundering “laundry” that London would have become…
23113	30	Tax havens, hell of humanity
23113	32	In short, fortunately Vladimir forced Boris to open his eyes. The whole question is to what extent Russia anticipated all this. And how effective the sanctions will be, and when. The future will tell us in the days and weeks to come.
23114	3	Studies published on Tuesday by Insee and Ined point to both the integration of immigrants into French society but also the obstacles to it, including for the second generations. There are still profound inequalities in access to the labor market.
