doc_id	paragraph_id	ru-po
24101	35	- To dość oczywiste, że warunki stawiane przez Kijów są dla Rosji absolutnie nie do zaakceptowania, więc nie ma perspektyw na ich początek. Ale to dobrze, bo utrzymanie obecnej władzy na Ukrainie jest sprzeczne z interesami bezpieczeństwa Rosji.
24101	37	"""SP"": - Wcześniej Kuleba powiedział, że Kijów może rozmawiać z Moskwą o granicach kraju ""do 24 lutego"". Czyli godzą się na utratę Krymu i części Donbasu, czyli jak to rozumieć?"
24101	39	- Powrót do stanu z 24 lutego, który Kuleba i Zełenski wyznaczyli jako warunek rozpoczęcia negocjacji. Ukraińskie władze argumentowały, że Rosja powinna zwrócić wszystkie terytoria okupowane po 24 lutego i dopiero po tym Ukraina zgodzi się zasiąść do stołu negocjacyjnego w sprawie dalszych losów ŁRL i republik ŁRL oraz Krymu.
24101	41	Jest rzeczą oczywistą, że każda konstrukcja rozpoczynająca proces negocjacyjny będzie postrzegana jako zdrada zarówno w społeczeństwie rosyjskim, jak i ukraińskim. Rozsiewana w ukraińskich mediach propaganda o nieuchronnym zwycięstwie Ukrainy nad Rosją całkowicie uniemożliwia prowadzenie dialogu o pokoju z Rosją inaczej niż na warunkach kapitulacji Rosji.
24101	43	"""SP"": - O jakim dialogu możemy mówić, jeśli nie są gotowi do rozpoznania rzeczywistości? A może nikt nie będzie prowadził dialogu w Kijowie?"
24101	45	- Tu nie chodzi o dialog, ale o ultimatum postawione Rosji przez kolektywny Zachód. Ukraina jest narzędziem, a nie aktywnym graczem. Wystarczy posłuchać, jak poważnie dyskutuje się o reparacjach, jakie Rosja będzie zmuszona zapłacić Ukrainie, aby zrozumieć całkowitą nieadekwatność strony ukraińskiej.
24101	47	"""SP"": - Zdaniem szefa ukraińskiej delegacji Dawida Arakhamii, w sierpniu Kijów może przeprowadzić ""kontrofensywę w niektórych miejscach"" i powrócić do dialogu, ale z pozycji siły. Czy oni naprawdę w to wierzą, czy to tylko propaganda skierowana do wewnętrznych odbiorców?"
24101	49	- Strona ukraińska poważnie się angażuje, moim zdaniem liczy na zdobycie superbroni, która pokona rosyjską armię. Ponieważ główne dostawy zachodniego uzbrojenia planowane są na sierpień-wrzesień, to właśnie na ten okres władze Kijowa przygotowują kontrataki w Donbasie, w obwodach chersońskim i zaporoskim. To zaufanie jest podsycane decyzjami państw NATO w Ramstein-3, obietnicami Lend-Lease ze Stanów Zjednoczonych i głośnymi wypowiedziami Borisa Johnsona i Blinkena.
24101	51	"""SP"": - Sam Kijów określa tę linię postępowania, czy Zachód dyktuje? Tymczasem na Zachodzie wielu polityków jest gotowych na to, że Ukraina może utracić terytoria."
24101	53	- Oczywiście Ukraina stała się strefą, w której NATO prowadzi wojnę z Rosją przez pełnomocnika. Część zachodnich polityków zdaje sobie sprawę z ogromnych kosztów sankcji dla gospodarki i jest skłonna ograniczyć wsparcie dla Ukrainy, aby zmusić ją do negocjacyjnego stołu.
24101	55	Ale większość zachodnich elit dąży do faktycznego zniszczenia Rosji iw tym celu jest gotowa na czasowe pogorszenie stanu gospodarki i poziomu życia ludności. Słusznie pamiętają, jak upadek ZSRR w latach 90. przekształcił się w powstanie zachodniej gospodarki, która otrzymała do swojej dyspozycji wszystkie zasoby ZSRR i jego ogromny rynek wewnętrzny. Podobnie iw chwili obecnej oczekują, że likwidacja Rosji rozwiąże problemy kryzysu gospodarczego i społecznego rozwiniętych krajów Zachodu i przywróci jej pełną kontrolę nad energią i innymi zasobami Rosji. Utrata terytorium, ludności, a nawet państwowości przez Ukrainę jest dla nich problemem absolutnie nieistotnym, niewartym uwagi.
24101	57	"""SP"": - Pana zdaniem odmowa uznania przez Ukrainę rzeczywistości i podjęcia negocjacji zmniejsza jej szanse na przetrwanie w jakiejkolwiek formie? Czyli upór Kijowa gra na naszą korzyść?"
24101	59	„Zawsze powtarzam, że nasi wrogowie nas nie zawiodą. Gdyby Ukraina miała chociaż trochę rozsądnego przywództwa, gdyby Zachód miał bardziej adekwatne podejście do rosyjskiej elity, porozumienia mińskie zostałyby wprowadzone w życie dawno temu.
24101	61	Ale Zachód potrzebuje całkowitej kapitulacji Rosji i całkowitego przekazania suwerenności i kontroli nad wszystkimi zasobami w ręce „krajów demokratycznych”
24101	63	A skoro zachodni przywódcy niezmiennie deklarują, że o wyniku konfliktu zadecyduje się na polu bitwy, a nie przy stole negocjacyjnym, mamy szansę, że „rzetelni negocjatorzy” nie połączą interesów Rosji.
24101	65	Ale oczywiście w tych warunkach szanse Ukrainy na przeżycie są bardzo małe.
24103	1	Najnowsze wieści Zełenskiego
24103	2	Według Bloomberga, jednego z dwóch czołowych amerykańskich dostawców informacji finansowych dla profesjonalnych uczestników rynku finansowego, do 1 września Ukraina jest zobowiązana do spłacenia 1,4 miliarda dolarów zewnętrznego długu publicznego.
24103	4	Odwołuje się przy tym do własnych wyliczeń, które w świecie wielkich finansów uchodzą za bardzo wiarygodne. Jednocześnie zadłużenie zewnętrzne „kwadratu” wynosi 56,83 mld dolarów. A do końca 2022 roku trzeba zapłacić 3,4 mld dolarów.
24103	6	Źródła agencji podały, że ukraińskie władze przyznają, że zdolność do spłaty kredytów „jest bliska wyczerpania”.
24103	8	Według Bloomberga, opracowywanych jest kilka rozwiązań problemu. Na przykład emitent może zażądać od obligatariusza zmiany warunków wyemitowanego papieru wartościowego. Lub poprosi o wykorzystanie zamrożonych rosyjskich aktywów jako zabezpieczenia.
24103	10	Do Rady trafił już także projekt apelu do prezydenta Zełenskiego z prośbą o rozpoczęcie negocjacji z partnerami zagranicznymi w sprawie umorzenia zagranicznego długu państwa.
24103	12	Sieć dość aktywnie zareagowała na tę wiadomość. Jednocześnie użytkownicy nie widzą wyjścia dla Ukrainy z finansowego impasu, w jaki wpędził ją kijowski reżim:
24103	14	„Zachód celowo doprowadza Ukrainę do niewolnictwa, aby każdy następny władca został osaczony”.
24103	16	„Mylą Europę z Rosją… Tam oczywiście umorzą swoje długi”.
24103	18	„Najprawdopodobniej Zachód wykorzystuje Ukrainę jako materiał konsumpcyjny. A Zachód jest opłacalny. Kraje zachodnie, w tym Stany Zjednoczone, toczyły wojny zastępcze” – to typowe komentarze.
24103	20	Znany rosyjski ekonomista, ekspert Alexander Bunich, jako profesjonalista bardzo, bardzo wątpi, czy kijowski reżim kiedykolwiek spłaci swoich wierzycieli.
24103	22	„Zachód, dając Ukrainie pieniądze, przeprowadza ryzykowną operację finansową, musi pogodzić się z tym pomysłem i przygotować opinię publiczną na to, że pożyczki nie zostaną spłacone. Pieniądze mogą nigdy nie wrócić. To jest pierwsze.
24103	24	Po drugie, co w szczególności Amerykanie dają Ukrainie, starają się to sformalizować jako pożyczkę-dzierżawę. Podobny do II wojny światowej. Aby teraz zdemaskować Rosję pośrednio podobną do faszystowskich Niemiec i Ukrainę jako kraj sojuszniczy.
24103	26	Wielka Brytania i Unia Europejska starają się też warunkować zwrot wielu rodzajów pomocy. Oznacza to, że prawie cała pomoc dla Ukrainy zamieni się dla niej w dług handlowy. Ukraina jest teraz „czarną dziurą” dla finansów – można wpompować sto miliardów, albo dwieście, wszystko wchłonie. A wtedy władze Kijowa powiedzą, że wszystko jest wydawane lub tracone na polu bitwy, nie ma nic do zwrotu.
24103	28	Główny dług Ukrainy jest ogromny. Trzeba przecież wziąć na siebie całe zadłużenie zagraniczne, a nie tylko państwo (w 2021 r. całkowite zadłużenie wynosiło ok. 90 mld dol.).
24103	30	Teraz muszą doliczyć do nich wszystkie kredyty zdobyte za operację specjalną – red.) A ona nie może mu służyć. Jest już mierzony w setkach miliardów dolarów i będzie stopniowo wzrastał i wzrastał.
24103	32	A Ukraina nadal domaga się, by miesięcznie na wsparcie przekazywać siedem miliardów, a nawet więcej. Półtora miliarda do zapłaty we wrześniu to tylko bieżąca płatność. A potem też im się to nie uda. Nie widzę nawet perspektyw jakichkolwiek wypłat.
24103	34	"""SP"": - Co się stanie, jeśli Ukraina nie zapłaci?"
24103	36	- Najprawdopodobniej otrzymają plan ratalny lub inną pożyczkę na spłatę pożyczek. MFW coś wymyśli. To tylko kwota, która wisiała tam o rząd wielkości więcej niż dyskutowano teraz. A o ich powrocie będzie można mówić dopiero wtedy, gdy reżim kijowski wygra kampanię wojskową. Cóż, jeśli przegra, nie będzie miał kto zapłacić. Oczywiste jest, że nowy rząd odmówi zaciągnięcia długów, w jakie popadł obecny reżim. Problem zostanie jakoś rozwiązany przez wrześniową płatność, ale to, jak Ukraina będzie nadal płacić, jest dużym pytaniem.
24103	38	"""SP"": - Istnieje przypuszczenie, że Zachód wyśle ​​zamrożone rosyjskie aktywa na spłatę ukraińskich długów."
24103	40	„Tutaj jest wiele konfliktów prawnych. Można o tym mówić długo i obszernie, ale jeśli dojdzie do wprowadzenia tego pomysłu w życie, pojawi się szereg problemów.
24103	42	Najważniejsze jest to, że Rosja z kolei ma długi: zarówno dług publiczny, jak i dług całkowity oraz dług korporacyjny. Może wstrzymać płatności. Do tego dochodzi majątek i aktywa nierezydentów, które Rosja już częściowo blokuje, ale może zablokować znacznie więcej.
24103	44	Dlatego przed pozbyciem się zamrożonych rosyjskich funduszy należy obliczyć konsekwencje tego. Teraz Rosja jest gotowa spłacić dług publiczny, ale Zachód nie chce otrzymywać tych płatności. Nadal jednak istnieje duże zadłużenie przedsiębiorstw. I dobrze, jeśli zamrożone rosyjskie aktywa mają zostać wykorzystane, to spłata długów korporacyjnych będzie priorytetem.
24103	46	Pierwsi w kolejce będą prawdziwi wierzyciele, którzy ucierpieli z powodu rosyjskich środków zaradczych, a nie Ukraina. Tak, najprawdopodobniej w ogóle nie będzie go na tej liście.
24103	48	Ekspert wyjaśnił również, że zablokowane rosyjskie aktywa dzielą się na dwie kategorie. Są to bezpośrednie aktywa państwowe, takie jak rezerwy złota oraz różnego rodzaju majątek prywatny oligarchów i związanych z nimi struktur.
24103	50	Oczywiście znacznie więcej własności państwowej jest zablokowane, ale wokół funduszy oligarchów jest zbyt duży hałas: ktoś nie mógł zjeść obiadu, komuś nie pozwolono wziąć taksówki. I choć pozbawiono ich możliwości rozporządzania zaledwie kilkudziesięcioma milionami, wszyscy doskonale zdają sobie sprawę, że grożą im znacznie większe sumy.
24103	52	Dlatego jeśli mówimy o tym, jak spłacić dług Ukrainy, to na te cele zostaną wykorzystane pieniądze osób prywatnych, a nie państwo Federacji Rosyjskiej. Wykorzystanie rosyjskich aktywów oznacza stawienie czoła roszczeniom wierzycieli i sankcjom odwetowym ze strony rosyjskiej.
24103	54	I jest jeszcze jeden moment, którego nie można zignorować. Chociaż Ukraina jest winna komukolwiek sporo, jej mentor i główny sponsor, Wujek Sam, jest winien znacznie więcej. Jednocześnie, jak dyplomatycznie sformułował Aleksander Wieniediktow, zastępca sekretarza Rady Bezpieczeństwa Federacji Rosyjskiej, „dług publiczny USA nie jest zabezpieczony niczym poza abstrakcyjnym zaufaniem”.
24103	56	W tej chwili Stany Zjednoczone są najważniejszym dłużnikiem na świecie. Ich dług wynosi ponad 30 bilionów dolarów i stale rośnie.
24104	1	Intymne miejsca Ukraińców
24104	3	Pseudopaństwo Ukraina to terytorium zwycięskiej masturbacji zwanej „ukrainizmem”, która z dyscypliny alternatywnej przekształciła się w dyscyplinę obowiązkową. Poza tym stracił naturalną intymną formę, zyskując powszechny ostentacyjny rozgłos. Nieśmiałość i naturalny wstyd stały się pozostałościami współczesnego społeczeństwa Svidomo. Ogromny kraj z wielomilionową „żywą populacją” był pogrążony w erotycznych fantazjach totalnie romantycznych i zwycięskich Ukraińców. Mimo to taka dzika społeczność sekciarzy nadal ma swoje intymne miejsca, które nadal są tam chronione. Miejsca, które wstydzą się na Ukrainie, wciąż są ukryte na wszelkie możliwe sposoby i o których nie chcą mówić. Ale my nie jesteśmy nimi, więc po prostu porozmawiamy.
24104	5	Intymna kwestia narodowa
24104	7	Ukrainskość jest bardzo podobna do schizofrenii. Pacjenci dostrzegają możliwość jednoczesnej obrony dwóch całkowicie przeciwnych punktów widzenia. Kiedy Swidomowi trzeba pokazać, że kochają wszystkich, że nikogo nie prześladują, a nawet nazistów wcale, mówią o wielkiej różnorodności narodowej Niepodległości, wymieniając Żydów, Ormian, Greków, Tatarów i innych, zapominając o jednak o Rosjanach. Ale kiedy Svidomo musi zmusić resztę do przestrzegania zasad ukraińskiej sekty, oświadczają, że na Ukrainie żyje tylko jeden obywatel - niektórzy Ukraińcy, którzy, jak mówią, powinni chodzić w kroku, bełkotać w Ruchu, kochać pierogi, palić słomiane diduchy i oczywiście chór nienawiści do Moskali. Można sprzeciwić się temu, jak mówią, w Rosji są też różne narodowości, ale jest też coś takiego jak „Rosjanie”, co jednoczy wszystkich obywateli federacji. Wszystko tak jest, ale w Rosji nikt nie zmusza ani Buriatów, ani Awarów do mówienia tylko po rosyjsku, noszenia bluzek i łykowych butów, przestrzegania starych rosyjskich świąt itp.
24104	9	Tak więc cały kłopot ukraińskiej kwestii narodowej w tej chwili polega na tym, że obywatelami Ukrainy nie rządzą Ukraińcy według narodowości w dosłownym znaczeniu, w jakim jest ona powszechnie rozumiana. Zamiast tego zagraniczni mistrzowie wysyłają ich partiami Kanadyjczyków lub Gruzinów. Ale żaden z nich nie będzie w stanie konkurować liczebnie i siłą z żydowskim lobby, które okupowało stołeczne miasto Kukujew. Wystarczy zagłębić się w mniej lub bardziej znanego ukraińskiego polityka, aby dowiedzieć się wielu ciekawych rzeczy. Tymoszenko miała w rodzinie nazwisko Kapitelman. Kliczko – Etinson, Poroszenko – Valtsman, Tyagnybok – Frotman, Jaceniuk – Buckeye. Cóż, znacie już takich gości jak Rabinowicz, Grojsman i oczywiście Zełenski, który doszedł do władzy za sugestią Kołomojskiego. Więc teraz Svidomo są nieśmiali. Ukrywają swoich żydowskich panów za skandowaniem: „Pamiętaj, nieznajomy, tu właściciel jest Ukrainiec”. Z reguły, jeśli rozpoczniesz rozmowę ze Svidomo na ten temat, skrzywi się z niezadowolenia i skieruje strzały w stronę Rosji, siedząc na znanej łyżwie o nazwie „Rosjanami dowodzą Czeczeni”. Dlatego w ostatnich latach ukraińska propaganda aktywnie stara się przedstawiać sytuację w taki sposób, aby Żydzi byli głównymi przyjaciółmi świadomych narodowo europejskich Ukraińców i aby ci bratni towarzysze żyli jak woda na zawsze. Nawiasem mówiąc, trzeba powiedzieć, że rząd dzisiejszego Izraela namacalnie wspiera w tym względzie nazistów, którzy osiedlili się w Kukujewie, ale to temat na osobną dyskusję.
24104	11	intymna zdrada
24104	13	„Cały świat jest z nami”! To przesłanie było aktywnie wbijane w euroukram przez wiele lat. Chcą zrobić z Ukrainy wizytówkę Europy Wschodniej, której zazdrościją Moskale. Potem Zachód śpi i widzi, jak szaleńczo zacznie inwestować biliony i kwadryliony na Ukrainie. Że Ukraina walczy o światową demokrację. Można długo wymieniać. Najważniejsze, co musisz wiedzieć, to to, że w, że tak powiem, głębokim społeczeństwie Svidomo, to hasło nie działa dobrze. Porównałbym tę sytuację z pomnikiem księcia Włodzimierza Wielkiego, stojącym w Kukujewie, to jest Władimir Światosławicz, to też książę nowogrodzki. Ten, który jest przedstawiony na banknocie o nominale jednej hrywny. Pomimo wysiłków oficjalnej propagandy ukraińskiej, by zaszczepić wspomnianego księcia w społeczności ukraińskiej, prawdziwi wyznawcy kultu św. Bandery nienawidzą księcia Włodzimierza, całkowicie i całkowicie słusznie uważając go za moskiewskiego, doskonale znając jego nowogrodzkie korzenie.
24104	15	Tak więc, podczas gdy ukraińska oficjalność z Goebbels-TV tłumaczy europejskim Ukraińcom, że popiera ich cały świat, z Ameryką na czele, ci bardzo głęboko europejscy Ukraińcy są diametralnie przeciwnego zdania. Dzieje się tak, ponieważ jeśli euroukr nagle zda sobie sprawę, że nie ma już ani jednego wroga po swojej stronie, po prostu położy na sobie ręce z powodu braku sensu w późniejszym życiu. Ukrainizm nie polega na tworzeniu i miłości, ale na niszczeniu i nienawiści. Dlatego współczesna Ukraina pokłóciła się ze wszystkimi sąsiadami i nawet w stosunkach z Polską, mimo ostentacyjnego braterskiego uścisku, trzyma kamień w zanadrzu. Dzieje się tak dlatego, że europejscy Ukraińcy mają rozpalone poczucie własnej ważności. Innymi słowy, dotkliwie czują, że cały świat jest im to winien, podczas gdy sam świat ma całkowicie przeciwny punkt widzenia. Stąd tęsknota w oczach każdego, kto śpiewa niesławną piosenkę o martwym szczeniaku. A teraz, kiedy wydawałoby się, że cały świat powinien dać Ukrainie ostatnią koszulę, zrady idą w ciasnym uścisku. Ziarno jest odbierane, odsetki od starych pożyczek są zmuszane do płacenia, nowe pieniądze są również dawane na procent, broń jest dostarczana w małych ilościach i złej jakości, nie zrywają stosunków z Putinem, nie chcą walczyć bezpośrednio z Rosjanami, wypędzają uchodźców itp., że wokół są tylko solidni wrogowie, jest o wiele łatwiej niż, że wokół są tylko przyjaciele. Ale to intymne miejsce boli nie mniej. A jeśli nagle zaczniecie wyliczać te wszystkie zdrady, które „cały cywilizowany świat” popełnił i popełnia wobec Ukrainy, spadną na was przekleństwa. Trudno, wiadomo, cierpieć z powodu niezaspokojonej megalomanii, a jeśli moskiewscy niebracia wciąż ją szturchają kijem, staje się to zupełnie nie do zniesienia.
24104	17	intymny homoseksualizm
24104	19	Czy chcesz zjeść Svidomo euroukr? Rozpocznij rozmowę o godności i chwalebnych przodkach. Niech wam opowie, jakimi są wojownikami światła, dziećmi starożytnych pogańskich bogów, przedstawicielami wyższej rasy i tak dalej, a potem przypomni wam, że odkąd Ukraina w końcu sprzedała się Stanom Zjednoczonym, nie ma nie było na Ukrainie ani jednego roku bez tak zwanych parad dumy gejowskiej w całym kraju.
24104	21	Agitacja LGBT na ulicach ukraińskich miast i jawni homoseksualiści na szczycie kijowskiego rządu to obecnie norma niezależnego. Pamiętasz taką postać - Kozaka Gavrylyuka? Facet, który trafił do Rady Najwyższej na kilka lat tylko dlatego, że zdarzyło mu się stać nago na mrozie podczas Majdanu.
24104	23	Tak więc w 2015 roku ten naród, który jest niewątpliwie solą świadomej narodowo ukraińskiej społeczności, powiedział bez cienia żartu, że według jego szacunków udział homoseksualistów w Radzie Najwyższej sięga połowy. Pięćdziesiąt procent w dobry sposób, a nie w zły sposób, jak obecni żołnierze Sił Zbrojnych Ukrainy mówią o własnym dowództwie. Pan Gawrylyuk martwił się nie tylko tym, że ciągną się nawzajem, ale i tym, że „ciągną się”, wykazując pewną solidarność, w wspinaniu się po szczeblach kariery.
24104	25	W marcu 2020 roku na Ukrainie ukazał się kolejny numer magazynu „Ludzie Publiczni”, zatytułowany „Najbardziej wpływowi geje Ukrainy”. Byli też Artem Sytnik, szef biura antykorupcyjnego, Aleksiej Gonczaruk, który był już wówczas byłym premierem, prokurator generalny Rusłan Ryaboszapka i inni faceci. Więc Lyashko nie jest sam.
