doc_id	paragraph_id	ge-po
2210	15	Zachód nie traktuje już Rosji poważnie. Nawet małe, bezsilne militarnie państwa nie wahają się obrażać i prowokować Rosji.
2210	17	Ograniczona, powolna rosyjska interwencja na wschodzie Ukrainy pozwoliła całemu Zachodowi wtrącać się do wojny poprzez wysyłanie broni na Ukrainę, dostarczanie Ukrainie informacji wywiadowczych do ataków na siły rosyjskie, współdziałanie z sankcjami Waszyngtonu i kontrolowanie narracji wojennej w interesie Ukrainy. Nie ma wątpliwości, że USA i NATO są zaangażowane w wojnę z Rosją.
2210	19	Mimo ostrzeżeń Rosja nadal militarnie ignoruje ten fakt. Jak długo to może trwać?
2210	21	Groźba wojny nuklearnej stoi przed nami nie z powodu rosyjskiej agresji, ale z powodu ograniczonej i słabej reakcji Rosji na skrajne prowokacje. Zachód nauczył się od staromodnego liberalizmu Putina, że ​​Rosja jest słaba i można ją ominąć.
2210	23	Ten wniosek doprowadzi do wojny nuklearnej, chyba że Rosjanie poddadzą się Zachodowi i staną się kolejną marionetką, jak Niemcy, Francja i Wielka Brytania.
22100	1	Borys, jesteś zwolniony!
22100	3	Przedstawienie się skończyło, klaun schodzi ze sceny. Boris Johnson ogłosił w czwartek rano, że zamierza ustąpić ze stanowiska lidera Partii Konserwatywnej ze skutkiem natychmiastowym. Jako premier Wielkiej Brytanii chce pozostać na stanowisku do początku października, aby mieć pewność, że jego następca się ustatkuje. Ten pierwszy był mile widziany ponad podziałami partyjnymi, ten drugi wywoływał irytację. Liczne głosy z partii Johnsona wzywają również do natychmiastowej dymisji premiera. Między innymi do jesieni na wyspie zapowiadane są różne strajki, więc wielu polityków nie uważa, że ​​ubezwłasnowolniony rząd nie byłby zaletą.
22100	5	Wraz z rezygnacją ministra finansów Rishi Sunaka i ministra zdrowia Sajida Javida we wtorek wieczorem powietrze wokół Johnsona stawało się coraz cieńsze niemal z każdą minutą. Do czwartku rano 50 członków rządu, w tym wielu ministrów i prywatnych sekretarzy parlamentarnych, złożyło rezygnację. Nie było prawie żadnego rządu. Ostatecznie wydaje się, że decydującym czynnikiem był właśnie nowo wybrany minister finansów Nadhim Zahawi. Poinformowało o tym w czwartek wiele mediów, w tym Financial Times i Guardian.
22100	7	W krótkim przemówieniu przed 10 Downing Street w porze lunchu, Johnson powiedział, że Komitet 1922, który reprezentuje interesy Konserwatywnej Izby Gmin, ogłosi harmonogram wyborów nowego lidera partii w następny poniedziałek wieczorem. W swoim przemówieniu Johnson opisał wezwania do dymisji swoich przyjaciół partyjnych w ciągu ostatnich kilku dni jako „ekscentryczne”. Premier do końca przekonywał, że masowe dymisje z jego rządu nie są powodem jego własnej dymisji, przecież torysi mają w parlamencie ponad 80-osobową większość.
22100	9	Właśnie tej większości konserwatyści chcą bronić. Ostatecznie jednak większość z nich nie wierzyła już, że mogą to zrobić z premierem Johnsonem. Sekretarz stanu Elizabeth Truss, faktycznie uważana za lojalną wobec premiera, napisała na Twitterze w odpowiedzi na rezygnacyjne przemówienie Johnsona: „Premier podjął słuszną decyzję, teraz potrzebujemy spokoju i jedności”.
22100	11	Przy inflacji przekraczającej 11 procent, redaktor naczelny Financial Times powtórzył nastroje panujące w brytyjskim obozie klasy średniej w opublikowanym w czwartek artykule redakcyjnym: Rezygnacja Johnsona była spóźniona. Zbyt często i zbyt wyraźnie okłamywał kraj i pozwalał innym politykom kłamać za niego. Teraz potrzebuje następcy z „uczciwością i poszanowaniem zasad”. Niestety, wielu potencjalnych następców spełniałoby te kryteria w niewystarczającym stopniu.
22100	13	Według krótkiej analizy przeprowadzonej 7 lipca przez antymilitarny think tank Forces Watch, niezwykła liczba potencjalnych następców ma wojskowe doświadczenie. Agitatorzy polityki zbrojeniowej i obecny sekretarz obrony Ben Wallace należą do faworytów na następcę Johnsona.
22100	15	Czytaj za darmo przez trzy tygodnie
22100	17	Dziennik Junge Welt przeszkadza rządzącym w szerzeniu ich propagandy. Zajmuje oświecającą pozycję bez wszechwiedzącego i działa poprzez argumenty, jakość, rozrywkę i gryzienie.
22100	19	Sprawdź już teraz i testuj młody świat przez trzy tygodnie (dwa tygodnie w innych krajach Europy) bezpłatnie. Po tym czasie subskrypcja próbna kończy się automatycznie.
22101	1	Sankcje: Rosja wygrywa wojnę gospodarczą
22101	3	Minęły już trzy miesiące, odkąd Zachód rozpoczął wojnę gospodarczą z Rosją. Ale sprawy nie idą zgodnie z planem - właściwie całkiem źle.
22101	5	Sankcje wobec prezydenta Rosji Władimira Putina nie zostały nałożone dlatego, że uważano je za najlepsze, ale dlatego, że były lepsze niż dwie pozostałe dostępne opcje: nic nie robić lub interweniować militarnie.
22101	7	Pierwszy pakiet środków ekonomicznych został uchwalony zaraz po inwazji rosyjskiej, kiedy spodziewano się, że Ukraina skapituluje w ciągu kilku dni. Tak się jednak nie stało i spowodowało to, że sankcje – które jeszcze nie zostały zakończone – są coraz bardziej zaostrzane.
22101	9	Jednak obecnie nic nie wskazuje na to, by Rosja wycofywała się z Ukrainy. Nie jest to zaskakujące, biorąc pod uwagę, że sankcje mają odwrotny skutek, podnosząc koszty eksportu rosyjskiej ropy i gazu, masowo wzmacniając jej bilans handlowy i finansując jej wysiłki wojenne. W pierwszych czterech miesiącach tego roku Putin był w stanie odnotować nadwyżkę na rachunku bieżącym w wysokości 96 miliardów dolarów (90,7 miliarda euro) – ponad trzykrotnie więcej niż w tym samym okresie w 2021 roku.
22101	11	Rosną ceny ropy – korzysta Kreml
22101	13	Kiedy pod koniec maja UE ogłosiła embargo na część rosyjskiego eksportu ropy, cena ropy na światowych rynkach wzrosła, dając Kremlowi kolejną korzyść finansową. Tymczasem Rosja nie ma problemu ze znalezieniem alternatywnych rynków zbytu dla swojej energii. Na przykład eksport ropy i gazu do Chin w kwietniu rośnie o ponad 50 procent rocznie.
22101	15	Ale to nie znaczy, że sankcje ominą Rosję bezboleśnie. Według Międzynarodowego Funduszu Walutowego gospodarka kraju skurczy się w tym roku o 8,5 procent, ponieważ załamał się import z Zachodu. Rosja ma zapasy towarów niezbędnych do utrzymania gospodarki, ale w końcu się wyczerpią.
22101	17	W miarę jak Europa stopniowo uwalnia się od zależności od rosyjskiej energii, Putinowi zostaje oszczędzony bezpośredni kryzys finansowy. Rzeczywiście, dzięki kontroli kapitału i solidnej nadwyżce handlowej rubel jest silny. Moskwa ma więc czas na znalezienie alternatywnych źródeł dostaw części zamiennych i podzespołów z krajów chcących obejść zachodnie sankcje.
22101	19	Kiedy światowi przywódcy zebrali się niedawno w Davos, publicznym przesłaniem było potępienie rosyjskiej agresji i potwierdzenie, że zdecydowanie popieramy Ukrainę. Z drugiej strony nie było publicznego niepokoju o ekonomiczne koszty przedłużającej się wojny.
22101	21	Obawa ta jest w pełni uzasadniona. Rosyjska inwazja na Ukrainę zwiększyła i tak już silną presję cenową. Roczna inflacja w Wielkiej Brytanii wynosi 9 procent i jest najwyższa od 40 lat. W Niemczech Bundesbank przewiduje stopę inflacji na poziomie 7,1 procent w 2022 roku. Ceny paliw osiągnęły rekordowy poziom.
22101	23	Konsekwencją jest stagflacja i głód
22101	25	W wyniku wojny zachodnie gospodarki stoją w obliczu niskiego lub ujemnego wzrostu i rosnącej inflacji – powrotu do stagflacji z lat 70. Tymczasem banki centralne – w tym Bank of England – odczuwają presję, by zareagować na prawie dwucyfrową inflację, podnosząc stopy procentowe. Grozi to wzrostem bezrobocia. Inne kraje europejskie borykają się z tymi samymi problemami, być może nawet większymi niż Wielka Brytania, ponieważ większość z nich jest stosunkowo bardziej zależna od rosyjskiego gazu.
22101	27	Tymczasem biedniejsze kraje świata borykają się z problemami na znacznie większą skalę. Dla części z nich problemem nie jest stagflacja, ale głód – konsekwencja rosyjskiej blokady dostaw pszenicy z ukraińskich portów nad Morzem Czarnym.
22101	29	Jak ujął to dyrektor Światowego Programu Żywnościowego David Beasley: „Elewatory zbożowe na Ukrainie są pełne. W tym samym czasie 44 miliony ludzi na całym świecie jest na skraju śmierci głodowej”.
22101	31	We wszystkich organizacjach wielostronnych – czy to Międzynarodowy Fundusz Walutowy, Bank Światowy, Światowa Organizacja Handlu czy Organizacja Narodów Zjednoczonych – narasta obawa, że ​​zbliża się katastrofa humanitarna. Matematyka jest prosta: jeśli kraje rozwijające się same nie są eksporterami energii, napotykają potrójny problem: kryzysy paliwowe i żywnościowe wywołują kryzysy finansowe. Kiedy rządy będą musiały wybierać między wyżywieniem swoich obywateli a obsługą długów wobec międzynarodowych wierzycieli, zrobią to pierwsze. Sri Lanka była pierwszym krajem, który nie spłacił swoich długów od czasu rosyjskiej inwazji, ale prawdopodobnie nie będzie ostatnim. Świat nie był tak blisko pełnego kryzysu zadłużenia od lat 90.
22101	33	Władimir Putin od początku rozgrywał długie rozdanie
22101	35	Putin był słusznie krytykowany za „uzbrojenie” żywności. Jednak jego gotowość do tego nie powinna dziwić. Prezydent Rosji od początku grał ostrożnie, czekając, aż międzynarodowa koalicja podzieli się przeciwko niemu. Kreml jest przekonany, że ekonomiczny próg bólu Rosji jest wyższy niż Zachodu. I to chyba prawda.
22101	37	Jeśli potrzebujecie dowodu, że sankcje nie działają, to wystarczy decyzja prezydenta USA Joe Bidena o wyposażeniu Ukrainy w nowoczesne systemy rakietowe. Mamy nadzieję, że nowoczesna amerykańska technologia wojskowa może zrobić to, czego nie udało się osiągnąć dzięki embargo na energię i zamrożeniu rosyjskich aktywów: zmusić Putina do wycofania wojsk.
22101	39	Jednym ze sposobów zakończenia wojny jest całkowite zwycięstwo militarne Ukrainy nad Rosją. Jednak biorąc pod uwagę obecny stan rzeczy, jest to mało prawdopodobne. Można sobie również wyobrazić, że blokada gospodarcza ostatecznie zadziała, a coraz surowsze sankcje zmuszą Rosję do ustąpienia. Innym rozwiązaniem jest ugoda negocjowana.
22101	41	Putin nie podda się bezwarunkowo, a potencjalne poważne straty uboczne wynikające z wojny gospodarczej są oczywiste: spadające standardy życia w krajach rozwiniętych; Głód, zamieszki żywnościowe i kryzys zadłużenia w krajach rozwijających się.
22101	43	Okrucieństwa popełniane przez wojska rosyjskie sprawiają, że kompromisy z Kremlem są obecnie trudną do przełknięcia pigułką, ale rzeczywistość gospodarcza sugeruje tylko jedno: prędzej czy później dojdzie do wynegocjowanego rozwiązania.
22102	1	Jeśli upadniemy, twoja kolej
22102	3	Kilku niemieckich intelektualistów wzywało ostatnio do zaprzestania dostaw broni z Zachodu na Ukrainę. Jest to nie tylko cyniczne, ale również zgodne z kalkulacjami Putina.
22102	5	W zeszłym tygodniu wielu niemieckich intelektualistów w ZEIT i ZEIT ONLINE wezwało do zaprzestania dostaw broni z Zachodu na Ukrainę i do natychmiastowego zakończenia wojny w drodze negocjacji. W odpowiedzi na ten apel ukraiński publicysta i psychoanalityk Jurko Prochasko uważa te żądania za cyniczne. Ostatecznie oznaczałoby to zniknięcie Ukrainy.
22102	7	To zdumiewające, ile jest sformułowań na kilka prostych – i po prostu błędnych – myśli w kontekście wojny na Ukrainie. I jak często są one wysuwane raz po raz przez różne strony. Czytali coś w stylu: Wojna na Ukrainie wymaga teraz negocjacji, a nie działań bojowych. Lub: Dostawy broni przyczyniają się jedynie do kontynuacji, a nawet do eskalacji tej wojny, a zatem wymagają niepotrzebnych ofiar. Dlatego zwiększają cierpienie, zamiast je łagodzić.
22102	9	Takie apele mają dwie zasadnicze słabości. Po pierwsze, niezdolność do przemyślenia rzeczy do końca, a po drugie, tendencja do dodawania rzeczy, które nie istnieją. To pierwsze nazywa się krótkowzrocznością intelektualną, drugie myśleniem życzeniowym. Razem dają efekt dziennikarski, ale nie pożądany. Wreszcie, jest jeszcze trzecia cecha takich apeli: właśnie tam, gdzie treść byłaby decydująca, tj.
22102	11	Wynika to ze wspomnianej wcześniej niemożności przemyślenia sprawy do końca. Nie można lub nie chce się widzieć, co sformułowane propozycje oznaczały dla Ukrainy. Oznaczałoby to nie tylko ich porażkę, ale także zniknięcie. A dla zachodnich demokracji byłoby to nie tylko równoznaczne z porażką, ale wręcz gwarancją kolejnych wojen ze strony Rosji.
22102	13	Myślenie życzeniowe polega na niedorzecznym przekonaniu, że obecnie na świecie istnieje siła polityczna lub merytoryczne argumenty, które przekonałyby rosyjski reżim do wezwania do zawieszenia broni, a nawet do rozpoczęcia negocjacji pokojowych. Wiara, że ​​Zachód uniknie dalszej eskalacji poprzez wstrzymanie sprzedaży broni na Ukrainę, oznaczała dla rosyjskich przywódców tylko jedno: osiągną to, co mieli nadzieję osiągnąć najdroższymi środkami – zastraszeniem, szantażem, podziałem – to proste.
22102	15	Z abstrakcyjnego czy filozoficznego punktu widzenia tezy postawione w apelu mogą brzmieć szlachetnie, ale w praktyce są po prostu puste. W najlepszym przypadku. Z mniej przyjaznej perspektywy są nawet niewybaczalnie naiwni, cyniczni lub jedno i drugie. A w najgorszym przypadku są po prostu wodą na młyn putinizmu. Dziwne - ale w końcu chyba tylko logiczne - jak mgliste, strasznie nieprecyzyjne i dwuznaczne stają się autorki takich listów otwartych, właśnie w momencie, w którym powinno się to skonkretyzować. Zamiast tego czyta się sformułowania typu „należy jak najszybciej podjąć działania”, „prace należy wykonywać z wielkim rozmachem” czy „należy stworzyć ku temu warunki”.
22102	17	To nie przypadek. Jeśli przemyślisz sprawę do końca, może to oznaczać tylko dwie rzeczy: albo Ukraina powinna poświęcić się dla dobra ludzkości (jeszcze) mniej dotkniętej, w tym niemieckiej i europejskiej. Albo nie do końca rozumiesz całą sprawę i wierzysz w gotowość Rosji do dobrowolnego zakończenia wojny. Choć autorzy listu otwartego robią wszystko, co tylko można sobie wyobrazić, by nie dopuścić do najmniejszego podejrzenia, de facto zawsze tak się czyta w podtekście, dlatego sygnatariusze powinni być może po prostu bardziej otwarci i rażący , przynajmniej przyczyniłoby się to do przejrzystości dyskursu.
22102	19	Ale nawet jeśli przyznali przed sobą i opinią publiczną, że Ukraina powinna się poddać, abyśmy mogli wreszcie mieć spokój i ciszę, to zignorowali straszliwą cenę, jaką ten kraj będzie skazany zapłacić: czystki, wypędzenia, egzekucje, terror i niekończące się cierpienia. Po drugie, ukrywał też fakt, że to ani nie zakończy tej wojny, ani nie zapobiegnie dalszym rosyjskim agresjom. Wręcz przeciwnie: Rosja poczuła potrzebę zrobienia tego drugiego.
22103	1	Sąd Najwyższy: Demokraci nie docenili siły zwolenników antyaborcji
22103	3	Byłoby łatwiej, gdyby sami sędziowie naczelni mogli ponosić odpowiedzialność za zniesienie prawa do aborcji, które obowiązuje od 1973 r. Ale są też czynniki strukturalne i problemy z demokracją, które umożliwiły wydanie wyroku z 24 czerwca. Demokraci i postępowa Ameryka nie docenili siły i wytrzymałości ruchu antyaborcyjnego. To ostatnie wynikało prawdopodobnie z licznych sondaży, według których jedynie mniejszość Amerykanów chciała anulować uchylony już wyrok. Sprawa Roe v. Wade” zalegalizował kiedyś aborcję, dopóki płód nie był w stanie samodzielnie funkcjonować. W czasie swojej większości w Kongresie Demokraci nie uchwalili prawa do przerwania ciąży.
22103	5	I wtedy to się stało: zaledwie kilka godzin po wyroku z zeszłego piątku, pierwsze kliniki odrzuciły kobiety. Ponad 20 stanów USA zalegalizuje go w ciągu najbliższych kilku miesięcy. Kobiety w ciąży - jeśli mają pieniądze i odwagę - muszą jechać na zabieg do Meksyku lub do państw demokratycznych. Zgodnie z logiką wyroku, że aborcja nie jest chroniona, bo nie ma o niej nic w konstytucji, zagrożone są też inne prawa, przede wszystkim prawo do małżeństw jednopłciowych.
22103	7	Konflikty wokół ustawodawstwa antyaborcyjnego przeniosą się teraz do legislatur stanowych. Demokraci nie radzili sobie tam dobrze w ostatnich latach. W niektórych stanach objętych zakazem rozważa się uniemożliwienie kobietom w ciąży podróżowania. Ponadto rozważany jest nadzór, który mógłby pokazać, kto zamawia pigułki aborcyjne, których też chce zakazać. Na każdym „Roe v. Wade” (poza przerwą Covidową) w Waszyngtonie zgromadziły się dziesiątki tysięcy przeciwników aborcji. Początkowo z niewielkim rozgłosem, w 2020 roku z Donaldem Trumpem, który zapewniał, że „nienarodzone dzieci” nigdy nie miały w Białym Domu „silnego obrońcy” takiego jak on. Wydarzenia były przeważnie białe, silnie katolickie, az czasem ewangelickie. Było tam wiele młodych Amerykanek, najwyraźniej zainspirowanych pragnieniem, jak głosiły ich plakaty, ratowania dzieci i wyrażenia, że ​​kobiety są również ofiarami „przemysłu aborcyjnego”. Gwiazdy ruchu to kobiety, które żałują aborcji. Republikanie od lat uchwalają w całych stanach przepisy ograniczające aborcję w oczekiwaniu na Dzień X.
22103	9	Przeciwnicy aborcji nie do końca zadowoleni
22103	11	Aborcja to nie tylko aborcja. Ruch antyaborcyjny, ze swoim emocjonalnym urokiem, stał się częścią ruchu prawicowego, wspieranego w latach 70. przez rozwijający się „chrześcijański wolny rynek i biblijną prawicę”. Byli to biali wyborcy, wielu z klasy robotniczej, którzy przeszli na republikanów. Ronald Reagan podpisał liberalną ustawę o aborcji jako gubernator Kalifornii i znalazł „właściwą postawę” tylko jako republikański prezydent. Co pomogło skłonić jego partię i ruch antyaborcyjny do prawicowego populizmu.
22103	13	Wykorzystaliście się nawzajem. To samo dotyczy lat Trumpa. Przedsiębiorca z Nowego Jorku wypowiedział się przeciwko zakazom aborcji w wywiadzie dla NBC z 1991 roku („Jestem bardzo za wyborem”). Podczas kampanii wyborczej w 2016 roku, kiedy Trump nie był wcale preferowanym kandydatem konserwatywnych chrześcijan, dowiedział się czegoś nowego i przedstawił swoją listę antyaborcyjnych prawników dla Sądu Najwyższego i sądów federalnych. To się udało. Biali ewangeliczni wyborcy głosowali na niego w 80 procentach. I zostali nagrodzeni. Fakt, że Trump był w stanie wyegzekwować swoich trzech sędziów, którzy zadecydowali o werdykcie antyaborcyjnym, ma też związek ze strukturą rządu USA. W Senacie, który głosuje na naczelnych sędziów, każdy stan ma po dwóch senatorów - wiejskich, słabo zaludnionych, o republikańskich poglądach oraz demokratycznych gigantów z Kalifornii i Nowego Jorku. Liberalna Kalifornia ma mniej więcej taką samą populację jak dwadzieścia najmniejszych stanów USA. Kalifornia ma dwóch senatorów, tych dwudziestu ma czterdziestu. Skład Sądu Najwyższego jest przykładem tego, jak w USA może dochodzić do głosu polityka prawicowej mniejszości. Kiedy stany republikańskie wprowadziły restrykcyjne prawa wyborcze przeciwko grupom wyborców skłaniającym się ku Demokratom, Sąd Najwyższy to usankcjonował.
22103	15	Przeciwnicy aborcji nie są jeszcze usatysfakcjonowani nowym status quo, które nie oznacza całkowitego zakazu aborcji. Ruch na rzecz praw do aborcji wzywa do głosowania w listopadzie. Ustawa krajowa, uchwalona przez większość Demokratów, mogłaby chronić prawa do aborcji.
22105	1	Madryt: Prezydent Erdoğan opuścił szczyt NATO z bogatymi prezentami
22105	3	Dla Turcji wynik ostatniego spotkania NATO jest imponujący. Prezydent Recep Tayyip Erdoğan zbiera pełne plony za odrzucenie weta w sprawie przystąpienia Szwecji i Finlandii. Osiągnął wiele, odegrał solidną wyłączność w sojuszu – żeby nie powiedzieć, że się nim delektował – i pokazał całemu światu, jak bardzo zależała od niego ekspansja na północ. Sojuszowi oszczędzono wstydu, że kolejna podwyżka nie powiodła się na tym szczycie wszystkich miejsc, z którym miał nastąpić skok w epokowy sposób walki z Rosją.
22105	5	Aby szczegółowo przejrzeć zdobycz Erdoğana: Koszyk I zawiera memorandum sporządzone w ostatniej chwili między Turcją a kandydatami do NATO. Następnie dwaj mieszkańcy północy zobowiązują się do podjęcia kroków przeciwko „terroryzmowi kurdyjskiemu” na ich suwerennym terytorium. Oznacza to, że mają nie wbijać Turcji noża w plecy w „walce antyterrorystycznej” przeciwko samostanowieniu Kurdów, jak interpretowano w Ankarze, ale raczej wspierać. Dotyczy to nie tylko południowo-wschodniej Anatolii, ale także północnego Iraku i północno-wschodniej Syrii, czyli nietureckich terytoriów, na które armia turecka dokonała już inwazji, łamiąc prawo międzynarodowe, i chce ponownie interweniować.
22105	7	Na celowniku ma kurdyjską partię robotniczą PKK, a także syryjsko-kurdyjskie bojówki YPG, którym udało się przez dekadę utrzymać demokratyczny samorząd regionu przeciwko państwu Assada. Paradygmat tej alternatywy spotyka się z destrukcyjną arbitralnością tureckiej władzy regionalnej. NATO to toleruje, co więcej, akceptuje, że członek, dla którego naruszenie prawa jest raison d'être, decyduje o tym, czy i na jakich warunkach mają miejsce nowe przyjęcia. Kiedy kiedykolwiek przywiązywano tak dużą wagę do „siły prawa”? Pomijając fakt, że aspiranci nie wychodzą z tej oceny bez szwanku kosztem osób trzecich.
22105	9	Szwedzka minister spraw zagranicznych Ann Linde kwestionuje, czy porozumienie z Erdoğanem obejmuje ekstradycję „podejrzanych o terroryzm”, czyli kurdyjskich migrantów, którzy są aktywni politycznie na wygnaniu w Skandynawii: „Nie zgodzimy się na ekstradycję, jeśli nie będzie dowodów na działalność terrorystyczną”. Ponadto memorandum jest „porozumieniem politycznym, a nie prawnie wiążącym traktatem międzynarodowym”. Ale kto definiuje „działania terrorystyczne”, skoro Turcja już uważa roszczenia emancypacyjne, takie jak te reprezentowane przez bojówki YPG w Syrii, za „spisek terrorystyczny”? Można się zastanawiać, czy Ujgurzy na zachodnim wygnaniu powinni spodziewać się takiego samego traktowania jak Kurdowie w Szwecji i Finlandii.
22105	11	Co oznacza, że ​​zbliża się koniec Koszyka II, który sam prezydent USA Joe Biden postanowił spakować. Jego administracja wspiera teraz sprzedaż myśliwców F-16 do Ankary. Jesteśmy gotowi zrobić więcej, aby zmodernizować tureckie siły powietrzne. Celeste Wallander, zastępca sekretarza obrony USA ds. bezpieczeństwa międzynarodowego, ogłosiła na spotkaniu informacyjnym z dziennikarzami, że im silniejsze stają się zdolności obronne Turcji, tym lepsza jest obrona NATO.
22105	13	Kara była wczoraj
22105	15	To nowość – w październiku 2021 roku jeszcze nie było mowy o takiej przyczynowości, wręcz przeciwnie. Do tego czasu Ankara zwróciła się już do Białego Domu o zgodę na zakup 40 myśliwców F-16 i 80 amerykańskich zestawów modernizacyjnych samolotów. Ta prośba nie została odrzucona po raz pierwszy. Rozumowanie, że Turcja nabyła rosyjski system obrony powietrznej S-400 w 2019 r., jest winne złamania tabu i de facto odejścia od obrony powietrznej NATO. Zachowanie godne sankcji, które zostałyby litościwie ukarane, gdyby odmówiono przyjęcia myśliwców. Dziewięć miesięcy później kary zniknęły, a zamiast tego zawierane jest porozumienie: jeśli prezydent Turcji zrezygnuje z weta przeciwko rozszerzeniu NATO na północ, amerykański prezydent w zamian zatwierdzi pożądaną umowę zbrojeniową. Oczywiście Senat USA wciąż musi zostać przesłuchany. Musi zdecydować, czy zaangażowanie Bidena wobec Erdoğana było coś warte, czy Naczelny Wódz zostanie rozmontowany w fatalnej walce Zachodu z rosyjskim wrogiem, czy też wydaje się wskazane przeciwieństwo.
22105	17	Pozostaje jeszcze Koszyk III, w którym Erdoğan może schować mandat do mediacji w sprawie porozumienia między ONZ, Moskwą i Kijowem, także za zgodą USA. Ma on zapewnić opuszczenie portów nad Morzem Czarnym przez zapasy ukraińskiego zboża. Rosja poinformowała już ONZ, że przyłączy się do nadzorowanych przez Turcję planów wysłania 25 milionów ton zboża w bezpiecznych konwojach z portu w Odessie, który nadal jest intensywnie eksploatowany przez Ukrainę.
22109	1	Działaczom grozi ekstradycja
22109	3	W trakcie ekspansji NATO na północ rząd turecki domaga się ekstradycji kurdyjskich działaczy z desygnowanych nowych członków Szwecji i Finlandii. Republika Federalna Niemiec nie potrzebuje takich wniosków. Od dłuższego czasu chętnie oddaje Kurdów ich „strategicznemu partnerowi”. Jako zwolennikom opozycji grozi im więzienie i tortury. 27-letni student Yaser Örnek musi teraz obawiać się tego samego. Turecki rząd pod przywództwem prezydenta Recepa Tayyipa Erdogana spowodował jego aresztowanie przez funkcjonariuszy policji w cywilu w Bawarii niedaleko Bernau am Chiemsee, jak poinformowała w sobotę kurdyjska agencja informacyjna ANF, powołując się na prawnika Örneka. Jego transfer do Monachium planowany jest na wtorek.
