doc_id	paragraph_id	it-en
26106	9	At the end of the G7, nobody cares about anything: it is enough to know the confused decisions of the American presidency to have an idea of ​​what is happening elsewhere. meanwhile the EU is just an executor: even if Germany, France and Italy wanted to do something different, a remote-controlled Von Der Leyen would arrive from the Dems and put them back in line. So the G7 is good for photos and, perhaps, for a nice beer, but politically it counts for nothing, absolutely nothing.
26109	1	THE VICE-PRESIDENT OF THE RUSSIAN SECURITY COUNCIL COMES BACK TO ATTACK THE WEST: “THE LEVEL OF POLITICIANS HAS DROPPED LOW. IT IS CLEAR TO EVERYONE THAT MARIO DRAGHI IS NOT SILVIO BERLUSCONI AND OLAF SCHOLZ IS NOT ANGELA MERKEL” – “THE GREAT LEADERS OF THE PAST WERE NOT RUSSOPHOBES, AND THEY HAVE BEEN REPLACED BY A NEW GENERATION OF WEAK PEOPLE WHO CALL THEMSELVES TECHNOCRAT…”
26109	3	"The level of Western politicians has ""dropped to the bottom"" and ""I have seen it with my own eyes in the last 20 years"". In Europe, for example, ""there is not even a trace of political figures of the level of Helmut Kohl, Jacques Chirac or Margaret Thatcher"" and ""no offense to anyone, but it is clear to everyone that Mario Draghi is not Silvio Berlusconi, and Olaf Scholz is not Angela Merkel."""
26109	5	"Words of the deputy president of the Security Council of the Russian Federation, Dmitri Medvedev, who in a new message on Telegram returns to rail against Europe. According to the former Russian premier and former president, the great leaders of the past, who ""were never Russophobes"", have been replaced by a new generation of ""weak people"" who ""conventionally define themselves as technocrats."
26109	7	"Some of them are quite qualified specialists, but nothing more. And therein lies the problem! These people are able to correctly formulate an idea, give precise instructions to assistants. But I can't take responsibility."" «They try to hide, mislead, talk about the economic situation, even about climate change but they don't make a decision. Or they take it with a catastrophic delay. And that's already total trouble."""
26110	1	Crisis drought and desertification: this is why revolutionary ecology is needed
26110	3	The drought has hit Italy with a new and stronger wave: the rivers are dry, the water basins are languishing and agriculture suffers – from north to south – due to the aridity of the land and sudden attacks by parasites and grasshoppers, as is happening these days in the inland areas of Sardinia. It is not a biblical scenario but the torrid Italian spring-summer of 2022. What should a nation do that is moved by will and not by resigned fatalism? Here is a reflection on the subject.
26110	5	Drought and desertification
26110	7	"As you can already imagine, the problem is more serious and complex than the simplistic narrative that environmentalists are making regarding the water emergency. The story is always the same, but it doesn't help... on the contrary, to say that anthropization and human work cause the climatic upheaval that is reported almost daily to unified networks means offering a decisive assist to the desert. The problem, it seems obvious to say but it does well to repeat, is above all political – and by political I mean the highest that can be assigned to this term. But first let's see what's happening and dispel some myths: when we talk about drought, we immediately think of the summer period, the season with no or little rain par excellence. And in general it is like this, because it has always been like this. At least since Someone or something pushed our planet into a dance of rotation and oscillation around the Sun. Drought is not a summer event, or rather, it finds its destructive outlet in the summer. In fact, the problem is in the autumn and/or winter period because in these periods, in which land and aquifers should be ""supplied"" with the water necessary to face the heat, there is instead that lack of rain that the most stupid foolishly in the summer. Especially, it is important that snow accumulates in quantities on the mountains, in order to then release the water more slowly during the spring melting phase. It is therefore obvious that the causes of the drought, especially in northern Italy, must be sought higher than the Po valley, given that, as should be known thanks to a school geographical atlas, all the so-called left tributaries of the Po (Mincio, Adda, Ticino, Oglio etc…) are of glacial origin, i.e. their flow is regulated by the seasonal melting of the Alpine glaciers. The same goes for the large lakes such as Garda and Como, the same goes for the large non-tributary rivers of the Po which however flow through the entire north-east, such as the Adige, the Isonzo and the Piave. Geographic excursus aside, drought is not fought in the summer and Politics (always the one with a capital ""P"") should move at the source, not at the mouth - literally."
26110	9	Matter of will
26110	11	"Before tackling a more philosophical than practical discourse, it is useful to make some historical references, at least for the sake of the truth, both on the so-called climate issue and on the avant-garde works undertaken by Italy at the beginning of the last century. Let's give some reference points to understand what we are talking about: the climate issue has as its main argument the increase in temperature on earth, which is an objective fact as it is the product of numerous scientific surveys. However, the perception that we have thanks to the media overexposure is that the temperature has increased and is continuing to increase by several degrees. We actually know that since the year in which temperatures were started to be recorded scientifically and objectively, i.e. since 1880, 140 years ago, the temperature on earth has risen by 0.9 degrees. To this fact it should be added that around the mid-1800s a period defined as the Little Ice Age ended, which began in the mid-1400s; it goes without saying, as the name suggests that during these centuries the earth has experienced a period of cooling especially in the northern hemisphere: we have evidence of ice that allowed us to walk on the Thames. It is a natural consequence, again due to that ""touch"" that started the oscillation of this geoid called the Earth, that since the end of the ""little"" glacial period the temperatures have gradually risen. Not to mention the great glacial periods that we know to have been geological events, the last one ""just"" 14,000 years before Christ. A blink of an eye for such far-reaching natural cycles. However, from this objective datum arise two currents of thought that are to say the least subjective, bordering on fatalistic superstition. I rely here on the words of Dr. Guglielmo Pannullo, who in an article for the Student Block of 2020 well exposed these currents: ""Skeptics and catastrophists - he explains - have two diametrically opposed points of view on the causes of global warming, and until a few years ago the discussion was mainly confined to the Anglo-Saxon world. The fulcrum of the discussion is the reason for this increase, not the how much. The role of the world of information and lobbies around the subject has led to the polarization of positions and the formation of these two opposing sides. As for the skeptics – continues Pannullo – the position of prof. Zichichi, of whom an interview for Il Primato Nazionale came out a few months ago, who claims that the models in vogue today for forecasting climate change are unpredictable, since the climate is a phenomenon that has so many mutable factors that it cannot be absolutely predicted with a mathematical model. Consequently, he believes that the causes of global warming are linked to activities external to the earth, such as solar activity, and in any case not due to man. At a global level, however, the credibility of the skeptic component has, in some cases, been strongly questioned following the discovery that some exponents or supporters of global warming have been consultants to oil companies such as Exxon, Shell and Texaco etc. On the other hand, the catastrophic component attributes the full responsibility for climate change to man, seeing the causes of global warming in too much CO2 and in the emissions of climate-altering gases. Instrument used by catastrophists are the reports of the IPCC, the Intergovernmental Panel on Climate Change, i.e. a group of scientists who do not carry out environmental or climate monitoring but study scientific publications, research products and make reports more frequently five years or less. This latest report from 2014 highlighted how the majority of scientists believe that man is probably the cause of global warming""."
26110	13	"It is therefore clear, thanks to this exhaustive explanation, how serious a problem of perspectives is regarding the environment, polluted without too many words by a Judeo-Christian vision of the world (""Be fruitful and multiply, fill the earth and subdue it, dominate the fish of the sea and the bird of the sky and every living thing creeping on the earth"" - Genesis 1,22) which contains in a nutshell the separation between human and cosmos which reaches the capitalist and Marxist vision through the secularization of the West: the materialist one, where the environment is something else, it is part of capital, it exploits the use value and makes everything around us materially useful. But the problem then – you will say – is men. This is not the case, because as far as catastrophists and hippies may say, man is the decisive ecological agent for the rebalancing of ecosystems."
26110	14	The solution is man
26110	16	"The solution is man. The solution then is Politics. If man is an animal, ordered in the cosmos together with all living things, he is necessarily a political animal, i.e. community, supportive, aggregative, technical and historical. Our nature without a predestined habitat (like the oceans for plankton) moves us towards the organization of our space according to our political instinct. Couple, family, tribe, village, city, region, state, nation, empire… they are all forms of organization that are not only social, but above all natural. Or rather, let's stop thinking about what is social and political as something distinct and separate from our lives, separate and inimical to nature. The first step of revolutionary ecology is to reject the schemes of homo oeconomicus according to which the main characteristics of a man are rationality (understood in the primary sense, above all as precision in calculation) and the exclusive interest in the care of his own individual interests. Consumerism, intensive production, exploitation of the environment and of precarious work are effects not causes. We also reject the Enlightenment myths of the noble savage who carries with them the kind of biological racism that considers industrial society superior to tribal society, but is moved by the good feelings of bringing the tribals down to their level by force. The problem is ideological: if you consider the problem only in a fatalistic key ""it's bound to be like this"", then the desert will continue to advance and dry up our land. So let's move on to the drought problem."
26110	17	A political problem
26111	3	"“Contrary to Washington's triumphant pronouncements, Russia is winning the war and Ukraine has lost the war. The debate is open on the long-term damage caused to Russia"". Thus Graham E. Fuller, former vice president of the National Intelligence Council at the CIA, who details the consequences of this ""American-Russian war fought by proxy to the last Ukrainian""."
26111	5	In the note, Fuller explains that “US sanctions against Russia have proved far more devastating for Europe than for Russia itself. The global economy has slowed down and many developing nations face severe food shortages and the risk of rampant hunger.”
26111	7	"The devastation suffered by Europe is creating critical issues in the relationship between it and Washington, which is forcing its clients to support at their own expense its line of ""errant and hypocritical foreign policy, based on the desperate need to preserve 'American leadership' in the world"". And it remains to be seen whether he will agree to join the ""ideological"" war against China without reservations, on which the Old Continent depends more than on Russia."
26111	9	“One of the most disturbing features of this US-Russian fight in Ukraine has been the sheer corruption of the independent media. Washington won the information and propaganda war hands down, coordinating all Western media and forcing them to sing the same hymn book that is characterizing the Ukrainian war. Never before has the West witnessed such a total imposition of an ideologically driven geopolitical perspective [...] Caught in this virulent barrage of anti-Russian propaganda, the likes of which I have never seen even in my Cold Warrior days, serious analysts they have to dig deep to get an objective understanding of what is actually happening in Ukraine.”
26111	11	"The grip on the media has had the effect of silencing ""almost all alternative voices"". “But the most dangerous implication is that as we head towards future global crises, we are witnessing the disappearance of a truly free and independent press”, while public opinion is prey “to media dominated by multinationals close to political circles, which enjoy the support of electronic social media; all actors who manipulate the narrative to their own ends. As we face predictably greater and more dangerous instability produced by global warming, refugee flows, natural disasters and likely new pandemics, the strict state and corporate domination of Western media becomes very dangerous indeed for the future of democracy ” (oddities of this so-called struggle between democracy and autocracy…)."
26111	13	As for the geopolitical changes dictated by the Ukraine crisis, Fuller notes that “massive US sanctions against Russia, including the confiscation of Russian funds in Western banks, are causing most of the world to reconsider going all-in on US dollar in the future. The diversification of international economic instruments is already underway and will weaken Washington's once dominant economic position and its 'one-sided weapon', the dollar.
26111	15	"Furthermore, Russia's move towards Asia now appears to be an irreversible destiny, producing that China-Russia axis that Washington has long feared as an existential threat. This process has reached such a point that the idea of ​​disjointing this axis, put forward by many Western analysts and politicians, is now a pure ""fantasy""."
26111	17	"""Unfortunately for Washington, almost all of its expectations about this war are turning out to be wrong"", concludes Fuller, according to whom in the future this time could prove to be the moment in which the West has become aware of the error inherent in condescension towards the American claim to ""preserve its global dominance"", which will inevitably create ""new confrontations, increasingly dangerous and harmful with Eurasia"". While “most of the rest of the world – Latin America, India, the Middle East and Africa – sees no national interest at stake in this fundamentally American war against Russia”."
26111	19	If we refer to these opinions, which are not new to this site, it is because they are stated by an authoritative source that certainly cannot be accused of pro-Putinism, an accusation that was also abused during the endless wars by Western propaganda, which from time to time silenced the critical voices of be pro-Saddam, pro-Assad. pro-Iranians, pro-terrorists and whatnot. Nihil sub sole novum.
26111	21	The only novelty is that in the past, during the previous stages of this infinite war - which necessarily had to turn against Russia and China (and against Europe, more or less indirectly) - is that while the Arabs and the Africans nobody cared about anything (as nothing cares now about Yemen). Now that the war affects the price of petrol and food, it does matter. Also from this point of view, nihil…
26113	1	“THERE IS AN ECONOMIC CALCULATION BEHIND PUTIN'S IMPERIAL DREAM”
26113	3	"John Lennon's hit song ""Imagine"" has always been a popular song for the wrong reasons. ""Imagine that the world will live as one"" is the best way to end up in hell."
26113	5	"Those who cling to pacifism in the face of Russian aggression on Ukraine get entangled in their own version of ""imagination."" Imagine a world in which tensions are no longer resolved through armed conflict. Europe has persisted in this world of 'imagination', ignoring the brutal realities far from its borders."
26113	7	Now it's time to wake up.
26113	9	The dream of a quick Ukrainian victory, a reiteration of the original dream of a quick Russian victory, is over.
26113	11	"In what looks increasingly like a protracted stalemate, Russia is making slow progress, and its ultimate goal is explicit and stated. You no longer need to know how to read between the lines when Putin compares himself to Peter the Great: 'At first glance, it seemed that he was taking something away from Sweden. He wasn't taking anything away from her, he was giving it back. Naturally, it was also up to us to take back what belonged to us and to strengthen the country""."
26113	13	"Rather than focusing on particular issues (is Russia really simply ""giving back"" something? And to what?), we would do well to carefully read Putin's words that legitimize his statement: ""To assert a certain type of leadership any country , any people, any ethnic group must guarantee its sovereignty. Because there is no middle ground, no intermediate state: a country is either sovereign or a colony""."
26113	15	"What these words imply is clear: there are two categories of states, the sovereign ones and the conquered ones. From Putin's imperial perspective, Ukraine falls into the latter category. Moreover, as is equally evident from the official Russian declarations of recent months, the ""second category"" also includes Bosnia and Herzegovina, Kosovo, Finland, the Baltic States and, ultimately, Europe itself."
26113	17	"Now, therefore, we can understand what was meant when Putin was invited to ""save face"". It means accepting not so much a negligible territorial compromise in Donbass, but Putin's imperialist ambition. The reason why this ambition should be rejected outright is that in our global world today, in which we are all plagued by the same catastrophes, we are all pulled into the middle, into an intermediate state, which is neither a sovereign country nor a conquered country: to insist on full sovereignty in the face of global warming is sheer folly, because our very survival depends on close global cooperation."
26113	19	Russia, on the other hand, does not limit itself to completely ignoring global warming: why did it get angry with the Scandinavian countries when they expressed their intention to join NATO? With global warming, control of the Arctic Northwest Passage is at stake. (For this same reason Trump wanted to buy Greenland from Denmark). Due to the explosive evolution of China, Japan and South Korea, the most important communication route will pass north of Russia and Scandinavia. Russia's strategic plan is to take advantage of global warming: to control the most important communication route, as well as to stimulate the development of Siberia and control Ukraine.
26113	21	In this way, Russia will assume a preponderant position in the production of foodstuffs, which will allow it to blackmail the whole world. This is the economic reality behind Putin's imperial dream.
26114	3	A criminal and insane policy. Those who arrive by sea and land are not enough in Lamorgese. He wants to get more by air.
26114	5	Remember: every immigrant who arrives in Italy means sharing ever fewer resources with another. It means less money per capita. Less place in hospitals, kindergartens, social housing and transport. It means less water and electricity. In the age of scarcity it is an even greater crime.
26114	7	Not only open ports and the institutionalization of NGO traffic, not only thousands of Tunisians landed and then released on the territory with a ridiculous no-go document. Not only luxury ships where to send them on a cruise.
26114	9	The government of contagion and invasion is also speeding up the flights that bring us immigrants to Italy.
26114	11	The Italian government is the ******* of Sant'Egidio. Which in turn is the ******* of the invasion.
26114	13	"""These are difficult moments that see our country engaged on various fronts, starting with the Ukrainian crisis where we have had many requests for protection but I believe it is very important to start and continue along the line of humanitarian corridors because it is important that there is a method legal to arrive in the Mediterranean countries”. Thus the Minister of the Interior, Luciana Lamorgese, on the sidelines of an event in Naples."
26114	14	“One of the legal methods that we are pursuing with great determination is that of humanitarian corridors. – he concludes – The fundamental point is to try to talk more and more about legal methods to get them from other countries to Italy”.
26114	16	Overall, 4,400 refugees have arrived in Europe with the system of the notorious humanitarian corridors, of which over 3,600 in Italy.
26114	18	Italy sinks into a crisis with no way out, these criminals with Lampedusa attacked by thousands of illegal immigrants go to Greece to get them. A member country of the EU. People arriving from Cameroon and Congo. Or from countries like Iraq and Syria where the war ended years ago and could go home. We are governed by criminals who prostitute us to the Vatican humanitarian traffickers.
26114	20	We have to go get them.
26114	22	The goal of these 'humanitarian corridors' sponsored by Sant'Egidio, an entity that works for the ethnic deconstruction of Europe, is not to help, but to use these people by deporting them to Europe. Otherwise, the work of organizations such as Sant'Egidio to prevent real Syrian refugees from returning home from Lebanon and Turkey could not be explained:
26115	3	"It is a great fortune for Italy to have a minister like Roberto Cingolani. Double good luck, since the Milanese physics professor heads a dicastery with obscure, but certainly fundamental competences, that of the ""ecological transition"". Cingolani is, as they say, a technician, a key category of our time, which gives an aura of omniscience, independence and indisputability to the actions of those who boast the appellation."
26115	5	"The real fortune, for the fate of the Italian people, is that Cingolani has a sort of direct line to heaven. A year ago he ruled that planet Earth was designed for three billion people, a concept repeated even recently. In a conference on nanotechnologies, the minister professor asserted (no, assured, the technicians do not assert, they assert ex cathedra) that “human beings are parasites because they consume energy without producing anything. The planet was designed for three billion people, there are too many of us, we are parasites”. He added ""that it can destroy any cell with a magnetic field applied to intelligent nanoparticles (iron oxide) by heating it to fifty degrees with an external magnetic field."""
26115	7	"We have understood nothing – mea culpa, mea maxima culpa, illiterates of Science and Technology – but the minister's words seem vaguely threatening. Waiting to leave this world pierced not by a moonbeam but by a murderous magnetic field, we thank Cingolani for having sincerely pronounced the words that the oligarchies hide behind flues, verbal acrobatics and false philanthropies. Strange philanthropists convinced that there are too many of us crowding the planet, who assume the right to determine who will be able to escape intelligent nanoparticles, assisted suicides, mass euthanasia, pandemics perhaps created in secret ""gain-of-function"" laboratories. Another unbearable euphemism to describe techno-scientific caverns in which Cingolani's colleagues covered by diving suit-like protections work to strengthen existing viruses (or create new ones), with the virtuous official goal of tracking down antidotes and vaccines."
