doc_id	paragraph_id	it-ge
26101	10	Wie auch immer Sie es ausdrücken, der Tweet ist fast ein situationistisches Werk.
26101	12	„Wir würden gerne verstehen, was die Farnesina mit diesem Tweet gemeint hat.
26101	13	Denn entweder ist die Karte falsch, und es wäre ziemlich schwerwiegend, oder die Hilfe hat sie in das falsche Land geschickt (und es wäre noch schwerwiegender..).
26102	3	"«Wir hätten beim CSM für die Auslosung gearbeitet, um den Mechanismus zu brechen. Wir hätten die Verantwortung des Richters, der Fehler macht, revolutioniert», schreibt der florentinische Senator in seinem Buch Il Mostro. Deshalb wollten die Strömungen, allen voran Md, Gratteri nicht zum Hüter der Siegel machen. Rolle, die dem Piddino Andrea Orlando zufiel, der vom Unternehmen offensichtlich als ""zuverlässig"" angesehen wurde. Es war Renzi, der gestern bei der Präsentation seines Buches die schlechteste Version bestätigte, die bisher hinter den Kulissen zurückgelassen worden war. «Giorgio Napolitano», sagte er, «hat mir unter Ausnutzung der Vorrechte der Verfassungscharta mitgeteilt, dass er Gratteri nicht als Justizminister haben will. Punkt""."
26102	5	Das Staatsoberhaupt tat nichts anderes, als das Veto der Strömungen umzusetzen, die sich um die Verteidigung des Status quo bemühten. «Nicht nur die demokratische Justiz, sondern auch Unicost» aus dem zentristischen Bereich «war absolut gegen Gratteris Kandidatur, weil er dort gegen die Strömungen gegangen wäre. Andere schätzten Gratteri nicht für seine nicht gerade garantierten Positionen. Aber es besteht kein Zweifel daran, dass Gratteri in diesem Moment ein Element der absoluten Störung des Systems, der wirklichen Verschrottung war».
26103	3	Der Frühling sollte frischen Wind bringen, aber beim Lesen der Zeitungen dieser Tage ist es beunruhigend zu lesen, wie die Hüter der Orthodoxie uns nach Jahren der Entbehrungen und des Elends trotz Pandemien und Kriegen weiterhin die üblichen Rezepte anbieten.
26103	5	"Am 23. Mai veröffentlichte die Europäische Kommission die Länderberichte, d. h. die Berichte, mit denen die Kommission die Ergebnisse ihrer Überwachung der wirtschaftlichen und sozialen Bedingungen der Mitgliedstaaten zum Ausdruck bringt und eine Reihe von Empfehlungen ausdrückt, mit denen der Prozess der Überwachung der Haushaltspolitiken (aber nicht nur) der Staaten. Eine Überwachung, die im Rahmen des Postpandemic Recovery Plans eng mit der Auszahlung von Mitteln aus dem Next Generation EU-Programm und damit dem PNRR verknüpft ist. Tatsächlich erinnerte Ursula von der Leyen, Präsidentin der Europäischen Kommission, mit Bezug auf die spezifischen Empfehlungen für jedes Land, „bisher hing es nur von den Ländern ab, ob sie diese einhalten oder nicht, aber jetzt sind die Empfehlungen verknüpft Subventionen und potenzielle Kredite"""
26103	7	Natürlich gibt es auch welche für Italien, und wenn man sie liest, fallen einem die Arme herunter.
26103	9	"Schon auf der Titelseite sagt uns der Bericht, „wer wir sind und woher wir kommen“, und vielleicht ist das das einzige, wofür wir ihm danken müssen, denn mit einer einfachen Grafik erinnert er uns daran und löscht die unerträgliche Rhetorik der verschiedenen „Beste“, die Anhänger haben, dass seit der Finanzkrise von 2008 nicht nur der Abstand zu den anderen europäischen Volkswirtschaften dramatisch zugenommen hat, sondern sogar die Pandemie Italien mit einem realen BIP erfasst hat, das immer noch 3 % unter dem Niveau von vor 2008 liegt; der Rest ist jüngere Geschichte: der bedeutendste Rückgang des BIP in Europa im Jahr 2020, ein ""Rebound"", der - anders als in anderen Ländern - weitgehend unzureichend ist, um den verlorenen Boden wieder gut zu machen, die BIP-Linie, die mit dem Krieg wieder horizontal wird und auf einem stets niedrigeren Niveau als 2008; kurz gesagt, 15 Jahre, in denen wir nicht nur relativ, sondern auch absolut an Boden verloren haben."
26103	11	"Was der Bericht übrigens zu erwähnen vergisst, ist, dass wir in diesen fünfzehn Jahren - und insbesondere von 2011 bis zum Beginn der Pandemie - zu den fleißigsten Studenten gehörten, die ""Hausaufgaben"" (sprich: Sparmaßnahmen mit kontinuierlichem Primärüberschüsse zu beseitigen und die wenigen verbliebenen Sozialmaßnahmen zu eliminieren), getreu dem ""Ratschlag"", den wir in den Berichten der Vorjahre gefunden haben: kurz gesagt, eine Lektüre, die ehrlich gesagt einer Ablehnung des ""Meisters"" gleichkommt und nicht von Der Schüler."
26103	13	"Aber wie auch immer: Der Italien gewidmete Bericht zuckt fröhlich mit den Schultern und schlägt das übliche Rezept vor, das aus Kürzungen, Reformen und (der einzigen Neuerung) ""Warten auf die PNRR ..."" besteht."
26103	15	Mit der Beschreibung der bestehenden Situation fortfahrend, bedauern die Verfasser des Berichts, dass – auch aufgrund der nicht vorübergehenden Maßnahmen, die in den letzten zwei Jahren ergriffen wurden – das öffentliche Defizit weiterhin die magische Schwelle von 3 % überschreiten wird, und bedauern die guten Zeiten (für sie) des Jahres 2019, als wir ihn auch dank einer beeindruckenden Reihe von Primärüberschüssen auf 1,5 % gesenkt hatten: Doch heute wissen wir genau, was dies während der Pandemie bedeutete, zum Beispiel in Bezug auf den Mangel an Dienstleistungen, Krankenhauspersonal, Betten oder Hühnerstallklassen und verfallene Strukturen (um nur zwei der am stärksten betroffenen Sektoren zu nennen).
26103	17	Wir fahren mit den unvermeidlichen „exzessiven makroökonomischen Ungleichgewichten“ fort. Ungleichgewichte, die in der Sprache der Kommission als „übermäßige Staatsverschuldung“ übersetzt werden können. Eine wahllose Kürzung der Staatsverschuldung, insbesondere durch die Kürzung der öffentlichen Ausgaben. Damit wird die ohnehin schon dramatische Situation des öffentlichen Dienstes in Italien und der Arbeitslosigkeit noch verschlimmert. Letzteres ist offensichtlich ein Ungleichgewicht, das die Kommission tolerieren kann.
26103	19	Weiterhin wird die „Strukturschwäche des Arbeitsmarktes“ genannt, auch wenn die Kommission auch anerkennen muss, dass die teilweise Erholung des Beschäftigungsniveaus nach der Pandemie im Wesentlichen auf prekäre Beschäftigung zurückzuführen ist.
26103	21	Nicht zuletzt erinnert uns der Bericht daran, dass Italien zu den europäischen Ländern gehört, die am stärksten von russischem Gas abhängig sind, und dass es daher wahrscheinlich am stärksten unter den wirtschaftlichen Auswirkungen des Krieges leiden wird.
26103	23	Wenn dies der Stand der Technik ist, ist der Ausblick in die Zukunft womöglich noch düsterer: Gesagte von der Notwendigkeit, den Marsch in Richtung eines ausgeglichenen Haushalts wieder aufzunehmen (und bei allem Respekt vor denjenigen, die sich über die Aussetzung des Stabilitätspakts freuen : Wenn wir die Besten sind, fügen wir uns schließlich Sparmaßnahmen selbst zu…), scheinen alle Hoffnungen in die Heilseigenschaften der PNRR gesetzt zu werden, wobei daran erinnert werden sollte, dass Italien der absolut größte Nutznießer ist und eines von nur vier Ländern, das auch den Zugang zu Krediten beantragt hat.
26103	25	"Abgesehen davon, dass - wie wir bereits an anderer Stelle erklärt haben - diese Intervention weitgehend unzureichend ist, wenn nicht offen widersprüchlich, ist es wirklich beeindruckend zu sehen, dass die verschiedenen ""Reformen"" im Zusammenhang mit der PNRR aneinandergereiht sind: Bürokratieabbau zur Heilung einer öffentlichen Verwaltung ""nicht ausreichend Responsive to Business Needs“ (sic!), öffentliche Beschäftigungsreform (hier als Beispiel befristete Experten, die gerade für die Verwaltung der PNRR eingestellt werden), Liberalisierungen (insbesondere für öffentliche Dienstleistungen, siehe Nahverkehr, Wasser, Müll, etc.)… kurz gesagt, alles schon Gesehene und Gehörte, und leider oft auch schon Angewandte, bis hin zu dem Punkt, dass wir die schädlichen Auswirkungen auf unsere Lebensqualität nur allzu gut kennen."
26103	27	Im Übrigen kaum etwas anderes, einschließlich eines zu reformierenden Steuersystems durch eine stärkere Gewichtsverlagerung auf Verbrauchssteuern (und besonders niedrige Steuersätze werden angestrebt, d. h. das Instrument, mit dem versucht wird, die Auswirkungen einer strukturell regressiven Steuer abzumildern) und auf Immobilien (einschließlich Erstwohnungen).
26103	29	"Die Europäische Kommission befindet sich jedoch in guter (tatsächlich schlechter) Gesellschaft: Die jährliche Überwachungsmission des Internationalen Währungsfonds nach Italien endete am 17. Mai, und selbst in diesem Fall hielten es die Experten vor ihrer Abreise für angebracht, uns einige zu überlassen Hinweis: Neben der Forderung nach einem gebrochenen Rekord „einer glaubwürdigen zweigleisigen Strategie, um das hohe Defizit und die hohe Verschuldung mittelfristig deutlich zu reduzieren“, konzentriert sich dieser Bericht mehr auf die wirtschaftlichen Folgen des Krieges, indem er klarstellt, dass „die fiskalische Die Reaktion auf den Energieschock sollte zurückhaltender sein als bei der Pandemie“; die „Lösungen“ in diesem Fall werden im REPower-EU-Plan (also praktisch nichts) und bei den Sozialprämien (siehe den jüngsten und weitgehend unzureichenden Beihilfeerlass) identifiziert. Auch in diesem Fall liegt das Interessanteste darin, was der Bericht nicht sagt: Wenn verrückte Rechnungen vorhanden sind, geben Sie denjenigen, die mehr vor Ort sind, ein paar Münzen, aber wehe, Sie fordern eine tiefgreifendere und strukturellere Intervention durch der Staat bei der Regulierung des Marktes; selbst zaghafte Eingriffe in einige Rechnungsposten wie Verbrauchsteuern und Netzentgelte werden nicht empfohlen, weil ""obwohl dies die Preise für Familien und Unternehmen sofort senkt, Energieeffizienz nicht empfohlen wird und die Vorteile allen Verbrauchern zugute kommen""."
26103	31	Abschließend rufen die Europäische Kommission und der Internationale Währungsfonds zur Ordnung auf und schlagen im Grunde dieselben Rezepte vor, dank derer wir angesichts der Katastrophe der Pandemie ohne Hilfsmittel gefunden wurden.
26103	33	Wir wissen, dass die Verbesserung unserer Lebensqualität einen genau entgegengesetzten Weg geht: Wiederbelebung der Sozialausgaben durch den Staat und die Kommunen (was auch laufende Ausgaben bedeutet, zum Beispiel, um Ärzte, Krankenschwestern, Lehrer usw. zu bezahlen), politisch kohärente Umwelt- und Energiepolitik, stabile Arbeitsverträge und angemessene Löhne, ein wirklich progressives Steuersystem.
26105	3	Ich habe gelesen, dass es in diesen Stunden einen Teil der Bewegung gibt, der einen Resolutionsentwurf vorgeschlagen hat, der uns von dem Bündnis zwischen der NATO und der EU abbringt – sagt der Chef der Farnesina aus Gaeta – die NATO ist ein Verteidigungsbündnis, wenn es denn so wäre Wenn wir aus der Reihe tanzen, setzen wir Italiens Sicherheit aufs Spiel.
26105	5	Di Maio behauptet: „Die NATO ist ein Verteidigungsbündnis“. Wir kommentieren und wollen die offensiven Verbrechen der Atlantischen Allianz nicht erwähnen, wir laden Sie einfach ein, das Buch des amerikanischen Intellektuellen Noam Chomsky und des Philosophen und Essayisten Andre Vltchek mit dem Titel „Western Terrorism“ (Ponte alle Grazie) zu lesen. , wo Sie alles Wissenswerte zum Thema finden. Wir kommentieren auch nicht die Anwesenheit von Dutzenden von Atomsprengköpfen unter direktem Befehl der in unserem Gebiet anwesenden NATO-Meister, die unsere gegenwärtige und zukünftige Sicherheit gefährden.
26105	7	Wir kommentieren sie nicht, nur weil die Worte von Luigi Di Maio, die gestern von Repubblica aufgegriffen wurden, ihn zu Recht dazu bringen, die atlantischen fundamentalistischen Wahnvorstellungen eines jeden Molinari oder Riotta zu überwinden.
26105	9	Uns interessiert jedoch noch ein weiterer Aspekt, und zwar die Hysterie, mit der der Außenminister und die Republik den „Skandal“ so früh zur Sprache brachten.
26105	11	Nach dem von der ganzen Welt verspotteten lächerlichen Friedensplan arbeiten der Mieter der Farnesina und die Fiat-Zeitung wieder Hand in Hand.
26105	13	Der Grund ist schnell gesagt.
26105	15	Am 21. Juni wird Mario Draghi gezwungen, ins Parlament zu gehen. Darauf hätte er sicher verzichtet und vermutlich in der nächsten Legislaturperiode diese Pflicht vor einem Europäischen Rat aufgehoben. Aber jetzt wird es erzwungen. Und die Mehrheitsparteien müssen eine gemeinsame Resolution definieren.
26105	17	Für diejenigen, die wie Conte und Salvini in den letzten Wochen Kritik (in Worten) an der Lieferung von Geheimwaffen an das Kiewer Regime geäußert haben, die Italien zu einem kriegführenden Land gegen eine für unsere Wirtschaft lebenswichtige Atommacht gemacht haben, alle Knoten kommen unweigerlich nach Hause, um sich niederzulassen.
26105	19	Was also fürchten Repubblica und Di Maio und was ist die Dringlichkeit dieses koordinierten Ausstiegs?
26105	21	"Einfach, dass jemand leicht Hand anlegen kann, wenn unsere ""Verbündeten"" um blinden Gehorsam gegenüber ihren Diktaten bitten."
26105	23	Der Anführer der M5S hat einen sehr einfachen Schachmatt-Zug auf seiner Seite, der ihn, wenn er nicht erwischt wird, zu Recht zu einem der schlimmsten Quislinge in der jüngeren italienischen Geschichte machen wird: Sofort die leere Delegation aus der Regierung entfernen, die von ALLEN Mehrheits- und Mehrheitsparteien gegeben wurde, getarnt als die Brüder von Italien (mit einem Vertrauensvotum im Senat am 31. März Gesetz gemacht). Wir erinnern Sie daran, dass es Draghi, Di Maio und Guerini erlaubte, drei aufeinanderfolgende Dekrete - vor dem Parlament verborgen - mit einer Reihe geheimer und nicht entschlüsselter Waffen zu erlassen, die Kiew und wahrscheinlich die Neonazi-Bataillone erreichten, die sie auch in diesen Stunden erreichten sind der Verbrechen gegen die Zivilbevölkerung des Donbass schuldig.
26105	25	Das ist es, wovor Di Maio und Repubblica Angst haben, so sehr, dass sie trotz des kläglichen Scheiterns des berüchtigten Friedensplans, der von der Zeitung Fiat veröffentlicht wurde, zu koordinierten Operationen zurückkehren.
26105	27	Nach der beschämenden Abstimmung im Parlament auch durch seine 5-Sterne-Bewegung – mit Ausnahme von Vito Petrocelli, der für seine Wahl mit der unrechtmäßigen Entlassung aus dem Amt des Präsidenten der Kommission für auswärtige Angelegenheiten bezahlt hat – kann Conte die Vasallen der NATO und mehr schachmatt setzen extremistische Kriegstreiber, indem sie einfach die Einladung von Mattia Crucioli von Alternativa und Präsident der Neo-Gruppe CAL annahmen. In einem Brief, den wir Ihnen ebenso wie der Anti-Diplomatic am Mittwoch veröffentlicht haben, forderte Crucioli alle Parlamentarier auf, „gemeinsam“ eine Resolution zu verfassen, die die leere Delegation der Regierung zu diesem Thema beseitigt.
26105	29	Blockieren Sie nicht die Waffenlieferungen, sondern lassen Sie das Parlament wieder souverän werden und über jedes einzelne nachfolgende Dekret abstimmen. Jede Partei muss gegenüber der öffentlichen Meinung über jede künftige Entscheidung Rechenschaft ablegen, und das Parlament muss darüber informiert werden, wie viele und welche italienischen Waffen nach Kiew geliefert wurden.
26105	31	Worauf wartet Conte, um diese Einladung anzunehmen?
26105	33	Hier ist, wovor Di Maio und Repubblica Angst haben.
26105	35	Giuseppe Conte, der in den letzten Wochen in Worten Reue über die von seiner Partei abgegebene leere Stimmrechtsvertretung gezeigt hat, hat keine Alternative: Entweder er fährt damit fort, sie zu entfernen, selbst um den Preis des Rücktritts seiner Minister aus der Regierung, oder sein unrühmliches politisches Ende es wird Geschichte sein. Urteil mit neuem Artikel am Mittwoch.
26106	1	G7 in Monaco: Sie machen so wenig aus, dass es selbst den Demonstranten egal ist
26106	3	Deutschland übernimmt die Führung der G7, aber niemand kümmert sich darum. Die G7 sieht aus wie ein pensionierter ARCI-Kreis, in dem sich ehemalige Mächte treffen, die einmal etwas waren, und die jetzt ihre Zeit damit verbringen, sich vorzumachen, dass sie es immer noch sind. Ein bisschen wie Prodi, der jetzt im Fernsehen predigt und denkt, er sei immer noch etwas, aber der, nachdem er Italien zerstört und mit allen ein bisschen geflirtet hat. jetzt spielt es keine Rolle mehr.
26106	5	Die G7 zählen mittlerweile so wenig, dass selbst die Gegendemonstrationen, organisiert von den üblichen Schein-Alternativorganisationen wie WWF, ATTAC und anderen „Umwelt“-Organisationen, gefloppt sind. Ein kolossaler Flop: Die Polizei erwartete 20.000 Menschen, am Ende kamen nur 3.500. Am Ende inszenierten vier Katzen, die eine lächerliche Demonstration „Weil es eine Klimakrise gibt, weil wir das Artensterben riskieren“ und andere Annehmlichkeiten inszenierten sind mittlerweile trivial geworden.
26106	7	Denn was bringt es, gegenüber einer Gruppe von Menschen zu demonstrieren, die einerseits die Sammler dieser Organisationen sind, andererseits aber nichts mehr zählen. Biden hat große Probleme mit der Inflation. Johnson ist in Schwierigkeiten für die Wirtschaft, aber auch für interne Probleme, da die halbe Partei inmitten von Skandalen und Wahlflops gegen ihn rebelliert. Scholz, der nicht Merkel ist, führt eine widersprüchliche Mehrheit und eine Wirtschaft nahe an Rezession und Deindustrialisierung. Macron hat die Legislative verloren, er regiert, aber er regiert nicht mehr wie bisher. Draghi ist ein Insolvenzverwalter Italiens, der von anderen platziert wurde. Nur Trudeau und Kishida sitzen fest im Sattel, mit eigenen wirtschaftlichen Problemen, auch wenn sie denen der USA untergeordnet sind.
26106	9	Am Ende der G7 kümmert sich niemand um irgendetwas: Es reicht, die wirren Entscheidungen der amerikanischen Präsidentschaft zu kennen, um eine Vorstellung davon zu haben, was anderswo passiert. Inzwischen ist die EU nur noch ein Vollstrecker: Selbst wenn Deutschland, Frankreich und Italien etwas anderes machen wollten, würde eine ferngesteuerte Von Der Leyen von den Dems kommen und sie wieder auf Linie bringen. Das G7 ist also gut für Fotos und vielleicht für ein schönes Bier, aber politisch zählt es nichts, absolut nichts.
26109	1	DER VIZEPRÄSIDENT DES RUSSISCHEN SICHERHEITSRATS KOMMT ZURÜCK, UM DEN WESTEN anzugreifen: „DAS NIVEAU DER POLITIKER IST NIEDRIG GEFALLEN. ES IST JEDEM KLAR, DASS MARIO DRAGHI NICHT SILVIO BERLUSCONI UND OLAF SCHOLZ NICHT ANGELA MERKEL IST“ – „DIE GROßEN FÜHRER DER VERGANGENHEIT WAREN KEINE RUSSOPHOB, UND SIE WURDEN DURCH EINE NEUE GENERATION SCHWACHER LEUTE ERSETZT, DIE SICH TECHNOKRATEN NENNEN…“
26109	3	"Das Niveau westlicher Politiker sei ""auf den Boden gesunken"" und ""das habe ich in den letzten 20 Jahren mit eigenen Augen gesehen"". In Europa zum Beispiel „gibt es nicht einmal eine Spur von politischen Persönlichkeiten auf dem Niveau von Helmut Kohl, Jacques Chirac oder Margaret Thatcher“ und „niemandem etwas Böses, aber es ist allen klar, dass Mario Draghi nicht Silvio Berlusconi ist, und Olaf Scholz ist nicht Angela Merkel."""
26109	5	Worte des stellvertretenden Präsidenten des Sicherheitsrates der Russischen Föderation, Dmitri Medwedew, der in einer neuen Nachricht auf Telegram erneut gegen Europa wettert. Laut dem ehemaligen russischen Ministerpräsidenten und ehemaligen Präsidenten wurden die großen Führer der Vergangenheit, die „nie Russophobe waren“, durch eine neue Generation „schwacher Menschen“ ersetzt, die „sich herkömmlicherweise als Technokraten definieren.
26109	7	"Einige von ihnen sind ziemlich qualifizierte Spezialisten, aber nicht mehr. Und darin liegt das Problem! Diese Personen sind in der Lage, eine Idee richtig zu formulieren und den Assistenten genaue Anweisungen zu geben. Aber ich kann keine Verantwortung übernehmen."" «Sie versuchen sich zu verstecken, irrezuführen, reden über die wirtschaftliche Situation, sogar über den Klimawandel, aber sie treffen keine Entscheidung. Oder sie nehmen es mit einer katastrophalen Verzögerung. Und das ist schon totaler Ärger."""
26110	1	Krisendürre und Wüstenbildung: Deshalb braucht es eine revolutionäre Ökologie
26110	3	Die Dürre hat Italien mit einer neuen und stärkeren Welle heimgesucht: Die Flüsse sind trocken, die Wasserbecken versiegen und die Landwirtschaft leidet – von Norden nach Süden – unter der Trockenheit des Landes und plötzlichen Angriffen von Parasiten und Heuschrecken, wie sie gerade diese passieren Tage im Landesinneren Sardiniens. Es ist kein biblisches Szenario, sondern der heiße italienische Frühling-Sommer 2022. Was sollte eine Nation tun, die vom Willen und nicht von resigniertem Fatalismus bewegt wird? Hier eine Reflexion zum Thema.
26110	5	Dürre und Wüstenbildung
26110	7	"Wie Sie sich bereits vorstellen können, ist das Problem ernster und komplexer als die vereinfachende Darstellung, die Umweltschützer in Bezug auf die Wasserkrise machen. Die Geschichte ist immer die gleiche, aber es hilft nichts ... im Gegenteil, zu sagen, dass Anthropisierung und menschliche Arbeit die Klimaumwälzung verursachen, von der fast täglich einheitliche Netzwerke gemeldet werden, bedeutet, der Wüste eine entscheidende Hilfe zu leisten. Das Problem, so scheint es naheliegend zu sagen, aber es tut gut, es zu wiederholen, ist vor allem ein politisches – und mit politisch meine ich das Höchste, was diesem Begriff zugeordnet werden kann. Aber lassen Sie uns zuerst sehen, was passiert, und mit einigen Mythen aufräumen: Wenn wir von Dürre sprechen, denken wir sofort an die Sommerperiode, die Jahreszeit ohne oder mit wenig Regen schlechthin. Und im Allgemeinen ist es so, weil es schon immer so war. Spätestens seit irgendjemand oder irgendetwas unseren Planeten in einen Rotations- und Oszillationstanz um die Sonne versetzt hat, ist Dürre kein Sommerereignis, oder vielmehr findet sie im Sommer ihr zerstörerisches Ventil. Tatsächlich liegt das Problem in der Herbst- und/oder Winterperiode, denn in diesen Perioden, in denen Land und Grundwasserleiter mit dem nötigen Wasser ""versorgt"" werden sollen, um der Hitze standzuhalten, gibt es stattdessen diesen Mangel an Regen, den die Dümmsten dummerweise machen im Sommer. Besonders wichtig ist, dass sich auf den Bergen Schnee in großen Mengen ansammelt, um das Wasser dann während der Frühjahrsschmelze langsamer abzugeben. Es liegt daher auf der Hand, dass die Ursachen der Dürre, insbesondere in Norditalien, höher als in der Poebene zu suchen sind, da, wie dank eines geographischen Schulatlasses bekannt sein sollte, alle sogenannten linken Nebenflüsse des Po ( Mincio, Adda, Ticino, Oglio etc…) sind glazialen Ursprungs, d.h. ihr Abfluss wird durch das jahreszeitliche Abschmelzen der Alpengletscher reguliert. Das gleiche gilt für die großen Seen wie Garda und Como, das gleiche gilt für die großen Nicht-Zuflüsse des Po, die jedoch den gesamten Nordosten durchziehen, wie die Etsch, der Isonzo und der Piave. Geographischer Exkurs beiseite, Dürre wird im Sommer nicht bekämpft und die Politik (immer die mit einem großen „P“) sollte an der Quelle ansetzen, nicht an der Mündung – im wahrsten Sinne des Wortes."
26110	9	Willenssache
