doc_id	paragraph_id	fr-ge
23101	5	Es ist einer der Stränge des Aktionsplans der Europäischen Union gegen Rassismus 2020-2025. Am 28. April, der Präambel zur Eröffnung des Europäischen Monats der Vielfalt, nahmen acht europäische Städte ihre Auszeichnungen mit großem Tamtam entgegen. Eine Initiative, die 2020 ins Leben gerufen wurde und von nun an jeden Mai bis zum Tod gefeiert wird.
23101	7	Die Goldmedaille ging an Köln, gefolgt von Göteborg, „wo Greta Thunberg geboren wurde“. Diese Leistung verdiente daher eine Silbermedaille. Die Bronzemedaille ging an Barcelona. Und Frankreich? Gar nichts. Nein. Wir sind nicht vielfältig und inklusiv genug. Die Stadt Arras war jedoch eine der 22 vorausgewählten Städte aus den 82, die sich beworben hatten, aber wir haben dort angehalten.
23101	9	Nebenbei bemerkt: Da wir wissen, dass die Europäische Union 400 Städte mit mehr als 100.000 Einwohnern hat, dass der Wettbewerb für Agglomerationen mit mindestens 50.000 Einwohnern offen war und dass sich nur 82 Städte beworben haben, können wir schließen, dass dies für Europäer nicht uninteressant war Bürger. Allerdings hat die Kommission nicht an den (dummen) Werbekampagnen gespart.
23101	11	Sie sollten bereits wissen, dass die Europäische Union „Initiativen zur Förderung von Vielfalt und Inklusion und zur Bekämpfung von Ungleichheiten und Diskriminierung, insbesondere in der Roma-Gemeinschaft“, finanziert. Mit einem Budget von 1,55 Milliarden Euro für den Zeitraum 2021-2027 ist das Programm „Citizens, Equality, Rights and Values“ (CERV) „der größte EU-Fonds, der jemals der Förderung von Rechten und Werten gewidmet wurde“. in der EU“.
23101	13	Auf dem Papier ist es idyllisch. Die Kommission wimmelt von Ideen für Unternehmen und andere Verbände, die die 26 von 14.400 Organisationen ratifizierten Chartas der Vielfalt unterzeichnet haben. Ziel des Mai der Vielfalt ist daher vor allem, „Diskriminierung durch Maßnahmen zu bekämpfen, die über die derzeit geltende Gesetzgebung hinausgehen“, also bleibt jedem selbst seine kleine Idee überlassen.
23101	15	"Für diejenigen, denen es fehlt, bietet die Europäische Union Veranstaltungen und Aktionen an, um ihren kleinen Laden zu fördern, da sie weiß, dass ein Label es ermöglicht, auf Google Maps, der Karte, referenziert zu werden, ""die auf nationaler und europäischer Ebene aufgegriffen wird und so Sichtbarkeit bei Ihnen gibt Veranstaltung! “ Helena Dalli, EU-Kommissarin für Gleichstellung, baumelt also an wundersamen Ergebnissen: „Indem Sie eine interne Veranstaltung für oder in Zusammenarbeit mit Ihren Mitarbeitern oder eine Veranstaltung für die breite Öffentlichkeit, für Ihre Kunden und Lieferanten (sic) organisieren, zeigen Sie Ihre Engagement und feiern Sie Vielfalt, während Sie das Bewusstsein der Mitglieder Ihrer Organisation schärfen. »"
23101	17	Die Europäische Union hat daher einen „Inspirierenden Leitfaden zur Feier des Europäischen Monats der Vielfalt“ herausgegeben. Die Leitlinie: „Konzentrieren Sie sich darauf, Verbindungen zwischen den verschiedenen Diskriminierungsgründen zu finden, die Sie in Ihren Strategien und Aktivitäten zu Vielfalt und Inklusion ansprechen, und ergreifen Sie dann Maßnahmen, die sich zeitweise mit mehreren Bereichen der Diskriminierung befassen“.
23101	19	Heutzutage haben Unternehmer vielleicht andere Sorgen!
23101	21	Zufällig Balthazar, Sie können eine Frankfurter Wurstmesse in Toulon und eine Anchoïade in Wiesbaden haben; Sie erhalten dann „eine Glückwunschnachricht, sobald Ihre Veranstaltung etikettiert wurde“ und können „das Kommunikationskit mit den grafischen Elementen der Joli Mois de l’Europe“ (Logos, Poster, Flyer, Banner usw.) abrufen. ). Es ist schön, nicht wahr?
23102	1	In Italien bedroht eine historische Dürre die Landwirtschaft
23102	3	Starker Rückgang von Schneefall und Regen und sehr hohe Temperaturen: Norditalien steht vor der schlimmsten Dürre seit 70 Jahren. Da Seen und Flüsse austrocknen, fürchten die Landwirtschaft und der Energiesektor das Ausmaß der Schäden.
23102	5	Seit der Hitzewelle von 2003 hat das Land „die sechs trockensten Jahre seiner Geschichte“ erlebt, erinnert sich Francesco Vincenzi, Präsident des Verbands der Bewässerungskonsortien (Anbi). Dieses Jahr ist jedoch nicht wie die anderen. Nicht nur für den Ernst der Lage, sondern auch für den Zeitraum, in dem sie eintritt. „Wenn wir vorher über die Dürre ab dem 20. Juli gesprochen haben, haben wir jetzt den 23. Juni und sprechen schon seit mindestens zwanzig Tagen darüber“, ist er alarmiert.
23102	6	Der Schneefall ist in diesem Winter um 70 % und der Niederschlag seit Dezember um die Hälfte zurückgegangen
23102	8	Erster Zeuge und Opfer der Tragödie: der Po. Dieser 652 km lange Fluss, der längste Italiens, durchquert den Norden des Landes von den Alpen im Westen bis zur Adria im Osten. Eine Animation aus Satellitenbildern der Europäischen Weltraumorganisation (ESA) vergleicht den Zustand des Flusses in den Jahren 2020, 2021 und 2022. Die Ergebnisse sind beunruhigend. Wir sehen den Wasserlauf, der allmählich kleiner wird und immer ausgedehnteren Sandstränden Platz macht. Die Strömung des Po ist so stark zurückgegangen – bis zu 80 % – dass das Salzwasser aus der Adria fast 30 km ins Landesinnere gestiegen ist. Eine riskante Situation für die Trinkwasserversorgung und die Landwirtschaft. „Wir können nicht mit Salzwasser bewässern, sonst verbrennen wir alles“, erklärt Francesco Vincenzi. Zudem bedeute das Eindringen von Salzwasser langfristige Folgen, denn „es wird Jahre dauern, bis es aus den Grundwasserleitern verschwindet“.
23102	10	Nördlich des Flusses trocknen auch die großen Seen zusehends aus. Der Lago Maggiore würde laut Anbi mehr als 2.527 Millionen m³ Wasser benötigen, um wieder seinen Durchschnitt zu erreichen, und der Comer See hat eine Füllungsrate von weniger als 12%. Darüber hinaus sind es dieselben Seen, die die Flüsse teilweise durch ein Regulierungssystem speisen. „Wenn wir sagen, dass der See trocken ist, heißt das nicht, dass er leer ist“, präzisiert Matteo Cislaghi, Hydrologe bei der lombardischen Agentur für Umweltschutz (Arpa). Unterhalb eines bestimmten Niveaus könne das Wasser nämlich nicht mehr abgelassen werden, weil „es nicht nur die Mündung [des Wasserreservoirs] nicht mehr erreichen würde, sondern auch den See töten würde“, erklärt der Hydrologe .
23102	12	Am Ursprung dieser historischen Dürre: eine Häufung von Krisen. Der Schneefall ist in diesem Winter um 70 % zurückgegangen und die Niederschläge seit Dezember um die Hälfte. Die Region Piemont verlief fast 110 Tage ohne einen Tropfen Regen. Hinzu kommen außergewöhnlich hohe Temperaturen, teilweise bis zu 3°C mehr, die das frühe Schmelzen der Schneeflocken auf den Berggipfeln bewirken.
23102	14	"Folgen: ""Die Verfügbarkeit von Wasser erlaubt es nicht, alle ökologischen, landwirtschaftlichen und industriellen Bedürfnisse zu erfüllen"", analysiert Massimiliano Pasqui, Forscher am Observatorium für Dürre des italienischen Nationalen Forschungsrates (CNR)."
23102	15	Der Landwirt erkennt die Fakten: Fast 50 % seiner Maisproduktion sind gefährdet
23102	17	Der Zugang zu Trinkwasser bleibt gewährleistet, bestätigen jedoch alle kontaktierten Gesprächspartner. Hunderte von Kommunen in den betroffenen Regionen haben jedoch beschlossen, den Wasserverbrauch einzuschränken. In Mailand zum Beispiel ist es verboten, sein Schwimmbad zu füllen oder sein Auto mit einem Strahl zu reinigen. Im Piemont haben zwei Gemeinden nachts die Wasserhähne geschlossen, bestätigt der für Umwelt zuständige Regionalrat Matteo Marnati. „In Gebieten, in denen die Aquädukte älter sind, gibt es Probleme mit Verlusten. Wir schaffen es, sie zu lösen, indem wir Wasser in Tankwagen bringen“, erklärt er.
23102	19	Der von dieser Krise am stärksten betroffene Sektor ist die Landwirtschaft. Wie alle Produzenten im Po-Becken lebt Davide Canegrati nun „Tag für Tag“, je nach Wettervorhersage. Dienstag, 28. Juni, der Regen war tatsächlich da. Wenn es die Flüsse und Seen vorübergehend entlastete, reichte es nicht aus, um das Wasserdefizit zu füllen. Der Landwirt erkennt die Fakten: Fast 50 % seiner Maisproduktion sind gefährdet. „Seit April konnten wir nur 30 der 50 Hektar, auf denen die Pflanze angebaut wird, ganz oder teilweise bewässern“, erklärt er. Auch die 70 Hektar Wiesen sind trocken. Da diese Produktion am Ende der Saison zum Füttern seiner Kühe verwendet wird, wird Davide Canegrati sicherlich wählen müssen, ob er seinen Viehbestand „um mindestens 25 %“ reduzieren oder anderswo Lebensmittel kaufen soll, trotz der durch die russische Invasion in der Ukraine verursachten steigenden Preise.
23102	21	In größerem Maßstab ist die gesamte Landwirtschaft des Po-Beckens gefährdet, da sie weiß, dass sie allein fast 40 % der italienischen Lebensmittel produziert, darunter Vorzeigeprodukte wie Parmesan. In der Lombardei seien die Weizenerträge mancherorts bereits um 30 bis 40 Prozent eingebrochen, sagt Ermes Sagula, Leiter des Hilfszentrums beim Bauernverband Coldiretti Lombardy. Heute wird der Schaden für die italienische Landwirtschaft auf mehr als 500 Millionen Euro geschätzt. „Zum Ende des Jahres werden wir sicherlich eine Zahl haben, die eine Milliarde übersteigt“, fährt er fort.
23102	23	Eine weitere von der Dürre betroffene Produktion: die Energie. Die meisten Wasserkraftwerke stehen still oder wurden sogar abgeschaltet, wie das der Insel Serafini, 70 km südöstlich von Mailand. Bis Ende 2022 können wir mit einem Produktionsrückgang von 55 bis 60 % bei großen Anlagen und 70 bis 75 % bei kleinen Anlagen rechnen, schätzt der Branchenverband Assoidroelettrica. „Es ist eine besonders ernste Situation, wenn man weiß, dass die Energie, die nicht mit Wasser erzeugt wird, mit Gas produziert werden muss, dessen Preise extrem hoch sind“, betont Paolo Taglioli, Generaldirektor des Verbands. Und deren Treibhausgasemissionen das Problem verschlimmern werden.
23102	25	„Wir haben die Illusion, dass diese Ressource unendlich ist, obwohl sie es nicht ist“
23102	27	Zur Bewältigung der Krise besteht die Po-Einzugsgebietsbehörde darauf, dass die Entnahmen des verfügbaren Wassers um 20 % reduziert werden müssen. Dann müssen die Lösungen langfristig durchdacht werden, denn „die Dringlichkeit ist strukturell“, erinnert sich Matteo Marnati. Tatsächlich deuten alle Indikatoren darauf hin, dass solche Episoden häufiger werden. „Die Temperaturen steigen und unsere Gletscher schrumpfen“, analysiert Orietta Cazzuli, Leiterin des Wetterdienstes von Arpa. Was den Niederschlag betrifft, „haben wir keine Anzeichen einer Abnahme“, aber er könnte immer weniger regelmäßig und intensiver sein.
23102	29	Vorschläge liegen also auf dem Tisch, damit ihnen in Zukunft nicht die Puste ausgeht. Matteo Marnati drängt auf den Bau neuer Dämme in der Region Piemont, um mehr Regenwasser aufzufangen. Mit fast 600 Deichen und rund fünfzehn Seen ist die Lombardei eine wasserreiche Region. „Was wir brauchen, ist ein besseres Wassermanagement“, sagte Damiano Sirmine vom Umweltverband Legambiente. Ihm zufolge muss sich die regionale Landwirtschaft, die hauptsächlich auf Reis und Mais basiert, insbesondere wasserintensive Kulturen, anpassen. „Wir müssen akzeptieren, dass die Landwirtschaft in diesem Szenario des Klimawandels ihre Produktionsentscheidungen ändern muss“, fährt er fort. Zu all dem fügt Massimiliano Pasqui einen kulturellen Wandel hinzu. Sie müssen lernen, Wasser zu sparen. „Wir haben die Illusion, dass diese Ressource unendlich ist, obwohl dies nicht der Fall ist. »
23102	31	Zumal in den letzten Wochen auch in den zentralen Regionen des Landes, wie der Toskana, den Marken und Latium, der Dürrealarm zu läuten begann. Am Montag, den 4. Juli, erklärte die Regierung in fünf nördlichen Regionen den Notstand und kündigte die Freigabe eines Fonds in Höhe von 36,5 Millionen Euro zur Bewältigung dieser Dürre an.
23103	1	Covid-19: ein Frankreich ohne Kurs und Kompass angesichts der siebten Welle
23103	3	Wenige Präventionsbotschaften, keine starken Maßnahmen, alles vor dem Hintergrund wissenschaftlicher Unsicherheit: Die Bewältigung der Pandemie leidet unter der Müdigkeit der Franzosen, aber auch unter der Konkurrenz anderer Krisen, während die Zahl der täglichen Fälle auf 100.000 steigt im Durchschnitt am 1. Juli.
23103	5	Niemand weiß genau, wie hoch es gehen wird. Seit Anfang Juni breitet sich die siebte Welle in Frankreich aus und die Varianten Omicron BA.4 und BA.5 verbreiten sich rasant in der Bevölkerung. Die Folgen in Bezug auf die Sterblichkeit und das Gesundheitssystem sind noch begrenzt, aber die Zahlen steigen rasant und das Krankenhaus ist anfälliger denn je. Ende letzter Woche schätzte der Präsident des wissenschaftlichen Rates, Professor Jean-François Delfraissy, auf der Antenne von RTL, dass es gegen Ende Juli zu Spannungen im Krankenhaussystem kommen könnte. Nach den neuesten Regierungsdaten befinden sich seit dem 1. Juli 960 Menschen mit Covid-19 auf der Intensivstation, wobei seit dem 20. Juni eine Genesung eingeleitet wurde. Mehr als 16.000 Menschen werden ins Krankenhaus eingeliefert, mit inzwischen fast tausend täglichen Aufnahmen. Eine Steigerung von 31 % in den letzten sieben Tagen im Vergleich zur Vorwoche. Am 1. Juli wurden durchschnittlich fast 100.000 neue Fälle pro Tag gemeldet, fast 60 % mehr als in der Vorwoche. Der Anstieg verlangsamt sich nicht.
23106	1	Ein „COP of Cities“ im Kampf gegen den Klimawandel
23106	3	Über den Klimawandel zu sprechen bedeutet, immer die neuesten katastrophalen Ereignisse zu beschwören, mit denen wir konfrontiert sind. Denken Sie an die Hitzewelle, die Indien und Pakistan vor kurzem gebeugt hat, denken Sie an diejenigen, die dabei sind, Europa zu treffen, es vergeht kein Monat, ohne dass ein Alarmsignal ausgegeben wird. Überschwemmungen, Hitzewellen, Brände. Früher, intensiver, verheerender, diese Episoden erinnern uns immer mehr an unsere Zerbrechlichkeit und die Dringlichkeit zu handeln.
23106	5	Die COP 26 in Glasgow hat die Erwartungen nicht erfüllt. Unfähigkeit, das Niveau der Ambitionen zu erhöhen, Unfähigkeit, das zu stabilisieren, was in Bezug auf die Solidarität mit den Staaten des Südens notwendig ist, es ist das Spektakel eines langsamen Multilateralismus, zu dem wir eingeladen wurden.
23106	7	Die Dringlichkeit ist da, die Bedrohung rückt näher, die IPCC-Berichte lassen kein Entrinnen zu. Die globale Erwärmung ist zweifellos menschengemacht. Eine Begrenzung auf 1,5 °C ist nur um den Preis schneller und massiver Veränderungen vorstellbar. Das Schlimmste ist nicht sicher, aber der Erfolg setzt einen Dekarbonisierungspfad voraus, von dem wir noch weit entfernt sind.
23106	9	Zu dem immer leiser werdenden Grundrauschen dieser Bedrohung gesellt sich das der Krisen, die sich dort einluden, wo man sie nicht mehr erwartete. Covid-19 und der Krieg in der Ukraine. In zu vielen Ländern haben diese Krisen zu einer Bevorzugung des „Hier und Jetzt“ geführt. Wir müssen uns jedoch weiterhin mit dem Klimaproblem befassen, bevor es zu spät ist.
23106	11	Wir brauchen eingehaltene Versprechen und Ressourcen. Wir brauchen eine systemische Antwort, damit die Klimamigration nicht zu weiteren unkontrollierbaren Kaskadeneffekten führt. Wenn wir diese Probleme nicht untersuchen, setzen wir uns dem Risiko aus, uns mit gefährdeten Ländern zu zerstreiten. Wir müssen jedoch zusammenhalten, es geht um die Menschheit.
23106	13	Lasst jeden seinen Teil beitragen
23106	15	Jetzt gilt es, neue Balancen zu finden, allen voran den Aufbau eines breiteren Multilateralismus, der es allen ermöglicht, ihren Beitrag zu leisten.
23106	17	Die Städte sind da, sie waren schon immer da, auch in dunklen Zeiten. Sie krempeln mit den ihnen zur Verfügung stehenden Mitteln die Ärmel hoch. Sie erfinden, sie kreieren, sie holen lokale Akteure an Bord, um ein Gesellschaftsmodell zu erfinden, das lokale Ressourcen berücksichtigt.
23106	19	Städte, auch die mit den kleinsten Budgets, sind voller Ideen. Ressourcen werden geschaffen, manchmal das Produkt öffentlicher Politiken, manchmal das Auftauchen von Bürgern, getragen von informellen Netzwerken. Es sind diese Reichtümer, die Optimismus zulassen.
23106	21	Heute liegen Mittel auf dem Tisch, finden aber nicht immer ihr Ziel. Auf Bankenlogik aufbauende Finanzierungsrahmen erfüllen nicht immer die Garantien, die Städte bieten können. Ohne sich diesen strukturellen Schwierigkeiten zu stellen, ist es eine Gruppe von Städten, die von der Entwicklungshilfe ferngehalten werden.
23106	23	Heute müssen wir die Bedingungen für einen breiteren Dialog schaffen, einen Vektor des Austauschs, der Gerechtigkeit und der Aufmerksamkeit für die Schwächsten. Aus diesem Grund findet am 1. und 2. Juli in Abidjan die „COP of Cities“ statt, zu der sich rund hundert Bürgermeister von Städten aus aller Welt versammelt haben.
23106	25	Sie findet auf einem Kontinent statt, der wie kein anderer vom Klimawandel betroffen ist und der nur eines verlangt: seine Dynamik, seine Kreativität und seine Jugend in den Dienst der Allgemeinheit zu stellen. Sie können sich auf uns, die Bürgermeister von Städten auf der ganzen Welt, verlassen.
23106	27	Sie können sich auf unsere Wachsamkeit verlassen, auf unsere Entschlossenheit, alles in unserer Macht Stehende zu tun, um den Lauf der Dinge zu ändern.
23106	29	Die Unterzeichner: Anne Hidalgo, Bürgermeisterin von Paris, Robert Beugré Mambé, Gouverneur des autonomen Bezirks Abidjan, Souad Abderrahim Cheikh El Medina von Tunis, LaToya Cantrell, Bürgermeister von New Orleans, Philippe Close, Bürgermeister von Brüssel, Frank Cownie, Präsident von Local Governments for Sustainability ( Iclei) und Bürgermeister der Stadt Des Moines, USA, Willy Demeyer, Bürgermeister von Lüttich, Franziska Giffey, Bürgermeisterin von Berlin, Roberto Gualtieri, Bürgermeister von Rom, Ron Huldai, Bürgermeister von Tel-Aviv-Yafo, Grégoire Junod Syndic von Lausanne, Sadiq Khan, Bürgermeister von London und Präsident von C40, Fatimetou Abdel Malick, Präsident der Region Nouakchott und Präsident von UCLG-A, Carlos Moedas, Bürgermeister von Lissabon, Maxime Prévot, Stellvertretender und Bürgermeister von Namur, Rafal Trzaskowski, Bürgermeister von Warschau.
23107	1	Der Stolz der Vorstädte, der queere Marsch der Arbeiterviertel
23107	3	Zwei Jahre sind seit dem ersten Vorstadt-Pride vergangen, zwei Jahre, die von einer gesundheitlichen und sozialen Krise mit entsetzlichen Folgen geprägt waren. Zwei mehr als anstrengende Jahre für uns Queers, Bewohner von Arbeitervierteln, rassifizierte Menschen, prekäre Menschen, undokumentierte Migranten, Exilanten, behinderte Menschen, neuroatypische, HIV-positive Menschen, Sexarbeiter, Transmenschen, Nicht-Binäre, all diese deren Identitäten und Äußerungen als nicht konform gelten. Zwei Jahre, in denen wir viele Vermisste in unseren Gemeinschaften betrauert haben.
23107	5	Die Präsidentschaftswahlen sind einer immer hinterhältigeren und korrupteren öffentlichen Debatte gewichen, die von zunehmender LGBTQIA+-Phobie, Islamophobie und Rassismus angetrieben wird. Jeden Tag werden wir im Fernsehen, im Radio ausgesondert und beleidigt. Unsere Rechte werden verweigert, unsere Würde verletzt. Während wir als Monster, Straftäter oder sogar Terroristen gelten, bleibt die politische Untätigkeit in Bezug auf die Notfälle, die wir erleben, bestehen. Die Prekarität, die wir immer erlebt haben, wird durch eine unternehmerische Bewältigung der Krise verstärkt, durch eine zurücktretende Regierung, die uns jeden Tag ihr Desinteresse an unserem Leben zu verstehen gibt.
23107	7	Wir sind konfrontiert mit schlechter Wohnlage, von der fast jeder sechzehnte Mensch betroffen ist, der Sättigung der Nahrungsmittelhilfe, dem immer schwieriger werdenden Zugang zur Präfektur oder zu öffentlichen Verwaltungen und der Verschärfung der polizeilichen Repression, die schon immer unser tägliches Leben waren (1). Als queere, als rassifizierte Menschen besteht jedes Mal, wenn wir uns behandeln lassen wollen, die Angst, dass Gesundheitsexperten nicht dafür ausgebildet sind, sich um unsere Situation zu kümmern. Eine Angst jedes Mal, wenn wir uns an einem Schalter befinden: „Werde ich richtig versorgt oder werde ich wegen meiner (oder meiner) Identität vernachlässigt?“.
23107	9	Überfüllte Notunterkünfte
23107	11	Unter all diesen Ungerechtigkeiten müssen wir in diesem Jahr auf der strikten Anwendung des Grundrechts auf menschenwürdiges Wohnen bestehen. In Seine-Saint-Denis sind die Notunterkunftsdienste systematisch ausgelastet: 71.011 Anträge auf Unterbringung wurden im Laufe des Jahres nicht erfüllt, sodass 9.653 Menschen ohne Hilfe auf der Straße zurückblieben (2). Wir, Schwule aus der Arbeiterklasse, sind unter diesen Obdachlosen überrepräsentiert. In der Tat ist es üblich, dass wir nach physischer, psychischer oder wirtschaftlicher Gewalt aus unserem Zuhause ausgeschlossen werden, ohne dass es eine Lösung für eine Unterbringung gibt. Allerdings ist derzeit keine Empfangsanlage unseren Anforderungen gewachsen.
23107	13	Der Notfall kann nicht warten! Niemand wird für uns kämpfen, wenn wir, LGBTQIA+ aus Arbeitervierteln, den Kampf nicht alleine führen. Wenn unsere Verbündeten uns nicht unterstützen! Wir glauben, dass die Antworten, die unsere Würde wiederherstellen, universell sind. Unsere Kämpfe werden vielen unserer Mitmenschen zugute kommen. Wie Anna Julia Cooper, eine berühmte afrofeministische Aktivistin, sagte: „Wenn sie eintreten, treten wir alle ein“, bedeutet dies, dass die Tür für uns zu öffnen bedeutet, sie für alle zu öffnen (3).
23107	15	Seien wir am 4. Juni 2022 um 14 Uhr immens zahlreich, Place René-Dumont in Saint-Denis, um unserer Wut Gehör zu verschaffen. Gegen unsere Schwestern, unsere Brüder, unsere Mitmenschen aufzustehen. Zur Geltendmachung unserer Rechte. Vereinigt euch unter dem Banner, Einzelpersonen und Gemeinschaften zu feiern! Lasst uns gemeinsam Ausgrenzung bekämpfen! Bauen wir gemeinsam eine Gesellschaft auf, in der die Menschenwürde bedingungslos ist!
23107	17	Um das Kräftegleichgewicht zu schaffen, das wir brauchen, rufen wir alle auf, sich unserem Demonstrationsaufruf anzuschließen, indem sie ihn auf der Website unterzeichnen: https://www.pridedesbanlieues.fr /
23107	19	(1) „26. Bericht über den Zustand schlechter Wohnungen in Frankreich 2021“, Abbé-Pierre-Stiftung.
23107	21	(2) „Tätigkeitsbericht 2020“, Interlogement93.
23107	23	(3) „Demarginalizing the Intersection of Race and Sex: A Black Feminist Critique of Antidiskrimination Doctrine, Feminist Theory and Antiracist Politics“, von Kimberley Crenshaw, 1989, S. 160.
23107	25	Unterzeichner: Barbara Butch, Enza Fragola, Fatima Daas, Lexie Agresti, Minima Gesté, Océan Michel, Shirley Souagnon, Tahnee, Tal Madesta, Yazid Mallek; 1.001 Lesben und Queers, Helfer, Act Up-Paris, LGBT-Zentrum Paris Ile-de-France, LGBTQIA + Divines, Transfem Liberation Front, Goudou e s on Wheels, Iel8 - Feministisches Kollektiv von Paris 8, Queer Education , Voice Unearthed.
23108	1	In Russland sind diese Unwahrheiten ebenso erschreckend wie absurd
23108	3	Wladimir Putin mag den Krieg in der Ukraine verlieren, aber er gewinnt seinen anderen Krieg, den in Russland gegen Wahrheit und Information. Ein Bleimantel legte sich über das Land, und ein orwellsches Propagandasystem wurde eingeführt, dem der Abbau aller Opposition, die Schließung aller freien Medien und die Abschaffung aller kritischen Vereinigungen vorausgingen. Infolgedessen sehen viele Russen am Vorabend des Gedenkens an den Sieg der Alliierten und das Ende des Zweiten Weltkriegs in der „Sonderoperation in der Ukraine“ einen gerechten und gerechtfertigten Krieg. Unser Bericht bezeugt dies: Zwischen den ständigen Fernsehkanälen, die ebenso erschreckende wie absurde Unwahrheiten verbreiten, und den politischen und militärischen Ankündigungen, die die Demütigung der russischen Armee in der Ukraine sorgfältig verbergen, flüchten sich die Einwohner in eine politische Apathie oder, noch schlimmer, in einer Verstärkung antiwestlicher Vorurteile in diesem Teil der Welt.
