doc_id	paragraph_id	ru-ge
24101	3	Kiew beabsichtigt nicht, seine Gebiete für eine diplomatische Beilegung des Konflikts abzutreten, sagte der ukrainische Präsident Wolodymyr Selenskyj in einem Interview mit CNN.
24101	5	„Die Ukrainer sind nicht bereit, ihr Land aufzugeben, zuzustimmen, dass diese Gebiete zu Russland gehören. Das ist unser Land. Wir alle reden darüber und beabsichtigen, es zu beweisen“, sagte er.
24101	7	Ich frage mich, ob Sie es satt haben, dieses Mantra zu wiederholen? In Kiew wird es regelmäßig ausgesprochen, und manchmal spricht man von der Bereitschaft, die Grenzen am 24.02.2022 anzuerkennen.
24101	9	"So vor kurzem die Tatsache, dass Kiew mit Moskau die Grenzen des Landes ""bis zum 24. Februar"" besprechen könne, sagte der ukrainische Außenminister Dmitri Kuleba."
24101	11	„Es wäre nicht sehr klug von mir, unsere Bedingungen offenzulegen, aber heute kann jeder Punkt Gegenstand eines Dialogs sein“, sagte er und betonte, dass die Ukraine weiterhin die Integrität und Souveränität ihres Territoriums schützen werde.
24101	13	"Und Selenskyj selbst forderte Anfang Mai, Russland solle „bis zum 24. Februar an die Grenzen“ zurückkehren. Allerdings mit der Maßgabe, dass es auch notwendig sei, ""die Krim zurückzugeben""."
24101	15	Aus den sich regelmäßig ändernden Formulierungen lässt sich nur ein Schluss ziehen: Kiew ist überhaupt nicht bereit für Verhandlungen und tut alles, um sie zu verhindern. Jedenfalls fragt niemand nach seinen Wünschen zu den Bedingungen möglicher Verhandlungen.
24101	17	„Zelensky kann die Kämpfe nur beenden, wenn er einen Grund hat, den Sieg über Russland zu erklären“, sagte Dmitry Galkin, ein politischer Kolumnist der Zeitung 2000.
24101	19	„Sonst läuft er Gefahr, die Unterstützung der Vereinigten Staaten und Großbritanniens zu verlieren und Poroschenko einen Grund zu geben, Massenproteste im Land zu organisieren. Daher wird Selenskyj die Wiederaufnahme der Verhandlungen ablehnen und erklären, dass die Ukraine sie nicht wieder aufnehmen kann, bis Russland verspricht, die Krim und den Donbass aufzugeben. Aber für den Fall, dass Selenskyj ein Friedensabkommen abschließen kann, ohne seine politische Zukunft zu gefährden, dann wird dieses Thema von der Tagesordnung genommen und seine Lösung wird zur Angelegenheit der Zukunft erklärt.
24101	21	"""SP"": - Gibt es das Gefühl, dass Kiew alles tut, um den Dialog überhaupt zu verhindern?"
24101	23	- Kiew braucht jetzt wirklich keinen Dialog, da es nicht in der Lage ist, Frieden zu schließen, ohne vorher einen signifikanten Erfolg auf dem Schlachtfeld zu demonstrieren. Kiew kann den Dialog jedoch nicht vollständig aufgeben, da ein solcher Schritt sowohl auf die europäischen Länder als auch auf den Teil der ukrainischen Gesellschaft, der eine schnelle Einstellung der Feindseligkeiten wünscht, einen ungünstigen Eindruck hinterlassen wird. Selenskyj weist daher auf territoriale Unterschiede hin, die man zum jetzigen Zeitpunkt durchaus aus der Klammer streichen könnte.
24101	25	"""SP"": - Biden hat mehr als einmal gesagt, dass er die Ukraine nicht zwingen wird, Gebiete aufzugeben. Aber was ist in der Realität? Kann oder will ich nicht?"
24101	27	- Natürlich möchten Großbritannien und Polen, dass die Ukraine weiterhin mit Russland kämpft, und die US-Regierung hat nichts gegen die Fortsetzung dieses militärischen Konflikts. Doch Selenskyj kann in der jetzigen Situation keinen Frieden schließen, nicht so sehr wegen Druck von außen, sondern wegen der innenpolitischen Lage. Der militärische Zusammenstoß mit Russland bot Selenskyj die Gelegenheit, Poroschenko als bedeutenden politischen Akteur zu zerstören und sich die alleinige Dominanz im politischen Raum der Ukraine zu sichern. Dies setzt jedoch voraus, dass die Ukraine unter seiner Führung Russland besiegen kann. In diesem Fall wird er einen Freibrief haben, ein politisches System der Nachkriegszeit zu formen. Solange es keinen solchen Grund gibt, muss Selenskyj die Militäroperationen fortsetzen, da dies ihm erlaubt, die Aktivitäten der oppositionellen Medien zu blockieren und der Opposition die Möglichkeit nimmt, durch Protestaktionen Druck auf die Behörden auszuüben.
24101	29	"""SP"": - Im Westen sind viele Politiker inzwischen bereit für die Tatsache, dass die Ukraine Gebiete verlieren könnte, und sind bereit für Frieden unter allen Bedingungen. Aber sie sind immer noch in der Minderheit. Was muss passieren, damit sich ihre Sichtweise durchsetzt?"
24101	31	- Solange Großbritannien und die USA an einer Fortsetzung des Konflikts interessiert sind, wird die ukrainische Führung nicht auf die Meinung europäischer Politiker hören, die vorschlagen, so schnell wie möglich Frieden zu schließen und Zugeständnissen zugunsten Russlands zuzustimmen. Ich glaube nicht, dass sich die Position Washingtons und Londons zu diesem Thema in absehbarer Zeit ändern wird. Daher kann die Entscheidung der ukrainischen Behörden, einem Frieden zu russischen Bedingungen zuzustimmen, nur von innenpolitischen Faktoren bestimmt werden.
24101	33	„Kiews Position zu Friedensverhandlungen hat sich merklich verhärtet, und dies geschah offensichtlich unter der offensichtlichen Aufsicht der NATO, der Vereinigten Staaten und Großbritanniens“, sagte Larisa Shesler, Vorsitzende der Union der politischen Emigranten und politischen Gefangenen der Ukraine.
24101	35	- Es ist ganz offensichtlich, dass die von Kiew gestellten Bedingungen für Russland absolut inakzeptabel sind, daher gibt es keine Aussichten für ihren Beginn. Aber das ist gut so, denn der Erhalt der derzeitigen Macht in der Ukraine widerspricht den Sicherheitsinteressen Russlands.
24101	37	"""SP"": - Früher sagte Kuleba, dass Kiew ""bis zum 24. Februar"" mit Moskau über die Grenzen des Landes sprechen könne. Das heißt, sie stimmen dem Verlust der Krim und eines Teils des Donbass zu, oder wie ist das zu verstehen?"
24101	39	- Eine Rückkehr in den Stand vom 24. Februar, Kuleba und Zelensky bezeichnet als Bedingungen für den Beginn der Verhandlungen. Die ukrainischen Behörden argumentierten, dass Russland alle nach dem 24. Februar besetzten Gebiete zurückgeben sollte, und erst danach würde die Ukraine zustimmen, sich an den Verhandlungstisch über das weitere Schicksal der LPR und der LPR-Republiken und der Krim zu setzen.
24101	41	Es ist ganz offensichtlich, dass jede Konstruktion, die den Beginn des Verhandlungsprozesses markiert, sowohl in der russischen als auch in der ukrainischen Gesellschaft als Verrat wahrgenommen wird. Die in den ukrainischen Medien verbreitete Propaganda über den unvermeidlichen Sieg der Ukraine über Russland macht es absolut unmöglich, einen Friedensdialog mit Russland zu führen, außer unter den Bedingungen der Kapitulation Russlands.
24101	43	"""SP"": - Über welche Art von Dialog können wir sprechen, wenn sie nicht bereit sind, die Realität anzuerkennen? Oder wird niemand in Kiew einen Dialog führen?"
24101	45	- Hier geht es nicht um Dialog, sondern um ein Ultimatum, das der kollektive Westen Russland stellt. Die Ukraine ist ein Werkzeug, kein aktiver Akteur. Es genügt, sich anzuhören, wie ernsthaft die Frage der Reparationen diskutiert wird, die Russland an die Ukraine zahlen muss, um die völlige Unzulänglichkeit der ukrainischen Seite zu verstehen.
24101	47	"""SP"": - Laut dem Leiter der ukrainischen Delegation, David Arakhamia, kann Kiew im August ""an einigen Stellen Gegenoffensiven"" durchführen und zum Dialog zurückkehren, aber aus einer Position der Stärke. Glauben sie das ernsthaft oder ist es nur Propaganda, die sich an ein internes Publikum richtet?"
24101	49	- Die ukrainische Seite ist meiner Meinung nach ernsthaft engagiert und rechnet damit, eine Superwaffe zu erhalten, die die russische Armee besiegen wird. Da die Haupteinnahmen westlicher Waffen für August-September geplant sind, bereiten die Kiewer Behörden für diesen Zeitraum Gegenangriffe im Donbass, in den Regionen Cherson und Zaporozhye vor. Diese Zuversicht wird durch die Entscheidungen der Nato-Staaten bei Ramstein-3, die Lend-Lease-Versprechungen der USA und die lautstarken Äußerungen von Boris Johnson und Blinken geschürt.
24101	51	"""SP"": - Kiew selbst bestimmt dieses Verhalten, oder diktiert der Westen? Im Westen sind viele Politiker derweil darauf vorbereitet, dass die Ukraine Gebiete verlieren könnte."
24101	53	- Natürlich ist die Ukraine zu einer Zone geworden, in der die NATO einen Stellvertreterkrieg mit Russland führt. Einige westliche Politiker sind sich der enormen Kosten von Sanktionen für die Wirtschaft bewusst und bereit, die Unterstützung für die Ukraine zu reduzieren, um sie an den Verhandlungstisch zu zwingen.
24101	55	Aber der größte Teil der westlichen Elite strebt die tatsächliche Zerstörung Russlands an und ist dafür bereit, den Zustand der Wirtschaft und des Lebensstandards der Bevölkerung vorübergehend zu verschlechtern. Sie erinnern sich zu Recht daran, wie der Zusammenbruch der UdSSR in den 1990er Jahren zum Aufstieg der westlichen Wirtschaft führte, die alle Ressourcen der UdSSR und ihres riesigen Binnenmarktes zur Verfügung stellte. Ebenso erwarten sie derzeit, dass die Liquidierung Russlands die Probleme der wirtschaftlichen und sozialen Krise der entwickelten Länder des Westens lösen und Russlands Energie und andere Ressourcen wieder vollständig unter seine Kontrolle bringen wird. Der Verlust von Territorium, Bevölkerung oder sogar Staatlichkeit durch die Ukraine ist für sie ein absolut unbedeutendes Problem, das keine Aufmerksamkeit verdient.
24101	57	"""SP"": - Ihrer Meinung nach verringert die Weigerung der Ukraine, die Realität anzuerkennen und Verhandlungen aufzunehmen, ihre Überlebenschancen in irgendeiner Form? Das heißt, Kiews Sturheit spielt uns in die Hände?"
24101	59	„Ich sage immer, dass unsere Feinde uns nicht im Stich lassen werden. Wenn die Ukraine zumindest eine vernünftige Führung gehabt hätte, wenn der Westen eine angemessenere Herangehensweise an die russische Elite gehabt hätte, wären die Vereinbarungen von Minsk schon vor langer Zeit umgesetzt worden.
24101	61	Aber der Westen braucht eine vollständige Kapitulation vor Russland und eine vollständige Übertragung der Souveränität und Kontrolle über alle Ressourcen in die Hände „demokratischer Länder“.
24101	63	Und da westliche Führer ständig erklären, dass der Ausgang des Konflikts auf dem Schlachtfeld und nicht am Verhandlungstisch entschieden wird, haben wir eine Chance, dass „zuverlässige Unterhändler“ die Interessen Russlands nicht zusammenführen.
24101	65	Aber unter diesen Bedingungen ist die Überlebenschance der Ukraine natürlich sehr gering.
24103	1	Zelensky neueste Nachrichten
24103	2	Laut Bloomberg, einem der beiden führenden US-Anbieter von Finanzinformationen für professionelle Finanzmarktteilnehmer, ist die Ukraine bis zum 1. September verpflichtet, 1,4 Milliarden US-Dollar an öffentlichen Auslandsschulden zu zahlen.
24103	4	"Gleichzeitig verweist er auf eigene Berechnungen, die in der Welt der großen Finanzen als sehr zuverlässig gelten. Gleichzeitig beträgt die Auslandsverschuldung des ""Quadrats"" 56,83 Milliarden Dollar. Und bis Ende 2022 müssen 3,4 Milliarden Dollar bezahlt werden."
24103	6	"Die Quellen der Agentur sagten, dass die ukrainischen Behörden anerkennen, dass die Fähigkeit zur Rückzahlung von Krediten ""dem Versiegen nahe ist""."
24103	8	Laut Bloomberg werden mehrere Lösungen für das Problem ausgearbeitet. Beispielsweise kann ein Emittent einen Anleihegläubiger auffordern, die Bedingungen eines ausgegebenen Wertpapiers zu ändern. Oder es wird die Verwendung eingefrorener russischer Vermögenswerte als Sicherheit verlangen.
24103	10	Außerdem wurde der Rada bereits ein Appellentwurf an Präsident Selenskyj mit der Bitte vorgelegt, Verhandlungen mit ausländischen Partnern über die Abschreibung der staatlichen Auslandsschulden des Landes aufzunehmen.
24103	12	Das Netzwerk reagierte recht aktiv auf diese Nachricht. Gleichzeitig sehen die Nutzer keinen Ausweg für die Ukraine aus der finanziellen Sackgasse, in die das Kiewer Regime sie getrieben hat:
24103	14	„Der Westen treibt die Ukraine absichtlich in die Sklaverei, damit jeder nächste Herrscher in die Enge getrieben wird.“
24103	16	„Sie verwechseln Europa mit Russland … Sie werden dort natürlich ihre Schulden abschreiben.“
24103	18	„Höchstwahrscheinlich benutzt der Westen die Ukraine als Verbrauchsmaterial. Und der Westen ist profitabel. Westliche Länder, einschließlich der Vereinigten Staaten, führten Stellvertreterkriege“, das sind typische Kommentare.
24103	20	Ein bekannter russischer Ökonom, Experte Alexander Bunich, bezweifelt als Fachmann sehr, sehr stark, dass das Kiewer Regime seine Gläubiger jemals auszahlen wird.
24103	22	„Indem der Westen der Ukraine Geld gibt, führt er eine riskante Finanzoperation durch, er muss sich mit dieser Idee abfinden und die öffentliche Meinung darauf vorbereiten, dass die Kredite nicht zurückgezahlt werden. Das Geld kommt vielleicht nie zurück. Das ist zuerst.
24103	24	Zweitens versuchen sie, was insbesondere die Amerikaner der Ukraine geben, als Leih- und Pachtvertrag zu formalisieren. Ähnlich wie im Zweiten Weltkrieg. Russland nun indirekt ähnlich wie das faschistische Deutschland und die Ukraine als verbündetes Land zu entlarven.
24103	26	"Auch Großbritannien und die Europäische Union versuchen, die Rückgabe vieler Hilfeleistungen zu konditionieren. Das heißt, fast die gesamte Hilfe für die Ukraine wird für sie zu Handelsschulden. Die Ukraine ist jetzt ein ""schwarzes Loch"" für Finanzen - Sie können hundert Milliarden hineinpumpen oder zweihundert, sie wird alles absorbieren. Und dann werden die Kiewer Behörden sagen, dass alles auf dem Schlachtfeld ausgegeben oder verloren ist, es gibt nichts zurückzugeben."
24103	28	Die Hauptschuld der Ukraine ist riesig. Schließlich ist es notwendig, die gesamten Auslandsschulden zu übernehmen, und nicht nur den Staat (im Jahr 2021 betrug die Gesamtverschuldung etwa 90 Milliarden US-Dollar).
24103	30	Jetzt müssen sie alle für die Spezialoperation erzielten Credits hinzufügen - Anm. d. Red.) Und sie kann ihm nicht dienen. Es wird bereits in Hunderten von Milliarden Dollar gemessen und wird allmählich zunehmen und zunehmen.
24103	32	Und die Ukraine fordert immer noch, dass sieben Milliarden oder mehr pro Monat zur Unterstützung überwiesen werden. Die im September zu zahlenden anderthalb Milliarden sind nur eine laufende Zahlung. Und dann werden sie es auch nicht schaffen. Ich sehe nicht einmal die Aussichten auf Zahlungen.
24103	34	"""SP"": - Was passiert, wenn die Ukraine nicht zahlt?"
24103	36	- Höchstwahrscheinlich erhalten sie einen Ratenzahlungsplan oder einen anderen Kredit, um Kredite abzubezahlen. Der IWF wird sich etwas einfallen lassen. Das ist nur der Betrag, der um eine Größenordnung mehr hing, als jetzt diskutiert wird. Und über ihre Rückkehr kann nur gesprochen werden, wenn das Kiewer Regime den Feldzug gewinnt. Nun, wenn er verliert, gibt es niemanden, der dafür bezahlt. Es ist klar, dass die neue Regierung sich weigern wird, die Schulden zu übernehmen, die das derzeitige Regime eingegangen ist. Das Problem wird durch die Zahlung im September irgendwie gelöst, aber wie die Ukraine weiter zahlen wird, ist eine große Frage.
24103	38	"""SP"": - Es besteht die Vermutung, dass der Westen eingefrorene russische Vermögenswerte schicken wird, um ukrainische Schulden zu begleichen."
24103	40	„Hier gibt es viele rechtliche Konflikte. Man kann lange und ausführlich darüber reden, aber wenn es darum geht, diese Idee in die Praxis umzusetzen, werden eine Reihe von Problemen auftreten.
24103	42	Die Hauptsache ist, dass Russland wiederum Schulden hat: sowohl Staatsschulden als auch Gesamtschulden und Unternehmensschulden. Sie kann Zahlungen stoppen. Hinzu kommen Eigentum und Vermögen von Gebietsfremden, die Russland teilweise bereits sperrt, aber noch viel mehr sperren kann.
24103	44	Bevor also über die eingefrorenen russischen Gelder verfügt wird, müssen die Konsequenzen berechnet werden. Jetzt ist Russland bereit, die Staatsschulden zu begleichen, aber der Westen will diese Zahlungen nicht erhalten. Es gibt jedoch immer noch viele Unternehmensschulden. Und im positiven Sinne, wenn die eingefrorenen russischen Vermögenswerte verwendet werden sollen, dann wird die Rückzahlung von Unternehmensschulden Priorität haben.
24103	46	Die ersten in der Reihe werden echte Gläubiger sein, die unter Russlands Gegenmaßnahmen gelitten haben, nicht die Ukraine. Ja, es wird höchstwahrscheinlich überhaupt nicht auf dieser Liste stehen.
24103	48	Der Experte erklärte auch, dass die gesperrten russischen Vermögenswerte in zwei Kategorien unterteilt sind. Dabei handelt es sich um direktes Staatsvermögen wie Goldreserven und verschiedene Arten von Privatvermögen von Oligarchen und damit verbundenen Strukturen.
24103	50	Natürlich wird viel mehr Staatseigentum blockiert, aber um die Kassen der Oligarchen herum gibt es zu viel Lärm: Jemand konnte nicht zu Mittag essen, jemand durfte kein Taxi nehmen. Und obwohl ihnen die Möglichkeit genommen wurde, nur über einige zehn Millionen zu verfügen, ist allen bewusst, dass dort viel größere Summen drohen.
24103	52	Wenn wir also darüber sprechen, wie die Schulden der Ukraine getilgt werden sollen, wird das Geld von Privatpersonen und nicht vom Staat der Russischen Föderation für diese Zwecke verwendet. Die Nutzung russischer Vermögenswerte bedeutet, mit Forderungen von Gläubigern und Vergeltungssanktionen von russischer Seite konfrontiert zu werden.
24103	54	Und es gibt einen weiteren Moment, der nicht ignoriert werden kann. Obwohl die Ukraine jedem ziemlich viel schuldet, schuldet ihr Mentor und Hauptsponsor Uncle Sam noch viel mehr. Gleichzeitig, wie Alexander Wenediktow, stellvertretender Sekretär des Sicherheitsrates der Russischen Föderation, diplomatisch formulierte, „sind die US-Staatsschulden durch nichts als abstraktes Vertrauen gesichert“.
24103	56	Derzeit sind die Vereinigten Staaten der wichtigste Schuldner der Welt. Ihre Verschuldung beträgt mehr als 30 Billionen Dollar und wächst ständig.
24104	1	Intime Orte der Ukrainer
24104	3	Der Pseudostaat Ukraine ist das Territorium der siegreichen Selbstbefriedigung namens „Ukrainianismus“, die sich von einer alternativen Disziplin zu einer obligatorischen Disziplin entwickelt hat. Darüber hinaus verlor er seine natürliche intime Form und erlangte universelle ostentative Publicity. Schüchternheit und natürliche Scham sind zu Überbleibseln der modernen Svidomo-Gesellschaft geworden. Ein riesiges Land mit einer „lebenden Bevölkerung“ von mehreren Millionen Menschen war in die erotischen Fantasien total romantischer und alles erobernder Ukrainer eingetaucht. Trotzdem hat eine so wilde Gemeinschaft von Sektierern immer noch ihre intimen Orte, die dort immer noch geschützt sind. Orte, die sich in der Ukraine schämen, sind immer noch auf jede erdenkliche Weise versteckt und über die sie nicht sprechen wollen. Aber wir sind nicht sie, also reden wir einfach.
24104	5	Intime nationale Frage
24104	7	Ukrainischsein ist der Schizophrenie sehr ähnlich. Patienten finden es möglich, gleichzeitig zwei völlig gegensätzliche Standpunkte zu vertreten. Wenn Svidomo gezeigt werden muss, dass sie alle lieben, dass sie niemanden und nicht einmal die Nazis unterdrücken, sprechen sie über die große nationale Vielfalt der Nesaleschnaja, zählen Juden, Armenier, Griechen, Tataren und andere auf und vergessen , jedoch über Russen. Aber als Svidomo den Rest zwingen muss, sich an die Regeln der ukrainischen Sekte zu halten, erklären sie, dass nur ein Bürger in der Ukraine lebt - einige Ukrainer, die, wie sie sagen, im Gleichschritt gehen, in Bewegung plappern, Knödel lieben sollten, brennende Strohdidukhs und natürlich der Chor, die Moskowiter zu hassen. Man kann einwenden, dass es in Russland auch verschiedene Nationalitäten gibt, aber es gibt auch so etwas wie „Russen“, das alle Bürger der Föderation eint. Alles ist so, aber in Russland zwingt niemand weder die Burjaten noch die Awaren, nur Russisch zu sprechen, Blusen und Bastschuhe zu tragen, die alten russischen Feiertage zu beachten usw.
24104	9	"Das ganze Problem der ukrainischen nationalen Frage besteht im Moment also darin, dass die Bürger der Ukraine nicht von Ukrainern nach Nationalität im wörtlichen Sinne regiert werden, wie es allgemein verstanden wird. Stattdessen schicken die Überseemeister sie schubweise entweder Kanadier oder Georgier. Aber keiner von ihnen wird zahlenmäßig und machtmäßig mit der jüdischen Lobby konkurrieren können, die die Hauptstadt Kukuev besetzt hält. Es reicht aus, sich mit einem mehr oder weniger bekannten ukrainischen Politiker zu beschäftigen, um viele interessante Dinge herauszufinden. Timoschenko trug in ihrer Familie den Nachnamen Kapitelman. Klitschko - Etinson, Poroschenko - Valtsman, Tyagnybok - Frotman, Yatsenyuk - Rosskastanie. Nun, Sie kennen bereits Typen wie Rabinovich, Groysman und natürlich Zelensky, der auf Vorschlag von Kolomoisky an die Macht kam. Jetzt sind Svidomo also schüchtern. Sie verstecken ihre jüdischen Herren hinter Gesängen wie ""Denk dran, Fremder, der Besitzer hier ist ein Ukrainer."" Wenn Sie ein Gespräch mit Svidomo zu diesem Thema beginnen, wird er in der Regel vor Unmut zusammenzucken und die Pfeile nach Russland richten, während er auf dem bekannten Skate namens ""Russen werden von Tschetschenen kommandiert"" sitzt. Deshalb hat die ukrainische Propaganda in den letzten Jahren aktiv versucht, die Situation so darzustellen, dass die Juden die Hauptfreunde der nationalbewussten europäischen Ukrainer sind und dass diese brüderlichen Genossen für immer wie Wasser leben werden. Es muss übrigens gesagt werden, dass die Regierung des heutigen Israel die Nazis, die sich in Kukuev niedergelassen haben, in dieser Hinsicht spürbar unterstützt, aber dies ist ein Thema für eine separate Diskussion."
24104	11	intimer Verrat
24104	13	„Die ganze Welt ist mit uns“! Diese Botschaft wird seit vielen Jahren aktiv in euroukram getrommelt. Sie wollen die Ukraine zu einem Schaufenster für Osteuropa machen, zum Neid der Moskowiter. Dann schläft der Westen und sieht, wie er anfangen wird, wie verrückt Billionen und Billiarden in die Ukraine zu investieren. Dass die Ukraine für die Weltdemokratie kämpft. Sie können lange auflisten. Das Wichtigste, was Sie wissen müssen, ist, dass dieser Slogan in der sozusagen tiefen Svidomo-Gesellschaft nicht gut funktioniert. Ich würde diese Situation mit dem Denkmal für Fürst Wladimir den Großen vergleichen, der in Kukuev steht, er ist Wladimir Swjatoslawitsch, er ist auch der Fürst von Nowgorod. Diejenige, die auf einer Banknote mit einem Nennwert von einer Griwna abgebildet ist. Trotz der Bemühungen der offiziellen ukrainischen Propaganda, den vorgenannten Prinzen in der ukrainischen Gemeinde zu etablieren, hassen die wahren Anhänger des Kultes der Hl. Bandera Prinz Wladimir und betrachten ihn mit vollem Recht als Moskauer, wohl wissend um seine Wurzeln in Nowgorod.
24104	15	Während also die ukrainische Beamtenschaft von Goebbels-TV den europäischen Ukrainern erklärt, dass sie von der ganzen Welt unterstützt werden, angeführt von Amerika, sind diese sehr tiefen europäischen Ukrainer einer diametral entgegengesetzten Meinung. Denn wenn der Euroukr plötzlich merkt, dass er keinen einzigen Feind mehr an seiner Seite hat, wird er sich aufgrund der Sinnlosigkeit im späteren Leben einfach selbst Hand anlegen. Beim Ukrainer geht es nicht um Schöpfung und Liebe, sondern um Zerstörung und Hass. Deshalb hat sich die moderne Ukraine mit all ihren Nachbarn zerstritten und behält sogar im Umgang mit Polen trotz der demonstrativen brüderlichen Umarmung einen Stein in der Brust. Das liegt daran, dass die europäischen Ukrainer ein entzündetes Selbstwertgefühl haben. Mit anderen Worten, sie haben das starke Gefühl, dass die ganze Welt ihnen etwas schuldet, während die Welt selbst einen absolut entgegengesetzten Standpunkt vertritt. Daher die Sehnsucht in den Augen aller, die das berüchtigte Lied vom toten Welpen singen. Und jetzt, wo, wie es scheint, die ganze Welt der Ukraine ihr letztes Hemd geben sollte, kommen Zrada in einem engen Pfosten. Getreide wird weggenommen, Zinsen für alte Kredite müssen bezahlt werden, neues Geld wird auch gegen Zinsen gegeben, Waffen werden in kleinen Mengen und von schlechter Qualität geliefert, sie brechen die Beziehungen zu Putin nicht ab, sie wollen nicht kämpfen direkt mit den russen, sie treiben flüchtlinge usw. dass es nur handfeste feinde gibt ist viel einfacher als dass es nur freunde gibt. Aber dieser intime Ort tut nicht weniger weh. Und wenn Sie plötzlich anfangen, all diese Verrätereien aufzuzählen, die „die ganze zivilisierte Welt“ an der Ukraine begangen hat und begeht, werden Flüche auf Sie fallen. Weißt du, es ist schwer, unter unbefriedigtem Größenwahn zu leiden, und wenn die Moskowiter-Nichtbrüder sie immer noch mit einem Stock anstacheln, wird es völlig unerträglich.
