doc_id	paragraph_id	ge-en
22100	9	"It is precisely this majority that the Conservatives want to defend. In the end, however, the majority of them no longer believed that they could do this with a Prime Minister Johnson. Secretary of State Elizabeth Truss, actually considered loyal to the prime minister, wrote on Twitter in response to Johnson's resignation speech: ""The prime minister made the right decision, now we need calm and unity."""
22100	11	With inflation at more than 11 percent, the editor-in-chief of the Financial Times echoed the prevailing sentiment in Britain's middle-class camp in an editorial published on Thursday: Johnson's resignation was long overdue. Too often and too obviously he lied to the country and let other politicians lie for him. Now it needs a successor with “integrity and respect for rules”. Unfortunately, many possible successors would only insufficiently meet these criteria.
22100	13	According to a brief analysis by the anti-militarist think tank Forces Watch on July 7, a remarkable number of possible successors have a military background. Armament policy agitators and current Secretary of Defense Ben Wallace are among the favorites to succeed Johnson.
22100	15	Read for free for three weeks
22100	17	The daily newspaper Junge Welt disturbs the rulers in spreading their propaganda. It takes an enlightening position without know-it-all and works through arguments, quality, entertainment and bite.
22100	19	Check it out now and test the young world for three weeks (two weeks in other European countries) free of charge. After that it's over, the trial subscription ends automatically.
22101	1	Sanctions: Russia wins the economic war
22101	3	It has now been three months since the West launched its economic war against Russia. But things don't go according to plan - actually quite badly.
22101	5	The sanctions against Russian President Vladimir Putin were not imposed because they were thought to be best, but because they were better than the other two options available: do nothing or intervene militarily.
22101	7	The first package of economic measures was passed right after the Russian invasion, when it was expected that Ukraine would capitulate within days. This did not happen and resulted in the sanctions – which are not yet complete – being tightened further and further.
22101	9	However, there is currently no sign that Russia is withdrawing from Ukraine. This is hardly surprising given that the sanctions have the perverse effect of driving up the cost of Russia's oil and gas exports, massively bolstering its trade balance and funding its war effort. In the first four months of this year, Putin was able to post a current account surplus of $96 billion (€90.7 billion) - more than triple the same period in 2021.
22101	11	Oil prices are rising – the Kremlin is benefiting
22101	13	When the EU announced its embargo on parts of Russian oil exports at the end of May, the price of crude oil rose on global markets, giving the Kremlin another financial advantage. Meanwhile, Russia has no trouble finding alternative markets for its energy. Oil and gas exports to China in April, for example, are increasing by more than 50 percent annually.
22101	15	But that doesn't mean the sanctions will pass Russia painlessly. According to the International Monetary Fund, the country's economy will shrink by 8.5 percent this year as imports from the West have collapsed. Russia has a stockpile of essential goods to keep the economy running, but eventually they will run out.
22101	17	As Europe gradually frees itself from its dependence on Russian energy, Putin is spared an immediate financial crisis. Indeed, thanks to capital controls and a solid trade surplus, the ruble is strong. Moscow therefore has time to find alternative sources of supply for replacement parts and components from countries willing to circumvent Western sanctions.
22101	19	When global leaders convened in Davos recently, the public message was one of condemnation of Russian aggression and reaffirmation of standing firmly behind Ukraine. On the other hand, there was no public concern about the economic costs of a prolonged war.
22101	21	This concern is fully justified. Russia's invasion of Ukraine has added to the already strong price pressure. Annual inflation in the UK is 9 percent, the highest in 40 years. In Germany, the Bundesbank expects an inflation rate of 7.1 percent for 2022. Fuel prices have reached a record high.
22101	23	The consequences are stagflation and starvation
22101	25	As a result of the war, Western economies are facing low or negative growth and rising inflation - a return to the stagflation of the 1970s. Meanwhile, central banks - including the Bank of England - are feeling pressure to respond to near-double-digit inflation by raising interest rates. This threatens to increase unemployment. Other European countries face the same problems, perhaps even more so than Britain, as most are comparatively more dependent on Russian gas.
22101	27	Meanwhile, the world's poorer countries face problems on a much larger scale. For some of them, the issue is not stagflation, but starvation - a consequence of the Russian blockade of wheat shipments from Ukraine's Black Sea ports.
22101	29	As World Food Program Director David Beasley put it: “Ukraine's grain elevators are full. At the same time, 44 million people around the world are on the verge of starvation.”
22101	31	In all multilateral organizations - be it the International Monetary Fund, the World Bank, the World Trade Organization or the United Nations - there is a growing fear that a humanitarian catastrophe is imminent. The math is simple: unless developing countries are energy exporters themselves, they face a triple problem, with fuel and food crises triggering financial crises. When governments have to choose between feeding their people or servicing their debts to international creditors, they will do the former. Sri Lanka was the first country to default on its debts since the Russian invasion, but it likely won't be the last. The world has not been this close to a full-blown debt crisis since the 1990s.
22101	33	Vladimir Putin has played the long hand from the start
22101	35	"Putin has rightly been criticized for ""weaponizing"" food. However, his willingness to do so should come as no surprise. From the outset, the Russian president played it safe, waiting for the international coalition to split against him. The Kremlin is convinced that Russia's economic pain point is higher than that of the West. And that's probably right."
22101	37	If you need proof that the sanctions aren't working, then US President Joe Biden's decision to equip Ukraine with modern missile systems provides it. The hope is that modern US military technology can do what energy embargoes and Russian asset freezes have failed to do: force Putin to withdraw his troops.
22101	39	One way the war could end is with Ukraine's all-out military victory over Russia. However, given the current state of affairs, that is not very likely. It is also conceivable that the economic blockade will ultimately work, with ever stricter sanctions forcing Russia to give way. Another solution is a negotiated settlement.
22101	41	Putin will not give up unconditionally, and the potential for severe collateral damage from economic warfare is evident: declining living standards in developed countries; Hunger, food riots and a debt crisis in the developing world.
22101	43	The atrocities perpetrated by Russian troops are currently making compromises with the Kremlin a difficult pill to swallow, but economic reality suggests only one thing: sooner or later there will be a negotiated solution.
22102	1	If we fall, it's your turn
22102	3	Several German intellectuals recently called for a stop to Western arms deliveries to Ukraine. This is not only cynical, but also corresponds to Putin's calculations.
22102	5	Last week, a number of German intellectuals in the ZEIT and on ZEIT ONLINE called for a stop to Western arms deliveries to Ukraine and for the immediate end of the war through negotiations. In his response to this appeal, the Ukrainian publicist and psychoanalyst Jurko Prochasko considers these demands to be cynical. It would ultimately mean the disappearance of Ukraine.
22102	7	It's amazing how many formulations there are for a few simple - and simply wrong - thoughts in the context of the Ukraine war. And how often these are put forward again and again by different sides. They read something like: The Ukraine war now requires negotiations, not combat operations. Or: Deliveries of arms only contribute to the continuation, even to the escalation, of this war and therefore demand unnecessary victims. So they increase suffering instead of alleviating it.
22102	9	Such appeals suffer from two fundamental weaknesses. First, the inability to think things through to the end, and second, the tendency to add things that don't exist. The former is called intellectual myopia, the latter wishful thinking. Together they have a journalistic effect, but not the desired effect. Finally, there is also a third feature of such appeals: Precisely where the content would be decisive, i.e. at those points that would justify the writing of such open letters, there of all things there is a slippage into the approximate.
22102	11	This stems from the aforementioned inability to think things through to the end. One cannot or does not want to see what the formulated proposals meant for Ukraine. That would be not only their failure, but also their disappearance. And for the western democracies, that would not only be tantamount to failure, it would actually be a guarantee for more wars by Russia.
22102	13	The wishful thinking consists in the ludicrous notion that there is currently a political force or substantive arguments in this world that would convince the Russian regime to call for a ceasefire or even bring peace negotiations to the table. Believing that the West would avoid further escalation by stopping arms sales to Ukraine meant only one thing for the Russian leadership: they would get what they hoped to achieve through the most expensive means - intimidation, blackmail, division - simple given.
22102	15	"Seen from an abstract or philosophical point of view, the theses put forward in the appeal may sound noble, but in practice they are just hollow. In the best case. From a less friendly perspective, they are even unpardonably naïve, cynical, or both. And in the worst case, they are simply grist to the mill of Putinism. Strange - but in the end probably only logical - how nebulous, terribly imprecise and ambiguous the authors of such open letters become, just at the point where it should become concrete. Instead, one reads formulations such as ""measures should be taken as soon as possible"", ""work should be done with great vigour"" or ""prerequisites for this should be created""."
22102	17	It's not a coincidence. If you think the matter through to the end, it can only mean two things: either Ukraine should sacrifice itself for the benefit of the (still) less affected humanity, including German and European ones. Or you don't really understand the whole issue and believe in Russia's willingness to end the war voluntarily. Although the authors of the open letter pull out all the rhetorical stops imaginable so as not to let this suspicion arise in the slightest, in fact one always reads exactly that in the subtext. That is why the signatories should perhaps simply be more open and blatant, this would be at least contribute to the clarity of the discourse.
22102	19	But even if they admitted to themselves and the public that Ukraine should surrender so that we could finally have peace and quiet, this ignored the terrible price that the country would be doomed to pay: cleansing, expulsions, Executions, terror and endless suffering. Secondly, it also concealed the fact that this would neither really end this war nor prevent further Russian wars of aggression. Quite the opposite: Russia felt prompted to do the latter.
22103	1	Supreme Court: Democrats have underestimated the power of anti-abortion advocates
22103	3	"It would be easier if the Chief Justices alone could be held responsible for repealing the right to abortion, which has been in force since 1973. But there are also structural factors and problems with democracy that made the June 24 verdict possible. Democrats and progressive America have underestimated the traction and endurance of the anti-abortion movement. The latter was probably due to numerous surveys, according to which only a minority of Americans wanted to cancel the now overturned verdict. The case of Roe v. Wade"" had once legalized abortion until the fetus was capable of independent viability. At the time of their majority in Congress, the Democrats did not legislate for the right to terminate a pregnancy."
22103	5	And then it happened: Just hours after last Friday's verdict, the first clinics rejected women. More than 20 US states will legalize it in the next few months. Pregnant women - if they have the money and courage - have to travel to Mexico or to democratic states for the procedure. According to the logic of the judgment that abortion is not protected because there is nothing in the constitution about it, other rights are also threatened, first and foremost that of same-sex marriages.
22103	7	"Conflicts over anti-abortion legislation will now shift to state legislatures. The Democrats have not done well there in recent years. In some ban states, consideration is being given to preventing pregnant women from traveling. In addition, surveillance is being considered that could show who is ordering abortion pills, which one also wants to ban. On each ""Roe v. Wade” anniversary (apart from a Covid break), tens of thousands of anti-abortion opponents had gathered in Washington. Initially with little prominence, in 2020 with Donald Trump, who assured that ""unborn children"" had never had a ""strong defender"" in the White House like him. The events were predominantly white, strongly Catholic and, over time, evangelical. Many young American women were there, apparently animated by the desire, as their posters said, to save babies and to express that women were also victims of the ""abortion industry"". Stars of the movement are women who regret abortions. Republicans have been passing laws across the states to restrict abortion for years in anticipation of Day X."
22103	9	Opponents of abortion not quite satisfied
22103	11	"Abortion is not just about abortion. The anti-abortion movement, with its emotional appeal, became part of the right-wing movement, bolstered in the 1970s by the burgeoning ""Christian Free Market and Biblical Right Right."" They were white voters, many working-class, who switched to Republican. Ronald Reagan had signed a liberal abortion law as governor of California, and only found the ""right attitude"" as Republican president. Which helped sway his party and the anti-abortion movement towards right-wing populism."
22103	13	"You used each other. The same goes for the Trump years. The entrepreneur from New York City spoke out against abortion bans in a 1991 interview with NBC (""I am very pro choice""). During the 2016 election campaign, when Trump was anything but the preferred candidate for conservative Christians, he had learned something new and presented his list of anti-abortion lawyers for the Supreme Court and the federal courts. That worked. White evangelical voters voted 80 percent for him. And they were rewarded. The fact that Trump was able to enforce his three judges, who were decisive in the anti-abortion verdict, also has to do with the structure of the US government. In the Senate, which votes on the chief justices, each state gets two senators - the rural, sparsely populated, Republican-leaning ones as well as the democratic giants of California and New York. Liberal California has about the same population as the twenty smallest US states. California has two senators, those twenty have forty. The composition of the Supreme Court is an example of how the politics of a right-wing minority can assert itself in the USA. When Republican states introduced restrictive electoral laws against groups of voters leaning toward the Democrats, the Supreme Court sanctioned it."
22103	15	Opponents of abortion are not yet satisfied with the new status quo, which does not completely prohibit abortion. Abortion rights movement calls for voting in November. A national law, enacted by a majority of Democrats, could protect abortion rights.
22105	1	Madrid: President Erdoğan left the NATO summit with rich gifts
22105	3	For Turkey, the outcome of the recent NATO meeting is impressive. President Recep Tayyip Erdoğan is reaping basketfuls of fruit for abandoning the veto on Sweden's and Finland's accession. He has achieved a lot, played out a robust exclusivity in the alliance - if not to say savored it - and demonstrated to the whole world how much the northern expansion depended on him. The alliance was spared the embarrassment that the next increase failed at this summit of all places, with which the leap into an epoch-making mode of fighting against Russia was pending.
22105	5	"To go through Erdoğan's haul in detail: Basket I contains the last-minute memorandum sealed between Turkey and the NATO aspirants. Thereafter, the two northerners pledge to take steps against ""Kurdish terrorism"" on their sovereign territory. This means that they are required not to stab Turkey in the back in the ""anti-terrorist fight"" against Kurdish self-determination, as was the interpretation in Ankara, but rather to be a support. This applies not only to south-eastern Anatolia, but also to northern Iraq and north-eastern Syria, i.e. non-Turkish territories in which the Turkish army has already invaded, violating international law, and wants to intervene again."
22105	7	"She has the Kurdish workers' party PKK in her sights, as well as the Syrian-Kurdish YPG militias, which have managed to keep a region's democratic self-government against the Assad state for a decade. The paradigm of this alternative meets the destructive arbitrariness of Turkish regional power. NATO tolerates that. What's more, it accepts that a member who regards the breach of law as a raison d'être decides whether and under what conditions new admissions take place. When was the ""strength of law"" ever given so much weight? Apart from the fact that the aspirants do not emerge unscathed from this evaluation at the expense of third parties."
22105	9	"Sweden's Foreign Minister Ann Linde disputes whether the agreement with Erdoğan extends to the extradition of ""terrorist suspects"", meaning Kurdish migrants who are politically active in exile in Scandinavia: ""We will not agree to extradition unless there is evidence of terrorist activity activities.” In addition, the memorandum is “a political agreement and not a legally binding international treaty”. But who defines “terrorist activities” when Turkey already considers an emancipatory claim, such as that represented by the YPG militias in Syria, to be a “terrorist conspiracy”? One wonders whether Uyghurs in western exile should expect to be treated in the same way as Kurds in Sweden and Finland."
22105	11	Which means Basket II is due, which US President Joe Biden chose to pack himself. His administration is now supporting the sale of F-16 fighter jets to Ankara. We are ready to do more to modernize the Turkish Air Force. Celeste Wallander, US Deputy Secretary of Defense for International Security Affairs, announced at the briefing call with journalists that the stronger Turkey's defense capability becomes, the better NATO is defended.
22105	13	Punishment was yesterday
22105	15	This is new – there was still no talk of such causality in October 2021, quite the opposite. By that time, Ankara had already asked the White House to approve the purchase of 40 F-16 fighters and 80 US-made aircraft modernization kits. This request was not rejected for the first time. Reasoning that Turkey acquired the Russian S-400 air defense system in 2019, is guilty of breaking a taboo and has effectively left NATO air defense. A behavior worthy of sanctions that would be mercifully punished if fighter jets were refused. Nine months later, the penalties are gone, and instead a deal is being launched: if the Turkish president concedes his veto against NATO's northern expansion, the American president will approve the desired arms deal in return. Of course, the US Senate still has to be questioned. He has to decide whether Biden's commitment to Erdoğan was worth something or not, whether the Commander in Chief will be dismantled in the West's fateful struggle against the Russian enemy, or whether the opposite seems advisable.
22105	17	What remains is Basket III, in which Erdoğan can stow the mandate to mediate an agreement between the UN, Moscow and Kyiv, also with the approval of the USA. It is intended to ensure that stocks of Ukrainian grain leave the Black Sea ports. Russia has already told the United Nations that it will join Turkey-supervised plans to ship 25 million tons of grain in secure convoys from the port of Odessa, which remains heavily mined by Ukraine.
22109	1	Activists face extradition
22109	3	"In the course of NATO's northern expansion, the Turkish government is demanding the extradition of Kurdish activists from the designated new members Sweden and Finland. The Federal Republic does not need such requests. It has long been willingly handing over Kurds to its ""strategic partner"". As supporters of the opposition, they face imprisonment and torture. The 27-year-old student Yaser Örnek now has to fear the same thing. The Turkish government under President Recep Tayyip Erdogan prompted his arrest by plainclothes police officers in Bavaria near Bernau am Chiemsee, as the Kurdish news agency ANF reported on Saturday, citing Örnek's lawyer. His transfer to Munich is planned for Tuesday."
22109	5	"The arrest took place on July 2nd. According to the ANF, Örnek was traveling through Switzerland with a friend at the time when they were stopped by the officials on the A8. Örnek and his companion Durmaz Yahisi were held for several hours, each with their hands behind their backs. At first, no reason was given to the two, said Örnek's companion, according to the ANF report. Yahisi was later let go, as Kerem Schamberger, an activist from the non-governmental organization Medico International, announced on Twitter on Friday. ""We all have to prevent that together,"" he had demanded in view of the threat of Örnek's extradition."
22109	7	"He received political asylum in Switzerland in June 2018 after the literature student at Cukurova University in Adana was accused of ""membership in a terrorist organization"" in connection with his legal political activities for the Peoples' Democratic Party (HDP). According to Schamberger, the student had already had to spend three months in Turkish custody after taking part in an HDP meeting during the election campaign. Banning proceedings are currently under way in Turkey against the left-wing, pro-Kurdish party. Three cases are still pending against the 27-year-old, according to ANF he was last sentenced to several years in prison."
22109	9	"""The federal government apparently wants to play a pioneering role in NATO in the political persecution of the Kurds in return for Erdogan's compliance with the military pact,"" criticized Bundestag member Sevim Dagdelen (Die Linke) on Sunday to Junge Welt. In the direction of the federal government, Dagdelen said that anyone who ""delivers Turkey to the knife"" should ""at least stop constantly trying to protect human rights."" jointly responsible for »this abominable persecution«."
22109	11	"According to Schamberger, the trigger for the arrest of the 27-year-old student and the temporary detention of his companion was that the Turkish state had issued Yaser Örnek with the European Police Office, Europol for short, for a search. Turkey is currently demanding the extradition of 406 people from the EU member states, Civan Akbulut from the North Rhine-Westphalia State Integration Council said on Saturday, citing Turkish press reports on Twitter. Accordingly, 129 extradition requests were made to the federal government. ""The dirty NATO deal between Turkey and Sweden/Finland is having an effect,"" Akbulut commented."
22109	13	Meanwhile, German-Turkish cooperation is being maintained at the highest level. The Attorney General at the Federal Court of Justice, Peter Frank, traveled to Turkey for high-level talks from Tuesday to Thursday last week, as the Frankfurter Rundschau reported online on Friday. The trip was therefore started at the invitation of Frank's colleague Bekir Sahin. According to another ANF report on Saturday, he is the chief prosecutor in the banning proceedings against the HDP.
22109	15	"A spokeswoman for the Federal Public Prosecutor's Office in Karlsruhe confirmed the visit to the newspaper. She did not give any details, but only explained that ""topics for discussion with the representatives of the Turkish judiciary"" included ""the tasks and work of the respective criminal justice system"". According to the report, Frank also met with President Erdogan. Referring to the Turkish pro-government daily Yeni Safak, the Frankfurter Rundschau also named 129 extradition requests to the Federal Republic of Germany. Those affected are supporters of the »Gülen movement«, which, like the Kurdistan Workers' Party (PKK), is being persecuted in Turkey as a terrorist organization."
22109	17	Read for free for three weeks
22109	19	The daily newspaper Junge Welt disturbs the rulers in spreading their propaganda. It takes an enlightening position without know-it-all and works through arguments, quality, entertainment and bite.
22109	21	Check it out now and test the young world for three weeks (two weeks in other European countries) free of charge. After that it's over, the trial subscription ends automatically.
2211	1	What crisis?
2211	3	The following essay is from Dr. Lee Gerhard, a retired geologist from the University of Kansas (BS in geology 1958, MS in paleontology minor in 1961, and PhD in geology in 1964). dr Gerhard believes that climate change has been a natural phenomenon driven by natural processes for 4.5 billion years, but that there is now cultural pressure to find a human cause for the current trends.
2211	5	“I never fully accepted or denied the concept of anthropogenic global warming until the wild claims made by NASA's James Hansen caused a sensation in the late 1980s. I have consulted the [scientific] literature to examine the basis of this claim, starting with the first principles. My studies then led me to believe that the claims were false.” —Dr. Lee Gerhard
2211	7	It is startling that so many scientists have deliberately abandoned their principles to advance a theory of climate change (anthropogenic warming) that has already been contradicted by empirical data. They prefer to believe their computer models, which are designed to support their beliefs because of the assumptions they contain. That there has been warming since the second half of the 20th century is undeniable. To attribute this tiny amount of warming to human-caused carbon dioxide and to prophesy that it is dangerous to humanity is either malicious and demonstrates either a willful misrepresentation of climate history or ignorance.
2211	9	Ice core temperature reconstruction is empirical, reproducible and accessible. The earth has been getting colder for more than 4000 years (Davis and Bohling, 2000). The 'cooling' was episodic, certainly on a millennial scale, with warm peaks variously labeled as Minoan, Roman, medieval, and presumably modern (Alley, 2000; Cuffey and Clow, 1997).
2211	11	There are other datasets that are not empirical but relate human activities and artifacts to temperature. The comprehensive data published by Lamb (1996) documents and illustrates the relationship between temperatures and human activities by interpreting soil sequences, recorded history such as wine production in England, Roman Empire tax records, and the like. The amount of data is almost overwhelming, showing the large swings in global temperatures over the centuries and millennia prior to the last 50 years, long before humans added significant amounts of carbon dioxide. Lamb illustrates that human civilization flourished during all warm periods; in the intervening cold period pestilence and poverty raged.
2211	13	"The United Nations Intergovernmental Panel on Climate Change (IPCC) is seen by the media and governments as the authoritative authority on the state and future of the world's climate, but it is not a scientific group. Although he belongs to a group of scientists, he is political, not scientific. Its mission is a political agenda: ""Documenting the human impact on the global climate"". It is neither a scientific investigation nor a test of your assumption that carbon dioxide emitted by humans controls global temperature."
2211	15	"Now that the global temperature has not risen to cause a ""crisis,"" scientists who dare comment on the data, thereby challenging the IPCC hypothesis, will be reprimanded by the social media church and the academic world excommunicated. They have lost their income, their jobs and their acceptance. Being a true scientist is not easy these days."
2211	17	The warming of the last few decades has been beneficial, saving hundreds of thousands of lives and helping to feed a growing world population. It is unfortunate that this climate cycle appears to have come to an end. Will pestilence and famine prevail?
22111	3	The turning point does not seem to have been understood in the media. No, not THE turning point, including a special fund for the Bundeswehr (for the use of which, please, a permanent investigative committee should examine every procurement, commission and every vague promise that the weapons can achieve), but a turning point that is happening right before our eyes, because we are stricken with the hallucination that the miserable 20th century threatens to repeat itself in reverse. Now the epidemic waves came first, followed by dying on the battlefields. Massive deaths from starvation soon followed, as Stalin accepted almost a hundred years ago.
22111	5	The hallucination is heard as an audio track. In the first weeks of the war in 1914, 50,000 war poems ended up in German newspapers every day. The bourgeoisie seemed to have gone mad in the face of the present. For Ernst Bloch, this was the benchmark for reactions to the oil crisis in the early 1970s. Today, however, it is not about the political rhetoric of who stands by whom and how, or ducks behind the backs of the Ukrainian defenders, nor about the question of how many more or less light weapons are supplied by whom and when. It's about interpreting symptoms.
22111	7	An article by Michael Hanfeld recently read in the FAZ: “While defeatists and war-weary people meet on German television, the Russian war of annihilation in the Ukraine continues. Reporters Without Borders is counting the number of journalists killed.” Defeatists were once Elisabeth von Thadden, Daniil Charms, Hans von Sponeck, the members of the White Rose, Wolfgang Borchert, Ezra Pound and many others.
22111	9	Proxy war of the Germans against themselves
22111	11	Hanfeld is referring to the idle but fast-paced, self-revolving TV talk shows that, in an attempt to understand what's happening, they do their credit, try to fathom what's actually happening in almost identical replay loops. Defeatists are accused of discouragement and pessimism. With the sights and sounds of the battlefields, who can blame them?
22111	13	The courage on the front lines, however, differs from the long-distance courage of the commentator. He slips rhetorically into the robes of a judge, but commands no court-martial and has no guillotine or firing squad, but pretends with his words that this is the case. Oops!
22111	15	"Sigmund Freud described these symptoms precisely. Feuilleton texts can also be understood as a substitute action. This also applies to open letters of any kind that help their signers to stale fame. (You were right – yes or no?). What does the author want to replace with the accusation of discouragement? The praise for the victims among the war reporters? Your own marching orders to the front? In view of the serious situation, that would be too cheap. A leading article by Ullrich Fichtner in the current issue of Spiegel (""Drückeberger Deutschland"") has a similar effect. Behind the pompous rhetoric of both authors, there is a longing to finally be on the right side of history. So it looks like a proxy war by the Germans against themselves. ""Now, have a nice win!"" said the then Federal President Theodor Heuss to soldiers of the Bundeswehr in 1958."
22112	1	Mask, lockdown, school closures: is everything really ineffective?
22112	3	"Germany not only has the “summer wave”, but also report season. Within a few days, four ruthless assessments of corona policy since 2020 were published. Minister of Science Bettina Stark-Watzinger (FDP) started with the Education Report 2022: The reading, writing and arithmetic skills in primary school classes have fallen dramatically due to the months of school closures, psychological abnormalities becoming more common in children and adolescents. ""The experience of stress among schoolchildren aged 11 to 17 has risen sharply during the pandemic,"" according to the findings. Unsurprisingly, child and adolescent psychiatric clinics had reached their capacity limits during the pandemic."
22112	5	"A few days later, the 2021 education trend also painted a sad picture of German school operations under the politically prescribed pandemic conditions. The proportion of children who fail to meet the minimum standards for secondary schools by the fourth grade has increased significantly. The ""social and immigration-related disparities"" have increased. The poverty report 2022 also reported a deepening of the social division on Wednesday last week: At 17 percent, the poverty rate reached a new high. Because the pandemic measures did not hit all layers equally, but low-income earners, single parents and families with many children were particularly hard. ""Poverty has never spread so rapidly in recent times as during the pandemic,"" said Ulrich Schneider from the Joint Association at the presentation."
22112	7	Simulation instead of evidence
22112	9	"The drastic social consequences of the corona measures are well documented. A commission of experts should evaluate what these deep, permanent incisions have brought medically. Your findings have been available since Friday last week - and are devastating. Even in the otherwise leisurely topics of the day, the commentator was clear: ""I could scream. Loud and long.” Because for many of the measures that were controversial from the start, there is simply no scientific evidence or, due to the data situation, only insufficient scientific evidence. A key sentence of the evaluation is: ""Overall, there is no discernible connection between the level of incidence and the strength of the measures."" Even the effect of the access restrictions due to 2G rules, which discriminate against large parts of the population, was ""rather small"". The few available studies produced a “very heterogeneous picture”."
22112	11	"Regarding the school closures, which were among the longest in Europe, it is said that their influence on “containing the spread of the corona virus” is “still open despite biological plausibility and numerous studies”. Even the combined evaluation of almost 7,500 studies on this topic shows that ""the effectiveness and the strength of the effect of school closures on the infection process are still uncertain"". Historical essays on the effectiveness of lockdowns during the Spanish flu, such as the one on which, according to Spiegel, Christian Drosten based his sudden change in mood regarding school closures in spring 2020, the report attests at best “anecdotal evidence”."
22112	13	"The report contains a remarkable passage on the lockdowns, which were considered to be completely without alternative at the time: ""Despite the rather hesitant assessment of the effects of lockdowns by the WHO on the basis of pandemics before SARS-CoV-2"", most countries resorted to this measure. ""This was also due to the very clear results of a computer simulation model that was presented by Neil Ferguson in the spring of 2020 on the basis of a non-quality-checked scientific publication and received a great deal of attention."""
22112	15	It's hard to believe, so again: the WHO made it clear even before Corona that the scientific evidence is not exactly pushing for lockdowns. But on the basis of a single model calculation that had not even gone through a review process, this maximum measure was taken around the world.
