doc_id	paragraph_id	fr-po
23101	9	Nawiasem mówiąc: wiedząc, że w Unii Europejskiej jest 400 miast powyżej 100 000 mieszkańców, że konkurs był otwarty dla aglomeracji liczących co najmniej 50 000 mieszkańców i że zgłosiły się tylko 82 miasta, możemy stwierdzić, że niemało interesowało to europejskie obywatele. Komisja nie oszczędzała jednak na (głupich) kampaniach reklamowych.
23101	11	Już teraz powinieneś wiedzieć, że Unia Europejska finansuje „inicjatywy mające na celu promowanie różnorodności i integracji oraz walkę z nierównościami i dyskryminacją, zwłaszcza w społeczności romskiej”. Z budżetem w wysokości 1,55 miliarda euro na lata 2021-2027 program Obywatele, Równość, Prawa i Wartości (CERV) jest, jak nam powiedziano, „największym funduszem UE, jaki kiedykolwiek został poświęcony promocji praw i wartości”. w UE”.
23101	13	Na papierze to idylla. Komisja roi się od pomysłów dla firm i innych stowarzyszeń, które podpisały 26 kart różnorodności ratyfikowanych przez 14 400 organizacji. Celem Maja Różnorodności jest zatem przede wszystkim „walka z dyskryminacją poprzez środki wykraczające poza obowiązujące obecnie ustawodawstwo”, więc każdy ma swój własny pomysł.
23101	15	Tym, którzy jej nie mają, Unia Europejska oferuje wydarzenia i akcje promujące jej mały sklep, wiedząc, że etykieta umożliwia odniesienie do Google Maps, mapy „podjętej na szczeblu krajowym i europejskim, zapewniając w ten sposób widoczność na wydarzenie! Helena Dalli, europejska komisarz ds. równości, w ten sposób wymachuje cudownymi wynikami: „Organizując wewnętrzne wydarzenie dla swoich pracowników lub we współpracy z nimi, albo wydarzenie otwarte dla ogółu społeczeństwa, dla klientów i dostawców (sic), pokażesz swoje zaangażowanie i świętuj różnorodność, jednocześnie podnosząc świadomość wśród członków Twojej organizacji. »
23101	17	W związku z tym Unia Europejska wydała „Inspirujący przewodnik po obchodach europejskiego miesiąca różnorodności”. Wytyczna: „skoncentruj się na znalezieniu powiązań między różnymi przyczynami dyskryminacji, które uwzględniasz w swoich politykach i działaniach dotyczących różnorodności i integracji, a następnie zaangażuj się w działania, które czasami dotyczą wielu obszarów dyskryminacji”.
23101	19	W dzisiejszych czasach przedsiębiorcy mogą mieć inne zmartwienia!
23101	21	Na chybił trafił Balthazar, możesz mieć targ kiełbasiany we Frankfurcie w Tulonie i anchoïade w Wiesbaden; wtedy otrzymasz „wiadomość z gratulacjami, gdy twoje wydarzenie zostanie oznaczone” i będziesz mógł pobrać „zestaw komunikacyjny z elementami graficznymi Joli Mois de l'Europe” (logo, plakaty, ulotki, banery itp. ). To miłe, prawda?
23102	1	We Włoszech historyczna susza zagraża rolnictwu
23102	3	Poważny spadek opadów śniegu i deszczu oraz bardzo wysokie temperatury: północne Włochy stoją w obliczu najgorszej suszy od 70 lat. Gdy jeziora i rzeki wysychają, rolnictwo i sektor energetyczny obawiają się rozmiarów szkód.
23102	5	Od fali upałów z 2003 r. kraj ten przeżył „sześć najbardziej suchych lat w swojej historii”, wspomina Francesco Vincenzi, prezes stowarzyszenia konsorcjów irygacyjnych (Anbi). Jednak ten rok nie jest taki jak inne. Nie tylko ze względu na powagę sytuacji, ale także na okres, w którym występuje. „Jeżeli wcześniej mówiliśmy o suszy z 20 lipca, teraz mamy 23 czerwca i mówimy o niej już co najmniej od dwudziestu dni” – zaniepokoił się.
23102	6	Opady śniegu spadły tej zimy o 70%, a opady o połowę od grudnia
23102	8	Pierwszy świadek i ofiara tragedii: Po. Ta 652-kilometrowa rzeka, najdłuższa we Włoszech, przepływa przez północ kraju, zaczynając od Alp na zachodzie, w kierunku Morza Adriatyckiego na wschodzie. Animacja wykonana na podstawie zdjęć satelitarnych Europejskiej Agencji Kosmicznej (ESA) porównuje stan rzeki w latach 2020, 2021 i 2022. Wyniki są niepokojące. Widzimy ciek wodny, który stopniowo zmniejsza się, ustępując miejsca coraz bardziej rozległym piaszczystym plażom. Przepływ Padu zmniejszył się tak bardzo – do 80% – że słona woda pochodząca z Morza Adriatyckiego zdołała podnieść się prawie 30 km w głąb lądu. Ryzykowna sytuacja dla zaopatrzenia w wodę pitną i dla rolnictwa. „Nie możemy nawadniać słoną wodą, w przeciwnym razie wszystko spalimy” — wyjaśnia Francesco Vincenzi. Co więcej, infiltracja słonej wody oznacza długoterminowe konsekwencje, ponieważ „miną lata, zanim zniknie z warstw wodonośnych”.
23102	10	Na północ od rzeki wysychają również wielkie jeziora. Według Anbi jezioro Maggiore potrzebowałoby ponad 2,527 mln m³ wody, aby powrócić do swojej średniej, a stopień wypełnienia jeziora Como wynosi mniej niż 12%. Co więcej, to te same jeziora częściowo zasilają rzeki poprzez system regulacji. „Kiedy mówimy, że jezioro jest suche, nie oznacza to, że jest puste” – precyzuje Matteo Cislaghi, hydrolog z Lombardzkiej Agencji Ochrony Środowiska (Arpa). Rzeczywiście, poniżej pewnego poziomu woda nie może już zostać uwolniona, ponieważ „nie tylko nie dotarłaby już do ujścia [zbiornika wodnego], ale dodatkowo zabiłaby jezioro” – wyjaśnia hydrolog.
23102	12	U źródeł tej historycznej suszy: nagromadzenie kryzysów. Opady śniegu spadły tej zimy o 70%, a opady o połowę od grudnia. Region Piemont przeszedł prawie 110 dni bez kropli deszczu. Do tego dochodzą wyjątkowo wysokie temperatury, czasem nawet o 3°C wyższe, powodujące przedwczesne topnienie drobnego śniegu na szczytach gór.
23102	14	Konsekwencje: „dostępność wody nie pozwala na zaspokojenie wszystkich potrzeb środowiskowych, rolniczych i przemysłowych”, analizuje Massimiliano Pasqui, badacz z obserwatorium suszy Włoskiej Krajowej Rady ds. Badań (CNR).
23102	15	Rolnik zdaje sobie sprawę z faktów: prawie 50% jego produkcji kukurydzy jest zagrożone
23102	17	Dostęp do wody pitnej pozostaje gwarantowany, jednak potwierdzają to wszyscy rozmówcy, z którymi się kontaktowano. Jednak setki gmin w danych regionach zdecydowały się ograniczyć zużycie wody. Na przykład w Mediolanie zabronione jest napełnianie basenu lub mycie samochodu odrzutowcem. W Piemoncie dwie gminy zakręciły na noc krany, potwierdza radny regionu odpowiedzialny za środowisko, Matteo Marnati. „Na obszarach, gdzie akwedukty są starsze, są problemy ze stratami. Udaje nam się je rozwiązać, przywożąc wodę cysternami – wyjaśnia.
23102	19	Sektorem najbardziej dotkniętym kryzysem jest rolnictwo. Jak wszyscy producenci w dorzeczu Padu, Davide Canegrati żyje teraz „z dnia na dzień”, w zależności od prognozy pogody. We wtorek, 28 czerwca, rzeczywiście padało. Jeśli chwilowo odciążyło to rzeki i jeziora, to nie wystarczyło do uzupełnienia deficytu wody. Rolnik zdaje sobie sprawę z faktów: prawie 50% jego produkcji kukurydzy jest zagrożone. „Od kwietnia jesteśmy w stanie nawodnić, całkowicie lub częściowo, tylko 30 z 50 hektarów, na których uprawia się tę roślinę” — wyjaśnia. Jeśli chodzi o 70 hektarów łąk, to i one są suche. Ta produkcja służy do karmienia krów pod koniec sezonu, więc Davide Canegrati z pewnością będzie musiał wybierać między zmniejszeniem swojego inwentarza „co najmniej o 25%” a kupowaniem żywności gdzie indziej, pomimo gwałtownego wzrostu cen spowodowanego rosyjską inwazją na Ukrainę.
23102	21	Na większą skalę zagrożone jest całe rolnictwo w dorzeczu Padu, wiedząc, że samo wytwarza blisko 40% włoskiej żywności, w tym sztandarowe produkty, takie jak parmezan. W Lombardii plony pszenicy spadły już w niektórych miejscach o 30 do 40%, mówi Ermes Sagula, szef centrum pomocy w stowarzyszeniu rolników Coldiretti Lombardy. Dziś szkody wyrządzone włoskiemu rolnictwu szacuje się na ponad 500 mln euro. „Pod koniec roku z pewnością będziemy mieli liczbę przekraczającą miliard” – kontynuuje.
23102	23	Kolejna produkcja dotknięta suszą: energia. Większość elektrowni wodnych pracuje na biegu jałowym lub nawet została zamknięta, na przykład na wyspie Serafini, 70 km na południowy wschód od Mediolanu. Do końca 2022 roku możemy spodziewać się spadku produkcji od 55% do 60% w przypadku dużych zakładów i od 70% do 75% w przypadku małych, szacuje stowarzyszenie branżowe Assoidroelettrica. „To szczególnie poważna sytuacja, wiedząc, że energia, której nie da się wyprodukować z wody, będzie musiała być produkowana z gazu, którego ceny są niezwykle wysokie”, podkreśla Paolo Taglioli, dyrektor generalny stowarzyszenia. I czyje emisje gazów cieplarnianych pogorszą problem.
23102	25	„Mamy złudzenie, że ten zasób jest nieskończony, kiedy tak nie jest”
23102	27	Aby poradzić sobie z kryzysem, władze dorzecza Padu nalegają: pobór dostępnej wody musi zostać zmniejszony o 20%. Następnie rozwiązania będą musiały zostać przemyślane w dłuższej perspektywie, ponieważ „pilna potrzeba ma charakter strukturalny”, wspomina Matteo Marnati. Rzeczywiście, wszystkie wskaźniki wskazują, że takie epizody będą coraz częstsze. „Temperatury rosną, a nasze lodowce kurczą się” – analizuje Orietta Cazzuli, szefowa służby meteorologicznej Arpa. Jeśli chodzi o opady, to „nie mamy oznak spadku”, ale mogą być one coraz mniej regularne i bardziej intensywne.
23102	29	Przedstawiono zatem propozycje mające na celu uniknięcie wyczerpania zapasów w przyszłości. Matteo Marnati naciska na tworzenie nowych tam w regionie Piemontu, aby uchwycić więcej wody deszczowej. Z prawie 600 groblami i około piętnastoma jeziorami Lombardia jest regionem bogatym w zasoby wodne. „Potrzebna jest lepsza gospodarka wodna” – powiedział Damiano Sirmine ze stowarzyszenia ekologicznego Legambiente. Według niego regionalne rolnictwo, oparte głównie na ryżu i kukurydzy, zwłaszcza uprawy wodochłonne, musi się dostosować. „Musimy zaakceptować fakt, że w tym scenariuszu zmian klimatu rolnictwo będzie musiało zmodyfikować swoje wybory produkcyjne” – kontynuuje. Do tego wszystkiego Massimiliano Pasqui dodaje zmianę kulturową. Musisz nauczyć się oszczędzać wodę. „Mamy złudzenie, że ten zasób jest nieskończony, podczas gdy tak nie jest. »
23102	31	Tym bardziej, że w ostatnich tygodniach alarm suszy zaczął bić także w centralnych regionach kraju, takich jak Toskania, Marche czy Lacjum. W poniedziałek 4 lipca rząd ogłosił stan wyjątkowy w pięciu północnych regionach i zapowiedział uruchomienie funduszu w wysokości 36,5 mln euro na walkę z tą suszą.
23103	1	Covid-19: Francja bez kursu i kompasu w obliczu siódmej fali
23103	3	Niewiele komunikatów zapobiegawczych, brak zdecydowanych środków, a wszystko to na tle niepewności naukowej: zarządzanie pandemią cierpi z powodu zmęczenia Francuzów, ale także z powodu konkurencji ze strony innych kryzysów, podczas gdy liczba codziennych przypadków spada. średnio 1 lipca.
23103	5	Nikt dokładnie nie wie, jak wysoko sięgnie. Od początku czerwca we Francji rozprzestrzenia się siódma fala, a warianty Omicron BA.4 i BA.5 szybko rozprzestrzeniają się wśród ludności. Konsekwencje pod względem śmiertelności i systemu opieki zdrowotnej są nadal ograniczone, ale liczby gwałtownie rosną, a szpital jest bardziej niestabilny niż kiedykolwiek. Pod koniec ubiegłego tygodnia przewodniczący rady naukowej profesor Jean-François Delfraissy oceniał na antenie RTL, że pod koniec lipca mogą pojawić się napięcia w systemie szpitalnym. Według najnowszych danych rządowych, na dzień 1 lipca 960 osób z Covid-19 znajduje się na intensywnej terapii, a powrót do zdrowia rozpoczął się od 20 czerwca. Ponad 16 000 osób jest hospitalizowanych, a obecnie przyjmuje się prawie tysiąc dziennie. Wzrost o 31% w ciągu ostatnich siedmiu dni w porównaniu z poprzednim tygodniem. Od 1 lipca zgłaszano średnio prawie 100 000 nowych przypadków dziennie, co stanowi wzrost o prawie 60% w porównaniu z poprzednim tygodniem. Wzrost nie zwalnia tempa.
23106	1	„COP miast” w walce ze zmianami klimatycznymi
23106	3	Mówienie o zmianach klimatu oznacza zawsze przywoływanie ostatnich katastrofalnych wydarzeń, z którymi mamy do czynienia. Pomyślcie o fali upałów, która ostatnio doprowadziła Indie i Pakistan do załamania, pomyślcie o tych, które są w trakcie wpływania na Europę, nie ma miesiąca bez sygnału ostrzegawczego. Powodzie, fale upałów, pożary. Wcześniejsze, bardziej intensywne, bardziej niszczycielskie epizody coraz bardziej przypominają nam o naszej kruchości i pilnej potrzebie działania.
23106	5	COP 26 w Glasgow nie spełnił oczekiwań. Niezdolność do podniesienia poziomu ambicji, nieumiejętność ustabilizowania tego, co konieczne w zakresie solidarności z państwami Południa, to właśnie do spektaklu powolnego multilateralizmu zostaliśmy zaproszeni.
23106	7	Istnieje pilna potrzeba, zagrożenie się zbliża, raporty IPCC nie pozostawiają ucieczki. Globalne ocieplenie jest niewątpliwie dziełem człowieka. Ograniczenie go do 1,5°C można sobie wyobrazić jedynie kosztem szybkich i masowych zmian. Najgorsze nie jest pewne, ale sukces narzuca trajektorię dekarbonizacji, od której wciąż jesteśmy daleko.
23106	9	Do tła tego zagrożenia, zawsze bardziej stłumionego, dodaje się hałas kryzysów, które wdarły się tam, gdzie się ich już nie spodziewano. Covid-19 i wojna na Ukrainie. W zbyt wielu krajach kryzysy te doprowadziły do ​​preferowania tego, co jest „tu i teraz”. Musimy jednak nadal zajmować się kwestią klimatu, zanim będzie za późno.
23106	11	Potrzebujemy dotrzymanych obietnic i środków. Potrzebujemy systemowej reakcji, aby migracja klimatyczna nie doprowadziła do bardziej niekontrolowanych efektów kaskadowych. Brak zbadania tych kwestii naraża nas na ryzyko konfliktu z krajami wrażliwymi. Jednak musimy trzymać się razem, stawką jest ludzkość.
23106	13	Niech każdy weźmie swoją część
23106	15	Obecnie ważne jest znalezienie nowej równowagi, przede wszystkim zbudowanie szerszego multilateralizmu, który pozwoli każdemu odegrać swoją rolę.
23106	17	Miasta są tam, zawsze były, nawet w mrocznych czasach. Zakasują rękawy, dysponując dostępnymi środkami, aby sobie z tym poradzić. Wymyślają, tworzą, angażują lokalnych aktorów, aby wymyślili model społeczeństwa uwzględniający lokalne zasoby.
23106	19	Miasta, także te o najmniejszych budżetach, są pełne pomysłów. Zasoby są tworzone, czasami jako produkt polityki publicznej, czasami jako obywatel, prowadzony przez nieformalne sieci. To właśnie te bogactwa pozwalają na optymizm.
23106	21	Dziś środki są na stole, ale nie zawsze znajdują swoje przeznaczenie. Ramy finansowania oparte na logice bankowej nie zawsze spełniają gwarancje, jakie miasta są w stanie zaoferować. Bez stawienia czoła tym trudnościom strukturalnym jest to grupa miast, które są trzymane z dala od pomocy rozwojowej.
23106	23	Dziś musimy stworzyć warunki do szerszego dialogu, wektora wymiany, sprawiedliwości i troski o najsłabszych. Dlatego 1 i 2 lipca w Abidżanie odbędzie się „COP miast”, w którym zgromadzi się około stu burmistrzów miast z całego świata.
23106	25	Odbędzie się na kontynencie dotkniętym jak żaden inny zmianami klimatycznymi, który prosi tylko o jedno: o wykorzystanie swojego dynamizmu, kreatywności i młodości w służbie interesu ogólnego. Możesz na nas liczyć, burmistrzów miast na całym świecie.
23106	27	Możecie liczyć na naszą czujność, na naszą determinację, aby zrobić wszystko, co w naszej mocy, aby zmienić bieg rzeczy.
23106	29	Sygnatariusze: Anne Hidalgo Burmistrz Paryża, Robert Beugré Mambé Gubernator Dystryktu Autonomicznego Abidżanu, Souad Abderrahim Cheikh El Medina z Tunisu, LaToya Cantrell Burmistrz Nowego Orleanu, Philippe Close Burmistrz Brukseli, Frank Cownie Prezydent Samorządów Lokalnych na rzecz Zrównoważonego Rozwoju ( Iclei) i burmistrz miasta Des Moines, USA, Willy Demeyer, burmistrz Liège, Franziska Giffey, burmistrz, gubernator Berlina, Roberto Gualtieri, burmistrz Rzymu, Ron Huldai, burmistrz Tel-Aviv-Yafo, Grégoire Junod Syndic z Lozanny, Sadiq Khan, burmistrz Londynu i prezydent C40, Fatimetou Abdel Malick, prezydent regionu Nawakszut i prezydent UCLG-A, Carlos Moedas, burmistrz Lizbony, Maxime Prévot, zastępca i burmistrz Namur, Rafał Trzaskowski, prezydent Warszawy.
23107	1	Duma przedmieść, queerowy marsz robotniczych dzielnic
23107	3	Minęły dwa lata od pierwszej Parady Podmiejskiej, dwa lata naznaczone kryzysem zdrowotnym i społecznym o przerażających konsekwencjach. Dwa lata więcej niż próby dla nas, odmieńców, mieszkańców dzielnic robotniczych, ludzi rasistowskich, osób niepewnych, nieudokumentowanych migrantów, wygnańców, osób niepełnosprawnych, osób neuroatypowych, osób zakażonych wirusem HIV, prostytutek, osób transpłciowych, osób niebinarnych, tych których tożsamość i wyrażenia zostały uznane za niezgodne. Dwa lata, podczas których opłakiwaliśmy wiele zaginięć w naszych społecznościach.
23107	5	Wybory prezydenckie ustąpiły miejsca coraz bardziej przebiegłej i skorumpowanej debacie publicznej, napędzanej przez narastające fobie LGBTQIA+, islamofobię i rasizm. Codziennie w telewizji, w radiu jesteśmy wyróżniani, obrażani. Odmawia się nam praw, gwałci się naszą godność. Chociaż jesteśmy uważani za potwory, przestępców, a nawet terrorystów, polityczna bezczynność wobec sytuacji kryzysowych, których doświadczamy, pozostaje. Niepewność, której zawsze doświadczaliśmy, jest wzmacniana przez przedsiębiorcze zarządzanie kryzysem, przez ustępujący rząd, który każdego dnia daje nam do zrozumienia, że ​​nie interesuje się naszym życiem.
23107	7	Mamy do czynienia z biedą mieszkaniową, która dotyka prawie co szesnastą osobę, nasyceniem się pomocą żywnościową, coraz trudniejszym dostępem do prefektury czy administracji publicznej oraz intensyfikacją represji policyjnych, które zawsze były naszą codziennością (1). Jako queer, jako ludzie rasistowscy, za każdym razem, gdy chcemy poddać się leczeniu, istnieje obawa, że ​​pracownicy służby zdrowia nie są przeszkoleni, aby zająć się naszą sytuacją. Strach za każdym razem, gdy znajdujemy się przy kasie: „Czy zostanę odpowiednio obsłużony, czy też zaniedbywany z powodu mojej (lub mojej) tożsamości?”.
23107	9	Przepełnione usługi zakwaterowania w nagłych wypadkach
23107	11	Spośród wszystkich tych niesprawiedliwości, w tym roku musimy nalegać na ścisłe przestrzeganie podstawowego prawa do godnych warunków mieszkaniowych. W Seine-Saint-Denis usługi zakwaterowania w nagłych wypadkach są systematycznie przesycone: 71 011 złożonych wniosków o zakwaterowanie nie zostało zrealizowanych przez cały rok, pozostawiając 9 653 osoby na ulicy bez pomocy (2). My, odmieńcy z klasy robotniczej, jesteśmy nadreprezentowani wśród tych bezdomnych. Rzeczywiście często zdarza się, że w wyniku przemocy fizycznej, psychicznej lub ekonomicznej jesteśmy wykluczani z naszych domów bez możliwości zakwaterowania. Jednak żaden system recepcyjny nie spełnia obecnie naszych potrzeb.
23107	13	Stan wyjątkowy nie może czekać! Nikt nie będzie za nas walczył, jeśli my, LGBTQIA+ z dzielnic robotniczych, sami nie poprowadzimy walki. Jeśli nasi sojusznicy nas nie poprą! Wierzymy, że odpowiedzi, które przywrócą nam godność, są uniwersalne. Nasze zmagania przyniosą pożytek wielu naszym współbraciom. Jak powiedziała Anna Julia Cooper, znakomita aktywistka afro-feministyczna: „Kiedy oni wchodzą, wszyscy wchodzimy”, oznacza to, że otworzyć drzwi nam, to otworzyć je wszystkim (3).
23107	15	Bądźmy niezwykle liczni 4 czerwca 2022 r. o godzinie 14:00 na placu René-Dumont w Saint-Denis, aby usłyszano nasz gniew. Aby przeciwstawić się naszym siostrom, naszym braciom, naszym towarzyszom. Aby dochodzić naszych praw. Łączcie się pod sztandarem celebrowania jednostek i wspólnot! Zjednoczmy się w walce z wykluczeniem! Zbudujmy razem społeczeństwo, w którym ludzka godność jest bezwarunkowa!
23107	17	Aby stworzyć potrzebną nam równowagę sił, wzywamy wszystkich do przyłączenia się do naszego wezwania do demonstracji poprzez podpisanie go na stronie internetowej: https://www.pridedesbanlieues.fr /
23107	19	(1) „26. Raport o stanie ubogich mieszkań we Francji 2021”, Fundacja Abbé-Pierre.
23107	21	(2) „Sprawozdanie z działalności 2020”, Interlogement93.
23107	23	(3) „Demarginalizacja skrzyżowania rasy i płci: czarna feministyczna krytyka doktryny antydyskryminacyjnej, teorii feministycznej i polityki antyrasistowskiej”, Kimberley Crenshaw, 1989, s. 160.
23107	25	Sygnatariusze: Barbara Butch, Enza Fragola, Fatima Daas, Lexie Agresti, Minima Gesté, Océan Michel, Shirley Souagnon, Tahnee, Tal Madesta, Yazid Mallek; 1001 lesbijek i osób queer, Helpers, Act Up-Paris, Paris Ile-de-France LGBT Center, LGBTQIA + Divines, the Transfem Liberation Front, Goudou e s on Wheels, Iel8 – Feminist Collective of Paris 8, Queer Education , Voice Unearthed.
23108	1	W Rosji te nieprawdy są równie przerażające, co absurdalne
23108	3	Władimir Putin może przegrywa wojnę na Ukrainie, ale wygrywa swoją drugą wojnę, tę w Rosji przeciwko prawdzie i informacji. Płaszcz ołowiu opadł na kraj i wprowadzono orwellowski system propagandy, poprzedzony demontażem wszelkiej opozycji, zamknięciem wszystkich wolnych mediów, zniesieniem wszelkich krytycznych stowarzyszeń. W efekcie w przededniu obchodów zwycięstwa aliantów i zakończenia II wojny światowej wielu Rosjan widzi w „operacji specjalnej na Ukrainie” wojnę sprawiedliwą i uzasadnioną. Świadczy o tym nasz raport: między ciągłymi kanałami telewizyjnymi przekazującymi nieprawdę tyleż przerażającą, co absurdalną, a komunikatami politycznymi i wojskowymi, skrzętnie ukrywającymi upokorzenie rosyjskiej armii na Ukrainie, mieszkańcy uciekają w polityczną apatię lub, co gorsza, we wzmacnianiu antyzachodnich uprzedzeń w tej części świata.
23108	5	Sankcje, które dopiero zaczynają być odczuwalne, prawdopodobnie zaakcentują to nastawienie. Presja Zachodu nie ma na celu przekonania narodu rosyjskiego do przeciwstawienia się autokracie, który i tak nim rządzi: miała odciąć Putina od jego bazy poparcia w rosyjskiej elicie gospodarczej, wojskowej i politycznej. Podczas gdy w Moskwie rozgrywa się groteskowa sztuka porównująca Ukrainę do nazistowskich Niemiec, jest jeszcze za wcześnie, aby wiedzieć, czy te środki przyniosą pożądany skutek. Liczba oligarchów zmuszonych do ucieczki lub nagle decydujących się na wypadnięcie z okien sugeruje, że Putin nie ma zamiaru porzucić wojennego szaleństwa, które nim kieruje. To błędne koło pokazuje, że stawką jest nie tylko wolność narodu ukraińskiego, ale także wolność narodu rosyjskiego.
23110	1	Rosyjski kryzys gazowy: ekologia i demokracja w Niemczech cofają się
23110	3	Ze względu na reglamentację rosyjskiego gazu Niemcy ponownie uruchamiają węgiel i zastanawiają się nad energią jądrową, co było nie do pomyślenia rok temu. Efekt uboczny tego ekonomicznego i politycznego odwrócenia: wzmocnienie władzy centralnej w obliczu władz lokalnych.
23110	5	Po Polsce, Bułgarii i Finlandii, Francja od 17 czerwca nie otrzymuje już rosyjskiego gazu. Jeśli przepływ do Niemiec, Włoch czy Austrii został utrzymany, Gazprom ograniczył przepływ o połowę, w odwecie za oficjalne przyjęcie przez Unię Europejską wniosku o wjazd Ukrainy.
23110	7	Bardzo ciężki cios dla Niemiec, które zwykle importują rocznie 58 mln m3 rosyjskiego gazu, podczas gdy dla nas tylko 13. Szef Gazpromu Aleksiej Miller powiedział jasno: „Nasz produkt, nasze zasady. Nie gramy według zasad, których sami nie stworzyliśmy”. We Francji jesteśmy raczej spokojni: zapasy są zapełnione w 56%, więcej niż zwykle o tej porze roku.
