doc_id	paragraph_id	po-ge
25100	11	Ein starker Gegner des Vorschlags ist Artur Dziambor von der Freiheitlichen Partei. „Eine Vier-Tage-Woche erhöht die Betriebskosten von Unternehmen um 25 Prozent.“ der Abgeordnete donnert. Es sei denn, dass – wie er behauptet – kürzere Arbeitszeiten mit Gehaltseinbußen einhergehen. Ihm zufolge hängt die Arbeitszeit im Unternehmen von der Vereinbarung zwischen dem Arbeitnehmer und dem Chef ab. Und ihnen von vornherein kürzere Arbeitszeiten aufzuzwingen, greift in ihre Freiheit. Auch Artur Dziambor hat keinen Zweifel daran, dass Tusk mit einem solchen Vorschlag ein Netz auf die junge, linkere Wählerschaft auswirft. Begleitet wird er von Sławomir Mentzen, Präsident des Polnischen Wirtschaftskongresses, Mitglied der KORWiN-Partei. „Wenn jemand denkt, vier statt fünf Tage die Woche zu arbeiten, steigert die Effizienz, dann lasst ihn sein Unternehmen so führen und wischt mit diesem Patent die Konkurrenz aus dem Vorstand“, spottete Sławomir Mentzen auf Facebook über die Idee.
25100	13	Auch der Präsident der PiS, Jarosław Kaczyński, verwies bei seinem Besuch in Grójec auf den Vorschlag. Er spottete darüber, dass die Idee die Wähler alarmieren sollte.
25100	15	- Sie haben eine 4-Tage-Woche versprochen. Wenn man bedenkt, wie es bisher mit ihren großen Versprechungen war, bedeutet das, dass es sechs Tage sein werden! Ich sehe es schon mit meinem geistigen Auge. Zuerst zwei Monate, vier Tage, dann sagen: Nun, die Gesellschaft ist nicht gereift, sie hat es nicht geschafft, aber jetzt müssen wir sechs Tage nachholen - sagte Jarosław Kaczyński.
25100	17	Beata Mazurek von der PiS erinnerte daran, dass die PO gegen freie Sonntage im Handel gestimmt habe. Und jetzt will sich diese Partei plötzlich für die Arbeitszeitverkürzung einsetzen. Ihr zufolge ist Tusk ein „gefährlicher Populist“.
25100	19	Zuvor hatte Entwicklungs- und Technologieminister Waldemar Buda Tusk mit Kritik nicht verschont: „Als er die Steuern senken sollte, hat er sie erhöht. Als er das Rentenalter senken sollte, hat er es angehoben. Ich hätte Angst, wenn sich hinter dieser Lösung nicht die Samstagsarbeit verbirgt “, sagte er in Polsat News. Und er fügte hinzu, dass PiS auch Berechnungen hinsichtlich einer Vier-Tage-Arbeitswoche anstellte. Er erklärte auch, dass die derzeitige Wirtschaftslage für die Einführung solcher Änderungen nicht förderlich sei.
25100	21	Derzeit konzentriert sich die Regierung auf die Umsetzung flexibler Beschäftigungsformen, z. Fernarbeit (ein Gesetzentwurf der Regierung liegt im Sejm vor, er wurde dem außerordentlichen Ausschuss des Sejm vorgelegt). Eine gesetzliche Verkürzung der Arbeitswoche ist daher keine Option. Marlena Maląg, Ministerin für Familie und Sozialpolitik, erinnerte den Polnischen Rundfunk daran, dass Arbeitgeber und Arbeitnehmern heute nichts im Wege stehe, wenn nötig, eine kürzere Arbeitszeit zu vereinbaren.
25100	23	Wir wollen weniger arbeiten. Aber weniger verdienen
25100	25	Der Vorschlag zur Arbeitszeitverkürzung kann Wahlpotential haben. Laut einer Hays-Umfrage mögen 96 % der Mitarbeiter das Vier-Tage-Arbeitsmodell. Befragte. Eine kürzere Arbeitswoche und die daraus resultierende Lohnkürzung von 80 % werden dagegen nur von 19 % der Befragten befürwortet. befragt. Eine andere Studie, Barometer des polnischen Arbeitsmarktes, zeigte, dass neben dem medizinischen Versorgungspaket die viertägige Arbeitswoche der Bonus ist, der am meisten von den Arbeitnehmern erwartet wird. Die Initiative von Donald Tusk kann daher als Element des Vorwahlspiels behandelt werden. Es ist auch und nicht zum ersten Mal ein Augenzwinkern für die junge, linke Wählerschaft. Eine andere Frage ist, ob die PO in diesem Flirt mit einem mehr oder weniger linken Wähler glaubwürdig ist. Tusk sprach nicht viel über die Vier-Tage-Woche. Er stellte unter anderem fest, dass dies nicht die Antwort für heute sei und dass unter Berücksichtigung der Erfahrungen mit der Pandemie und der vor uns liegenden Automatisierung der Arbeit die Herausforderungen in Bezug auf die Arbeitszeit ernst genommen werden müssten. Einfache Wahlversprechen und Erwartungen der Wähler sind das eine, und das andere - ob eine solche Lösung in unserer Realität Sinn macht.
25100	27	Verschiedene Rankings (Daten variieren je nach Forschungsmethodik) platzieren uns unter den verkehrsreichsten Nationen in Europa. Laut dem von Eurofound erstellten Bericht „Arbeitszeit 2019-2020“ wurden in Polen im Jahr 2020 durchschnittlich 1.848 Stunden gearbeitet. In Deutschland -1574 Stunden. Eine detaillierte Umfrage wurde letztes Jahr von UCE Research und Syno Polen durchgeführt. Diese Analyse zeigt, dass 21 % der Arbeitnehmer mehr als 8 Stunden am Tag arbeiteten. Studienteilnehmer. Im Gegenzug 13 Prozent Die Befragten arbeiteten 9-10 Stunden und 8 Prozent. - mehr als 10 Stunden am Tag (befragt wurden 804 beruflich aktive Polen). Die Eurostat-Studie zeigt, dass die durchschnittliche Arbeitszeit in Polen im Jahr 2021 40,3 Stunden betrug. wöchentlich. Danach arbeiteten die Serben (43,3 Stunden) und die Griechen (40,6 Stunden) mehr. Die kürzeste Arbeitszeit gab es im vergangenen Jahr in den Niederlanden – im Durchschnitt waren es 31,6 Stunden. wöchentlich. Es folgten Norwegen (34,2 Stunden), Dänemark (34,8 Stunden), Deutschland (35,2 Stunden). Die Autoren der Studie stellten fest, dass die europäischen Länder mit der meisten Arbeit die niedrigsten Stundenlöhne zahlen. Verbessert die Verkürzung der Arbeitszeit also automatisch die Effizienz und damit die wirtschaftlichen Parameter? So geht das nicht, sagen Ökonomen. Kürzere Arbeitszeiten und höhere Löhne können das Ergebnis der wirtschaftlichen Entwicklung sein, nicht ihre treibende Kraft.
25100	29	- Der Schlüssel zur Reduzierung der Arbeitszeit und zur Aufrechterhaltung der Löhne liegt in der Steigerung der Arbeitsproduktivität. Die Idee ist, den gleichen Wert von Produkten oder Dienstleistungen mit weniger Arbeitsstunden zu schaffen. Und das erfordert Fortschritte in der Automatisierung, Robotisierung, dem Einsatz neuer Technologien und künstlicher Intelligenz. In diesen Bereichen sind Investitionen erforderlich. Kürzere Arbeitszeiten sind eine unvermeidliche Richtung, in die sich die Welt bewegt, aber die Umsetzung dieser Richtung dauert mindestens ein Jahrzehnt. Das geht nicht auf revolutionäre Weise, das ist ein evolutionärer, langfristiger Prozess, sagt Andrzej Kubisiak, stellvertretender Direktor des Polnischen Wirtschaftsinstituts.
25100	31	Polen ist nicht Großbritannien
25100	33	Bislang hat sich kein Land für die Einführung einer gesetzlichen Vier-Tage-Arbeitswoche entschieden. Obwohl natürlich einige Unternehmen, insbesondere während der Pandemie-Einschränkungen, ihre Arbeitszeiten flexibilisiert haben. Es gibt auch Länder, in denen die tägliche Arbeitszeit verkürzt wurde, z.B. auf 7 Stunden (Frankreich). Pilotprojekte zur Vier-Tage-Woche wurden in anderem Umfang durchgeführt, z. in Japan, Neuseeland, Island. In letzterem Land stellten die Piloten fest, dass sie produktiver, weniger gestresst und besser in der Lage waren, Arbeit und Freizeit in Einklang zu bringen. Es sollte hier hinzugefügt werden, dass Beamte von Regierungsinstitutionen und dem Stadtrat von Reykjavik an dem Test teilnahmen und die Studie 4 Jahre dauerte. Derzeit wird das Experiment in Spanien und Großbritannien durchgeführt. Das britische Pilotprojekt, das im Juni gestartet wurde, ist das bisher größte und umfasst 3.000. Mitarbeiter aus 70 Unternehmen. Seine Teilnehmer sollen sechs Monate lang 32 Stunden pro Woche arbeiten, ohne Lohnkürzung. Experten betonen, dass selbst wenn die Lösung in einem anderen Land funktioniert, dies hier möglicherweise nicht oder nicht sofort der Fall ist. Die Besonderheit unserer Wirtschaft ist anders als beispielsweise die britische. Wir werden von kleinen Unternehmen dominiert. Und es kann schwieriger sein, technologische Änderungen in ihnen umzusetzen.
25100	35	Der Anteil hochentwickelter Sektoren in der britischen Wirtschaft ist höher als in Polen. Unsere Wirtschaft basiert immer noch weitgehend auf Branchen, in denen Arbeitsstunden eine Rolle spielen und den Erfolg eines Unternehmens bestimmen. Wir sollten den Abschluss der Pilotprojekte abwarten und erst dann ein solches Experiment in Polen in Betracht ziehen - fügt Andrzej Kubisiak hinzu.
25100	37	"""Diese Idee ist schädlich"""
25100	39	Die Verkürzung der Arbeitszeit in unserem Land kann in einigen Branchen problematisch sein. Vor allem bei denen, die mit Personalmangel zu kämpfen haben. Das gilt zum Beispiel für die Medizinbranche. Wenn wir die Arbeitswoche verkürzen, wird die Verfügbarkeit von Ärzten geringer, oder es kommt bei ihnen zu einer fiktiven Arbeitszeitverkürzung. Das medizinische Personal muss zusätzliche Schichten einlegen, um Personallücken zu schließen. Tatsächlich wird es genauso funktionieren wie jetzt. Es gibt auch Fragen zu Handel oder Gastronomie? Werden Unternehmer es sich leisten können, den Fortbestand ihres Unternehmens aufrechtzuerhalten, wenn die Arbeitswoche des Arbeitnehmers 4 Tage beträgt?
25100	41	Cezary Kaźmierczak, Präsident des Unternehmer- und Arbeitgeberverbandes, hat keinen Zweifel: Die Idee ist schädlich, infantil und realitätsfern. Und einige polnische Politiker, nicht nur von der PO, verhalten sich bei einem solchen Postulat, als wären wir eine andere Schweiz.
25100	43	"„Polen ist im Vergleich zum Rest der Welt ein ziemlich reiches Land; aber im Vergleich zu Europa ist das nicht mehr der Fall. Bisher hat Polen weniger als 60 Prozent. Deutschlands BIP pro Kopf. Deutschland ist eineinhalb Mal effizienter als Polen und hat auch eine höhere Produktivität. Wenn wir sie weiterhin effektiv verfolgen wollen, wie wir es seit 30 Jahren tun, und den Lebensstandard dieser reichen westlichen Länder erreichen, sollten wir nicht weniger, sondern mehr daran arbeiten, sie einzuholen"", sagte Cezary Kaźmierczak , zitiert von PAP."
25100	45	Nach Meinung von Prof. Jacek Męcina, Berater des Vorstands der Konfederacja Lewiatan, würde eine viertägige Arbeitswoche unter unseren Bedingungen zu einer Kürzung der Gehälter und einer Verringerung der Zahl der Mitarbeiter führen.
25100	47	- Allein die Verkürzung der Wochenarbeitszeit von 5 auf 4 Tage bedeutet im Prinzip, dass die Produktivität sinkt. Deshalb sollten die Löhne der Arbeiter um etwa 20 Prozent gesenkt werden. Das Argument, dass die Arbeitszeitverkürzung durch eine Produktivitätssteigerung kompensiert wird, kann nicht akzeptiert werden, da es solche Garantien nicht gibt und solche Möglichkeiten nicht immer möglich sind. Die französische Erfahrung der späten 1980er Jahre hat gezeigt, dass die Arbeitszeitverkürzung nicht durch die Produktivitätssteigerung kompensiert wurde und die Abwälzung der Kosten einer solchen Lösung auf die Arbeitgeber nicht akzeptiert werden kann. Dies würde zu einer Verringerung der Wettbewerbsfähigkeit der Unternehmen und zu Problemen in der gesamten Wirtschaft führen - sagt Prof. Jacek Męcina.
25100	49	Ihm zufolge ist die aktuelle Zeit, insbesondere angesichts einer möglichen Rezession, nicht die beste Zeit für Experimente. Die vorgeschlagene Lösung kann jedoch nicht vollständig abgelehnt werden. In automatisierten Branchen, die auf modernen Technologien basieren, wird die Reduzierung der Arbeitszeit in Zukunft wünschenswert sein.
25100	51	- Solche Räume werden in erster Linie in Industriesektoren, aber auch in modernen Dienstleistungen erscheinen. Investitionen in Robotisierung und Prozessautomatisierung bedeuten für Unternehmen in der ersten Phase enorme Kosten. Die Frage ist also, wie wir sie für diese Investitionen entschädigen werden. Darüber hinaus müssen wir bedenken, dass die Erhaltung der Beschäftigung zunehmend zusätzliche Investitionen in die Verbesserung oder Veränderung der Qualifikation der Mitarbeiter erfordert und dies auch erhebliche Ausgaben bedeutet - sagt Prof. Jacek Męcina.
25101	1	Lewicka: Nicht Moskau und Peking, sondern Berlin und Brüssel. Die PiS sucht weiter nach Feinden im Westen
25101	3	Der Krieg in der Ukraine hat nicht wirklich viel an der Außenpolitik der PiS geändert, wenn man über geopolitische Bedrohungen und Herausforderungen für Polen nachdenkt. Das Machtlager ist ständig Geisel der antideutschen Besessenheit seines Anführers und Supermachtgeschichten über das große Polen und eine ebenso große Armee aus Wien oder Kirchholm.
25101	5	Wenn der Öffentlichkeit unwahre Geschichten verkauft werden, zeigt sich früher oder später ihre Unvereinbarkeit mit der Realität. Wie Rydz-Śmigły, der glaubte, er sei der zweite Piłsudski, dass er dem Dritten Reich nicht einmal einen Knopf preisgeben würde, nur um von den Rumänen interniert zu werden und die damals noch an zwei Fronten kämpfenden Truppen im Stich zu lassen ihr Schicksal. Folgen wir diesen geschmetterten Dubs des Präsidenten und des Rests der Herrscher.
25101	7	"Deutschland sei ein äußerst destruktives Element in Europa, sagte Jarosław Kaczyński in einem Interview für „Gazeta Polska“. Er argumentierte, Berlins Ziel sei es, ""uns unter seiner Ferse zu halten"". Er entschied gnädigerweise, dass ""heute kein Hitlerwahn in ihnen steckt"", aber ""wenn Sie sich Bismarck ansehen, dann sind - unter Berücksichtigung anderer historischer Umstände natürlich - die Ziele dieselben."""
25101	9	Hier sei daran erinnert, dass Bismarck nicht nur der Schöpfer der Macht des Zweiten Reiches war, sondern auch die treibende Kraft hinter der brutalen Germanisierung der Länder unter preußischer Herrschaft. Bemerkt der PiS-Präsident also jetzt einen neuen „Kulturkampf“ in der Berliner Politik?
25101	11	Kürzlich wurde Kaczyński auf bizarre Weise von niemand anderem als dem Präsidenten der Polnischen Nationalbank unterstützt. Adam Glapiński argumentierte, wahrscheinlich stark konsterniert an den Finanzmärkten, dass einer unserer Nachbarn (damals fiel das Wort „Deutschland“) plant, Polen in die Eurozone zu locken, um in sechs Monaten eine europäische Föderation aufzubauen und uns unserer Souveränität zu berauben.
25101	13	"Dies ist ein leicht modifiziertes Echo der Worte des Präsidenten, die er auf der Kundgebung in Kielce gesprochen hat. Der Präsident sagte dort, Deutschland sei keine Supermacht, aber wenn sie die EU als ""Stelzen"" benutzen würden, wären sie es, und wir wiederum wären unter ihrem Schuh, und ""ein Schuh ist ein Schuh"". Auch die PiS kehrt zum Narrativ über Reparationen zurück, auf die sie keine Chance hat und die sie seit Jahren nicht mehr fordern kann, weil der Bericht zu diesem Thema angeblich „in viele Sprachen übersetzt“ sei. Erstaunlich, dass die PiS nicht an das Geld aus dem Wiederaufbaufonds herankommt und uns mit unrealistischen Entschädigungen aus Berlin täuscht."
25101	15	"Tatsächlich ist es auch schwierig, Kaczyński in seinem Denken über den westlichen Nachbarn zu folgen. Mal ist es eine Macht, die uns verschlingen will, mal will sie sich nur auf unsere Kosten an die Macht drängen. Manchmal sind die Deutschen lustig, manchmal bedrohlich. In einer Stadt behauptet Kaczyński, Deutschland sei eine wirtschaftliche Supermacht, in einer anderen zuckt er mit den Schultern, die Kaufkraft eines Euros liege bei etwa drei Zloty, also nicht viel, und polnische Ärzte würden dort nicht mehr arbeiten, weil „sie weniger zahlen als hier ""."
25101	17	Die Angst des Präsidenten vor dem Deutschen mischt sich mit Komplexen gegenüber dem Deutschen. Und obendrein gibt es ein politisches Spiel, um die Öffentlichkeit gegen Berlin aufzuwiegeln, denn es ist bekannt, dass die PiS ohne einen Feind nicht existieren, agieren und kämpfen kann.
25101	19	Ohne einen imaginären Feind, der nicht wirklich existiert und mit dem Sie überhaupt nicht kämpfen müssen. Nur solche Feinde kann PiS besiegen wie einen fahrenden Ritter aus La Mancha, der in Windmühlen nach gefährlichen Gegnern sucht.
25101	21	Der wahre Feind – Russland kehrt hauptsächlich in die propagandistische Ausbreitung der Inflation als Haupt- und fast einzige Ursache für Preiserhöhungen in Polen und in ganz Europa zurück. Und außerdem wollen Berlin und Brüssel unsere Souveränität mehr als Moskau. Und China, im Allgemeinen mit Russland verbündet, insbesondere für Präsident Duda, scheint ein attraktiver Kollege für Politik und Wirtschaft zu sein.
25101	23	Lass uns weitermachen. Diese Umkehrung der Richtungen, aus denen das Böse kommen kann, wird begleitet von einem ständigen Geschrei über unsere Macht – politisch und militärisch. Wir werden nie wieder zulassen, dass ein russischer Soldat polnischen Boden betritt – der Ministerpräsident weht die Fahne des Nationalstolzes. Aber in solchen Angelegenheiten kann man sich immer auf den Präsidenten verlassen. Polen sei groß genug, um einen Ort zu haben, an dem die Angreifer bestattet werden könnten, drohte er kurz nach Ausbruch des Krieges in der Ukraine.
25101	25	Die PiS wedelt mit einem Gesetz zur Verteidigung der Heimat vor der Nase der Öffentlichkeit, das damit bisher nichts zu tun hat, außer mit schnellen Einkäufen, ohne Plan, sondern auf Kredit künftiger Generationen, und mit militärischen Plänen zur Vergrößerung die Armee, von vielen in Frage gestellt.
25101	27	Kaczyński sieht die polnische Armee riesig, und das soll uns auch national kitzeln. Und wenn es zu irgendetwas käme, müsste man sich auf das beziehen, was Andrzej Duda selbst erwähnt hatte, als er nach Putins möglicher Aggression gegen Polen gefragt wurde.
25101	29	Es gebe eine potenzielle Bedrohung, antwortete er, aber bitte beachten Sie, dass über 10.000 Soldaten der größten Armee der Welt in Polen stationiert sind. Die stärkste, beste und modernste Armee. Es ist also wie immer zuerst Polen ist eine Macht, und das war's, wir haben hier keinen Knopf und so weiter, und einen Moment später suchen wir nervös nach den Amerikanern. Puh, die gibt es, und in letzter Zeit werden es sogar noch mehr. Was für eine Erleichterung!
25101	31	Hier genügt es jedoch, daran zu erinnern, dass die PiS Ende letzten Jahres, nachdem sie Erkenntnisse des US-Geheimdienstes über die bevorstehende russische Aggression gegen die Ukraine zur Verfügung hatte, wegen TVN gegen die Amerikaner in den Krieg zog. Denn parteiinterne Ziele waren Präsident Kaczyński wichtiger als gute Beziehungen zu unserem möglichen Hauptverteidiger.
25101	33	Die PiS ist nicht nur außenpolitisch unfähig, weil es im diplomatischen Dienst die gleichen Verlierer gibt wie in jedem anderen von der Partei übernommenen Job. Auch weil er Parteiinteressen über Staatsräson stellt. Wer erleichtert ist, dass die PiS nach dem 24. Februar auf der richtigen Seite steht, sollte nicht vergessen, dass dieser Krieg für die PiS „politisches Gold“ ist.
25101	35	Dies zeigt sich in den Versuchen, die öffentliche Debatte zu militarisieren, die die Aufmerksamkeit der Öffentlichkeit von hohen Preisen und anderen Missständen ablenken soll. Die Tatsache, dass ein gewisser Lech Kaczyński die russischen Pläne genau vorhergesagt hat, bedeutet nicht, dass die PiS etwas gelernt oder verstanden hat. Es bleibt zu hoffen, dass die Geschichte ihre Wirksamkeit nie so testen wird wie Rydz-Śmigły.
25102	1	Rufen Sie die Karawane an. Greta Thunberg tötete diejenigen, die sich mit Ökologie den Mund wischen
25102	3	Das in Mailand stattfindende Jugendforum Youth4Climate war gestern eine Gelegenheit für Greta Thunberg, ein starkes Comeback zu feiern. Diesmal hörten wir den nervösen Teenager nicht mehr. Ich habe den Eindruck, dass eine ernsthafte Führungspersönlichkeit einer neuen Generation geboren wird.
25102	5	Wie Hamlet „Worte, Worte, Worte“ sagte, traf Greta Thunberg von den ersten Worten an die Weltführer und die leeren Plattitüden, die sie seit Jahren in Bezug auf den Kampf gegen den Klimawandel äußern. Blah, bla, bla mit einer Beimischung von Worten über Pläne, über Klimaneutralität, über Ambitionen – das ist alles, was wir aus ihrem Mund hören.
25102	7	Wie viel Wahrheit steckt in ihrer Aussage. Wer alle Informationen über die Klimaökonomie und die neuen Auswirkungen des Klimawandels verfolgt, die sich weltweit abzeichnen, weiß genau, was Greta Thunberg im Sinn hatte.
25102	9	In den letzten zwei Jahrzehnten hat sich eine Art Neusprech entwickelt, der zu einem obligatorischen Element in Pressemitteilungen von Vertretern der Industrie und der Regierungen vieler Länder geworden ist.
25102	11	Es gibt jetzt keine Botschaften, die sich nicht auf den Klimawandel beziehen. Nahezu jedes große Unternehmen fühlt sich verpflichtet, dafür zu sorgen, dass es das Ziel verfolgt, Treibhausgasemissionen bis 2030, 2040 oder 2050 zu minimieren oder sogar zu eliminieren. Wie Thunberg feststellt, sind dies jedoch schöne Worte, denen keine Taten folgen.
25102	13	Wichtig ist, dass Thunberg konkrete Beweise hat, die seine These über die Heuchelei der Macht stützen.
25102	15	Seit Jahren hören wir von Maßnahmen zum Klimaschutz. Gleichzeitig weisen die Daten auf das genaue Gegenteil hin: Die Hälfte aller atmosphärischen Emissionen ist in den letzten 30 Jahren entstanden. Ein Drittel - in den letzten 15 Jahren. Gleichzeitig haben wir uns an den Neusprech über Pläne zur Reduzierung des Kohlendioxidausstoßes gewöhnt.
