doc_id	paragraph_id	it-fr
26101	10	Quoi qu'il en soit, le Tweet est presque une œuvre situationniste.
26101	12	« Nous aimerions comprendre ce que la Farnesina voulait dire avec ce Tweet.
26101	13	Car soit la carte est fausse, et ce serait assez grave, soit l'aide les a envoyés dans le mauvais pays (et ce serait encore plus grave..).
26102	3	"« On aurait travaillé pour le tirage au sort au CSM, histoire de casser le mécanisme. Nous aurions révolutionné la responsabilité du magistrat qui commet des erreurs», écrit le sénateur florentin dans son livre Il Mostro. C'est pourquoi les courants, tout d'abord Md, n'ont pas voulu que Gratteri devienne Garde des Sceaux. Rôle dévolu au piddino Andrea Orlando, évidemment considéré comme ""fiable"" par la corporation. C'est Renzi, hier, lors de la présentation de son livre, qui a confirmé la pire version, celle qui jusqu'à présent était restée dans les coulisses. «Giorgio Napolitano», a-t-il dit, «utilisant les prérogatives de la Charte constitutionnelle, m'a dit qu'il ne voulait pas de Gratteri comme ministre de la Justice. Point""."
26102	5	Le chef de l'Etat n'a fait qu'appliquer le veto des courants, soucieux de défendre le statu quo. « Non seulement la justice démocratique, mais aussi Unicost », de la zone centriste, « était absolument opposée à la candidature de Gratteri, car il y serait allé à contre-courant. D'autres n'ont pas apprécié Gratteri pour ses positions pas exactement garanties. Mais il ne fait pas l'ombre d'un doute que Gratteri, à ce moment-là, était un élément de bouleversement absolu du système, de véritable démolition».
26103	3	Le printemps devrait apporter une bouffée d'air frais, mais en lisant les journaux ces jours-ci, il est déconcertant de lire comment, après des années d'austérité et de misère et malgré les pandémies et les guerres, les gardiens de l'orthodoxie continuent de nous proposer les recettes habituelles.
26103	5	"Le 23 mai, la Commission européenne a publié les Country Reports, c'est-à-dire les rapports avec lesquels la Commission exprime les résultats de son contrôle de la situation économique et sociale des États membres, exprimant une série de recommandations avec lesquelles le processus de surveillance des politiques budgétaires (mais pas seulement) des États. Une surveillance qui, dans le cadre du plan de relance post-pandémie, est étroitement liée au décaissement des fonds du programme Next Generation EU et, donc, au PNRR. En effet, comme l'a rappelé Ursula von der Leyen, présidente de la Commission européenne, en référence aux recommandations spécifiques à chaque pays, ""jusqu'à présent, il ne dépendait que des pays de s'y conformer ou non, mais désormais les recommandations sont liées à subventions et prêts potentiels"""
26103	7	Évidemment, il y en a aussi pour l'Italie, et sa lecture fait baisser les bras.
26103	9	"Déjà en première page, le rapport nous dit ""qui nous sommes et d'où nous venons"", et c'est peut-être la seule chose dont nous devons le remercier car avec un simple graphique il nous rappelle, gommant l'insupportable rhétorique des différents ""meilleurs"" qui ont suivi, que depuis la crise financière de 2008, non seulement l'écart avec les autres économies européennes a considérablement augmenté, mais même la pandémie a rattrapé l'Italie avec un PIB réel toujours inférieur de 3 % au niveau d'avant 2008 ; le reste est de l'histoire récente : la chute la plus importante du PIB en Europe en 2020, un ""rebond"" qui - contrairement à ce qui se passe dans d'autres pays - est largement insuffisant pour regagner le terrain perdu, la ligne du PIB qui avec la guerre redevient horizontale et à un niveau toujours inférieur à celui de 2008 ; bref, 15 ans au cours desquels nous avons perdu du terrain non seulement dans un sens relatif mais aussi dans un sens absolu."
26103	11	"Ce que le rapport oublie d'ailleurs de mentionner, c'est que durant ces quinze années - et notamment de 2011 jusqu'au début de la pandémie - nous avons été parmi les élèves les plus assidus à faire des ""devoirs"" (lire : appliquer les mesures d'austérité avec une excédents primaires et éliminer le peu de mesures sociales restantes), appliquant fidèlement le « conseil » que nous avons trouvé dans les rapports des années précédentes : en somme, une lecture qui, pour être honnête, équivaut à un rejet du « maître », et non du la pupille."
26103	13	Quoi qu'il en soit : le rapport consacré à l'Italie hausse allègrement les épaules et propose la recette habituelle faite de coupes, de réformes et (seule nouveauté) « d'attente du PNRR… ».
26103	15	Poursuivant la description de la situation existante, les rédacteurs du rapport regrettent que - également en raison des mesures non temporaires adoptées au cours des deux dernières années - le déficit public continue de dépasser le seuil magique de 3 %, regrettant les bons moments (pour eux) du 2019, alors que nous l'avions réduit à 1,5 % également grâce à une série impressionnante d'excédents primaires : pourtant, aujourd'hui, nous savons bien ce que cela a signifié pendant la pandémie, par exemple en termes de manque de services, de personnel hospitalier, lits ou classes de poulailler et structures délabrées (pour ne citer que deux des secteurs les plus touchés).
26103	17	"Nous continuons avec les inévitables ""déséquilibres macroéconomiques excessifs"". Des déséquilibres qui se traduisent, dans le langage de la Commission, par ""une dette publique excessive"". Une dette publique à réduire sans discernement, notamment par la réduction des dépenses publiques. Ainsi va aggraver la situation déjà dramatique des services publics en Italie et le chômage. Ce dernier est évidemment un déséquilibre que la Commission peut tolérer."
26103	19	"Par ailleurs, la ""faiblesse structurelle du marché du travail"" est évoquée, même si la Commission doit également reconnaître que la reprise partielle du niveau de l'emploi après la pandémie est essentiellement due au travail précaire."
26103	21	Enfin, le rapport rappelle que l'Italie fait partie des pays européens les plus dépendants du gaz russe, et qu'elle souffrira donc probablement le plus des répercussions économiques de la guerre.
26103	23	Si tel est l'état de la technique, les perspectives d'avenir sont si possible encore plus déprimantes : dit de la nécessité de reprendre la marche vers l'équilibre budgétaire (et n'en déplaise à ceux qui se réjouissent de la suspension du pacte de stabilité : après tout, si on est les meilleurs, on s'auto-inflige l'austérité…), tous les espoirs semblent être placés dans les propriétés salvatrices du PNRR, dont il faut rappeler que l'Italie est le premier bénéficiaire en termes absolus et l'un des quatre seuls pays à avoir également demandé l'accès aux prêts.
26103	25	"Au-delà du fait que - comme nous l'avons déjà expliqué ailleurs - cette intervention est largement insuffisante quand elle n'est pas ouvertement contradictoire, ce qui est vraiment impressionnant, c'est de voir s'aligner les différentes ""réformes"" associées au PNRR : réduire les formalités administratives pour soigner une administration publique ""pas suffisamment répondant aux besoins des entreprises » (sic !), réforme de l'emploi public (et l'exemple donné est celui des experts en CDD embauchés précisément pour la gestion du PNRR), libéralisations (notamment pour les services publics, voir transports locaux, eau, ordures ménagères, etc.)… bref, tout ce qui a déjà été vu et entendu, et malheureusement souvent déjà appliqué, au point que nous en connaissons trop bien les méfaits sur notre qualité de vie."
26103	27	Pour le reste, rien d'autre, dont une fiscalité à réformer en faisant davantage pencher les taxes sur la consommation (et on vise des taux particulièrement bas, c'est-à-dire l'outil pour tenter d'atténuer les effets d'une taxe structurellement régressive) et sur l'immobilier (y compris les premières résidences).
26103	29	"Pourtant, la Commission européenne est en bonne (voire mauvaise) compagnie : la mission annuelle de surveillance en Italie du Fonds monétaire international s'est achevée le 17 mai, et même dans ce cas, avant de partir, les experts ont cru bon de nous laisser quelques Conseil : En plus d'appeler à un record battu ""une stratégie crédible à deux volets pour réduire de manière significative le déficit et la dette élevés à moyen terme"", ce rapport se concentre davantage sur les conséquences économiques de la guerre en précisant que ""le budget la réponse au choc énergétique doit être plus contenue que ce qui s'est passé pour la pandémie » ; les ""solutions"" dans ce cas sont identifiées dans le plan REPower EU (donc pratiquement rien) et sur les primes sociales (voir le décret d'aide récent et largement insuffisant). Dans ce cas également, le plus intéressant réside dans ce que le rapport ne dit pas : en présence de factures folles, allez-y et donnez quelques pièces à ceux qui sont plus sur le terrain, mais malheur à demander une intervention plus profonde et structurelle par l'État dans la régulation du marché ; les interventions même timides sur certains postes de facturation tels que les droits d'accises et les charges du système sont déconseillées car « même si cela réduit immédiatement les prix pour les familles et les entreprises, l'efficacité énergétique est découragée et les avantages profitent à tous les consommateurs »."
26103	31	En conclusion, la Commission européenne et le Fonds monétaire international rappellent à l'ordre, proposant effectivement les mêmes recettes grâce auxquelles nous nous sommes retrouvés sans outils face au désastre de la pandémie.
26103	33	On sait que l'amélioration de notre qualité de vie passe par un chemin exactement inverse : relance des dépenses sociales de l'Etat et des collectivités locales (ce qui veut dire aussi dépenses courantes, par exemple pour payer les médecins, les infirmières, les enseignants, etc.), politique des politiques environnementales et énergétiques cohérentes, des contrats de travail stables et des salaires décents, une fiscalité véritablement progressive.
26105	3	J'ai lu qu'au cours de ces heures, une partie du Mouvement a proposé un projet de résolution qui nous éloigne de l'alliance entre l'OTAN et l'UE - dit le chef de la Farnesina de Gaeta - l'OTAN est une alliance défensive, si si nous sortons du rang, nous mettons la sécurité de l'Italie en danger.
26105	5	"Di Maio affirme : « L'OTAN est une alliance défensive ». Nous ne commentons pas et nous ne voulons pas évoquer les crimes offensifs de l'Alliance atlantique, nous vous invitons simplement à lire le livre de l'intellectuel américain Noam Chomsky et du philosophe et essayiste Andre Vltchek intitulé ""Western Terrorism"" (Ponte alle Grazie) , où vous trouverez tout ce que vous devez savoir sur le sujet. Nous ne commentons pas non plus la présence de dizaines d'ogives nucléaires sous les ordres directs des maîtres de l'OTAN présents sur notre territoire, qui, oui, mettent en danger notre sécurité présente et future."
26105	7	Nous ne les commentons pas simplement parce qu'en fait, les propos de Luigi Di Maio, repris hier par la Repubblica, le conduisent de plein droit à dépasser les délires intégristes atlantiques de tout Molinari ou Riotta.
26105	9	"Cependant, nous sommes intéressés à porter à votre attention un autre aspect et c'est l'hystérie avec laquelle le ministre des Affaires étrangères et la République ont évoqué si tôt le ""scandale""."
26105	11	Après le plan de paix ridicule moqué par le monde entier, le locataire de la Farnesina et le journal Fiat se remettent à travailler main dans la main.
26105	13	La raison est vite dite.
26105	15	Le 21 juin, Mario Draghi sera contraint de se rendre au Parlement. Il s'en serait certainement passé et probablement dans la prochaine législature cette obligation devant un Conseil européen sera levée. Mais pour l'instant ce sera forcé. Et les partis majoritaires doivent définir une résolution partagée.
26105	17	Pour ceux qui, comme Conte et Salvini, ont critiqué (avec des mots) ces dernières semaines l'envoi d'armes secrètes au régime de Kiev - qui ont fait de l'Italie un pays co-belligérant contre une puissance nucléaire vitale pour notre économie - tous les les nœuds reviennent inévitablement se percher.
26105	19	Alors que craignent Repubblica et Di Maio et quelle est l'urgence de cette sortie coordonnée ?
26105	21	"Simplement que quelqu'un peut leur forcer un peu la main, quand nos ""alliés"" demandent une obéissance aveugle à leurs diktats."
26105	23	Le chef du M5S a un coup mat très simple de son côté, qui s'il n'est pas attrapé le placera à juste titre parmi les pires Quislings de l'histoire italienne récente : retirer immédiatement du gouvernement la délégation en blanc donnée par TOUS les partis majoritaires et majoritaires déguisés en Frères d'Italie (fait loi avec un vote de confiance au Sénat le 31 mars). Procuration en blanc qui, nous vous le rappelons, a permis à Draghi, Di Maio et Guerini de publier trois décrets successifs - cachés au Parlement - avec un certain nombre d'armes secrètes et non déchiffrées qui ont atteint Kiev et probablement aux bataillons néonazis qui, à ces heures également, ils sont coupables de crimes contre la population civile du Donbass.
26105	25	C'est ce dont Di Maio et Repubblica ont peur, à tel point qu'ils reviennent à des opérations coordonnées, malgré l'échec lamentable du tristement célèbre plan de paix publié par le journal Fiat.
26105	27	"Après le vote honteux donné au Parlement également par son Mouvement 5 étoiles - à l'exception de Vito Petrocelli qui a payé son choix avec la destitution illégitime du poste de président de la Commission des affaires étrangères - Conte peut mater les vassaux de l'OTAN et les plus bellicistes extrémistes, acceptant simplement l'invitation de Mattia Crucioli d'Alternativa et président du néo-groupe CAL. Dans une lettre que, comme l'Anti-diplomatique, nous vous avons publiée mercredi, Crucioli a invité tous les parlementaires ""à écrire ensemble"" une résolution qui supprime la délégation blanche du gouvernement sur la question."
26105	29	Ne bloquez pas l'envoi d'armes, mais permettez au Parlement de redevenir souverain et de voter sur chaque décret ultérieur. Chaque partie doit être tenue responsable devant l'opinion publique de tout choix futur et le Parlement doit être informé du nombre et de la nature des armes italiennes livrées à Kiev.
26105	31	Qu'attend Conte pour accepter cette invitation ?
26105	33	Voici ce dont Di Maio et Repubblica ont peur.
26105	35	Giuseppe Conte, qui s'est repenti en paroles ces dernières semaines du vote par procuration en blanc donné par son parti, n'a pas d'alternative : soit il procède à sa suppression, quitte à retirer ses ministres du gouvernement, soit sa fin politique peu glorieuse ce sera l'histoire. Jugement avec un nouvel article mercredi.
26106	1	G7 à Monaco : ils comptent si peu que même les manifestants s'en fichent
26106	3	L'Allemagne prend la tête du G7, mais personne ne s'en soucie. Le G7 ressemble à un cercle ARCI à la retraite, où se rencontrent d'anciennes puissances qui étaient autrefois quelque chose, et qui passent maintenant leur temps à se leurrer qu'elles le sont toujours. Un peu comme Prodi, qui va maintenant prêcher à la télé en pensant qu'il est encore quelque chose, mais qui, après avoir défait l'Italie et avoir un peu flirté avec tout le monde. maintenant ça n'a plus d'importance.
26106	5	Le G7 compte désormais si peu que même les contre-manifestations, organisées par les habituelles fausses organisations alternatives, comme le WWF, ATTAC et autres organisations « environnementales », ont échoué. Un flop colossal : la police attendait 20 000 personnes, au final seulement 3 500 sont arrivées. Au final, ce sont quatre chats, qui ont organisé une manifestation ridicule « parce qu'il y a une crise climatique, parce qu'on risque l'extinction de l'espèce » et d'autres aménités qui sont maintenant devenus triviaux.
26106	7	Après tout, à quoi bon manifester face à un groupe de personnes qui, d'une part sont les butineuses de ces organisations, d'autre part elles ne comptent plus pour rien. Biden a de gros problèmes avec l'inflation. Johnson est en difficulté pour l'économie, mais aussi pour des problèmes internes, avec la moitié du parti qui se rebelle contre lui, au milieu de scandales et de flops électoraux. Scholz, qui n'est pas Merkel, dirige une majorité contradictoire et une économie proche de la récession et de la désindustrialisation. Macron a perdu le pouvoir législatif, il gouverne, mais il ne règne plus comme avant. Draghi est un directeur de faillite d'Italie placé par d'autres. Seuls Trudeau et Kishida sont solidement en selle, avec leurs propres problèmes économiques, même s'ils sont secondaires à ceux des USA.
26106	9	A la fin du G7, personne ne se soucie de rien : il suffit de connaître les décisions confuses de la présidence américaine pour avoir une idée de ce qui se passe ailleurs. pendant ce temps, l'UE n'est qu'un exécuteur : même si l'Allemagne, la France et l'Italie voulaient faire quelque chose de différent, un Von Der Leyen télécommandé arriverait des Dems et les remettrait en ligne. Alors le G7 c'est bien pour les photos et, peut-être, pour une bonne bière, mais politiquement ça ne compte pour rien, absolument rien.
26109	1	LE VICE-PRÉSIDENT DU CONSEIL DE SÉCURITÉ RUSSE REVIENT À L'ATTAQUE DE L'OUEST : « LE NIVEAU DES POLITICIENS EST DESCENDU FAIBLE. IL EST CLAIR POUR TOUT LE MONDE QUE MARIO DRAGHI N'EST PAS SILVIO BERLUSCONI ET OLAF SCHOLZ N'EST PAS ANGELA MERKEL » – « LES GRANDS DIRIGEANTS DU PASSÉ N'ÉTAIENT PAS DES RUSSOPHOBES, ET ILS ONT ÉTÉ REMPLACÉS PAR UNE NOUVELLE GÉNÉRATION DE PERSONNES FAIBLES QUI SE DISENT TECHNOCRATE… »
26109	3	"Le niveau des politiciens occidentaux est ""tombé au plus bas"" et ""je l'ai vu de mes propres yeux ces 20 dernières années"". En Europe, par exemple, ""il n'y a même pas trace de personnalités politiques du niveau d'Helmut Kohl, Jacques Chirac ou Margaret Thatcher"" et ""n'en déplaise à personne, mais il est clair pour tout le monde que Mario Draghi n'est pas Silvio Berlusconi, et Olaf Scholz n'est pas Angela Merkel."""
26109	5	Propos du vice-président du Conseil de sécurité de la Fédération de Russie, Dmitri Medvedev, qui dans un nouveau message sur Telegram revient sur le rail contre l'Europe. Selon l'ancien Premier ministre russe et ancien président, les grands dirigeants du passé, qui « n'ont jamais été russophobes », ont été remplacés par une nouvelle génération de « gens faibles » qui « se définissent traditionnellement comme des technocrates ».
26109	7	"Certains d'entre eux sont des spécialistes assez qualifiés, mais rien de plus. Et c'est là que réside le problème! Ces personnes sont capables de formuler correctement une idée, de donner des instructions précises aux assistants. Mais je ne peux pas prendre mes responsabilités."" «Ils essaient de se cacher, de tromper, de parler de la situation économique, voire du changement climatique mais ils ne prennent pas de décision. Ou ils le prennent avec un retard catastrophique. Et c'est déjà un problème total."""
26110	1	Sécheresse de crise et désertification : voilà pourquoi une écologie révolutionnaire est nécessaire
26110	3	La sécheresse a frappé l'Italie avec une nouvelle vague plus forte : les rivières sont à sec, les bassins versants languissent et l'agriculture souffre - du nord au sud - en raison de l'aridité des terres et des attaques soudaines de parasites et de sauterelles, comme cela se passe ces jours-ci. jours dans l'intérieur de la Sardaigne. Ce n'est pas un scénario biblique mais le torride printemps-été italien de 2022. Que doit faire une nation mue par la volonté et non par un fatalisme résigné ? Voici une réflexion sur le sujet.
26110	5	Sécheresse et désertification
26110	7	"Comme vous pouvez déjà l'imaginer, le problème est plus grave et complexe que le récit simpliste que les écologistes font à propos de l'urgence de l'eau. L'histoire est toujours la même, mais elle n'aide pas... au contraire, dire que l'anthropisation et le travail humain provoquent le bouleversement climatique rapporté quasi quotidiennement aux réseaux unifiés, c'est offrir une aide décisive au désert. Le problème, cela paraît évident à dire mais il fait bien de le répéter, est avant tout politique - et par politique j'entends le plus élevé qu'on puisse attribuer à ce terme. Mais voyons d'abord ce qui se passe et dissipons certains mythes : quand on parle de sécheresse, on pense immédiatement à la période estivale, la saison sans ou peu pluvieuse par excellence. Et en général c'est comme ça, parce que ça a toujours été comme ça. Du moins depuis que Quelqu'un ou quelque chose a poussé notre planète dans une danse de rotation et d'oscillation autour du Soleil… La sécheresse n'est pas un événement estival, ou plutôt, elle trouve son exutoire destructeur en été. En fait, le problème se situe en période d'automne et/ou d'hiver car dans ces périodes, où les terres et les nappes phréatiques doivent être ""approvisionnées"" en eau nécessaire pour faire face à la chaleur, il y a plutôt ce manque de pluie que les plus stupides bêtement en été. Surtout, il est important que la neige s'accumule en quantité sur les montagnes, afin de relâcher ensuite l'eau plus lentement lors de la phase de fonte printanière. Il est donc évident que les causes de la sécheresse, notamment dans le nord de l'Italie, doivent être recherchées plus haut que la vallée du Pô, étant donné que, comme il faut le savoir grâce à un atlas géographique scolaire, tous les affluents dits gauches du Pô ( Mincio, Adda, Tessin, Oglio etc…) sont d'origine glaciaire, c'est-à-dire que leur débit est régulé par la fonte saisonnière des glaciers alpins. Il en va de même pour les grands lacs comme Garda et Côme, il en va de même pour les grands fleuves non affluents du Pô qui traversent pourtant tout le nord-est, comme l'Adige, l'Isonzo et le Piave. Excursus géographique mis à part, la sécheresse n'est pas combattue en été et la politique (toujours celle avec un ""P"" majuscule) devrait aller à la source, pas à l'embouchure - littéralement."
26110	9	Question de volonté
26110	11	"Avant d'aborder un discours plus philosophique que pratique, il est utile de faire quelques références historiques, au moins pour la vérité, tant sur la question dite climatique que sur les travaux d'avant-garde entrepris par l'Italie au début du le siècle dernier. Donnons quelques repères pour comprendre de quoi nous parlons : la question climatique a pour argument principal l'augmentation de la température sur terre, qui est un fait objectif car issu de nombreuses études scientifiques. Cependant, la perception que nous avons grâce à la surexposition médiatique est que la température a augmenté et continue d'augmenter de plusieurs degrés. Nous savons en fait que depuis l'année où les températures ont commencé à être enregistrées scientifiquement et objectivement, c'est-à-dire depuis 1880, il y a 140 ans, la température sur terre a augmenté de 0,9 degrés. À ce fait, il convient d'ajouter que vers le milieu des années 1800, une période définie comme le petit âge glaciaire s'est terminée, qui a commencé au milieu des années 1400 ; il va sans dire, comme son nom l'indique, qu'au cours de ces siècles la terre a connu une période de refroidissement notamment dans l'hémisphère nord : nous avons des traces de glace qui nous ont permis de nous promener sur la Tamise. C'est une conséquence naturelle, toujours due à ce ""toucher"" qui a déclenché l'oscillation de ce géoïde appelé Terre, que depuis la fin de la ""petite"" période glaciaire, les températures ont progressivement augmenté. Sans parler des grandes périodes glaciaires dont on sait qu'elles ont été des événements géologiques, la dernière ""juste"" 14 000 ans avant Jésus-Christ. Un clin d'œil pour des cycles naturels aussi étendus. Cependant, deux courants de pensée pour le moins subjectifs, à la limite de la superstition fataliste, découlent de ce fait objectif. Je m'appuie ici sur les propos du Dr. Guglielmo Pannullo, qui dans un article pour le Student Block de 2020 a bien exposé ces courants : « Les sceptiques et les catastrophistes - explique-t-il - ont deux points de vue diamétralement opposés sur les causes du réchauffement climatique, et jusqu'à il y a quelques années, la discussion était principalement cantonné au monde anglo-saxon. Le point central de la discussion est la raison de cette augmentation, pas combien. Le rôle du monde de l'information et des lobbies autour du sujet a conduit à la polarisation des positions et à la formation de ces deux camps opposés. Quant aux sceptiques – poursuit Pannullo – la position du prof. Zichichi, dont une interview pour Il Primato Nazionale est sortie il y a quelques mois, qui affirme que les modèles en vogue aujourd'hui pour prévoir le changement climatique sont imprévisibles, car le climat est un phénomène qui comporte tellement de facteurs mutables qu'il ne peut être absolument prédit avec un modèle mathématique. Par conséquent, il estime que les causes du réchauffement climatique sont liées à des activités extérieures à la terre, comme l'activité solaire, et en aucun cas dues à l'homme. Au niveau mondial, cependant, la crédibilité de la composante sceptique a, dans certains cas, été fortement remise en question suite à la découverte que certains partisans ou partisans du réchauffement climatique ont été consultants auprès de compagnies pétrolières telles qu'Exxon, Shell et Texaco, etc. D'autre part, la composante catastrophique attribue l'entière responsabilité du changement climatique à l'homme, voyant les causes du réchauffement climatique dans un excès de CO2 et dans les émissions de gaz altérant le climat. L'instrument utilisé par les catastrophistes sont les rapports du GIEC, le Groupe d'experts intergouvernemental sur l'évolution du climat, c'est-à-dire un groupe de scientifiques qui n'effectuent pas de surveillance environnementale ou climatique mais étudient les publications scientifiques, les produits de recherche et font des rapports plus fréquemment cinq ans ou moins. Ce dernier rapport de 2014 a mis en évidence comment la majorité des scientifiques pensent que l'homme est probablement la cause du réchauffement climatique""."
26110	13	"On comprend donc, grâce à cette explication exhaustive, la gravité d'un problème de perspectives vis-à-vis de l'environnement, pollué sans trop de mots par une vision judéo-chrétienne du monde (« Soyez féconds et multipliez, remplissez la terre et soumettez-la, dominent les poissons de la mer et l'oiseau du ciel et tout être vivant rampant sur la terre"" - Genèse 1,22) qui contient en un mot la séparation entre l'homme et le cosmos qui atteint la vision capitaliste et marxiste à travers la sécularisation du Occident : celui matérialiste, où l'environnement est autre chose, il fait partie du capital, il exploite la valeur d'usage et rend matériellement utile tout ce qui nous entoure. Mais le problème alors, me direz-vous, ce sont les hommes. Il n'en est rien, car pour autant qu'en disent les catastrophistes et les hippies, l'homme est l'agent écologique décisif pour le rééquilibrage des écosystèmes."
26110	14	La solution c'est l'homme
26110	16	La solution c'est l'homme. La solution est alors la politique. Si l'homme est un animal, ordonné dans le cosmos avec tous les êtres vivants, il est nécessairement un animal politique, c'est-à-dire communautaire, solidaire, agrégatif, technique et historique. Notre nature sans habitat prédestiné (comme les océans pour le plancton) nous pousse vers l'organisation de notre espace selon notre instinct politique. Couple, famille, tribu, village, ville, région, état, nation, empire… ce sont autant de formes d'organisation non seulement sociales, mais surtout naturelles. Ou plutôt, arrêtons de penser au social et au politique comme quelque chose de distinct et séparé de nos vies, séparé et hostile à la nature. La première étape de l'écologie révolutionnaire est de rejeter les schémas de l'homo oeconomicus selon lesquels les principales caractéristiques d'un homme sont la rationalité (entendue au sens premier, avant tout comme précision dans le calcul) et l'intérêt exclusif au soin de son propre individu intérêts. Le consumérisme, la production intensive, l'exploitation de l'environnement et du travail précaire sont des effets et non des causes. Nous rejetons également les mythes des Lumières sur le bon sauvage qui porte en lui le genre de racisme biologique qui considère la société industrielle comme supérieure à la société tribale, mais qui est animé par le bon sentiment de ramener les tribaux à leur niveau par la force. Le problème est idéologique : si vous ne considérez le problème que d'une manière fataliste « ça doit être comme ça », alors le désert continuera d'avancer et d'assécher notre terre. Passons donc au problème de la sécheresse.
26110	17	Un problème politique
26111	3	"« Contrairement aux déclarations triomphales de Washington, la Russie est en train de gagner la guerre et l'Ukraine a perdu la guerre. Le débat est ouvert sur les dommages à long terme causés à la Russie"". Ainsi Graham E. Fuller, ancien vice-président du National Intelligence Council à la CIA, qui détaille les conséquences de cette ""guerre américano-russe menée par procuration au dernier Ukrainien""."
26111	5	Dans la note, Fuller explique que « les sanctions américaines contre la Russie se sont révélées bien plus dévastatrices pour l'Europe que pour la Russie elle-même. L'économie mondiale a ralenti et de nombreux pays en développement sont confrontés à de graves pénuries alimentaires et au risque d'une faim endémique.
26111	7	"La dévastation subie par l'Europe crée des problèmes critiques dans les relations entre elle et Washington, qui oblige ses clients à soutenir à leurs frais sa ligne de « politique étrangère errante et hypocrite, basée sur le besoin désespéré de préserver le ""leadership américain"" dans le monde"". Et reste à savoir s'il acceptera de rejoindre sans réserve la guerre ""idéologique"" contre la Chine, dont le Vieux Continent dépend plus que de la Russie."
26111	9	« L'une des caractéristiques les plus troublantes de ce combat américano-russe en Ukraine a été la pure corruption des médias indépendants. Washington a remporté haut la main la guerre de l'information et de la propagande, coordonnant tous les médias occidentaux et les forçant à chanter le même livre d'hymnes qui caractérise la guerre ukrainienne. Jamais auparavant l'Occident n'avait été témoin d'une imposition aussi totale d'une perspective géopolitique idéologiquement motivée […] Pris dans ce barrage virulent de propagande anti-russe, comme je n'en ai jamais vu, même à l'époque de Cold Warrior, des analystes sérieux doivent creuser profondément pour avoir une compréhension objective de ce qui se passe réellement en Ukraine.
26111	11	"L'emprise sur les médias a eu pour effet de faire taire ""presque toutes les voix alternatives"". « Mais l'implication la plus dangereuse est qu'à mesure que nous nous dirigeons vers de futures crises mondiales, nous assistons à la disparition d'une presse véritablement libre et indépendante », alors que l'opinion publique est la proie « de médias dominés par des multinationales proches des milieux politiques, qui bénéficient du soutien des médias sociaux électroniques ; tous les acteurs qui manipulent le récit à leurs propres fins. Alors que nous sommes confrontés, comme on pouvait s'y attendre, à une instabilité plus grande et plus dangereuse produite par le réchauffement climatique, les flux de réfugiés, les catastrophes naturelles et probablement de nouvelles pandémies, la domination stricte de l'État et des entreprises sur les médias occidentaux devient en effet très dangereuse pour l'avenir de la démocratie » (bizarreries de ce soi-disant lutte entre démocratie et autocratie…)."
