doc_id	paragraph_id	fr-ru
23101	5	Это одно из направлений Плана действий Европейского союза по борьбе с расизмом на 2020–2025 годы. Восемь европейских городов получили свои награды с большой помпой 28 апреля, в преддверии открытия Месяца европейского разнообразия. Инициатива, родившаяся в 2020 году, отныне отмечается разнообразие, каждый май, пока не наступит смерть.
23101	7	Золотая медаль досталась Кёльну, а затем Гётеборгу, «где родилась Грета Тунберг». Поэтому этот подвиг заслужил серебряную медаль. Бронзовая медаль досталась «Барселоне». А Франция? Ничего такого. Нет. Мы недостаточно разнообразны и инклюзивны. Однако город Аррас был одним из 22 предварительно выбранных городов из 82, подавших заявку, но мы остановились на этом.
23101	9	Заметим попутно: зная, что в Европейском союзе 400 городов с населением более 100 000 человек, что в конкурсе принимали участие агломерации с населением не менее 50 000 человек и что подали заявки только 82 города, можно сделать вывод, что это не мало интересовало европейские граждане. Однако Комиссия не скупилась на (глупые) рекламные кампании.
23101	11	Вы уже должны знать, что Европейский союз финансирует «инициативы, направленные на поощрение разнообразия и инклюзивности, а также на борьбу с неравенством и дискриминацией, особенно в общине рома». Нам говорят, что программа «Граждане, равенство, права и ценности» (CERV) с бюджетом в 1,55 миллиарда евро на период 2021–2027 годов является «крупнейшим фондом ЕС, когда-либо посвященным продвижению прав и ценностей». в ЕС».
23101	13	На бумаге это идиллия. Комиссия изобилует идеями для компаний и других ассоциаций, подписавших 26 хартий разнообразия, ратифицированных 14 400 организациями. Таким образом, цель «Мая разнообразия» состоит, прежде всего, в «борьбе с дискриминацией с помощью мер, выходящих за рамки действующего законодательства», так что каждый должен решать сам.
23101	15	Для тех, кому этого не хватает, Европейский Союз предлагает мероприятия и акции для продвижения своего маленького магазина, зная, что лейбл позволяет ссылаться на Карты Google, карту, «принятую на национальном и европейском уровне, таким образом обеспечивая видимость на вашем событие! Таким образом, Хелена Далли, еврокомиссар по вопросам равенства, манипулирует чудесными результатами: «Организуя внутреннее мероприятие для ваших сотрудников или в сотрудничестве с ними, или мероприятие, открытое для широкой публики, для ваших клиентов и поставщиков (так в оригинале), вы продемонстрируете свою приверженность и отмечать разнообразие, одновременно повышая осведомленность среди членов вашей организации. »
23101	17	Поэтому Европейский Союз выпустил «Вдохновляющее руководство по празднованию европейского месяца разнообразия». Руководство: «сосредоточьтесь на поиске связей между различными основаниями дискриминации, которые вы затрагиваете в своей политике и деятельности по разнообразию и включению, а затем участвуйте в действиях, которые время от времени затрагивают несколько областей дискриминации».
23101	19	В наши дни у предпринимателей могут быть другие заботы!
23101	21	Наугад, Бальтазар, можно устроить франкфуртскую колбасную ярмарку в Тулоне и анчоиаду в Висбадене; затем вы получите «поздравительное сообщение после того, как ваше мероприятие будет помечено» и сможете получить «коммуникационный комплект с графическими элементами Joli Mois de l'Europe» (логотипы, плакаты, листовки, баннеры и т. д. ). Это приятно, не так ли?
23102	1	В Италии историческая засуха угрожает сельскому хозяйству
23102	3	Резкое уменьшение количества снегопадов и дождей и очень высокие температуры: север Италии переживает самую сильную засуху за последние 70 лет. Поскольку озера и реки высыхают, сельское хозяйство и энергетический сектор опасаются масштабов ущерба.
23102	5	После аномальной жары 2003 года страна пережила «шесть самых засушливых лет в своей истории», вспоминает Франческо Винченци, президент ассоциации ирригационных консорциумов (Анби). Однако этот год не похож на другие. Не только за серьезность ситуации, но и за период, в котором она возникает. «Если раньше речь шла о засухе с 20 июля, то сейчас 23 июня и уже минимум двадцать дней о ней говорят», — встревожился он.
23102	6	Этой зимой снегопадов выпало на 70%, а осадков вдвое меньше, чем в декабре.
23102	8	Первый свидетель и жертва трагедии: По. Эта 652-километровая река, самая длинная в Италии, пересекает север страны, начиная с Альп, на западе, в сторону Адриатического моря, на востоке. Анимация, сделанная на основе спутниковых снимков Европейского космического агентства (ЕКА), сравнивает состояние реки в 2020, 2021 и 2022 годах. Выводы вызывают тревогу. Мы видим водоток, который постепенно сокращается, уступая место все более обширным песчаным пляжам. Сток реки По уменьшился настолько - до 80% - что соленая вода, поступающая из Адриатического моря, сумела подняться почти на 30 км вглубь суши. Рискованная ситуация для снабжения питьевой водой и для сельского хозяйства. «Мы не можем поливать соленой водой, иначе мы все сожжем», — объясняет Франческо Винченци. Более того, инфильтрация соленой воды означает долгосрочные последствия, потому что «пройдут годы, прежде чем она исчезнет из водоносных горизонтов».
23102	10	К северу от реки великие озера также заметно пересыхают. По словам Анби, озеру Маджоре потребуется более 2 527 миллионов м³ воды, чтобы вернуться к своему среднему уровню, а скорость наполнения озера Комо составляет менее 12%. Более того, именно эти же озера через зарегулированную систему частично питают реки. «Когда мы говорим, что озеро сухое, это не значит, что оно пустое», — уточняет Маттео Числаги, гидролог Ломбардского агентства по защите окружающей среды (Arpa). Действительно, ниже определенного уровня вода уже не может быть выпущена, потому что «она не только больше не будет доходить до выходного отверстия [водохранилища], но, кроме того, убьет озеро», — объясняет гидролог.
23102	12	В основе этой исторической засухи: накопление кризисов. Этой зимой количество снегопадов уменьшилось на 70%, а количество осадков – наполовину с декабря. В регионе Пьемонт почти 110 дней не было ни капли дождя. Ко всему этому добавляются исключительно высокие температуры, иногда до 3°С, вызывающие раннее таяние небольшого количества снега на горных вершинах.
23102	14	Последствия: «наличие воды не позволяет удовлетворить все экологические, сельскохозяйственные и промышленные потребности», — анализирует Массимилиано Паски, исследователь из обсерватории засухи Итальянского национального исследовательского совета (CNR).
23102	15	Фермер осознает факты: почти 50% его урожая кукурузы скомпрометировано.
23102	17	Доступ к питьевой воде остается гарантированным, однако это подтверждают все опрошенные собеседники. Однако сотни муниципалитетов в соответствующих регионах решили ограничить использование воды. В Милане, например, запрещено наполнять бассейн или мыть машину струей. В Пьемонте два муниципалитета закрыли краны на ночь, подтверждает региональный советник, ответственный за окружающую среду, Маттео Марнати. «В районах, где акведуки старше, возникают проблемы с потерями. Нам удается их решить, привозя воду в автоцистернах», — поясняет он.
23102	19	Сектор, наиболее пострадавший от этого кризиса, — это сельское хозяйство. Как и все производители в бассейне По, Давиде Канеграти теперь живет «день в день», в зависимости от прогноза погоды. Во вторник, 28 июня, дождь действительно был. Если она временно разгрузила реки и озера, то недостаточно для восполнения водного дефицита. Фермер осознает факты: почти 50% его урожая кукурузы скомпрометировано. «С апреля мы смогли полностью или частично орошать только 30 га из 50, на которых выращивается растение», — объясняет он. Что касается его 70 гектаров луга, то они тоже сухие. Это производство используется для кормления его коров в конце сезона, и Давиде Канеграти, несомненно, придется выбирать между сокращением своего поголовья «как минимум на 25%» или покупкой продуктов питания в другом месте, несмотря на резкий рост цен, вызванный российским вторжением в Украину.
23102	21	В более широком масштабе все сельское хозяйство бассейна По находится под угрозой, зная, что только оно производит почти 40% итальянских продуктов питания, включая такие флагманские продукты, как пармезан. В Ломбардии урожайность пшеницы в некоторых местах уже упала на 30-40%, говорит Эрмес Сагула, руководитель центра поддержки ассоциации фермеров Ломбардии Coldiretti. На сегодняшний день ущерб итальянскому сельскому хозяйству оценивается более чем в 500 миллионов евро. «К концу года у нас наверняка будет цифра, превышающая один миллиард», — продолжает он.
23102	23	Еще одна отрасль, пострадавшая от засухи: энергетика. Большинство гидроэлектростанций простаивают или даже были остановлены, например, на острове Серафини в 70 км к юго-востоку от Милана. По оценкам отраслевой ассоциации Assoidroelettrica, к концу 2022 года можно ожидать падения производства на 55-60% для крупных заводов и на 70-75% для малых. «Это особенно серьезная ситуация, учитывая, что энергию, которая не будет производиться с помощью воды, придется производить с помощью газа, цены на который чрезвычайно высоки», — настаивает Паоло Тальоли, генеральный директор ассоциации. И чьи выбросы парниковых газов усугубят проблему.
23102	25	«У нас есть иллюзия, что этот ресурс бесконечен, когда это не так»
23102	27	Управление бассейна реки По настаивает на том, чтобы справиться с кризисом: забор доступной воды должен быть сокращен на 20%. Тогда решения должны быть продуманы в долгосрочной перспективе, потому что «неотложность носит структурный характер», — вспоминает Маттео Марнати. Действительно, все показатели показывают, что такие эпизоды будут учащаться. «Температура повышается, а наши ледники сокращаются», — анализирует Ориетта Каззули, глава метеорологической службы Арпа. Что касается осадков, то «признаков их уменьшения у нас нет», но они могут быть все менее регулярными и более интенсивными.
23102	29	Таким образом, предложения находятся на столе, чтобы не иссякнуть в будущем. Маттео Марнати настаивает на строительстве новых плотин в регионе Пьемонт, чтобы улавливать больше дождевой воды. С почти 600 дамбами и около пятнадцати озер Ломбардия является регионом, богатым водными ресурсами. «Что необходимо, так это лучшее управление водными ресурсами», — сказал Дамиано Сирмине из экологической ассоциации Legambiente. По его словам, региональное сельское хозяйство, в основном основанное на рисе и кукурузе, особенно водоемких культурах, должно адаптироваться. «Мы должны признать, что в этом сценарии изменения климата сельскому хозяйству придется изменить свой выбор производства», — продолжает он. Ко всему этому Массимилиано Паски добавляет культурные изменения. Вы должны научиться экономить воду. «У нас есть иллюзия, что этот ресурс бесконечен, когда это не так. »
23102	31	Тем более, что в последние недели тревога засухи зазвучала и в центральных регионах страны, таких как Тоскана, Марке и Лацио. В понедельник, 4 июля, правительство объявило чрезвычайное положение в пяти северных регионах и объявило о выделении фонда в размере 36,5 млн евро для борьбы с этой засухой.
23103	1	Covid-19: Франция без курса и компаса перед лицом седьмой волны
23103	3	Мало профилактических сообщений, никаких решительных мер, и все это на фоне научной неопределенности: управление пандемией страдает от усталости французов, а также от конкуренции со стороны других кризисов, в то время как число ежедневных случаев падает до 100 000. в среднем на 1 июля.
23103	5	Никто точно не знает, как высоко он поднимется. С начала июня во Франции распространяется седьмая волна и быстро распространяются среди населения варианты Omicron BA.4 и BA.5. Последствия с точки зрения смертности и системы здравоохранения по-прежнему ограничены, но цифры стремительно растут, а больница становится более хрупкой, чем когда-либо. В конце прошлой недели президент научного совета профессор Жан-Франсуа Дельфрэсси в эфире RTL оценил, что к концу июля в больничной системе может возникнуть напряженность. По последним данным правительства, по состоянию на 1 июля 960 человек с Covid-19 находятся в реанимации, с 20 июня начато выздоровление. Более 16 000 человек госпитализированы, в настоящее время почти тысяча госпитализаций в день. Увеличение на 31% за последние семь дней по сравнению с предыдущей неделей. По состоянию на 1 июля в среднем ежедневно регистрировалось почти 100 000 новых случаев, что почти на 60% больше, чем на предыдущей неделе. Рост не замедляется.
23106	1	«КС городов» для борьбы с изменением климата
23106	3	Говорить об изменении климата — значит всегда вспоминать о последних катастрофических событиях, с которыми мы сталкиваемся. Подумайте о волне жары, которая недавно заставила Индию и Пакистан согнуться, подумайте о тех, которые находятся в процессе воздействия на Европу, не проходит и месяца без сигнала тревоги. Наводнения, жара, пожары. Более ранние, более интенсивные, более разрушительные, эти эпизоды напоминают нам все больше и больше о нашей хрупкости и необходимости действовать.
23106	5	COP 26 в Глазго не оправдала ожиданий. Неспособность поднять уровень амбиций, неспособность стабилизировать то, что необходимо с точки зрения солидарности со штатами Юга, — вот что нас пригласили на зрелище медленной многосторонности.
23106	7	Срочность налицо, угроза приближается, отчеты МГЭИК не оставляют выхода. Глобальное потепление, несомненно, рукотворно. Ограничение его до 1,5°C можно предусмотреть только ценой быстрых и масштабных изменений. Худшее неизвестно, но успех навязывает траекторию декарбонизации, от которой мы еще далеки.
23106	9	К фоновому шуму этой угрозы, всегда более приглушенной, добавляется шум кризисов, которые навлекли себя там, где их уже не ждали. Covid-19 и война в Украине. В слишком многих странах эти кризисы привели к тому, что предпочтение отдается тому, что происходит «здесь и сейчас». Однако мы должны продолжать решать проблему климата, пока не стало слишком поздно.
23106	11	Нам нужны сдержанные обещания и ресурсы. Нам нужен системный ответ, чтобы климатическая миграция не приводила к более неконтролируемым каскадным эффектам. Если мы не расследуем эти вопросы, мы рискуем поссориться с уязвимыми странами. Однако мы должны оставаться вместе, на карту поставлено человечество.
23106	13	Пусть каждый займет свое место
23106	15	Сейчас важно найти новые балансы, прежде всего построение более широкой многосторонности, позволяющей каждому сыграть свою роль.
23106	17	Города есть, они были всегда, даже в темные времена. Они закатывают рукава, имея в своем распоряжении средства, чтобы справиться с ситуацией. Они изобретают, создают, привлекают местных участников для создания модели общества, учитывающей местные ресурсы.
23106	19	Города, в том числе с самыми маленькими бюджетами, полны идей. Ресурсы создаются, иногда в результате государственной политики, иногда в результате появления граждан, переносимых по неформальным сетям. Именно эти богатства позволяют оптимизму.
23106	21	Сегодня средства лежат на столе, но не всегда находят свое предназначение. Структуры финансирования, основанные на банковской логике, не всегда соответствуют гарантиям, которые могут предложить города. Не сталкиваясь с этими структурными трудностями, эта группа городов остается в стороне от помощи в целях развития.
23106	23	Сегодня нам необходимо создать условия для более широкого диалога, вектора обмена, справедливости и внимания к наиболее незащищенным. Именно поэтому 1 и 2 июля в Абиджане пройдет «КС городов», по этому случаю собралось около ста мэров городов со всего мира.
23106	25	Он будет проходить на континенте, затронутом изменением климата как никакой другой и требующем только одного: поставить свой динамизм, свой творческий потенциал и свою молодежь на службу всеобщим интересам. Вы можете рассчитывать на нас, мэров городов по всему миру.
23106	27	Вы можете рассчитывать на нашу бдительность, на нашу решимость сделать все, что в наших силах, чтобы изменить ход вещей.
23106	29	Подписавшие: Анн Идальго, мэр Парижа, Робер Бёгре Мамбе, губернатор автономного округа Абиджана, Суад Абдеррахим Шейх Эль Медина, Тунис, ЛаТойя Кантрелл, мэр Нового Орлеана, Филипп Клоуз, мэр Брюсселя, Фрэнк Кауни, президент местного самоуправления за устойчивое развитие ( Иклеи) и мэр города Де-Мойн, США, Вилли Демейер, мэр Льежа, Франциска Гиффи, мэр, губернатор Берлина, Роберто Гуальтьери, мэр Рима, Рон Хульдаи, мэр Тель-Авива-Яффо, Грегуар Жюно, Синдик Лозанны, Садик Хан, мэр Лондона и президент C40, Фатимету Абдель Малик, президент региона Нуакшот и президент ОГМВ-А, Карлос Моэдас, мэр Лиссабона, Максим Прево, заместитель и мэр Намюра, Рафал Тшасковски, мэр Варшавы.
23107	1	Гордость пригородов, причудливый марш рабочих кварталов
23107	3	Прошло два года после первого пригородного прайда, два года, отмеченные кризисом в области здравоохранения и общества с ужасающими последствиями. Еще два года испытаний для нас, квиров, жителей рабочих кварталов, расистских людей, ненадежных людей, незарегистрированных мигрантов, изгнанников, инвалидов, нейроатипичных, ВИЧ-позитивных, секс-работников, трансгендеров, небинарных, тех, чьи личности и выражения считаются несоответствующими. Два года, в течение которых мы оплакивали многих исчезновений в наших общинах.
23107	5	Президентские выборы уступили место еще более коварным и коррумпированным публичным дебатам, вызванным растущими ЛГБТКИА+ фобиями, исламофобией и расизмом. Каждый день по телевизору, по радио нас выделяют, оскорбляют. Нам отказывают в правах, ущемляют наше достоинство. Хотя нас считают монстрами, правонарушителями или даже террористами, политическое бездействие в отношении чрезвычайных ситуаций, с которыми мы сталкиваемся, сохраняется. Ненадежность, которую мы всегда испытывали, подкрепляется предприимчивым управлением кризисом, уходом в отставку правительства, которое каждый день заставляет нас понять отсутствие интереса к нашей жизни.
23107	7	Мы сталкиваемся с плохим жильем, от которого страдает почти каждый шестнадцатый человек, перенасыщением продовольственной помощью, все более затрудненным доступом к префектурам или государственным администрациям и усилением полицейских репрессий, которые всегда были нашей повседневной жизнью (1). Как квиры, как представители расы, каждый раз, когда мы хотим обратиться за лечением, мы боимся, что медицинские работники не обучены заботиться о наших ситуациях. Страх каждый раз, когда мы оказываемся у прилавка: «Будут ли обо мне правильно заботиться или обо мне будут пренебрегать из-за моей (или моей) идентичности?».
23107	9	Переполненные службы экстренного размещения
23107	11	Среди всех этих несправедливостей в этом году мы должны настаивать на строгом соблюдении основного права на достойное жилище. В Сене-Сен-Дени службы экстренного размещения систематически перегружены: 71 011 запросов на размещение не были удовлетворены в течение года, в результате чего 9 653 человека остались на улице без посторонней помощи (2). Мы, педики из рабочего класса, преобладаем среди этих бездомных. Действительно, часто после насилия, будь то физического, психологического или экономического, нас исключают из наших домов, не имея возможности приспособиться. Однако ни одна система приема в настоящее время не соответствует нашим потребностям.
23107	13	Чрезвычайная ситуация не может ждать! Никто не будет бороться за нас, если мы, ЛГБТКИА+ из рабочих кварталов, сами не возглавим борьбу. Если наши союзники нас не поддержат! Мы верим, что ответы, которые восстановят наше достоинство, универсальны. Наша борьба пойдет на пользу многим нашим товарищам. Как сказала прославленная афро-феминистская активистка Анна Джулия Купер: «Когда они входят, мы все входим», это означает, что открыть дверь нам — значит открыть ее всем (3).
23107	15	Давайте будем очень многочисленны 4 июня 2022 года в 14:00 на площади Рене-Дюмона в Сен-Дени, чтобы наш гнев был услышан. Чтобы противостоять нашим сестрам, нашим братьям, нашим товарищам. Чтобы отстаивать свои права. Объединяйтесь под знаменем празднования отдельных лиц и сообществ! Давайте объединимся, чтобы бороться с отчуждением! Давайте вместе строить общество, в котором человеческое достоинство безусловно!
23107	17	Чтобы создать необходимый нам баланс сил, мы призываем всех присоединиться к нашему призыву к демонстрации, подписавшись на сайте: https://www.pridedesbanlieues.fr/
23107	19	(1) «26-й отчет о состоянии бедного жилья во Франции, 2021 г.», Фонд Аббе-Пьера.
23107	21	(2) «Отчет о деятельности за 2020 год», Interlogement93.
23107	23	(3) «Демаргинализация пересечения расы и пола: черная феминистская критика антидискриминационной доктрины, феминистской теории и антирасистской политики», Кимберли Креншоу, 1989, стр. 160.
23107	25	Подписавшиеся лица: Барбара Бутч, Энца Фрагола, Фатима Даас, Лекси Агрести, Минима Гесте, Океан Мишель, Ширли Суаньон, Тани, Таль Мадеста, Язид Маллек; 1001 лесбиянка и квир, Помощники, Act Up-Paris, ЛГБТ-центр Париж-Иль-де-Франс, LGBTQIA + Divines, Фронт освобождения Transfem, Goudou e s on Wheels, Iel8 - Feminist Collective of Paris 8, Queer Education, Voice Unearthed.
