doc_id	paragraph_id	it-ru
26105	35	Джузеппе Конте, который в последние недели на словах раскаивался в том, что его партия проголосовала по доверенности без голосования, не имеет альтернативы: либо он приступает к ее отстранению, даже ценой отзыва своих министров из правительства, либо его бесславный политический конец это будет история. Решение с новой статьей в среду.
26106	1	G7 в Монако: они так мало значат, что даже демонстрантам уже все равно
26106	3	Германия берет на себя лидерство в G7, но это никого не волнует. G7 выглядит как отставной круг ARCI, где встречаются бывшие державы, которые когда-то были кем-то, а теперь проводят время, обманывая себя, что они все еще есть. Немного похоже на Проди, который теперь ходит проповедовать по телевидению, думая, что он все еще что-то, но который после того, как разрушил Италию и немного пофлиртовал со всеми. теперь это уже не имеет значения.
26106	5	«Большая семерка» сейчас так мало значит, что провалились даже контрдемонстрации, организованные обычными фальшивыми альтернативными организациями, такими как WWF, ATTAC и другими «экологическими» организациями. Колоссальный провал: полиция ожидала 20 000 человек, в итоге прибыло только 3 500. В итоге четыре кота, устроившие нелепую демонстрацию «Потому что климатический кризис, потому что мы рискуем вымиранием вида» и прочие приятности, которые теперь стали тривиальными.
26106	7	Ведь какой смысл демонстрировать по отношению к группе людей, которые с одной стороны являются кормильцами этих организаций, а с другой уже ни на что не рассчитаны. У Байдена большие проблемы с инфляцией. У Джонсона проблемы с экономикой, но также и с внутренними проблемами, поскольку половина партии восстает против него среди скандалов и провалов на выборах. Шольц, который не является Меркель, возглавляет противоречивое большинство и экономику, близкую к рецессии и деиндустриализации. Макрон утратил законодательные полномочия, он правит, но уже не правит, как прежде. Драги является банкротным управляющим Италии, назначенным другими. Только Трюдо и Кисида прочно сидят в седле, со своими экономическими проблемами, пусть и второстепенными по отношению к проблемам США.
26106	9	В конце G7 никого ничего не волнует: достаточно знать путаные решения американского председательства, чтобы иметь представление о том, что происходит в других местах. между тем ЕС является просто исполнителем: даже если бы Германия, Франция и Италия хотели сделать что-то другое, фон дер Ляйен с дистанционным управлением прибыл бы от Демократической партии и вернул бы их в строй. Так что семерка хороша для фото и, может быть, для хорошего пива, но политически она ничего, абсолютно ничего не значит.
26109	1	ВИЦЕ-ПРЕЗИДЕНТ СОВЕТА БЕЗОПАСНОСТИ РОССИИ ВОЗВРАЩАЕТСЯ В АТАКУ НА ЗАПАД: «УРОВЕНЬ ПОЛИТИКОВ СНИЗИЛСЯ. ВСЕМ ЯСНО, ЧТО МАРИО ДРАГИ — НЕ СИЛЬВИО БЕРЛУСКОНИ, А ОЛАФ ШОЛЬЦ — НЕ АНГЕЛА МЕРКЕЛЬ» — «ВЕЛИКИЕ ЛИДЕРЫ ПРОШЛОГО НЕ БЫЛИ РУСОФОБАМИ, И ИХ ЗАМЕНИЛО НОВОЕ ПОКОЛЕНИЕ СЛАБЫХ ЛЮДЕЙ, НАЗЫВАЮЩИХ СЕБЯ ТЕХНОКРАТОМ…»
26109	3	Уровень западных политиков «упал на самое дно» и «я видел это своими глазами за последние 20 лет». В Европе, например, «нет и следа политических деятелей уровня Гельмута Коля, Жака Ширака или Маргарет Тэтчер» и «никого не в обиду, но всем ясно, что Марио Драги — это не Сильвио Берлускони, а Олаф Шольц — не Ангела Меркель».
26109	5	Слова зампреда Совета безопасности РФ Дмитрия Медведева, который в новом сообщении в Telegram возвращается к рейду против Европы. По словам бывшего российского премьера и бывшего президента, на смену великим лидерам прошлого, которые «никогда не были русофобами», пришло новое поколение «слабых людей», которые «условно определяют себя как технократов».
26109	7	Некоторые из них являются вполне квалифицированными специалистами, но не более того. И в этом заключается проблема! Эти люди умеют правильно сформулировать мысль, дать четкие указания помощникам. Но я не могу взять на себя ответственность». «Они пытаются скрывать, вводить в заблуждение, говорить об экономической ситуации, даже об изменении климата, но решения не принимают. Или берут с катастрофическим опозданием. А это уже полная беда».
26110	1	Кризисная засуха и опустынивание: вот зачем нужна революционная экология
26110	3	Засуха обрушилась на Италию новой, более сильной волной: реки пересохли, водные бассейны чахнут, а сельское хозяйство страдает — с севера на юг — из-за засушливости земли и внезапных нападений паразитов и кузнечиков, как это происходит сейчас. дней во внутренних районах Сардинии. Это не библейский сценарий, а знойная итальянская весна-лето 2022 года. Что делать нации, движимой волей, а не покорным фатализмом? Вот размышление на эту тему.
26110	5	Засуха и опустынивание
26110	7	Как вы уже можете себе представить, проблема является более серьезной и сложной, чем упрощенные версии, которые экологи делают в отношении чрезвычайной ситуации с водой. История всегда одна и та же, но это не помогает... напротив, сказать, что антропизация и человеческий труд вызывают климатические потрясения, о которых почти ежедневно сообщают объединенные сети, означает оказать решающую помощь пустыне. Проблема, как кажется очевидным, но стоит повторить, прежде всего, политическая, и под политической я подразумеваю наивысшее, что может быть отнесено к этому термину. Но сначала давайте посмотрим, что происходит, и развеем некоторые мифы: когда мы говорим о засухе, мы сразу же думаем о летнем периоде, сезоне без дождей или с небольшим количеством осадков. И вообще это так, потому что так было всегда. По крайней мере, с тех пор, как Кто-то или что-то толкнуло нашу планету в танец вращения и колебаний вокруг Солнца.Засуха не является летним явлением, вернее, летом она находит свой разрушительный выход. На самом деле проблема в осеннем и/или зимнем периоде, потому что в эти периоды, когда земля и водоносные горизонты должны «снабжаться» водой, необходимой для борьбы с жарой, вместо этого наблюдается то отсутствие дождей, о котором самая глупая глупость летом. Особенно важно, чтобы снег накапливался в горах в больших количествах, чтобы затем медленнее выпускать воду во время фазы весеннего таяния. Поэтому очевидно, что причины засухи, особенно в северной Италии, надо искать выше долины По, учитывая, что, как должно быть известно благодаря школьному географическому атласу, все так называемые левые притоки По ( Mincio, Adda, Ticino, Oglio и др.) имеют ледниковое происхождение, т.е. их сток регулируется сезонным таянием альпийских ледников. То же самое касается больших озер, таких как Гарда и Комо, то же самое касается крупных рек, не являющихся притоками По, которые, однако, протекают через весь северо-восток, таких как Адидже, Изонцо и Пьяве. Если оставить в стороне географический экскурс, летом с засухой не борются, и политика (всегда с большой буквы) должна двигаться у истока, а не у устья - в буквальном смысле.
26110	9	Вопрос воли
26110	11	Прежде чем перейти к более философскому, чем практическому рассуждению, полезно сделать некоторые исторические справки, хотя бы ради правды, как по так называемой климатической проблеме, так и по авангардным работам, предпринятым Италией в начале прошлый век. Приведем некоторые ориентиры, чтобы понять, о чем идет речь: в вопросе климата главным аргументом является повышение температуры на Земле, что является объективным фактом, так как является результатом многочисленных научных исследований. Однако ощущение, которое у нас сложилось благодаря чрезмерному воздействию средств массовой информации, заключается в том, что температура повысилась и продолжает повышаться на несколько градусов. На самом деле мы знаем, что с того года, когда температуры начали научно и объективно регистрировать, то есть с 1880 года, 140 лет назад, температура на Земле повысилась на 0,9 градуса. К этому факту следует добавить, что примерно в середине 1800-х годов закончился период, определяемый как Малый ледниковый период, который начался в середине 1400-х годов; Само собой разумеется, как следует из названия, в течение этих столетий Земля переживала период охлаждения, особенно в северном полушарии: у нас есть свидетельства наличия льда, который позволил нам ходить по Темзе. Это естественное следствие, опять-таки из-за того «прикосновения», которое запустило колебание этого геоида, называемого Землей, что после окончания «малого» ледникового периода температуры постепенно повышались. Не говоря уже о великих ледниковых периодах, которые, как мы знаем, были геологическими событиями, последний из которых произошел «всего» за 14 000 лет до Рождества Христова. Мгновение ока для таких далеко идущих природных циклов. Однако из этого объективного факта вытекают два направления мысли, по меньшей мере субъективные, граничащие с фаталистическим суеверием. Я полагаюсь здесь на слова Д. Гульельмо Паннулло, который в статье для Студенческого блока 2020 года хорошо разоблачил эти течения: «Скептики и катастрофисты, — поясняет он, — имеют две диаметрально противоположные точки зрения на причины глобального потепления, и еще несколько лет назад дискуссия шла в основном ограничивается англо-саксонским миром. Точка опоры обсуждения является причиной этого увеличения, а не насколько. Роль мира информации и лобби вокруг субъекта привела к поляризации позиций и формированию этих двух противоположных сторон. Что же касается скептиков, — продолжает Паннулло, — то позиция проф. Зичичи, у которого несколько месяцев назад вышло интервью для Il Primato Nazionale, который утверждает, что модные сегодня модели прогнозирования изменения климата непредсказуемы, поскольку климат — это явление, имеющее так много изменчивых факторов, что его невозможно абсолютно предсказать. с математической моделью. Следовательно, он считает, что причины глобального потепления связаны с внешней по отношению к Земле деятельностью, такой как солнечная активность, и ни в коем случае не связанной с человеком. Однако на глобальном уровне достоверность скептического компонента в некоторых случаях подвергалась серьезному сомнению после того, как выяснилось, что некоторые сторонники или сторонники глобального потепления были консультантами нефтяных компаний, таких как Exxon, Shell, Texaco и т. д. С другой стороны, катастрофическая составляющая возлагает всю ответственность за изменение климата на человека, видящего причины глобального потепления в слишком большом количестве СО2 и в выбросах изменяющих климат газов. Инструментом, используемым катастрофистами, являются отчеты МГЭИК, Межправительственной группы экспертов по изменению климата, т.е. группы ученых, которые не занимаются мониторингом окружающей среды или климата, а изучают научные публикации, результаты исследований и составляют отчеты чаще пяти лет и менее. В этом последнем отчете за 2014 год подчеркивается, что большинство ученых считают, что человек, вероятно, является причиной глобального потепления».
