doc_id	paragraph_id	po-ru
25100	7	Программа могла заключаться в сокращении рабочего дня, например, до 7 часов или рабочей недели до четырех дней. Снижения зарплаты нет. Реализация реформы по всей стране будет зависеть от положительного эффекта ранее проведенного пилотного проекта. До выборов Туск должен представить свой точный проект. Другие политики быстро подхватили эту тему. Во-первых, Адриан Зандберг из партии «Вместе» отметил, что его партия выдвинула аналогичный постулат несколько лет назад. В 2018 году партия собрала подписи под гражданским законопроектом о сокращении рабочего времени на 7 часов без снижения заработной платы. «7 часов — это больше времени для семьи и для развития интересов», — продвигал проект Партия Вместе. «Я предлагаю работать 7 часов в неделю! Или нет — через месяц», — иронизировал тогда Борис Будка из ПО, чей вход в соцсети политики из партии «Вместе» не преминули вспомнить и сейчас. Зандберг иронично заявляет, что не сомневается в духовном преображении политиков ОО, но рекомендует голосовать за ту партию, которая является фактическим автором предложения. В свою очередь, Роберт Бедронь из Новой Левицы указал, что его партия представит проект закона о четырехдневной рабочей неделе и посмотрит, что из этого получится. «Мы проверим Дональда Туска и всех депутатов ОО, а также другие группы, поддержат ли они нас во время голосования», — сказал Бедронь в одной из телепрограмм. Ханна Гилл-Пёнтек из «Польша 2050» заявила, что ничего не имеет против эксперимента. С другой стороны, Шимон Холовня, лидер «Польша 2050», торпедировал эту идею: «Действительно трудно понять цель обсуждения четырехдневной рабочей недели в то время, когда люди делают все, чтобы иметь возможность зарабатывать больше, поэтому что, наконец, дефицита нет», — написал он в Twitter.
25100	9	ПиС: Туск обещает 4 дня работы? Подготовьтесь на 6 дней
25100	11	Активным противником этого предложения является Артур Дзямбор из Партии свободы. «Четырехдневная рабочая неделя увеличивает операционные расходы компаний на 25 процентов». — гремит депутат. Если только, как он утверждает, сокращение рабочего дня не будет связано с сокращением зарплаты. По его словам, рабочее время в компании зависит от договоренности между работником и начальником. И навязывание им заранее сокращенного рабочего дня наносит удар по их свободе. Артур Дзямбор также не сомневается, что, внося такое предложение, Туск забрасывает сеть более молодого, более левого электората. Его сопровождает Славомир Ментцен, председатель Польского делового конгресса, член партии KORWiN. «Если кто-то думает, что работа четыре дня в неделю вместо пяти повышает эффективность, то пусть они управляют своей компанией таким образом, и с этим патентом они сотрут конкуренцию с правления», — высмеял эту идею Славомир Ментцен в Facebook.
25100	13	Президент ПиС Ярослав Качиньский также упомянул об этом предложении во время своего визита в Груец. Он высмеял, что эта идея должна встревожить избирателей.
25100	15	- Обещали четырехдневную рабочую неделю. Учитывая, как это было с их большими обещаниями до сих пор, это означает, что это будет шесть дней! Я уже вижу это мысленным взором. Сначала два месяца, четыре дня, потом говорят: ну, общество не созрело, не получилось, а теперь надо наверстать, шесть дней, - сказал Ярослав Качиньский.
25100	17	Беата Мазурек из PiS напомнила, что ПО проголосовал против свободных воскресений в торговле. А теперь вдруг эта партия хочет быть сторонником сокращения рабочего дня. По ее словам, Туск — «опасный популист».
25100	19	Ранее министр развития и технологий Вальдемар Буда не пощадил Туска критики: «Когда он должен был снизить налоги, он их повысил. Когда ему должны были снизить пенсионный возраст, он его повысил. Я бы испугался, если бы за этим решением не скрывались рабочие субботы», — сказал он в интервью Polsat News. И добавил, что ПиС тоже делала расчеты относительно четырехдневной рабочей недели. Он также заявил, что текущая экономическая ситуация не способствует введению таких изменений.
25100	21	В настоящее время правительство уделяет особое внимание внедрению гибких форм занятости, т.е. удаленная работа (правительственный законопроект находится в Сейме, он внесен в Чрезвычайную комиссию Сейма). Поэтому установленное законом сокращение рабочей недели не является вариантом. Министр по делам семьи и социальной политики Марлена Малонг напомнила Польскому радио, что сегодня ничто не мешает работодателю и работнику договориться о сокращении рабочего времени, если это необходимо.
25100	23	Мы хотим работать меньше. Но зарабатывать меньше
25100	25	Предложение о сокращении рабочего времени может иметь электоральный потенциал. Согласно опросу Hays, 96% сотрудников нравится четырехдневная модель работы. респонденты. С другой стороны, сокращение рабочей недели и связанное с этим сокращение заработной платы на 80% поддержали лишь 19% респондентов. обследован. Другое исследование, «Барометр польского рынка труда», показало, что, помимо пакета медицинских услуг, именно четырехдневная рабочая неделя является бонусом, которого больше всего ожидают работники. Поэтому инициативу Дональда Туска можно рассматривать как элемент предвыборной игры. Это также, и не в первый раз, подмигивание молодому левому электорату. Другое дело, вызывает ли доверие ПО в этом заигрывании с более-менее левым избирателем. Туск, говоря о четырехдневной рабочей неделе, многого не сказал. Он отметил, среди прочего, что это не ответ на сегодняшний день и что, принимая во внимание опыт пандемии и предстоящую автоматизацию работы, к вызовам, связанным с рабочим временем, придется отнестись серьезно. Одно дело простые предвыборные обещания и ожидания электората, другое - имеет ли смысл такое решение в наших реалиях.
25100	27	Различные рейтинги (данные варьируются в зависимости от методологии исследования) помещают нас в число самых загруженных стран Европы. Согласно отчету «Рабочее время в 2019-2020 годах», подготовленному Eurofound, в 2020 году в Польше в среднем было отработано 1848 часов. В Германии -1574 часа. Детальное исследование в прошлом году было проведено UCE Research и Syno Poland. Этот анализ показывает, что 21% сотрудников работали более 8 часов в день. участников исследования. В свою очередь, 13 проц. респонденты работали 9-10 часов, и 8 процентов. - более 10 часов в день (опрошено 804 профессионально активных поляка). Исследование Евростата показывает, что в 2021 году среднее рабочее время в Польше составляло 40,3 часа. еженедельно. По этому уравнению больше работали сербы (43,3 часа) и греки (40,6 часа). Самый короткий рабочий день в прошлом году был в Нидерландах — в среднем он составил 31,6 часа. еженедельно. Далее следуют Норвегия (34,2 часа), Дания (34,8 часа), Германия (35,2 часа). Авторы исследования выяснили, что в европейских странах с наибольшим количеством работы платят самую низкую почасовую оплату. Таким образом, сокращение рабочего времени автоматически улучшит его эффективность и, следовательно, экономические показатели? Это не так, говорят экономисты. Сокращение рабочего времени и более высокая заработная плата могут быть результатом развития экономики, а не ее движущей силой.
25100	29	- Ключом к сокращению рабочего времени и сохранению заработной платы является повышение производительности труда. Идея состоит в том, чтобы создавать продукты или услуги той же ценности с меньшим количеством часов работы. А для этого нужен прогресс в автоматизации, роботизации, использование новых технологий и искусственного интеллекта. В эти сферы необходимы инвестиции. Более короткая работа — это неизбежное направление, в котором движется мир, но реализация этого направления — вопрос как минимум десятилетия. Это невозможно сделать революционным путем, это эволюционный, долгосрочный процесс, говорит Анджей Кубисяк, заместитель директора Польского экономического института.
25100	31	Польша не Великобритания
25100	33	Пока ни одна страна не решила ввести установленную законом четырехдневную рабочую неделю. Хотя, конечно, некоторые компании, особенно в период ограничений из-за пандемии, сделали свой рабочий график более гибким. Есть также страны, где ежедневное рабочее время сокращено, например, до 7 часов (Франция). Пилотные проекты по четырехдневной рабочей неделе проводились в разных масштабах, т.е. в Японии, Новой Зеландии, Исландии. В последней стране пилоты отметили, что они более продуктивны, менее подвержены стрессу и лучше совмещают работу и отдых. Здесь следует добавить, что в тестировании принимали участие чиновники из государственных учреждений и городского совета Рейкьявика, а исследование длилось 4 года. В настоящее время эксперимент проводится в Испании и Великобритании. Британский пилотный проект, стартовавший в июне, является крупнейшим на сегодняшний день и охватывает 3000 человек. сотрудников 70 компаний. Его участники должны работать по 32 часа в неделю в течение шести месяцев без снижения заработной платы. Эксперты подчеркивают, что даже если решение сработает в другой стране, здесь оно может быть не так или не сразу. Специфика нашей экономики иная, чем, например, британской. У нас преобладают небольшие компании. И реализовать в них технологические изменения может быть сложнее.
25100	35	Доля высокоразвитых секторов в британской экономике выше, чем в Польше. Наша экономика по-прежнему в значительной степени базируется на секторах, где человеко-часы имеют значение и определяют успех компании. Надо дождаться завершения пилотных проектов и только потом рассматривать такой эксперимент в Польше, — добавляет Анджей Кубисяк.
25100	37	«Эта идея вредна»
25100	39	Сокращение рабочего времени в нашей стране может быть проблематичным в некоторых отраслях. Особенно в тех, которые борются с нехваткой сотрудников. Это касается, например, медицинской отрасли. Если мы сократим рабочую неделю, доступность врачей будет меньше, или в их случае будет фиктивное сокращение рабочего времени. Медицинскому персоналу придется взять дополнительные смены, чтобы восполнить нехватку кадров. На самом деле, он будет работать так же, как и сейчас. Есть также вопросы о торговле или гастрономии? Смогут ли предприниматели позволить себе сохранить преемственность своих компаний, если рабочая неделя сотрудника составляет 4 дня?
25100	41	Цезарий Казмерчак, президент Ассоциации предпринимателей и работодателей, не сомневается: идея вредная, инфантильная и оторванная от реальности. И некоторые польские политики, не только из ПО, при подаче такого постулата ведут себя так, как будто мы другая Швейцария.
25100	43	"«Польша — довольно богатая страна по сравнению с остальным миром; но по сравнению с Европой это уже не так. Пока у Польши менее 60 процентов. ВВП Германии на душу населения. Германия в полтора раза эффективнее Польши, а также имеет более высокую производительность. Если мы хотим продолжать эффективно преследовать их, как мы преследуем уже 30 лет, и достичь уровня жизни этих богатых западных стран, мы должны работать не меньше, а больше, чтобы догнать их"", - сказал Цезарий Казмерчак. , цитирует ПАП."
25100	45	По мнению проф. Яцек Мечина, советник правления Konfederacja Lewiatan, четырехдневная рабочая неделя в наших условиях привела бы к сокращению зарплат и сокращению числа сотрудников.
25100	47	- Простое сокращение рабочей недели с 5 до 4 дней означает, что производительность в принципе снижается. Поэтому заработная плата рабочих должна быть снижена примерно на 20 процентов. Аргумент о том, что сокращение рабочего времени будет компенсировано повышением производительности труда, не может быть принят, ибо таких гарантий нет и такие возможности не всегда возможны. Французский опыт конца 1980-х годов показал, что сокращение рабочего времени не компенсировалось ростом производительности, и перекладывание затрат на такое решение на работодателей недопустимо. Это приведет к снижению конкурентоспособности компаний и проблемам во всей экономике, - считает проф. Яцек Менчина.
25100	49	По его словам, нынешнее время, особенно с учетом возможной рецессии, не лучшее время для экспериментов. Однако полностью отказаться от предложенного решения нельзя. В автоматизированных отраслях, основанных на современных технологиях, в будущем будет желательно сокращение рабочего времени.
25100	51	- В первую очередь такие площади появятся в промышленных секторах, а также в сфере современных услуг. Инвестиции в роботизацию и автоматизацию процессов означают огромные затраты для компаний на первом этапе. Так что вопрос в том, как мы будем компенсировать им эти вложения. Кроме того, надо помнить, что сохранение занятости будет все чаще требовать дополнительных вложений в повышение или изменение квалификации работников, а это тоже означает значительные затраты, — говорит проф. Яцек Менчина.
25101	1	Левицка: Не Москва и Пекин, а Берлин и Брюссель. ПиС все еще ищет врагов на Западе
25101	3	Война на Украине на самом деле мало что изменила во внешней политике ПиС, в осмыслении геополитических угроз и вызовов для Польши. Лагерь власти постоянно находится в заложниках антинемецкой одержимости своего лидера и сверхдержавных рассказов о великой Польше и не менее великой армии из Вены или Кирхольма.
25101	5	Если лживые истории продаются публике, рано или поздно всплывает их несовместимость с реальностью. Как Рыдз-Смиглы, считавший себя вторым Пилсудским, что он не отдаст Третьему рейху и пуговицы, только для того, чтобы быть интернированным румынами и бросить войска, еще сражавшиеся в то время на два фронта, на их судьба. Давайте последуем за этими смачными дубляжами президента и остальных правителей.
25101	7	Германия является крайне деструктивным элементом в Европе, заявил Ярослав Качиньский в интервью «Gazeta Polska». Он утверждал, что цель Берлина состояла в том, чтобы «держать нас под своей пятой». Он милостиво решил, что «сегодня в них нет гитлеровского безумия», но «если посмотреть на Бисмарка, то — с учетом других исторических обстоятельств, разумеется — цели те же».
25101	9	Здесь следует напомнить, что Бисмарк был не только создателем могущества Второго рейха, но и движущей силой жестокой германизации земель, находившихся под властью Пруссии. Так заметил ли теперь президент ПиС новую «культуркампф» в берлинской политике?
25101	11	Недавно Качиньского странным образом поддержал не кто иной, как президент Национального банка Польши. Адам Глапински утверждал, вероятно сильно напугав финансовые рынки, что один из наших соседей (тогда упоминалось слово «Германия») планирует обманом ввести Польшу в еврозону, чтобы за полгода построить Европейскую федерацию и лишить нас суверенитета.
25101	13	"Это несколько измененное эхо слов президента, сказанных на митинге в Кельце. Там президент сказал, что Германия не сверхдержава, но если бы они использовали ЕС как ""ходули"", то они были бы, а мы в свою очередь были бы у них под ботинком, а ""ботинок есть ботинок"". ПиС также возвращается к нарративу о репарациях, получить которые у нее нет шансов, и требования которых она не может предъявить годами, поскольку доклад на эту тему якобы «переведен на многие языки». Удивительно, что ПиС не может получить деньги из Фонда реконструкции и обманывает нас нереальной компенсацией из Берлина."
25101	15	"На самом деле, трудно уследить и за Качиньским в его размышлениях о западном соседе. Иногда это сила, желающая нас поглотить, а иногда только за наш счет она планирует прорваться к власти. Иногда немцы забавны, иногда угрожают. В одном городе Качиньский утверждает, что Германия — экономическая сверхдержава, в другом пожимает плечами, что покупательная способность одного евро составляет около трех злотых, так что не так уж и много, и польские врачи там больше не работают, потому что «платят меньше, чем здесь». ""."
25101	17	Страх президента перед немцем смешивается с комплексами по отношению к немцу. И вдобавок ко всему этому идет политическая игра по натравливанию общественности на Берлин, ведь известно, что ПиС не может существовать, действовать и агитировать без врага.
25101	19	Без воображаемого врага, которого на самом деле не существует, и с которым вообще не надо воевать. Только таких врагов ПиС может победить, как странствующего рыцаря из Ла-Манчи, ищущего опасных противников в ветряных мельницах.
25101	21	Настоящий враг - Россия возвращается главным образом в пропагандистское распространение инфляции как основной и чуть ли не единственной причины роста цен в Польше и во всей Европе. И кроме того, Берлин и Брюссель хотят нашего суверенитета больше, чем Москва. А Китай в союзе с Россией вообще, особенно президенту Дуде, кажется привлекательным коллегой в политике и бизнесе.
25101	23	Давайте двигаться дальше. Эта смена направлений, откуда может прийти зло, сопровождается постоянным криком о нашей власти - политической и военной. Мы больше никогда не позволим русскому солдату ступить на польскую землю - премьер-министр развевает знамя национальной гордости. Но в таких вопросах всегда можно рассчитывать на президента. Польша достаточно велика, чтобы иметь место для захоронения нападавших, которым он угрожал сразу после начала войны на Украине.
25101	25	ПиС размахивает перед носом у населения законом о защите Родины, который пока не имеет к этому никакого отношения, кроме быстрых закупок, без плана, но в кредит будущих поколений, и военных планов по укрупнению армия, подвергаемая сомнению многими.
25101	27	Качиньский считает, что польская армия огромна, и это также должно нас пощекотать на национальном уровне. А если уж на то пошло, то надо бы сослаться на то, о чем упомянул сам Анджей Дуда, когда его спросили о возможной агрессии Путина против Польши.
25101	29	Потенциальная угроза существует, ответил он, но учтите, что в Польше находится более 10 000 солдат крупнейшей в мире армии. Самая мощная, лучшая и современно оснащенная армия. Так и есть, как всегда, сначала Польша - держава, и все, у нас тут нет кнопки и так далее, а через мгновение уже нервно ищем американцев. Уф, есть, а в последнее время их еще больше. Какое облегчение!
25101	31	Здесь, однако, достаточно вспомнить, что в конце прошлого года, имея в своем распоряжении данные американской разведки о готовящейся российской агрессии против Украины, ПиС вступила в войну с американцами из-за ТВН. Потому что внутрипартийные цели были для президента Качиньского важнее хороших отношений с нашим возможным главным защитником.
25101	33	Мало того, что ПиС не способна вести внешнюю политику, так как на дипломатической службе такие же неудачники, как и на любой другой работе, взятой на себя партией. Еще и потому, что он ставит интересы партии выше raison d'etat. Те, кто испытывает облегчение от того, что ПиС заняла правильную сторону после 24 февраля, не должны забывать, что эта война является «политическим золотом» для ПиС.
25101	35	Это видно по попыткам милитаризации общественной дискуссии, которая призвана отвлечь внимание общественности от высоких цен и других бед. Тот факт, что некий Лех Качиньский точно предсказал российские планы, не означает, что ПиС чему-то научилась или что-то поняла. Остается надеяться, что история никогда не испытает их эффективность, как это случилось с Рыдз-Смиглы.
25102	1	Позовите караван. Грета Тунберг убила тех, кто вытирает рот экологией
25102	3	Молодежный форум Youth4Climate, который проходит в Милане, вчера стал для Греты Тунберг возможностью сделать сильный камбэк. На этот раз мы больше не слышали нервного подростка. У меня такое впечатление, что рождается серьезный лидер нового поколения.
25102	5	Подобно Гамлету, говорящему «слова, слова, слова», Грета Тунберг с первых же слов поразила мировых лидеров и те пустые банальности, которые они годами произносят в отношении борьбы с изменением климата. Бла-бла-бла с примесью слов о планах, о климатической нейтральности, об амбициях - вот и все, что мы слышим из их уст.
